Chr	Start	End	Gene_Name	Strand
1	15487832	15493832	CASP9	-
1	15488400	15494400	CELA2B	+
1	15569353	15575353	AGMAT	-
1	15582110	15588110	DNAJC16	+
1	15658722	15664722	DDI2	+
1	15666044	15672044	RSC1A1	+
1	15731769	15737769	PLEKHM2	+
1	15738396	15744396	SLC25A34	+
1	15744982	15750982	TMEM82	+
1	15783594	15789594	FBLIM1	+
1	15804169	15810169	UQCRHL	-
1	15937460	15943460	SPEN	+
1	15938869	15944869	ZBTB17	-
1	16011028	16017028	HSPB7	-
1	16031050	16037050	CLCNKA	+
1	16054308	16060308	CLCNKB	+
1	16054769	16060769	FAM131C	-
1	16121337	16127337	EPHA2	-
1	16194854	16200854	ARHGEF19	-
1	16228700	16234700	RSG1	-
1	16243839	16249839	FBXO42	-
1	16384117	16390117	SPATA21	-
1	16395145	16401145	SZRD1	+
1	16457078	16463078	NECAP2	+
1	16559319	16565319	NBPF1	-
1	16971502	16977502	MFAP2	-
1	16982958	16988958	ATP13A2	-
1	17015722	17021722	SDHB	-
1	17063761	17069761	PADI2	-
1	17243005	17249005	PADI1	+
1	17281233	17287233	PADI3	+
1	17403760	17409760	RCC2	-
1	17694874	17700874	ARHGEF10L	+
1	17824063	17830063	ACTL8	+
1	18836599	18842599	TAS1R2	-
1	18868430	18874430	ALDH4A1	-
1	18901281	18907281	IFFO2	-
1	19071506	19077506	UBR4	-
1	19212664	19218664	EMC1	-
1	19257128	19263128	MRTO4	+
1	19279558	19285558	AKR7A3	-
1	19300965	19306965	AKR7A2	-
1	19326300	19332300	PQLC2	+
1	19335776	19341776	CAPZB	-
1	19626821	19632821	MINOS1	+
1	19648292	19654292	MINOS1-NBL1	+
1	19648292	19654292	NBL1	+
1	19655056	19661056	MINOS1-NBL1	+
1	19655456	19661456	NBL1	+
1	19676562	19682562	HTR6	+
1	19679213	19685213	TMCO4	-
1	19909945	19915945	OTUD3	+
1	20108939	20114939	PLA2G2D	-
1	20479391	20485391	CAMK2N1	-
1	20496448	20502448	MUL1	-
1	20552010	20558010	FAM43B	+
1	20615908	20621908	CDA	+
1	20648511	20654511	PINK1	+
1	20648767	20654767	DDOST	-
1	20661014	20667014	KIF17	-
1	20716732	20722732	SH2D5	-
1	20739661	20745661	HP1BP3	-
1	20803292	20809292	EIF4G3	-
1	21214247	21220247	ECE1	-
1	21482005	21488005	NBPF3	+
1	21575412	21581412	ALPL	+
1	21593215	21599215	RAP1GAP	-
1	21675298	21681298	USP48	-
1	21819245	21825245	HSPG2	-
1	21822221	21828221	LDLRAD2	+
1	21995642	22001642	CELA3B	+
1	22009539	22015539	CELA3A	+
1	22089946	22095946	CDC42	+
1	22114305	22120305	WNT4	-
1	22528157	22534157	ZBTB40	+
1	22600594	22606594	EPHA8	+
1	22918500	22924500	EPHB2	+
1	22950043	22956043	LACTBL1	-
1	23080689	23086689	KDM1A	+
1	23081023	23087023	LUZP1	-
1	23188895	23194895	HTR1D	-
1	23300771	23306771	HNRNPR	-
1	23356448	23362448	ZNF436	-
1	23378061	23384061	TCEA3	-
1	23425563	23431563	ASAP3	-
1	23503430	23509430	E2F2	-
1	23554918	23560918	ID3	-
1	23693425	23699425	RPL11	+
1	23785232	23791232	PITHD1	+
1	23792539	23798539	LYPLA2	+
1	23792599	23798599	GALE	-
1	23798885	23804885	HMGCL	-
1	23842077	23848077	FUCA1	-
1	23867526	23873526	CNR2	-
1	23960462	23966462	PNRC2	+
1	23961804	23967804	SRSF10	-
1	24053035	24059035	MYOM3	-
1	24116771	24122771	IL22RA1	-
1	24151157	24157157	IFNLR1	-
1	24353999	24359999	STPG1	-
1	24361482	24367482	GRHL3	+
1	24469976	24475976	NIPAL3	+
1	24538040	24544040	RCAN3	+
1	24606328	24612328	NCMAP	+
1	24670267	24676267	SRRM1	+
1	24841324	24847324	CLIC4	+
1	24896511	24902511	RUNX3	-
1	25219679	25225679	SYF2	-
1	25239237	25245237	RSRP1	-
1	25335213	25341213	RHD	+
1	25359249	25365249	RHCE	-
1	25359361	25365361	TMEM50A	+
1	25565886	25571886	LDLRAP1	+
1	25783207	25789207	MAN1C1	+
1	25828913	25834913	AUNIP	-
1	25829942	25835942	MTFR1L	+
1	25858210	25864210	PAQR7	-
1	25881181	25887181	STMN1	-
1	25956767	25962767	PAFAH2	-
1	26033464	26039464	EXTL1	+
1	26048304	26054304	TRIM63	-
1	26122543	26128543	PDIK1L	+
1	26160962	26166962	FAM110D	+
1	26167873	26173873	ZNF593	+
1	26186886	26192886	CNKSR1	+
1	26199968	26205968	CATSPER4	+
1	26276038	26282038	CEP85	+
1	26278328	26284328	UBXN11	-
1	26278522	26284522	SH3BGRL3	+
1	26317523	26323523	CD52	+
1	26358634	26364634	ZNF683	-
1	26426722	26432722	LIN28A	+
1	26468294	26474294	DHDDS	+
1	26472972	26478972	HMGN2	+
1	26572030	26578030	RPS6KA1	+
1	26779104	26785104	ARID1A	+
1	26795398	26801398	PIGV	+
1	26854602	26860602	ZDHHC18	+
1	26861457	26867457	SFN	+
1	26873133	26879133	GPN2	-
1	26887488	26893488	GPATCH3	-
1	26908489	26914489	NR0B2	-
1	26910966	26916966	NUDC	+
1	26946562	26952562	KDF1	-
1	26997898	27003898	TRNP1	+
1	27002020	27008020	FAM46B	-
1	27095815	27101815	SLC9A1	-
1	27305633	27311633	WDTC1	+
1	27333400	27339400	TMEM222	+
1	27350937	27356937	SYTL1	+
1	27352184	27358184	MAP3K6	-
1	27366112	27372112	FCN3	-
1	27376176	27382176	CD164L2	-
1	27392814	27398814	GPR3	+
1	27401226	27407226	WASF2	-
1	27402609	27408609	WASF2	-
1	27414908	27420908	WASF2	-
1	27417514	27423514	WASF2	-
1	27419618	27425618	WASF2	-
1	27420775	27426775	WASF2	-
1	27421530	27427530	WASF2	-
1	27422838	27428838	WASF2	-
1	27423513	27429513	WASF2	-
1	27426165	27432165	WASF2	-
1	27429647	27435647	WASF2	-
1	27432302	27438302	WASF2	-
1	27438753	27444753	WASF2	-
1	27439991	27445991	WASF2	-
1	27440308	27446308	WASF2	-
1	27443782	27449782	WASF2	-
1	27447193	27453193	WASF2	-
1	27531035	27537035	AHDC1	-
1	27609064	27615064	FGR	-
1	27663061	27669061	IFI6	-
1	27760122	27766122	FAM76A	+
1	27821452	27827452	STX12	+
1	27848676	27854676	PPP1R8	+
1	27883685	27889685	THEMIS2	+
1	27888524	27894524	RPA2	-
1	27956157	27962157	SMPDL3B	+
1	27965096	27971096	XKR8	+
1	27967344	27973344	EYA3	-
1	28144166	28150166	PTAFR	-
1	28196456	28202456	DNAJC8	-
1	28279491	28285491	SESN2	+
1	28332967	28338967	MED18	+
1	28469850	28475850	PHACTR4	+
1	28497369	28503369	PHACTR4	+
1	28536300	28542300	RCC1	+
1	28575545	28581545	TRNAU1AP	+
1	28586323	28592323	TAF12	-
1	28640085	28646085	RAB42	+
1	28716353	28722353	GMEB1	+
1	28766775	28772775	YTHDF2	+
1	28868267	28874267	OPRD1	+
1	29116428	29122428	TMEM200B	-
1	29117046	29123046	EPB41	+
1	29144743	29150743	SRSF4	-
1	29189873	29195873	MECR	-
1	29323813	29329813	PTPRU	+
1	30708277	30714277	MATN1	-
1	30729469	30735469	LAPTM5	-
1	30866467	30872467	SDC3	-
1	30928506	30934506	PUM1	-
1	31176745	31182745	NKAIN1	-
1	31256568	31262568	SNRNP40	-
1	31361953	31367953	ZCCHC17	+
1	31362625	31368625	FABP3	-
1	31431680	31437680	SERINC2	+
1	31584686	31590686	TINAGL1	+
1	31626862	31632862	PEF1	-
1	31629518	31635518	HCRTR1	+
1	31649247	31655247	COL16A1	-
1	31724117	31730117	ADGRB2	-
1	31787422	31793422	SPOCD1	-
1	31903421	31909421	PTP4A2	-
1	32057850	32063850	KHDRBS1	+
1	32099866	32105866	TMEM39B	+
1	32173568	32179568	KPNA6	+
1	32195285	32201285	TXLNA	+
1	32202387	32208387	CCDC28B	+
1	32205687	32211687	IQCC	+
1	32211472	32217472	TMEM234	-
1	32213196	32219196	DCDC2B	+
1	32228604	32234604	EIF3I	+
1	32245856	32251856	FAM167B	+
1	32283165	32289165	LCK	+
1	32330635	32336635	HDAC1	+
1	32330832	32336832	MARCKSL1	-
1	32358270	32364270	FAM229A	-
1	32361278	32367278	TSSK3	+
1	32362103	32368103	BSDC1	-
1	32493686	32499686	ZBTB8B	+
1	32597172	32603172	ZBTB8OS	-
1	32602939	32608939	ZBTB8A	+
1	32677360	32683360	SYNC	-
1	32683211	32689211	RBBP4	+
1	32771970	32777970	KIAA1522	+
1	32772237	32778237	YARS	-
1	32855879	32861879	S100PBP	+
1	32859268	32865268	FNDC5	-
1	32891594	32897594	TMEM54	-
1	32895441	32901441	HPCA	+
1	32933445	32939445	RNF19B	-
1	33004940	33010940	AK2	-
1	33117530	33123530	AZIN2	+
1	33142402	33148402	TRIM62	-
1	33297719	33303719	ZNF362	+
1	33303766	33309766	A3GALT2	-
1	33320623	33326623	PHC2	-
1	33478199	33484199	ZSCAN20	+
1	33493507	33499507	ZSCAN20	+
1	33510999	33516999	CSMD2	-
1	33721360	33727360	CSMD2	-
1	34216131	34222131	C1orf94	+
1	34755512	34761512	GJB4	+
1	34760724	34766724	GJB3	+
1	34778189	34784189	SMIM12	-
1	34783369	34789369	GJA4	+
1	34856816	34862816	GJB5	+
1	34862436	34868436	DLGAP3	-
1	34978535	34984535	TMEM35B	-
1	34983165	34989165	ZMYM6	-
1	35112859	35118859	ZMYM1	+
1	35173378	35179378	SFPQ	-
1	35419058	35425058	ZMYM4	+
1	35430490	35436490	KIAA0319L	-
1	35564274	35570274	NCDN	+
1	35592328	35598328	TFAP2E	+
1	35596544	35602544	PSMB2	-
1	35710875	35716875	C1orf216	-
1	35717218	35723218	CLSPN	-
1	35854890	35860890	AGO4	+
1	35927528	35933528	AGO1	+
1	36069500	36075500	AGO3	+
1	36085275	36091275	TEKT2	+
1	36090932	36096932	ADPRHL2	+
1	36092236	36098236	COL8A2	-
1	36133570	36139570	TRAPPC3	-
1	36177849	36183849	MAP7D1	+
1	36302357	36308357	THRAP3	+
1	36319031	36325031	EVA1B	-
1	36321154	36327154	SH3D21	+
1	36336624	36342624	STK40	-
1	36388238	36394238	LSM10	-
1	36412827	36418827	OSCP1	-
1	36452718	36458718	MRPS15	-
1	36463043	36469043	CSF3R	-
1	37481379	37487379	ZC3H12A	+
1	37489575	37495575	MEAF6	-
1	37531449	37537449	SNIP1	-
1	37563816	37569816	GNL2	-
1	37563857	37569857	DNALI1	+
1	37608350	37614350	RSPO1	-
1	37608748	37614748	RSPO1	-
1	37678570	37684570	C1orf109	-
1	37706719	37712719	CDCA8	+
1	37710880	37716880	EPHA10	-
1	37798137	37804137	MANEAL	+
1	37799944	37805944	YRDC	-
1	37806454	37812454	C1orf122	+
1	37806567	37812567	MTF1	-
1	37857697	37863697	INPP5B	-
1	37953975	37959975	SF3A3	-
1	37993770	37999770	FHL3	-
1	38021824	38027824	UTP11	+
1	38041611	38047611	POU3F1	-
1	38835198	38841198	RRAGC	-
1	38859964	38865964	MYCBP	-
1	38871451	38877451	GJA9	-
1	38882807	38888807	RHBDL2	-
1	39003059	39009059	AKIRIN1	+
1	39031636	39037636	NDUFS5	+
1	39484177	39490177	MACF1	+
1	39522935	39528935	BMP8A	+
1	39557816	39563816	PABPC4	-
1	39621153	39627153	HEYL	-
1	39656121	39662121	NT5C1A	-
1	39675648	39681648	HPCAL4	-
1	39754182	39760182	BMP8B	-
1	39760914	39766914	PPIE	+
1	39766523	39772523	OXCT2	-
1	39838022	39844022	TRIT1	-
1	39892426	39898426	MYCL	-
1	39966968	39972968	MFSD2A	+
1	40069649	40075649	CAP1	+
1	40069705	40075705	PPT1	-
1	40237921	40243921	RLF	+
1	40291184	40297184	ZMPSTE24	+
1	40297487	40303487	COL9A2	-
1	40420326	40426326	SMAP2	+
1	40460718	40466718	ZFP69B	+
1	40493343	40499343	ZFP69	+
1	40513556	40519556	EXO5	+
1	40545169	40551169	ZNF684	+
1	40617679	40623679	RIMS3	-
1	40768603	40774603	NFYC	+
1	40837452	40843452	KCNQ4	+
1	40858051	40864051	CITED4	-
1	41009565	41015565	CTPS1	+
1	41012597	41018597	SLFNL1	-
1	41024200	41030200	SCMH1	-
1	41380590	41386590	FOXO6	+
1	41475775	41481775	EDN2	-
1	41503365	41509365	HIVEP3	-
1	42152824	42158824	GUCA2B	+
1	42173539	42179539	FOXJ3	-
1	42419578	42425578	RIMKLA	+
1	42427329	42433329	ZMYND12	-
1	42470385	42476385	PPCS	+
1	42651664	42657664	CCDC30	+
1	42673758	42679758	PPIH	+
1	42699349	42705349	YBX1	+
1	42730093	42736093	CLDN19	-
1	42743335	42749335	P3H1	-
1	42772747	42778747	C1orf50	+
1	42804052	42810052	SVBP	-
1	42841989	42847989	ERMAP	+
1	42849477	42855477	ZNF691	+
1	42922375	42928375	SLC2A1	-
1	43153396	43159396	FAM183A	+
1	43161175	43167175	EBNA1BP2	-
1	43267936	43273936	CFAP57	+
1	43271002	43277002	TMEM125	+
1	43320108	43326108	TIE1	+
1	43349772	43355772	MPL	+
1	43360203	43366203	CDC20	+
1	43360397	43366397	ELOVL1	-
1	43380917	43386917	MED8	-
1	43448003	43454003	HYI	-
1	43449650	43455650	SZT2	+
1	43620666	43626666	PTPRF	+
1	43702515	43708515	KDM4A	+
1	43807884	43813884	ST3GAL3	+
1	43928165	43934165	ST3GAL3	+
1	43934241	43940241	ARTN	+
1	43965022	43971022	IPO13	+
1	43970369	43976369	DPH2	+
1	43975295	43981295	ATP6V0B	+
1	43988170	43994170	B4GALT2	+
1	43988500	43994500	SLC6A9	-
1	43993528	43999528	CCDC24	+
1	44132140	44138140	KLF17	+
1	44217681	44223681	DMAP1	+
1	44218070	44224070	ERI3	-
1	44632238	44638238	TMEM53	-
1	44648724	44654724	RNF220	+
1	44764767	44770767	KIF2C	+
1	44775779	44781779	RPS8	+
1	44780585	44786585	BEST4	-
1	44802913	44808913	TCTEX1D4	-
1	44802990	44808990	PLK3	+
1	44812585	44818585	BTBD19	+
1	44816844	44822844	PTCH2	-
1	44847522	44853522	EIF2B3	-
1	44999540	45005540	HECTD3	-
1	45012575	45018575	UROD	+
1	45013399	45019399	ZSWIM5	-
1	45325533	45331533	HPDL	+
1	45326163	45332163	MUTYH	-
1	45340883	45346883	TESK2	-
1	45340975	45346975	TOE1	+
1	45508036	45514036	PRDX1	-
1	45510382	45516382	MMACHC	+
1	45567049	45573049	AKR1A1	+
1	45615904	45621904	NASP	+
1	45617044	45623044	CCDC17	-
1	45624304	45630304	GPBP1L1	-
1	45691324	45697324	IPP	-
1	45691443	45697443	TMEM69	+
1	46033124	46039124	MAST2	+
1	46037140	46043140	PIK3R3	-
1	46182958	46188958	TSPAN1	+
1	46185682	46191682	POMGNT1	-
1	46218261	46224261	LURAP1	+
1	46258196	46264196	LRRC41	-
1	46275473	46281473	RAD54L	+
1	46313776	46319776	UQCRH	+
1	46362152	46368152	NSUN4	+
1	46410848	46416848	FAAH	+
1	46511226	46517226	DMBX1	+
1	46542644	46548644	KNCN	-
1	46554408	46560408	MKNK1	-
1	46604715	46610715	MOB3C	-
1	46629737	46635737	ATPAF1	-
1	46670867	46676867	TEX38	+
1	46672159	46678159	EFCAB14	-
1	47047751	47053751	CYP4X1	+
1	47115319	47121319	CYP4Z1	+
1	47180593	47186593	PDZK1IP1	-
1	47247139	47253139	STIL	-
1	47375839	47381839	CMPK1	+
1	47415052	47421052	FOXE3	+
1	47437691	47443691	FOXD2	+
1	47757528	47763528	TRABD2B	-
1	48245644	48251644	SLC5A9	+
1	48292372	48298372	SPATA6	-
1	48529855	48535855	AGBL4	-
1	48724523	48730523	BEND5	-
1	50414550	50420550	DMRTA2	-
1	50434028	50440028	FAF1	-
1	50971633	50977633	CDKN2C	+
1	51145086	51151086	C1orf185	+
1	51270455	51276455	RNF11	+
1	51284258	51290258	TTC39A	-
1	51351263	51357263	EPS15	-
1	51786191	51792191	NRDC	-
1	51795427	51801427	OSBPL9	+
1	51904956	51910956	RAB3B	-
1	52017131	52023131	TXNDC12	-
1	52029103	52035103	KTI12	-
1	52087716	52093716	BTF3L4	+
1	52342723	52348723	CC2D1B	-
1	52343686	52349686	ZFYVE9	+
1	52369829	52375829	ORC1	-
1	52405282	52411282	ZCCHC11	-
1	52417839	52423839	PRPF38A	+
1	52606051	52612051	GPX7	+
1	52681451	52687451	COA7	-
1	52824342	52830342	ZYG11B	+
1	52891998	52897998	ZYG11A	+
1	52892910	52898910	ECHDC2	-
1	53048703	53054703	SCP2	+
1	53082502	53088502	PODN	+
1	53084179	53090179	SLC1A7	-
1	53211099	53217099	C1orf123	-
1	53211197	53217197	CPT2	+
1	53223892	53229892	MAGOH	-
1	53239364	53245364	LRP8	-
1	53503237	53509237	GLIS1	-
1	53762460	53768460	NDC1	-
1	53848719	53854719	YIPF1	-
1	53908086	53914086	DIO1	+
1	53913574	53919574	HSPB11	-
1	53965168	53971168	LRRC42	+
1	54004299	54010299	LDLRAD1	-
1	54023681	54029681	TMEM59	-
1	54109519	54115519	TCEANC2	+
1	54129968	54135968	CDCP2	-
1	54166651	54172651	CYB5RL	-
1	54222432	54228432	SSBP3	-
1	54222464	54228464	MRPL37	+
1	54606182	54612182	FAM151A	-
1	54620556	54626556	ACOT11	+
1	54707266	54713266	MROH7	+
1	54739308	54745308	MROH7-TTC4	+
1	54739657	54745657	TTC4	+
1	54753898	54759898	PARS2	-
1	54776712	54782712	TTC22	-
1	54839252	54845252	LEXM	+
1	54846633	54852633	DHCR24	-
1	54989293	54995293	TMEM61	+
1	55007883	55013883	BSND	+
1	55061852	55067852	PCSK9	+
1	55063359	55069359	USP24	-
1	56491747	56497747	PLPP3	-
1	56547712	56553712	PLPP3	-
1	56712335	56718335	PRKAA2	+
1	56915221	56921221	C8A	+
1	56926210	56932210	C8B	-
1	56991778	56997778	DAB1	-
1	57273697	57279697	DAB1	-
1	58412384	58418384	OMA1	-
1	58572423	58578423	TACSTD2	-
1	58651739	58657739	MYSM1	-
1	58777788	58783788	JUN	-
1	59807647	59813647	FGGY	+
1	59873378	59879378	HOOK1	+
1	59890308	59896308	CYP2J2	-
1	59984269	59990269	C1orf87	-
1	61459793	61465793	NFIA	+
1	61678046	61684046	TM2D1	-
1	62175675	62181675	PATJ	+
1	62233979	62239979	KANK4	-
1	62301731	62307731	KANK4	-
1	62448804	62454804	USP1	+
1	62451298	62457298	DOCK7	-
1	62685368	62691368	ANGPTL3	+
1	62862513	62868513	ATG4C	+
1	63322126	63328126	FOXD3	+
1	63435562	63441562	ALG6	+
1	63437770	63443770	ITGB3BP	-
1	63590721	63596721	EFCAB7	+
1	63657245	63663245	PGM1	+
1	63965478	63971478	ROR1	+
1	64076849	64082849	ROR1	+
1	64078783	64084783	ROR1	+
1	64080608	64086608	ROR1	+
1	64178498	64184498	ROR1	+
1	64690058	64696058	CACHD1	+
1	64830229	64836229	JAK1	-
1	64830232	64836232	RAVER2	+
1	65229145	65235145	AK4	+
1	65412869	65418869	DNAJC6	+
1	65433007	65439007	LEPROT	+
1	65638559	65644559	LEPR	+
1	66371579	66377579	PDE4B	+
1	66745299	66751299	SGIP1	+
1	66809885	66815885	WDR78	-
1	66985619	66991619	MIER1	+
1	66996332	67002332	SLC35D1	-
1	67089165	67095165	C1orf141	-
1	67256979	67262979	IL23R	+
1	67393900	67399900	IL12RB2	+
1	67404810	67410810	SERBP1	-
1	67685338	67691338	GADD45A	+
1	67698466	67704466	GNG12	-
1	68042962	68048962	DIRAS3	-
1	68095473	68101473	WLS	-
1	68425822	68431822	RPE65	-
1	68471152	68477152	DEPDC1	-
1	70141805	70147805	LRRC40	-
1	70148945	70154945	LRRC7	+
1	70250052	70256052	SRSF11	+
1	70257588	70263588	ANKRD13C	-
1	70382339	70388339	HHLA3	+
1	70436851	70442851	CTH	+
1	70849353	70855353	PTGER3	-
1	71060291	71066291	ZRANB2	-
1	71392940	71398940	NEGR1	-
1	74023015	74029015	LRRIQ3	-
1	74231086	74237086	FPGT	+
