Chr	Start	End	Strand	Gene_ID	Gene_Name	Transcript_ID	Transcript_Length
chr1	1418769	1424769	-	ENSG00000235098	ANKRD65	ENST00000427211	3349
chr1	1422871	1428871	+	ENSG00000205116	TMEM88B	ENST00000378821	4384
chr1	1432690	1438690	+	ENSG00000179403	VWA1	ENST00000476993	7192
chr1	1446689	1452689	+	ENSG00000215915	ATAD3C	ENST00000378785	20474
chr1	1468765	1474765	+	ENSG00000160072	ATAD3B	ENST00000673477	26083
chr1	1509162	1515162	+	ENSG00000197785	ATAD3A	ENST00000378756	22523
chr1	1537624	1543624	-	ENSG00000205090	TMEM240	ENST00000378733	5846
chr1	1571863	1577863	-	ENSG00000160075	SSU72	ENST00000291386	33190
chr1	1597135	1603135	-	ENSG00000228594	FNDC10	ENST00000422725	2123
chr1	1612454	1618454	+	ENSG00000197530	MIB2	ENST00000479659	15150
chr1	1629173	1635173	+	ENSG00000189409	MMP23B	ENST00000356026	2481
chr1	1656004	1662004	-	ENSG00000248333	CDK11B	ENST00000341832	23779
chr1	1689724	1695724	-	ENSG00000189339	SLC35E2B	ENST00000614300	33195
chr1	1721357	1727357	-	ENSG00000008128	CDK11A	ENST00000404249	21978
chr1	1777069	1783069	-	ENSG00000008130	NADK	ENST00000378625	28837
chr1	1888117	1894117	-	ENSG00000078369	GNB1	ENST00000610897	105832
chr1	1912108	1918108	+	ENSG00000169885	CALML6	ENST00000378604	2186
chr1	1916279	1922279	-	ENSG00000178821	TMEM52	ENST00000310991	1688
chr1	2000837	2006837	-	ENSG00000142609	CFAP74	ENST00000493964	81886
chr1	2016345	2022345	+	ENSG00000187730	GABRD	ENST00000378585	11413
chr1	2047411	2053411	+	ENSG00000067606	PRKCZ	ENST00000378567	134984
chr1	2204733	2210733	-	ENSG00000162585	FAAP20	ENST00000469733	23269
chr1	2225319	2231319	+	ENSG00000157933	SKI	ENST00000378536	81894
chr1	2388554	2394554	-	ENSG00000116151	MORN1	ENST00000378531	70301
chr1	2388775	2394775	+	ENSG00000157916	RER1	ENST00000378513	13667
chr1	2409564	2415564	-	ENSG00000157911	PEX10	ENST00000288774	8600
chr1	2422980	2428980	+	ENSG00000149527	PLCH2	ENST00000609981	53824
chr1	2523596	2529596	-	ENSG00000157881	PANK4	ENST00000378466	18059
chr1	2527263	2533263	-	ENSG00000197921	HES5	ENST00000378453	1518
chr1	2553371	2559371	+	ENSG00000157873	TNFRSF14	ENST00000355716	7458
chr1	2583750	2589750	+	ENSG00000157870	PRXL2B	ENST00000444521	4717
chr1	2630016	2636016	-	ENSG00000142606	MMEL1	ENST00000378412	42377
chr1	2798717	2804717	-	ENSG00000215912	TTC34	ENST00000401095	165741
chr1	3018467	3024467	+	ENSG00000169717	ACTRT2	ENST00000378404	1436
chr1	3066203	3072203	+	ENSG00000142611	PRDM16	ENST00000270722	369418
chr1	3451665	3457665	+	ENSG00000130762	ARHGEF16	ENST00000378378	26448
chr1	3608508	3614508	-	ENSG00000162591	MEGF6	ENST00000356575	123557
chr1	3622015	3628015	+	ENSG00000158109	TPRG1L	ENST00000378344	5112
chr1	3647103	3653103	-	ENSG00000116213	WRAP73	ENST00000270708	19333
chr1	3649516	3655516	+	ENSG00000078900	TP73	ENST00000378295	83685
chr1	3749445	3755445	+	ENSG00000162592	CCDC27	ENST00000462521	19200
chr1	3769749	3775749	+	ENSG00000235169	SMIM1	ENST00000642557	3207
chr1	3793498	3799498	-	ENSG00000130764	LRRC47	ENST00000378251	17939
chr1	3854267	3860267	+	ENSG00000169598	DFFB	ENST00000338895	28153
chr1	3854396	3860396	-	ENSG00000116198	CEP104	ENST00000674558	45310
chr1	3897293	3903293	-	ENSG00000198912	C1orf174	ENST00000474140	11168
chr1	4651609	4657609	+	ENSG00000196581	AJAP1	ENST00000378191	137925
chr1	5989262	5995262	+	ENSG00000069424	KCNAB2	ENST00000378097	108931
chr1	5989473	5995473	-	ENSG00000131697	NPHP4	ENST00000489180	129660
chr1	6177321	6183321	-	ENSG00000116254	CHD5	ENST00000262450	78534
chr1	6203119	6209119	+	ENSG00000158286	RNF207	ENST00000377939	15180
chr1	6206244	6212244	-	ENSG00000116251	RPL22	ENST00000471204	22552
chr1	6232964	6238964	-	ENSG00000116237	ICMT	ENST00000343813	14771
chr1	6241179	6247179	+	ENSG00000173673	HES3	ENST00000377898	1399
chr1	6258098	6264098	-	ENSG00000158292	GPR153	ENST00000377893	13745
chr1	6390767	6396767	-	ENSG00000097021	ACOT7	ENST00000361521	129495
chr1	6421670	6427670	-	ENSG00000069812	HES2	ENST00000377837	12252
chr1	6421776	6427776	+	ENSG00000187017	ESPN	ENST00000645284	36168
chr1	6463173	6469173	-	ENSG00000215788	TNFRSF25	ENST00000356876	5387
chr1	6517009	6523009	-	ENSG00000171680	PLEKHG5	ENST00000377740	52887
chr1	6551513	6557513	-	ENSG00000162408	NOL9	ENST00000377705	33166
chr1	6552307	6558307	+	ENSG00000173662	TAS1R1	ENST00000333172	24448
chr1	6576994	6582994	+	ENSG00000204859	ZBTB48	ENST00000377674	9286
chr1	6610731	6616731	+	ENSG00000116273	PHF13	ENST00000377648	10299
chr1	6611560	6617560	-	ENSG00000162413	KLHL21	ENST00000467612	21367
chr1	6622192	6628192	+	ENSG00000041988	THAP3	ENST00000377627	10394
chr1	6698816	6704816	-	ENSG00000007923	DNAJC11	ENST00000377577	67646
chr1	6782454	6788454	+	ENSG00000171735	CAMTA1	ENST00000303635	984252
chr1	7768296	7774296	+	ENSG00000049245	VAMP3	ENST00000054666	10136
chr1	7781291	7787291	+	ENSG00000049246	PER3	ENST00000377532	60886
chr1	7850512	7856512	-	ENSG00000049247	UTS2	ENST00000377516	10429
chr1	7940165	7946165	-	ENSG00000049249	TNFRSF9	ENST00000615230	27271
chr1	7951291	7957291	+	ENSG00000116288	PARK7	ENST00000493373	30761
chr1	8023283	8029283	-	ENSG00000116285	ERRFI1	ENST00000474874	21879
chr1	8315114	8321114	+	ENSG00000162426	SLC45A1	ENST00000471889	26051
chr1	8845921	8851921	-	ENSG00000142599	RERE	ENST00000656437	487763
chr1	8875689	8881689	-	ENSG00000074800	ENO1	ENST00000647408	17687
chr1	8942868	8948868	+	ENSG00000131686	CA6	ENST00000377443	29224
chr1	9023423	9029423	-	ENSG00000197241	SLC2A7	ENST00000400906	23450
chr1	9085478	9091478	-	ENSG00000142583	SLC2A5	ENST00000486632	46693
chr1	9126102	9132102	-	ENSG00000180758	GPR157	ENST00000377411	28797
chr1	9231774	9237774	+	ENSG00000049239	H6PD	ENST00000377403	36563
chr1	9289894	9295894	+	ENSG00000171621	SPSB1	ENST00000328089	76638
chr1	9536465	9542465	+	ENSG00000171612	SLC25A33	ENST00000302692	45708
chr1	9585911	9591911	+	ENSG00000188807	TMEM201	ENST00000340381	25966
chr1	9648731	9654731	+	ENSG00000171608	PIK3CD	ENST00000377346	77383
chr1	9820965	9826965	-	ENSG00000171603	CLSTN1	ENST00000377298	95039
chr1	9907269	9913269	-	ENSG00000178585	CTNNBIP1	ENST00000377263	61993
chr1	9940391	9946391	-	ENSG00000162441	LZIC	ENST00000377223	17098
chr1	9940475	9946475	+	ENSG00000173614	NMNAT1	ENST00000377205	42023
chr1	9994206	10000206	+	ENSG00000162444	RBP7	ENST00000315901	18814
chr1	10029832	10035832	+	ENSG00000130939	UBE4B	ENST00000672724	148407
chr1	10207570	10213570	+	ENSG00000054523	KIF1B	ENST00000676179	171033
chr1	10396064	10402064	+	ENSG00000142657	PGD	ENST00000270776	21447
chr1	10427102	10433102	+	ENSG00000251503	CENPS-CORT	ENST00000400900	22051
chr1	10427433	10433433	+	ENSG00000175279	CENPS	ENST00000309048	12375
chr1	10447031	10453031	+	ENSG00000241563	CORT	ENST00000377049	1967
chr1	10469529	10475529	-	ENSG00000160049	DFFA	ENST00000377038	16007
chr1	10471950	10477950	+	ENSG00000142655	PEX14	ENST00000356607	155808
chr1	10793646	10799646	-	ENSG00000130940	CASZ1	ENST00000377022	160042
chr1	10979037	10985037	-	ENSG00000175262	C1orf127	ENST00000377004	35564
chr1	11009662	11015662	+	ENSG00000120948	TARDBP	ENST00000614757	17866
chr1	11044239	11050239	-	ENSG00000009724	MASP2	ENST00000400897	20716
chr1	11057018	11063018	-	ENSG00000116649	SRM	ENST00000376957	5429
chr1	11096869	11102869	-	ENSG00000171824	EXOSC10	ENST00000304457	33251
chr1	11186355	11192355	+	ENSG00000171819	ANGPTL7	ENST00000376819	6626
chr1	11259551	11265551	-	ENSG00000198793	MTOR	ENST00000361445	156016
chr1	11270934	11276934	+	ENSG00000120942	UBIAD1	ENST00000483738	22115
chr1	11476155	11482155	+	ENSG00000204624	DISP3	ENST00000294484	58396
chr1	11647770	11653770	-	ENSG00000116661	FBXO2	ENST00000642025	13752
chr1	11651857	11657857	+	ENSG00000132879	FBXO44	ENST00000376770	8470
chr1	11661200	11667200	+	ENSG00000116663	FBXO6	ENST00000376753	10154
chr1	11688650	11694650	-	ENSG00000116670	MAD2L2	ENST00000235310	17170
chr1	11688710	11694710	+	ENSG00000162490	DRAXIN	ENST00000294485	34147
chr1	11733136	11739136	+	ENSG00000177674	AGTRAP	ENST00000314340	14633
chr1	11758787	11764787	+	ENSG00000215910	C1orf167	ENST00000433342	27797
chr1	11802964	11808964	-	ENSG00000177000	MTHFR	ENST00000376590	20241
chr1	11803231	11809231	+	ENSG00000011021	CLCN6	ENST00000400892	41848
chr1	11845345	11851345	-	ENSG00000175206	NPPA	ENST00000376476	2466
chr1	11855945	11861945	-	ENSG00000120937	NPPB	ENST00000376468	1481
chr1	11923427	11929427	-	ENSG00000116685	KIAA2013	ENST00000376572	6836
chr1	11931717	11937717	+	ENSG00000083444	PLOD1	ENST00000196061	40820
chr1	11977209	11983209	+	ENSG00000116688	MFN2	ENST00000675298	35002
chr1	12016498	12022498	+	ENSG00000116691	MIIP	ENST00000235332	12547
chr1	12060303	12066303	+	ENSG00000120949	TNFRSF8	ENST00000263932	80904
chr1	12163991	12169991	+	ENSG00000028137	TNFRSF1B	ENST00000376259	42229
chr1	12227030	12233030	+	ENSG00000048707	VPS13D	ENST00000620676	282017
chr1	12615210	12621210	-	ENSG00000162496	DHRS3	ENST00000616661	50300
chr1	12641085	12647085	+	ENSG00000204518	AADACL4	ENST00000376221	22991
chr1	12713110	12719110	+	ENSG00000188984	AADACL3	ENST00000359318	12650
chr1	12743200	12749200	+	ENSG00000157330	C1orf158	ENST00000614859	17499
chr1	12770738	12776738	+	ENSG00000116726	PRAMEF12	ENST00000357726	4168
chr1	12788397	12794397	+	ENSG00000116721	PRAMEF1	ENST00000332296	5231
chr1	12828410	12834410	-	ENSG00000239810	PRAMEF11	ENST00000619922	6805
chr1	12845720	12851720	-	ENSG00000179172	HNRNPCL1	ENST00000317869	1343
chr1	12854086	12860086	+	ENSG00000120952	PRAMEF2	ENST00000240189	4823
chr1	12883201	12889201	-	ENSG00000243073	PRAMEF4	ENST00000235349	6989
chr1	12895270	12901270	-	ENSG00000187545	PRAMEF10	ENST00000235347	5374
chr1	12913610	12919610	+	ENSG00000204510	PRAMEF7	ENST00000616979	3872
chr1	12944580	12950580	-	ENSG00000232423	PRAMEF6	ENST00000376189	9108
chr1	13053575	13059575	-	ENSG00000274764	PRAMEF27	ENST00000436041	7099
chr1	13057769	13063769	+	ENSG00000277058	HNRNPCL3	ENST00000617807	2109
chr1	13065677	13071677	+	ENSG00000229571	PRAMEF25	ENST00000614839	9207
chr1	13113854	13119854	-	ENSG00000275774	HNRNPCL2	ENST00000621994	1366
chr1	13153009	13159009	-	ENSG00000280267	PRAMEF26	ENST00000624207	7102
chr1	13162631	13168631	-	ENSG00000179412	HNRNPCL4	ENST00000323770	1717
chr1	13168848	13174848	+	ENSG00000204505	PRAMEF9	ENST00000415919	7611
chr1	13198409	13204409	-	ENSG00000279169	PRAMEF13	ENST00000625019	5221
chr1	13223106	13229106	-	ENSG00000279804	PRAMEF18	ENST00000624297	3401
chr1	13251212	13257212	+	ENSG00000270601	PRAMEF5	ENST00000622421	9102
chr1	13282154	13288154	-	ENSG00000182330	PRAMEF8	ENST00000357367	4119
chr1	13300539	13306539	+	ENSG00000237700	PRAMEF33	ENST00000437300	5368
chr1	13312581	13318581	+	ENSG00000204501	PRAMEF15	ENST00000376152	7017
chr1	13344134	13350134	-	ENSG00000204481	PRAMEF14	ENST00000334600	5242
chr1	13368900	13374900	-	ENSG00000204480	PRAMEF19	ENST00000376101	2833
chr1	13386632	13392632	+	ENSG00000204479	PRAMEF17	ENST00000376098	2997
chr1	13413351	13419351	+	ENSG00000204478	PRAMEF20	ENST00000602960	4977
chr1	13511003	13517003	-	ENSG00000162494	LRRC38	ENST00000376085	39030
chr1	13580465	13586465	+	ENSG00000162493	PDPN	ENST00000294489	34492
chr1	13697188	13703188	+	ENSG00000116731	PRDM2	ENST00000311066	124891
chr1	13889792	13895792	+	ENSG00000189337	KAZN	ENST00000636203	1225251
chr1	15149532	15155532	+	ENSG00000171729	TMEM51	ENST00000428417	67945
chr1	15233521	15239521	+	ENSG00000142621	FHAD1	ENST00000683790	161807
chr1	15406888	15412888	+	ENSG00000142634	EFHD2	ENST00000375980	20451
chr1	15435442	15441442	+	ENSG00000162438	CTRC	ENST00000375943	10800
chr1	15453732	15459732	+	ENSG00000142615	CELA2A	ENST00000359621	15359
chr1	15462909	15468909	+	ENSG00000215704	CELA2B	ENST00000494280	17459
chr1	15521445	15527445	-	ENSG00000132906	CASP9	ENST00000546424	33613
chr1	15523813	15529813	+	ENSG00000116138	DNAJC16	ENST00000375849	49279
chr1	15582051	15588051	-	ENSG00000116771	AGMAT	ENST00000375826	13352
chr1	15614458	15620458	+	ENSG00000197312	DDI2	ENST00000480945	51586
chr1	15656713	15662713	+	ENSG00000215695	RSC1A1	ENST00000345034	2320
chr1	15681320	15687320	+	ENSG00000116786	PLEKHM2	ENST00000375799	50449
chr1	15733258	15739258	+	ENSG00000162461	SLC25A34	ENST00000294454	5134
chr1	15739499	15745499	+	ENSG00000162460	TMEM82	ENST00000375782	5483
chr1	15753659	15759659	+	ENSG00000162458	FBLIM1	ENST00000375771	29935
chr1	15806348	15812348	-	ENSG00000233954	UQCRHL	ENST00000483273	2179
chr1	15844707	15850707	+	ENSG00000065526	SPEN	ENST00000375759	92749
chr1	15973132	15979132	-	ENSG00000116809	ZBTB17	ENST00000375733	34261
chr1	16001236	16007236	+	ENSG00000183888	SRARP	ENST00000329454	4571
chr1	16015875	16021875	+	ENSG00000186510	CLCNKA	ENST00000464764	15175
chr1	16016594	16022594	-	ENSG00000173641	HSPB7	ENST00000375718	5566
chr1	16037252	16043252	+	ENSG00000184908	CLCNKB	ENST00000684324	17027
chr1	16070651	16076651	-	ENSG00000185519	FAM131C	ENST00000375662	15882
chr1	16153069	16159069	-	ENSG00000142627	EPHA2	ENST00000358432	31732
chr1	16209652	16215652	-	ENSG00000142632	ARHGEF19	ENST00000270747	14798
chr1	16234183	16240183	-	ENSG00000132881	CPLANE2	ENST00000375599	5491
chr1	16349480	16355480	-	ENSG00000037637	FBXO42	ENST00000375592	105640
chr1	16349575	16355575	+	ENSG00000055070	SZRD1	ENST00000475078	40780
chr1	16434393	16440393	-	ENSG00000187144	SPATA21	ENST00000466212	41712
chr1	16437724	16443724	+	ENSG00000157191	NECAP2	ENST00000337132	19354
chr1	16610487	16616487	-	ENSG00000219481	NBPF1	ENST00000430580	51168
chr1	16737273	16743273	+	ENSG00000058453	CROCC	ENST00000466256	201161
chr1	16977621	16983621	-	ENSG00000117122	MFAP2	ENST00000490075	6119
chr1	17008928	17014928	-	ENSG00000159363	ATP13A2	ENST00000326735	25970
chr1	17051032	17057032	-	ENSG00000117118	SDHB	ENST00000375499	35310
chr1	17116451	17122451	-	ENSG00000117115	PADI2	ENST00000375486	52690
chr1	17202128	17208128	+	ENSG00000142623	PADI1	ENST00000375471	40879
chr1	17246098	17252098	+	ENSG00000142619	PADI3	ENST00000375460	35135
chr1	17305197	17311197	+	ENSG00000159339	PADI4	ENST00000375448	55807
chr1	17369196	17375196	+	ENSG00000276747	PADI6	ENST00000619609	29503
chr1	17436677	17442677	-	ENSG00000179051	RCC2	ENST00000375436	32917
chr1	17536698	17542698	+	ENSG00000074964	ARHGEF10L	ENST00000361221	158171
chr1	17752333	17758333	+	ENSG00000117148	ACTL8	ENST00000375406	71730
chr1	18104798	18110798	+	ENSG00000117154	IGSF21	ENST00000251296	270685
chr1	18477930	18483930	+	ENSG00000179023	KLHDC7A	ENST00000400664	5044
chr1	18627846	18633846	+	ENSG00000009709	PAX7	ENST00000420770	118020
chr1	18856682	18862682	-	ENSG00000179002	TAS1R2	ENST00000375371	20083
chr1	18899555	18905555	-	ENSG00000159423	ALDH4A1	ENST00000375341	31125
chr1	18953676	18959676	-	ENSG00000169991	IFFO2	ENST00000455833	52396
chr1	19207266	19213266	-	ENSG00000127481	UBR4	ENST00000375254	135756
chr1	19248524	19254524	-	ENSG00000127463	EMC1	ENST00000477853	35864
chr1	19248805	19254805	+	ENSG00000053372	MRTO4	ENST00000330263	8323
chr1	19285770	19291770	-	ENSG00000162482	AKR7A3	ENST00000361640	6197
chr1	19309144	19315144	-	ENSG00000053371	AKR7A2	ENST00000235835	8179
chr1	19309326	19315326	+	ENSG00000040487	SLC66A1	ENST00000375153	16974
chr1	19481403	19487403	+	ENSG00000173436	MICOS10	ENST00000648702	142227
chr1	19482539	19488539	-	ENSG00000077549	CAPZB	ENST00000264202	146764
chr1	19593979	19599979	+	ENSG00000158747	NBL1	ENST00000602662	61077
chr1	19594067	19600067	+	ENSG00000270136	MICOS10-NBL1	ENST00000602293	59859
chr1	19661875	19667875	+	ENSG00000158748	HTR6	ENST00000289753	16091
chr1	19796916	19802916	-	ENSG00000162542	TMCO4	ENST00000294543	117676
chr1	19812283	19818283	-	ENSG00000178828	RNF186	ENST00000375121	1254
chr1	19879395	19885395	+	ENSG00000169914	OTUD3	ENST00000375120	30550
chr1	19920617	19926617	-	ENSG00000188784	PLA2G2E	ENST00000375116	3608
chr1	19977416	19983416	-	ENSG00000188257	PLA2G2A	ENST00000375111	4978
chr1	20025179	20031179	+	ENSG00000127472	PLA2G5	ENST00000486277	63011
chr1	20116536	20122536	-	ENSG00000117215	PLA2G2D	ENST00000375105	7597
chr1	20136323	20142323	+	ENSG00000158786	PLA2G2F	ENST00000375102	11058
chr1	20183096	20189096	+	ENSG00000162543	UBXN10	ENST00000375099	9954
chr1	20183518	20189518	-	ENSG00000187980	PLA2G2C	ENST00000679259	23463
chr1	20287875	20293875	+	ENSG00000158816	VWA5B1	ENST00000289815	68643
chr1	20483210	20489210	-	ENSG00000162545	CAMK2N1	ENST00000375078	3819
chr1	20505151	20511151	-	ENSG00000090432	MUL1	ENST00000264198	8703
chr1	20549573	20555573	+	ENSG00000183114	FAM43B	ENST00000332947	2447
chr1	20586086	20592086	+	ENSG00000158825	CDA	ENST00000461985	29817
chr1	20630458	20636458	+	ENSG00000158828	PINK1	ENST00000321556	18053
chr1	20658544	20664544	-	ENSG00000244038	DDOST	ENST00000415136	9777
chr1	20715017	20721017	-	ENSG00000117245	KIF17	ENST00000247986	54001
chr1	20729837	20735837	-	ENSG00000189410	SH2D5	ENST00000460804	13105
chr1	20784307	20790307	-	ENSG00000127483	HP1BP3	ENST00000438032	47041
chr1	21174285	21180285	-	ENSG00000075151	EIF4G3	ENST00000686579	370802
chr1	21342572	21348572	-	ENSG00000117298	ECE1	ENST00000649812	128291
chr1	21437137	21443137	+	ENSG00000142794	NBPF3	ENST00000318220	44868
chr1	21506423	21512423	+	ENSG00000162551	ALPL	ENST00000374840	68987
chr1	21666357	21672357	-	ENSG00000076864	RAP1GAP	ENST00000374765	73136
chr1	21780195	21786195	-	ENSG00000090686	USP48	ENST00000400301	104897
chr1	21809265	21815265	+	ENSG00000187942	LDLRAD2	ENST00000344642	12960
chr1	21934310	21940310	-	ENSG00000142798	HSPG2	ENST00000374695	115066
chr1	21978102	21984102	+	ENSG00000219073	CELA3B	ENST00000400277	17540
chr1	21998657	22004657	+	ENSG00000142789	CELA3A	ENST00000290122	10885
chr1	22022511	22028511	+	ENSG00000070831	CDC42	ENST00000648594	75849
chr1	22140097	22146097	-	ENSG00000162552	WNT4	ENST00000290167	25784
chr1	22425838	22431838	+	ENSG00000184677	ZBTB40	ENST00000650433	82925
chr1	22560489	22566489	+	ENSG00000070886	EPHA8	ENST00000166244	40106
chr1	22633628	22639628	+	ENSG00000173372	C1QA	ENST00000374642	3050
chr1	22640633	22646633	+	ENSG00000159189	C1QC	ENST00000374639	4477
chr1	22650236	22656236	+	ENSG00000173369	C1QB	ENST00000509305	8401
chr1	22707839	22713839	+	ENSG00000133216	EPHB2	ENST00000374630	210661
chr1	22962338	22968338	-	ENSG00000215906	LACTBL1	ENST00000426928	12295
chr1	23016100	23022100	-	ENSG00000227868	TEX46	ENST00000440767	8266
chr1	23016448	23022448	+	ENSG00000004487	KDM1A	ENST00000356634	64241
chr1	23174808	23180808	-	ENSG00000169641	LUZP1	ENST00000302291	93778
chr1	23214502	23220502	-	ENSG00000179546	HTR1D	ENST00000374619	25607
chr1	23341336	23347336	-	ENSG00000125944	HNRNPR	ENST00000478691	39648
chr1	23366836	23372836	-	ENSG00000125945	ZNF436	ENST00000314011	10388
chr1	23421748	23427748	-	ENSG00000204219	TCEA3	ENST00000450454	43839
chr1	23481179	23487179	-	ENSG00000088280	ASAP3	ENST00000336689	55616
chr1	23528233	23534233	-	ENSG00000007968	E2F2	ENST00000361729	24795
chr1	23556501	23562501	-	ENSG00000117318	ID3	ENST00000374561	1575
chr1	23688806	23694806	+	ENSG00000142676	RPL11	ENST00000643754	5029
chr1	23740448	23746448	+	ENSG00000011007	ELOA	ENST00000418390	18601
chr1	23775418	23781418	+	ENSG00000057757	PITHD1	ENST00000246151	9814
chr1	23788145	23794145	+	ENSG00000011009	LYPLA2	ENST00000374514	4394
chr1	23797781	23803781	-	ENSG00000117308	GALE	ENST00000481736	5182
chr1	23835620	23841620	-	ENSG00000117305	HMGCL	ENST00000374487	36733
chr1	23865290	23871290	-	ENSG00000179163	FUCA1	ENST00000374479	23213
chr1	23910362	23916362	-	ENSG00000188822	CNR2	ENST00000374472	42847
chr1	23953839	23959839	+	ENSG00000189266	PNRC2	ENST00000647887	6607
chr1	23977327	23983327	-	ENSG00000188529	SRSF10	ENST00000492112	15980
chr1	24109135	24115135	-	ENSG00000142661	MYOM3	ENST00000374434	56094
chr1	24140140	24146140	-	ENSG00000142677	IL22RA1	ENST00000270800	23369
chr1	24184289	24190289	-	ENSG00000185436	IFNLR1	ENST00000327535	33121
chr1	24196558	24202558	+	ENSG00000158055	GRHL3	ENST00000690803	155654
chr1	24412802	24418802	+	ENSG00000001461	NIPAL3	ENST00000374399	57174
chr1	24413934	24419934	-	ENSG00000001460	STPG1	ENST00000468303	59929
chr1	24499836	24505836	+	ENSG00000117602	RCAN3	ENST00000374395	38204
chr1	24553087	24559087	+	ENSG00000184454	NCMAP	ENST00000374392	53241
chr1	24640302	24646302	+	ENSG00000133226	SRRM1	ENST00000323848	29979
chr1	24742382	24748382	+	ENSG00000169504	CLIC4	ENST00000488683	98885
chr1	24962010	24968010	-	ENSG00000020633	RUNX3	ENST00000399916	65499
chr1	25229502	25235502	-	ENSG00000117614	SYF2	ENST00000236273	10226
chr1	25269486	25275486	+	ENSG00000187010	RHD	ENST00000622561	57959
chr1	25335165	25341165	-	ENSG00000117616	RSRP1	ENST00000473314	95909
chr1	25335334	25341334	+	ENSG00000183726	TMEM50A	ENST00000374358	24027
chr1	25427192	25433192	-	ENSG00000188672	RHCE	ENST00000349320	67880
chr1	25427858	25433858	+	ENSG00000204178	MACO1	ENST00000399766	69347
chr1	25540606	25546606	+	ENSG00000157978	LDLRAP1	ENST00000374338	25280
chr1	25614468	25620468	+	ENSG00000117643	MAN1C1	ENST00000611903	168738
chr1	25797193	25803193	+	ENSG00000162430	SELENON	ENST00000361547	18028
chr1	25816929	25822929	+	ENSG00000117640	MTFR1L	ENST00000474295	13013
chr1	25856458	25862458	-	ENSG00000127423	AUNIP	ENST00000538789	27545
chr1	25872708	25878708	-	ENSG00000182749	PAQR7	ENST00000675840	14224
chr1	25903466	25909466	-	ENSG00000117632	STMN1	ENST00000426559	21026
chr1	25995063	26001063	-	ENSG00000158006	PAFAH2	ENST00000374282	38296
chr1	26018775	26024775	+	ENSG00000158008	EXTL1	ENST00000374280	14689
chr1	26043118	26049118	-	ENSG00000158014	SLC30A2	ENST00000374276	8866
chr1	26064630	26070630	-	ENSG00000158022	TRIM63	ENST00000374272	16329
chr1	26108165	26114165	+	ENSG00000175087	PDIK1L	ENST00000619836	14365
chr1	26156079	26162079	+	ENSG00000197245	FAM110D	ENST00000374268	4883
chr1	26165963	26171963	-	ENSG00000282872	C1orf232	ENST00000634842	4862
chr1	26166908	26172908	+	ENSG00000142684	ZNF593	ENST00000374266	965
chr1	26168821	26174821	-	ENSG00000236782	ZNF593OS	ENST00000448923	2305
chr1	26174491	26180491	+	ENSG00000142675	CNKSR1	ENST00000361530	12393
chr1	26187602	26193602	+	ENSG00000188782	CATSPER4	ENST00000456354	12362
