Chr	Start	End	Strand	Gene_ID	Gene_Name	Transcript_ID	Transcript_Length
chr1	9923293	9929293	-	ENSG00000162441	LZIC	ENST00000377223	17098
chr1	9982498	9988498	+	ENSG00000173614	NMNAT1	ENST00000377205	42023
chr1	10013020	10019020	+	ENSG00000162444	RBP7	ENST00000315901	18814
chr1	10178239	10184239	+	ENSG00000130939	UBE4B	ENST00000672724	148407
chr1	10378603	10384603	+	ENSG00000054523	KIF1B	ENST00000676179	171033
chr1	10417511	10423511	+	ENSG00000142657	PGD	ENST00000270776	21447
chr1	10439808	10445808	+	ENSG00000175279	CENPS	ENST00000309048	12375
chr1	10448998	10454998	+	ENSG00000241563	CORT	ENST00000377049	1967
chr1	10449153	10455153	+	ENSG00000251503	CENPS-CORT	ENST00000400900	22051
chr1	10453522	10459522	-	ENSG00000160049	DFFA	ENST00000377038	16007
chr1	10627758	10633758	+	ENSG00000142655	PEX14	ENST00000356607	155808
chr1	10633604	10639604	-	ENSG00000130940	CASZ1	ENST00000377022	160042
chr1	10943473	10949473	-	ENSG00000175262	C1orf127	ENST00000377004	35564
chr1	11023523	11029523	-	ENSG00000009724	MASP2	ENST00000400897	20716
chr1	11027528	11033528	+	ENSG00000120948	TARDBP	ENST00000614757	17866
chr1	11051589	11057589	-	ENSG00000116649	SRM	ENST00000376957	5429
chr1	11063618	11069618	-	ENSG00000171824	EXOSC10	ENST00000304457	33251
chr1	11103535	11109535	-	ENSG00000198793	MTOR	ENST00000361445	156016
chr1	11192981	11198981	+	ENSG00000171819	ANGPTL7	ENST00000376819	6626
chr1	11293049	11299049	+	ENSG00000120942	UBIAD1	ENST00000483738	22115
chr1	11534551	11540551	+	ENSG00000204624	DISP3	ENST00000294484	58396
chr1	11634018	11640018	-	ENSG00000116661	FBXO2	ENST00000642025	13752
chr1	11660327	11666327	+	ENSG00000132879	FBXO44	ENST00000376770	8470
chr1	11671354	11677354	+	ENSG00000116663	FBXO6	ENST00000376753	10154
chr1	11671480	11677480	-	ENSG00000116670	MAD2L2	ENST00000235310	17170
chr1	11722857	11728857	+	ENSG00000162490	DRAXIN	ENST00000294485	34147
chr1	11747769	11753769	+	ENSG00000177674	AGTRAP	ENST00000314340	14633
chr1	11782723	11788723	-	ENSG00000177000	MTHFR	ENST00000376590	20241
chr1	11786584	11792584	+	ENSG00000215910	C1orf167	ENST00000433342	27797
chr1	11842879	11848879	-	ENSG00000175206	NPPA	ENST00000376476	2466
chr1	11845079	11851079	+	ENSG00000011021	CLCN6	ENST00000400892	41848
chr1	11854464	11860464	-	ENSG00000120937	NPPB	ENST00000376468	1481
chr1	11916591	11922591	-	ENSG00000116685	KIAA2013	ENST00000376572	6836
chr1	11972537	11978537	+	ENSG00000083444	PLOD1	ENST00000196061	40820
chr1	12012211	12018211	+	ENSG00000116688	MFN2	ENST00000675298	35002
chr1	12029045	12035045	+	ENSG00000116691	MIIP	ENST00000235332	12547
chr1	12141207	12147207	+	ENSG00000120949	TNFRSF8	ENST00000263932	80904
chr1	12206220	12212220	+	ENSG00000028137	TNFRSF1B	ENST00000376259	42229
chr1	12509047	12515047	+	ENSG00000048707	VPS13D	ENST00000620676	282017
chr1	12564910	12570910	-	ENSG00000162496	DHRS3	ENST00000616661	50300
chr1	12664076	12670076	+	ENSG00000204518	AADACL4	ENST00000376221	22991
chr1	12725760	12731760	+	ENSG00000188984	AADACL3	ENST00000359318	12650
chr1	12760699	12766699	+	ENSG00000157330	C1orf158	ENST00000614859	17499
chr1	12774906	12780906	+	ENSG00000116726	PRAMEF12	ENST00000357726	4168
chr1	12793628	12799628	+	ENSG00000116721	PRAMEF1	ENST00000332296	5231
chr1	12821605	12827605	-	ENSG00000239810	PRAMEF11	ENST00000619922	6805
chr1	12844377	12850377	-	ENSG00000179172	HNRNPCL1	ENST00000317869	1343
chr1	12858909	12864909	+	ENSG00000120952	PRAMEF2	ENST00000240189	4823
chr1	12876212	12882212	-	ENSG00000243073	PRAMEF4	ENST00000235349	6989
chr1	12889896	12895896	-	ENSG00000187545	PRAMEF10	ENST00000235347	5374
chr1	12917482	12923482	+	ENSG00000204510	PRAMEF7	ENST00000616979	3872
chr1	12935472	12941472	-	ENSG00000232423	PRAMEF6	ENST00000376189	9108
chr1	13046476	13052476	-	ENSG00000274764	PRAMEF27	ENST00000436041	7099
chr1	13059878	13065878	+	ENSG00000277058	HNRNPCL3	ENST00000617807	2109
chr1	13074884	13080884	+	ENSG00000229571	PRAMEF25	ENST00000614839	9207
chr1	13112488	13118488	-	ENSG00000275774	HNRNPCL2	ENST00000621994	1366
chr1	13145907	13151907	-	ENSG00000280267	PRAMEF26	ENST00000624207	7102
chr1	13160914	13166914	-	ENSG00000179412	HNRNPCL4	ENST00000323770	1717
chr1	13176459	13182459	+	ENSG00000204505	PRAMEF9	ENST00000415919	7611
chr1	13193188	13199188	-	ENSG00000279169	PRAMEF13	ENST00000625019	5221
chr1	13219705	13225705	-	ENSG00000279804	PRAMEF18	ENST00000624297	3401
chr1	13260314	13266314	+	ENSG00000270601	PRAMEF5	ENST00000622421	9102
chr1	13278035	13284035	-	ENSG00000182330	PRAMEF8	ENST00000357367	4119
chr1	13305907	13311907	+	ENSG00000237700	PRAMEF33	ENST00000437300	5368
chr1	13319598	13325598	+	ENSG00000204501	PRAMEF15	ENST00000376152	7017
chr1	13338892	13344892	-	ENSG00000204481	PRAMEF14	ENST00000334600	5242
chr1	13366067	13372067	-	ENSG00000204480	PRAMEF19	ENST00000376101	2833
chr1	13389629	13395629	+	ENSG00000204479	PRAMEF17	ENST00000376098	2997
chr1	13418328	13424328	+	ENSG00000204478	PRAMEF20	ENST00000602960	4977
chr1	13471973	13477973	-	ENSG00000162494	LRRC38	ENST00000376085	39030
chr1	13614957	13620957	+	ENSG00000162493	PDPN	ENST00000294489	34492
chr1	13822079	13828079	+	ENSG00000116731	PRDM2	ENST00000311066	124891
chr1	15115043	15121043	+	ENSG00000189337	KAZN	ENST00000636203	1225251
chr1	15217477	15223477	+	ENSG00000171729	TMEM51	ENST00000428417	67945
chr1	15395328	15401328	+	ENSG00000142621	FHAD1	ENST00000683790	161807
chr1	15427339	15433339	+	ENSG00000142634	EFHD2	ENST00000375980	20451
chr1	15446242	15452242	+	ENSG00000162438	CTRC	ENST00000375943	10800
chr1	15469091	15475091	+	ENSG00000142615	CELA2A	ENST00000359621	15359
chr1	15480368	15486368	+	ENSG00000215704	CELA2B	ENST00000494280	17459
chr1	15487832	15493832	-	ENSG00000132906	CASP9	ENST00000546424	33613
chr1	15568699	15574699	-	ENSG00000116771	AGMAT	ENST00000375826	13352
chr1	15573092	15579092	+	ENSG00000116138	DNAJC16	ENST00000375849	49279
chr1	15659033	15665033	+	ENSG00000215695	RSC1A1	ENST00000345034	2320
chr1	15666044	15672044	+	ENSG00000197312	DDI2	ENST00000480945	51586
chr1	15731769	15737769	+	ENSG00000116786	PLEKHM2	ENST00000375799	50449
chr1	15738392	15744392	+	ENSG00000162461	SLC25A34	ENST00000294454	5134
chr1	15744982	15750982	+	ENSG00000162460	TMEM82	ENST00000375782	5483
chr1	15783594	15789594	+	ENSG00000162458	FBLIM1	ENST00000375771	29935
chr1	15804169	15810169	-	ENSG00000233954	UQCRHL	ENST00000483273	2179
chr1	15937456	15943456	+	ENSG00000065526	SPEN	ENST00000375759	92749
chr1	15938871	15944871	-	ENSG00000116809	ZBTB17	ENST00000375733	34261
chr1	16005807	16011807	+	ENSG00000183888	SRARP	ENST00000329454	4571
chr1	16011028	16017028	-	ENSG00000173641	HSPB7	ENST00000375718	5566
chr1	16031050	16037050	+	ENSG00000186510	CLCNKA	ENST00000464764	15175
chr1	16054279	16060279	+	ENSG00000184908	CLCNKB	ENST00000684324	17027
chr1	16054769	16060769	-	ENSG00000185519	FAM131C	ENST00000375662	15882
chr1	16121337	16127337	-	ENSG00000142627	EPHA2	ENST00000358432	31732
chr1	16194854	16200854	-	ENSG00000142632	ARHGEF19	ENST00000270747	14798
chr1	16228692	16234692	-	ENSG00000132881	CPLANE2	ENST00000375599	5491
chr1	16243840	16249840	-	ENSG00000037637	FBXO42	ENST00000375592	105640
chr1	16390355	16396355	+	ENSG00000055070	SZRD1	ENST00000475078	40780
chr1	16392681	16398681	-	ENSG00000187144	SPATA21	ENST00000466212	41712
chr1	16457078	16463078	+	ENSG00000157191	NECAP2	ENST00000337132	19354
chr1	16559319	16565319	-	ENSG00000219481	NBPF1	ENST00000430580	51168
chr1	16938434	16944434	+	ENSG00000058453	CROCC	ENST00000466256	201161
chr1	16971502	16977502	-	ENSG00000117122	MFAP2	ENST00000490075	6119
chr1	16982958	16988958	-	ENSG00000159363	ATP13A2	ENST00000326735	25970
chr1	17015722	17021722	-	ENSG00000117118	SDHB	ENST00000375499	35310
chr1	17063761	17069761	-	ENSG00000117115	PADI2	ENST00000375486	52690
chr1	17243007	17249007	+	ENSG00000142623	PADI1	ENST00000375471	40879
chr1	17281233	17287233	+	ENSG00000142619	PADI3	ENST00000375460	35135
chr1	17361004	17367004	+	ENSG00000159339	PADI4	ENST00000375448	55807
chr1	17398699	17404699	+	ENSG00000276747	PADI6	ENST00000619609	29503
chr1	17403760	17409760	-	ENSG00000179051	RCC2	ENST00000375436	32917
chr1	17694869	17700869	+	ENSG00000074964	ARHGEF10L	ENST00000361221	158171
chr1	17824063	17830063	+	ENSG00000117148	ACTL8	ENST00000375406	71730
chr1	18375483	18381483	+	ENSG00000117154	IGSF21	ENST00000251296	270685
chr1	18482974	18488974	+	ENSG00000179023	KLHDC7A	ENST00000400664	5044
chr1	18745866	18751866	+	ENSG00000009709	PAX7	ENST00000420770	118020
chr1	18836599	18842599	-	ENSG00000179002	TAS1R2	ENST00000375371	20083
chr1	18868430	18874430	-	ENSG00000159423	ALDH4A1	ENST00000375341	31125
chr1	18901280	18907280	-	ENSG00000169991	IFFO2	ENST00000455833	52396
chr1	19071510	19077510	-	ENSG00000127481	UBR4	ENST00000375254	135756
chr1	19212660	19218660	-	ENSG00000127463	EMC1	ENST00000477853	35864
chr1	19257128	19263128	+	ENSG00000053372	MRTO4	ENST00000330263	8323
chr1	19279573	19285573	-	ENSG00000162482	AKR7A3	ENST00000361640	6197
chr1	19300965	19306965	-	ENSG00000053371	AKR7A2	ENST00000235835	8179
chr1	19326300	19332300	+	ENSG00000040487	SLC66A1	ENST00000375153	16974
chr1	19335775	19341775	-	ENSG00000077549	CAPZB	ENST00000264202	146764
chr1	19623630	19629630	+	ENSG00000173436	MICOS10	ENST00000648702	142227
chr1	19653926	19659926	+	ENSG00000270136	MICOS10-NBL1	ENST00000602293	59859
chr1	19655056	19661056	+	ENSG00000158747	NBL1	ENST00000602662	61077
chr1	19677966	19683966	+	ENSG00000158748	HTR6	ENST00000289753	16091
chr1	19679240	19685240	-	ENSG00000162542	TMCO4	ENST00000294543	117676
chr1	19811029	19817029	-	ENSG00000178828	RNF186	ENST00000375121	1254
chr1	19909945	19915945	+	ENSG00000169914	OTUD3	ENST00000375120	30550
chr1	19917009	19923009	-	ENSG00000188784	PLA2G2E	ENST00000375116	3608
chr1	19972438	19978438	-	ENSG00000188257	PLA2G2A	ENST00000375111	4978
chr1	20088190	20094190	+	ENSG00000127472	PLA2G5	ENST00000486277	63011
chr1	20108939	20114939	-	ENSG00000117215	PLA2G2D	ENST00000375105	7597
chr1	20147381	20153381	+	ENSG00000158786	PLA2G2F	ENST00000375102	11058
chr1	20160055	20166055	-	ENSG00000187980	PLA2G2C	ENST00000679259	23463
chr1	20193050	20199050	+	ENSG00000162543	UBXN10	ENST00000375099	9954
chr1	20356518	20362518	+	ENSG00000158816	VWA5B1	ENST00000289815	68643
chr1	20479391	20485391	-	ENSG00000162545	CAMK2N1	ENST00000375078	3819
chr1	20496448	20502448	-	ENSG00000090432	MUL1	ENST00000264198	8703
chr1	20552020	20558020	+	ENSG00000183114	FAM43B	ENST00000332947	2447
chr1	20615903	20621903	+	ENSG00000158825	CDA	ENST00000461985	29817
chr1	20648511	20654511	+	ENSG00000158828	PINK1	ENST00000321556	18053
chr1	20648767	20654767	-	ENSG00000244038	DDOST	ENST00000415136	9777
chr1	20661016	20667016	-	ENSG00000117245	KIF17	ENST00000247986	54001
chr1	20716732	20722732	-	ENSG00000189410	SH2D5	ENST00000460804	13105
chr1	20737266	20743266	-	ENSG00000127483	HP1BP3	ENST00000438032	47041
chr1	20803483	20809483	-	ENSG00000075151	EIF4G3	ENST00000686579	370802
chr1	21214281	21220281	-	ENSG00000117298	ECE1	ENST00000649812	128291
chr1	21482005	21488005	+	ENSG00000142794	NBPF3	ENST00000318220	44868
chr1	21575410	21581410	+	ENSG00000162551	ALPL	ENST00000374840	68987
chr1	21593221	21599221	-	ENSG00000076864	RAP1GAP	ENST00000374765	73136
chr1	21675298	21681298	-	ENSG00000090686	USP48	ENST00000400301	104897
chr1	21819244	21825244	-	ENSG00000142798	HSPG2	ENST00000374695	115066
chr1	21822225	21828225	+	ENSG00000187942	LDLRAD2	ENST00000344642	12960
chr1	21995642	22001642	+	ENSG00000219073	CELA3B	ENST00000400277	17540
chr1	22009542	22015542	+	ENSG00000142789	CELA3A	ENST00000290122	10885
chr1	22098360	22104360	+	ENSG00000070831	CDC42	ENST00000648594	75849
chr1	22114313	22120313	-	ENSG00000162552	WNT4	ENST00000290167	25784
chr1	22508763	22514763	+	ENSG00000184677	ZBTB40	ENST00000650433	82925
chr1	22600595	22606595	+	ENSG00000070886	EPHA8	ENST00000166244	40106
chr1	22636678	22642678	+	ENSG00000173372	C1QA	ENST00000374642	3050
chr1	22645110	22651110	+	ENSG00000159189	C1QC	ENST00000374639	4477
chr1	22658637	22664637	+	ENSG00000173369	C1QB	ENST00000509305	8401
chr1	22918500	22924500	+	ENSG00000133216	EPHB2	ENST00000374630	210661
chr1	22950043	22956043	-	ENSG00000215906	LACTBL1	ENST00000426928	12295
chr1	23007834	23013834	-	ENSG00000227868	TEX46	ENST00000440767	8266
chr1	23080689	23086689	+	ENSG00000004487	KDM1A	ENST00000356634	64241
chr1	23081030	23087030	-	ENSG00000169641	LUZP1	ENST00000302291	93778
chr1	23188895	23194895	-	ENSG00000179546	HTR1D	ENST00000374619	25607
chr1	23301688	23307688	-	ENSG00000125944	HNRNPR	ENST00000478691	39648
chr1	23356448	23362448	-	ENSG00000125945	ZNF436	ENST00000314011	10388
chr1	23377909	23383909	-	ENSG00000204219	TCEA3	ENST00000450454	43839
chr1	23425563	23431563	-	ENSG00000088280	ASAP3	ENST00000336689	55616
chr1	23503438	23509438	-	ENSG00000007968	E2F2	ENST00000361729	24795
chr1	23554926	23560926	-	ENSG00000117318	ID3	ENST00000374561	1575
chr1	23693835	23699835	+	ENSG00000142676	RPL11	ENST00000643754	5029
chr1	23759049	23765049	+	ENSG00000011007	ELOA	ENST00000418390	18601
chr1	23785232	23791232	+	ENSG00000057757	PITHD1	ENST00000246151	9814
chr1	23792539	23798539	+	ENSG00000011009	LYPLA2	ENST00000374514	4394
chr1	23792599	23798599	-	ENSG00000117308	GALE	ENST00000481736	5182
chr1	23798887	23804887	-	ENSG00000117305	HMGCL	ENST00000374487	36733
chr1	23842077	23848077	-	ENSG00000179163	FUCA1	ENST00000374479	23213
chr1	23867515	23873515	-	ENSG00000188822	CNR2	ENST00000374472	42847
chr1	23960446	23966446	+	ENSG00000189266	PNRC2	ENST00000647887	6607
chr1	23961347	23967347	-	ENSG00000188529	SRSF10	ENST00000492112	15980
chr1	24053041	24059041	-	ENSG00000142661	MYOM3	ENST00000374434	56094
chr1	24116771	24122771	-	ENSG00000142677	IL22RA1	ENST00000270800	23369
chr1	24151168	24157168	-	ENSG00000185436	IFNLR1	ENST00000327535	33121
chr1	24352212	24358212	+	ENSG00000158055	GRHL3	ENST00000690803	155654
chr1	24354005	24360005	-	ENSG00000001460	STPG1	ENST00000468303	59929
chr1	24469976	24475976	+	ENSG00000001461	NIPAL3	ENST00000374399	57174
chr1	24538040	24544040	+	ENSG00000117602	RCAN3	ENST00000374395	38204
chr1	24606328	24612328	+	ENSG00000184454	NCMAP	ENST00000374392	53241
chr1	24670281	24676281	+	ENSG00000133226	SRRM1	ENST00000323848	29979
chr1	24841267	24847267	+	ENSG00000169504	CLIC4	ENST00000488683	98885
chr1	24896511	24902511	-	ENSG00000020633	RUNX3	ENST00000399916	65499
chr1	25219276	25225276	-	ENSG00000117614	SYF2	ENST00000236273	10226
chr1	25239256	25245256	-	ENSG00000117616	RSRP1	ENST00000473314	95909
chr1	25327445	25333445	+	ENSG00000187010	RHD	ENST00000622561	57959
chr1	25359312	25365312	-	ENSG00000188672	RHCE	ENST00000349320	67880
chr1	25359361	25365361	+	ENSG00000183726	TMEM50A	ENST00000374358	24027
chr1	25497205	25503205	+	ENSG00000204178	MACO1	ENST00000399766	69347
chr1	25565886	25571886	+	ENSG00000157978	LDLRAP1	ENST00000374338	25280
chr1	25783206	25789206	+	ENSG00000117643	MAN1C1	ENST00000611903	168738
chr1	25815221	25821221	+	ENSG00000162430	SELENON	ENST00000361547	18028
chr1	25828913	25834913	-	ENSG00000127423	AUNIP	ENST00000538789	27545
chr1	25829942	25835942	+	ENSG00000117640	MTFR1L	ENST00000474295	13013
chr1	25858484	25864484	-	ENSG00000182749	PAQR7	ENST00000675840	14224
chr1	25882440	25888440	-	ENSG00000117632	STMN1	ENST00000426559	21026
chr1	25956767	25962767	-	ENSG00000158006	PAFAH2	ENST00000374282	38296
chr1	26033464	26039464	+	ENSG00000158008	EXTL1	ENST00000374280	14689
chr1	26034252	26040252	-	ENSG00000158014	SLC30A2	ENST00000374276	8866
chr1	26048301	26054301	-	ENSG00000158022	TRIM63	ENST00000374272	16329
chr1	26122530	26128530	+	ENSG00000175087	PDIK1L	ENST00000619836	14365
chr1	26160962	26166962	+	ENSG00000197245	FAM110D	ENST00000374268	4883
chr1	26161101	26167101	-	ENSG00000282872	C1orf232	ENST00000634842	4862
chr1	26166516	26172516	-	ENSG00000236782	ZNF593OS	ENST00000448923	2305
chr1	26167873	26173873	+	ENSG00000142684	ZNF593	ENST00000374266	965
chr1	26186884	26192884	+	ENSG00000142675	CNKSR1	ENST00000361530	12393
chr1	26199964	26205964	+	ENSG00000188782	CATSPER4	ENST00000456354	12362
