Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
CYP2A7	5	0	0	0	5	5	5
DMRT3	5	0	0	0	5	5	5
FPR2	5	0	0	0	5	5	5
GAPT	4	1	0	0	5	5	5
HRNR	4	1	0	0	5	5	5
HTR1F	4	0	1	0	5	5	5
LMOD2	5	0	0	0	5	5	5
MAGEB10	4	1	0	0	5	5	5
NPY5R	5	0	0	0	5	5	5
NXPH1	5	0	0	0	5	5	5
OR1A1	5	0	0	0	5	5	5
OR2J3	5	0	0	0	5	5	5
OR51G2	5	0	0	0	5	5	5
OR5K1	3	2	0	0	5	5	5
OR5V1	4	1	0	0	5	5	5
OR9Q1	5	0	0	0	5	5	5
PRAMEF4	4	1	0	0	5	5	5
RIT2	5	0	0	0	5	5	5
SHBG	2	2	0	1	5	5	5
SPATA31E1	4	1	0	0	5	5	5
TMEM132E	5	0	0	0	5	5	5
WFIKKN2	5	0	0	0	5	5	5
ZNF221	5	0	0	0	5	5	5
ZSWIM2	5	0	0	0	5	5	5
CCKBR	5	0	0	0	5	4	4
MYH8	5	0	0	0	5	4	4
NLRP10	5	0	0	0	5	4	4
NPFFR2	3	2	0	0	5	4	4
NXPH2	5	0	0	0	5	4	4
PRAMEF20	5	0	0	0	5	4	4
ADRA1D	3	1	0	0	4	4	4
ALX1	4	0	0	0	4	4	4
ARID3C	4	0	0	0	4	4	4
BLOC1S2	4	0	0	0	4	4	4
BMP15	4	0	0	0	4	4	4
BRINP2	4	0	0	0	4	4	4
C1orf141	4	0	0	0	4	4	4
C1orf146	4	0	0	0	4	4	4
C3orf56	3	1	0	0	4	4	4
CACNG7	3	0	0	1	4	4	4
CD1E	2	2	0	0	4	4	4
CD5L	4	0	0	0	4	4	4
CDH16	4	0	0	0	4	4	4
CDH18	3	1	0	0	4	4	4
CFHR2	4	0	0	0	4	4	4
CHST4	4	0	0	0	4	4	4
CNGA3	4	0	0	0	4	4	4
CPXCR1	4	0	0	0	4	4	4
CXorf66	4	0	0	0	4	4	4
EGF	2	1	1	0	4	4	4
ELAVL4	4	0	0	0	4	4	4
ENTHD1	4	0	0	0	4	4	4
ERVW-1	3	1	0	0	4	4	4
FAM71B	4	0	0	0	4	4	4
FETUB	4	0	0	0	4	4	4
FOLR3	4	0	0	0	4	4	4
FOXA3	3	1	0	0	4	4	4
GAS2L2	3	1	0	0	4	4	4
GCM1	4	0	0	0	4	4	4
GCM2	3	1	0	0	4	4	4
GJA8	4	0	0	0	4	4	4
GPR18	4	0	0	0	4	4	4
HTR3E	4	0	0	0	4	4	4
HTR6	4	0	0	0	4	4	4
IL1RAPL1	4	0	0	0	4	4	4
IRX6	4	0	0	0	4	4	4
KCNJ16	4	0	0	0	4	4	4
KCNJ4	4	0	0	0	4	4	4
KCTD19	4	0	0	0	4	4	4
M1AP	3	0	0	1	4	4	4
MAGEB1	4	0	0	0	4	4	4
MAGEB16	3	1	0	0	4	4	4
MAGEC3	4	0	0	0	4	4	4
MMP27	2	2	0	0	4	4	4
MROH2B	4	0	0	0	4	4	4
MUC7	4	0	0	0	4	4	4
MYO1A	4	0	0	0	4	4	4
MYOC	4	0	0	0	4	4	4
MYOT	2	2	0	0	4	4	4
NEU4	4	0	0	0	4	4	4
NRG3	4	0	0	0	4	4	4
OR2T1	4	0	0	0	4	4	4
OR4C6	3	1	0	0	4	4	4
OR52E4	4	0	0	0	4	4	4
OR6K3	4	0	0	0	4	4	4
OR7G2	4	0	0	0	4	4	4
PRAMEF2	4	0	0	0	4	4	4
SLCO1B1	3	1	0	0	4	4	4
SYNPO2L	4	0	0	0	4	4	4
T	4	0	0	0	4	4	4
TAAR1	3	1	0	0	4	4	4
TMEM151A	4	0	0	0	4	4	4
TRIM60	3	1	0	0	4	4	4
VSTM1	4	0	0	0	4	4	4
ZNF479	4	0	0	0	4	4	4
ZNF732	4	0	0	0	4	4	4
ZNF835	4	0	0	0	4	4	4
ZNF98	3	1	0	0	4	4	4
ZSCAN1	4	0	0	0	4	4	4
LRIT3	4	1	0	0	5	3	3
AGAP6	3	1	0	0	4	3	3
ZSCAN5B	3	1	0	0	4	3	3
AADACL4	3	0	0	0	3	3	3
ACY3	2	0	0	1	3	3	3
AMPD1	3	0	0	0	3	3	3
APOB	3	0	0	0	3	3	3
APOL5	3	0	0	0	3	3	3
ARMC3	3	0	0	0	3	3	3
AVPR2	3	0	0	0	3	3	3
BPIFB6	2	0	0	1	3	3	3
BTNL8	3	0	0	0	3	3	3
C16orf78	3	0	0	0	3	3	3
C2orf78	3	0	0	0	3	3	3
C4BPB	3	0	0	0	3	3	3
C8orf74	3	0	0	0	3	3	3
C9orf131	2	1	0	0	3	3	3
CACNG3	2	1	0	0	3	3	3
CARD18	1	2	0	0	3	3	3
CASC1	2	1	0	0	3	3	3
CCDC173	2	1	0	0	3	3	3
CDH10	3	0	0	0	3	3	3
CDH15	3	0	0	0	3	3	3
CDH9	3	0	0	0	3	3	3
CFAP46	1	1	0	1	3	3	3
CHRND	3	0	0	0	3	3	3
CKM	3	0	0	0	3	3	3
CNGA2	3	0	0	0	3	3	3
CPA2	2	1	0	0	3	3	3
CPA6	3	0	0	0	3	3	3
CX3CR1	3	0	0	0	3	3	3
CYP2A6	3	0	0	0	3	3	3
CYP7A1	3	0	0	0	3	3	3
DCANP1	3	0	0	0	3	3	3
DMC1	3	0	0	0	3	3	3
DMP1	3	0	0	0	3	3	3
DNAI2	3	0	0	0	3	3	3
DNAJB8	3	0	0	0	3	3	3
DSG4	3	0	0	0	3	3	3
EFCAB3	2	1	0	0	3	3	3
ELANE	3	0	0	0	3	3	3
F7	3	0	0	0	3	3	3
FGF8	3	0	0	0	3	3	3
FLG2	3	0	0	0	3	3	3
FLRT1	2	1	0	0	3	3	3
FSHR	2	1	0	0	3	3	3
GABRA6	2	0	1	0	3	3	3
GABRR1	3	0	0	0	3	3	3
GATA1	3	0	0	0	3	3	3
GCKR	2	1	0	0	3	3	3
GDF3	3	0	0	0	3	3	3
GLOD5	3	0	0	0	3	3	3
GPR142	3	0	0	0	3	3	3
GPR22	2	1	0	0	3	3	3
GRIN2C	3	0	0	0	3	3	3
H1FOO	3	0	0	0	3	3	3
HAO1	3	0	0	0	3	3	3
HAO2	3	0	0	0	3	3	3
HAPLN2	2	1	0	0	3	3	3
HRG	3	0	0	0	3	3	3
HRH3	3	0	0	0	3	3	3
HS3ST2	2	1	0	0	3	3	3
HTR3D	3	0	0	0	3	3	3
IL1F10	3	0	0	0	3	3	3
IRGC	3	0	0	0	3	3	3
IZUMO2	3	0	0	0	3	3	3
KCTD4	3	0	0	0	3	3	3
KRT28	3	0	0	0	3	3	3
L1TD1	3	0	0	0	3	3	3
LGI3	3	0	0	0	3	3	3
LHX2	3	0	0	0	3	3	3
LHX3	2	0	0	1	3	3	3
LINGO2	3	0	0	0	3	3	3
LPA	3	0	0	0	3	3	3
LRRC14B	3	0	0	0	3	3	3
LRRC31	3	0	0	0	3	3	3
LRRN4	3	0	0	0	3	3	3
LRTM2	3	0	0	0	3	3	3
LYG2	2	1	0	0	3	3	3
MARCH11	3	0	0	0	3	3	3
METTL24	2	1	0	0	3	3	3
MRGPRX2	3	0	0	0	3	3	3
MYH7	3	0	0	0	3	3	3
NIM1K	2	1	0	0	3	3	3
NPHS2	2	1	0	0	3	3	3
OLFM3	3	0	0	0	3	3	3
OOEP	2	1	0	0	3	3	3
OR10G8	3	0	0	0	3	3	3
OR10H4	3	0	0	0	3	3	3
OR13G1	3	0	0	0	3	3	3
OR2A25	3	0	0	0	3	3	3
OR2B11	3	0	0	0	3	3	3
OR2J2	2	1	0	0	3	3	3
OR2M2	3	0	0	0	3	3	3
OR2T10	2	1	0	0	3	3	3
OR2T27	3	0	0	0	3	3	3
OR2Z1	3	0	0	0	3	3	3
OR4K14	2	1	0	0	3	3	3
OR51E1	3	0	0	0	3	3	3
OR52N5	3	0	0	0	3	3	3
OR6N2	3	0	0	0	3	3	3
OR6Y1	2	1	0	0	3	3	3
OR8G5	3	0	0	0	3	3	3
OR8J1	3	0	0	0	3	3	3
OR8J3	3	0	0	0	3	3	3
OR9G4	3	0	0	0	3	3	3
OTX2	3	0	0	0	3	3	3
PITX3	3	0	0	0	3	3	3
PLA2G1B	2	0	1	0	3	3	3
PRAMEF1	3	0	0	0	3	3	3
PRAMEF11	3	0	0	0	3	3	3
PRAMEF15	3	0	0	0	3	3	3
PRB2	2	1	0	0	3	3	3
PRDM13	3	0	0	0	3	3	3
PROL1	2	1	0	0	3	3	3
PRR35	3	0	0	0	3	3	3
PRSS35	3	0	0	0	3	3	3
PRTN3	3	0	0	0	3	3	3
PSG8	3	0	0	0	3	3	3
PTH1R	2	1	0	0	3	3	3
RFPL4B	3	0	0	0	3	3	3
RIMBP3	3	0	0	0	3	3	3
ROPN1	2	1	0	0	3	3	3
RTP3	1	2	0	0	3	3	3
SEZ6	2	0	0	1	3	3	3
SH2D6	3	0	0	0	3	3	3
SHANK1	3	0	0	0	3	3	3
SLC25A41	3	0	0	0	3	3	3
SP7	3	0	0	0	3	3	3
SPANXN3	3	0	0	0	3	3	3
SPATA12	2	1	0	0	3	3	3
SPATA31A3	3	0	0	0	3	3	3
SPATA32	1	1	0	1	3	3	3
SPO11	3	0	0	0	3	3	3
TMEM132D	3	0	0	0	3	3	3
TNMD	1	1	0	1	3	3	3
TP53TG5	3	0	0	0	3	3	3
TRAT1	3	0	0	0	3	3	3
TRIM10	2	0	1	0	3	3	3
TRIM51	3	0	0	0	3	3	3
TRPM1	2	1	0	0	3	3	3
TSHR	3	0	0	0	3	3	3
TTC16	2	1	0	0	3	3	3
TUBA3E	3	0	0	0	3	3	3
WNT10B	2	1	0	0	3	3	3
WNT16	3	0	0	0	3	3	3
ZNF454	3	0	0	0	3	3	3
ZNF648	3	0	0	0	3	3	3
ZP1	2	1	0	0	3	3	3
ZP2	2	1	0	0	3	3	3
PRAMEF8	3	0	0	0	3	2	2
STRC	3	0	0	0	3	2	2
TMPRSS12	2	1	0	0	3	2	2
TRIM49C	3	0	0	0	3	2	2
A4GNT	2	0	0	0	2	2	2
AADACL3	2	0	0	0	2	2	2
AANAT	2	0	0	0	2	2	2
ABCG4	1	1	0	0	2	2	2
ABCG5	2	0	0	0	2	2	2
ABRA	2	0	0	0	2	2	2
ACOT6	2	0	0	0	2	2	2
ACPT	2	0	0	0	2	2	2
ACSM2B	2	0	0	0	2	2	2
ADAM2	1	1	0	0	2	2	2
ADAM20	2	0	0	0	2	2	2
ADGRA1	2	0	0	0	2	2	2
ADGRB3	2	0	0	0	2	2	2
AICDA	2	0	0	0	2	2	2
ALS2CR12	2	0	0	0	2	2	2
AMDHD1	1	1	0	0	2	2	2
AMHR2	1	1	0	0	2	2	2
ANKRD20A4	2	0	0	0	2	2	2
ANKRD30B	1	1	0	0	2	2	2
ANKRD53	2	0	0	0	2	2	2
ANKRD55	2	0	0	0	2	2	2
ARMC12	2	0	0	0	2	2	2
ARPP21	2	0	0	0	2	2	2
ART1	2	0	0	0	2	2	2
AWAT2	2	0	0	0	2	2	2
AZU1	1	1	0	0	2	2	2
B3GALT2	2	0	0	0	2	2	2
B3GNT4	2	0	0	0	2	2	2
BIRC7	2	0	0	0	2	2	2
BSX	1	1	0	0	2	2	2
BTLA	1	1	0	0	2	2	2
BTN1A1	2	0	0	0	2	2	2
C11orf42	2	0	0	0	2	2	2
C11orf88	0	1	0	1	2	2	2
C15orf26	2	0	0	0	2	2	2
C15orf43	2	0	0	0	2	2	2
C16orf71	1	1	0	0	2	2	2
C9orf50	2	0	0	0	2	2	2
CACNA1G	2	0	0	0	2	2	2
CALCR	2	0	0	0	2	2	2
CAMKV	2	0	0	0	2	2	2
CATSPERD	2	0	0	0	2	2	2
CBLN2	2	0	0	0	2	2	2
CCDC116	2	0	0	0	2	2	2
CCKAR	1	0	0	1	2	2	2
CCR3	2	0	0	0	2	2	2
CD40LG	2	0	0	0	2	2	2
CFAP58	2	0	0	0	2	2	2
CFAP74	2	0	0	0	2	2	2
CFHR4	2	0	0	0	2	2	2
CFHR5	2	0	0	0	2	2	2
CHRM1	2	0	0	0	2	2	2
CHRM4	2	0	0	0	2	2	2
CKMT2	2	0	0	0	2	2	2
CLCNKA	2	0	0	0	2	2	2
CLDN14	2	0	0	0	2	2	2
CLDN2	2	0	0	0	2	2	2
CLEC4C	2	0	0	0	2	2	2
CLEC4D	2	0	0	0	2	2	2
CLEC9A	2	0	0	0	2	2	2
CLRN2	2	0	0	0	2	2	2
CMTM2	2	0	0	0	2	2	2
CNTN6	2	0	0	0	2	2	2
CPA5	2	0	0	0	2	2	2
CPNE6	2	0	0	0	2	2	2
CRTAM	1	0	1	0	2	2	2
CRYGB	2	0	0	0	2	2	2
CYP17A1	2	0	0	0	2	2	2
CYP46A1	2	0	0	0	2	2	2
DEFB112	2	0	0	0	2	2	2
DGAT2L6	2	0	0	0	2	2	2
DGCR14	2	0	0	0	2	2	2
DNAH7	2	0	0	0	2	2	2
DNASE2B	2	0	0	0	2	2	2
DPPA3	2	0	0	0	2	2	2
DPRX	2	0	0	0	2	2	2
ENDOU	2	0	0	0	2	2	2
EQTN	2	0	0	0	2	2	2
ESX1	2	0	0	0	2	2	2
ETNPPL	2	0	0	0	2	2	2
F11	2	0	0	0	2	2	2
FAM163A	2	0	0	0	2	2	2
FAM181A	1	1	0	0	2	2	2
FAM187B	2	0	0	0	2	2	2
FAM46D	1	1	0	0	2	2	2
FBN3	2	0	0	0	2	2	2
FBXW10	2	0	0	0	2	2	2
FCAR	2	0	0	0	2	2	2
FER1L5	2	0	0	0	2	2	2
FEZF2	2	0	0	0	2	2	2
FGF23	2	0	0	0	2	2	2
FRMD7	2	0	0	0	2	2	2
FTCD	2	0	0	0	2	2	2
GABRA1	2	0	0	0	2	2	2
GABRA5	2	0	0	0	2	2	2
GABRB1	2	0	0	0	2	2	2
GALNTL6	2	0	0	0	2	2	2
GDF5	2	0	0	0	2	2	2
GFI1B	2	0	0	0	2	2	2
GGTLC1	2	0	0	0	2	2	2
GLRA1	2	0	0	0	2	2	2
GLT6D1	2	0	0	0	2	2	2
GPM6A	2	0	0	0	2	2	2
GPR179	2	0	0	0	2	2	2
GPR20	2	0	0	0	2	2	2
GPR82	1	1	0	0	2	2	2
HOXC5	2	0	0	0	2	2	2
HPR	2	0	0	0	2	2	2
HS3ST4	2	0	0	0	2	2	2
HTR3C	2	0	0	0	2	2	2
IGFBP1	2	0	0	0	2	2	2
IGFL4	2	0	0	0	2	2	2
IL17F	1	1	0	0	2	2	2
IL18RAP	2	0	0	0	2	2	2
IL1RAPL2	2	0	0	0	2	2	2
IL21	2	0	0	0	2	2	2
INHBE	2	0	0	0	2	2	2
IQCF1	2	0	0	0	2	2	2
ITIH1	1	1	0	0	2	2	2
KCNE2	2	0	0	0	2	2	2
KCNN2	2	0	0	0	2	2	2
KCTD8	2	0	0	0	2	2	2
KHDRBS2	2	0	0	0	2	2	2
KLHL40	1	1	0	0	2	2	2
KLK12	2	0	0	0	2	2	2
KLRC4	2	0	0	0	2	2	2
KNG1	2	0	0	0	2	2	2
KRT2	2	0	0	0	2	2	2
KRT39	2	0	0	0	2	2	2
KRT82	2	0	0	0	2	2	2
LAIR2	2	0	0	0	2	2	2
LCT	2	0	0	0	2	2	2
LDHC	2	0	0	0	2	2	2
LINGO4	2	0	0	0	2	2	2
LIPF	2	0	0	0	2	2	2
LMX1A	1	1	0	0	2	2	2
LPAR4	1	1	0	0	2	2	2
LPO	2	0	0	0	2	2	2
LYPD4	2	0	0	0	2	2	2
LYZL2	1	1	0	0	2	2	2
MAGEL2	2	0	0	0	2	2	2
MDGA2	2	0	0	0	2	2	2
METTL21C	1	1	0	0	2	2	2
MMP8	2	0	0	0	2	2	2
MRGPRX3	2	0	0	0	2	2	2
MS4A10	2	0	0	0	2	2	2
MS4A14	2	0	0	0	2	2	2
MSTN	2	0	0	0	2	2	2
MTMR8	2	0	0	0	2	2	2
MYH1	2	0	0	0	2	2	2
MYH13	2	0	0	0	2	2	2
MYH4	1	1	0	0	2	2	2
MYO16	2	0	0	0	2	2	2
MYOZ1	2	0	0	0	2	2	2
MYOZ2	2	0	0	0	2	2	2
MYT1L	2	0	0	0	2	2	2
NAT16	1	1	0	0	2	2	2
NCBP2L	2	0	0	0	2	2	2
NGF	2	0	0	0	2	2	2
NHLRC4	2	0	0	0	2	2	2
NKX6-3	2	0	0	0	2	2	2
NLRP4	2	0	0	0	2	2	2
NODAL	2	0	0	0	2	2	2
NOL4	2	0	0	0	2	2	2
NPS	2	0	0	0	2	2	2
NPY2R	2	0	0	0	2	2	2
NXPE4	2	0	0	0	2	2	2
NYX	2	0	0	0	2	2	2
ODF3L1	2	0	0	0	2	2	2
OPN1LW	2	0	0	0	2	2	2
OR10H1	2	0	0	0	2	2	2
OR11G2	2	0	0	0	2	2	2
OR11H4	2	0	0	0	2	2	2
OR14A16	2	0	0	0	2	2	2
OR1L6	2	0	0	0	2	2	2
OR1L8	2	0	0	0	2	2	2
OR1M1	2	0	0	0	2	2	2
OR2A14	2	0	0	0	2	2	2
OR2AG2	2	0	0	0	2	2	2
OR2H1	2	0	0	0	2	2	2
OR3A2	2	0	0	0	2	2	2
OR4C11	2	0	0	0	2	2	2
OR4D10	2	0	0	0	2	2	2
OR4F15	2	0	0	0	2	2	2
OR4K1	2	0	0	0	2	2	2
OR4S2	2	0	0	0	2	2	2
OR51I2	2	0	0	0	2	2	2
OR52N2	2	0	0	0	2	2	2
OR5B3	2	0	0	0	2	2	2
OR6C1	2	0	0	0	2	2	2
OR7A17	1	1	0	0	2	2	2
OR7E24	2	0	0	0	2	2	2
OR8D4	2	0	0	0	2	2	2
OR9K2	1	1	0	0	2	2	2
OTOL1	1	1	0	0	2	2	2
P2RY10	2	0	0	0	2	2	2
PAGE4	2	0	0	0	2	2	2
PANX3	2	0	0	0	2	2	2
PCDH8	2	0	0	0	2	2	2
PDYN	2	0	0	0	2	2	2
PFKFB1	2	0	0	0	2	2	2
PGLYRP1	2	0	0	0	2	2	2
PKDREJ	2	0	0	0	2	2	2
POU3F3	2	0	0	0	2	2	2
PPEF2	2	0	0	0	2	2	2
PRAMEF10	2	0	0	0	2	2	2
PRSS42	1	1	0	0	2	2	2
PSG1	2	0	0	0	2	2	2
PSG7	1	1	0	0	2	2	2
QRFP	2	0	0	0	2	2	2
QRFPR	2	0	0	0	2	2	2
RAB33A	1	1	0	0	2	2	2
RBFOX1	1	1	0	0	2	2	2
RBM46	2	0	0	0	2	2	2
RBMY1E	2	0	0	0	2	2	2
RBP2	2	0	0	0	2	2	2
REM1	2	0	0	0	2	2	2
RFPL2	2	0	0	0	2	2	2
RGR	2	0	0	0	2	2	2
RGS18	1	1	0	0	2	2	2
RHO	2	0	0	0	2	2	2
RIPPLY2	2	0	0	0	2	2	2
RNASE9	1	1	0	0	2	2	2
RPL3L	2	0	0	0	2	2	2
RSPH4A	2	0	0	0	2	2	2
RXFP1	2	0	0	0	2	2	2
RXRG	2	0	0	0	2	2	2
SCN4A	2	0	0	0	2	2	2
SCN7A	2	0	0	0	2	2	2
SCTR	2	0	0	0	2	2	2
SEPT14	1	1	0	0	2	2	2
SERPIND1	1	1	0	0	2	2	2
SHCBP1L	2	0	0	0	2	2	2
SKOR1	2	0	0	0	2	2	2
SLC17A8	1	0	0	1	2	2	2
SLC22A13	2	0	0	0	2	2	2
SLC25A47	2	0	0	0	2	2	2
SLC26A3	1	0	0	1	2	2	2
SLC2A7	2	0	0	0	2	2	2
SLC35F4	2	0	0	0	2	2	2
SLC4A9	2	0	0	0	2	2	2
SLC5A11	2	0	0	0	2	2	2
SLC5A4	1	1	0	0	2	2	2
SLC6A18	2	0	0	0	2	2	2
SMR3B	2	0	0	0	2	2	2
SPATA22	2	0	0	0	2	2	2
SPATA31A6	1	1	0	0	2	2	2
SPDYE1	1	1	0	0	2	2	2
SPTA1	2	0	0	0	2	2	2
SRSF12	2	0	0	0	2	2	2
SSTR3	2	0	0	0	2	2	2
STX19	2	0	0	0	2	2	2
SYNDIG1L	2	0	0	0	2	2	2
TAS1R1	2	0	0	0	2	2	2
TAS1R2	2	0	0	0	2	2	2
TAS2R1	2	0	0	0	2	2	2
TCHHL1	1	0	1	0	2	2	2
TEX11	2	0	0	0	2	2	2
TGM6	0	2	0	0	2	2	2
THPO	2	0	0	0	2	2	2
TM4SF4	2	0	0	0	2	2	2
TMEM169	1	1	0	0	2	2	2
TMEM257	2	0	0	0	2	2	2
TMEM31	2	0	0	0	2	2	2
TNF	1	1	0	0	2	2	2
TPRX1	2	0	0	0	2	2	2
TPTE2	2	0	0	0	2	2	2
TRIM49	2	0	0	0	2	2	2
TRIML1	1	1	0	0	2	2	2
TRIML2	2	0	0	0	2	2	2
TRPM5	2	0	0	0	2	2	2
TRPV5	2	0	0	0	2	2	2
TSACC	0	2	0	0	2	2	2
TUBA3D	2	0	0	0	2	2	2
UGT2B10	1	1	0	0	2	2	2
UGT2B11	1	1	0	0	2	2	2
UGT3A2	2	0	0	0	2	2	2
UROC1	2	0	0	0	2	2	2
WFDC8	1	1	0	0	2	2	2
ZAN	2	0	0	0	2	2	2
ZBTB48	2	0	0	0	2	2	2
ZIM2	2	0	0	0	2	2	2
ZNF735	2	0	0	0	2	2	2
CLCA1	2	0	0	0	2	1	1
MYLPF	2	0	0	0	2	1	1
ODF1	2	0	0	0	2	1	1
A3GALT2	1	0	0	0	1	1	1
AARD	1	0	0	0	1	1	1
ABCC8	1	0	0	0	1	1	1
ACCSL	1	0	0	0	1	1	1
ACER1	1	0	0	0	1	1	1
ACOT12	1	0	0	0	1	1	1
ACSM1	0	1	0	0	1	1	1
ACSM4	1	0	0	0	1	1	1
ACTL10	1	0	0	0	1	1	1
ACTN2	1	0	0	0	1	1	1
ACTN3	1	0	0	0	1	1	1
ADAD1	1	0	0	0	1	1	1
ADAM15	1	0	0	0	1	1	1
ADCY10	1	0	0	0	1	1	1
ADGRG4	0	0	0	1	1	1	1
AFP	1	0	0	0	1	1	1
AGXT2	1	0	0	0	1	1	1
AHSG	1	0	0	0	1	1	1
AKAP3	1	0	0	0	1	1	1
AKAP4	1	0	0	0	1	1	1
ALDH8A1	1	0	0	0	1	1	1
ALK	1	0	0	0	1	1	1
AMBN	1	0	0	0	1	1	1
AMY2A	1	0	0	0	1	1	1
ANGPTL3	1	0	0	0	1	1	1
ANKRD2	1	0	0	0	1	1	1
ANKRD20A2	1	0	0	0	1	1	1
ANKRD30BL	1	0	0	0	1	1	1
ANXA13	0	1	0	0	1	1	1
AQP10	0	1	0	0	1	1	1
AQP6	1	0	0	0	1	1	1
ARL13A	1	0	0	0	1	1	1
ARRDC5	1	0	0	0	1	1	1
ASB12	1	0	0	0	1	1	1
ASCL3	1	0	0	0	1	1	1
ASIC5	1	0	0	0	1	1	1
ASTL	0	1	0	0	1	1	1
ATG14	1	0	0	0	1	1	1
ATP13A5	1	0	0	0	1	1	1
ATP4B	1	0	0	0	1	1	1
ATP6V1G3	1	0	0	0	1	1	1
ATP8B2	1	0	0	0	1	1	1
AWAT1	1	0	0	0	1	1	1
B3GNT6	1	0	0	0	1	1	1
BARHL1	1	0	0	0	1	1	1
BARHL2	1	0	0	0	1	1	1
BEGAIN	1	0	0	0	1	1	1
BEST2	1	0	0	0	1	1	1
BFSP2	1	0	0	0	1	1	1
BPIFA2	1	0	0	0	1	1	1
BPIFA3	1	0	0	0	1	1	1
BPIFB3	1	0	0	0	1	1	1
BPIFC	1	0	0	0	1	1	1
BRDT	0	1	0	0	1	1	1
BRS3	1	0	0	0	1	1	1
BTBD17	0	1	0	0	1	1	1
BTNL2	0	1	0	0	1	1	1
BTNL3	0	0	0	1	1	1	1
C10orf53	1	0	0	0	1	1	1
C10orf71	1	0	0	0	1	1	1
C10orf82	1	0	0	0	1	1	1
C10orf90	1	0	0	0	1	1	1
C12orf54	1	0	0	0	1	1	1
C17orf50	1	0	0	0	1	1	1
C1QL4	1	0	0	0	1	1	1
C1QTNF4	1	0	0	0	1	1	1
C1QTNF9B	1	0	0	0	1	1	1
C1orf189	1	0	0	0	1	1	1
C1orf194	1	0	0	0	1	1	1
C2orf70	1	0	0	0	1	1	1
C4BPA	1	0	0	0	1	1	1
C4orf17	1	0	0	0	1	1	1
C6orf25	1	0	0	0	1	1	1
C7orf33	1	0	0	0	1	1	1
C8A	1	0	0	0	1	1	1
C9orf24	1	0	0	0	1	1	1
CA14	0	1	0	0	1	1	1
CACNA1B	1	0	0	0	1	1	1
CACNA1F	1	0	0	0	1	1	1
CACNA1S	1	0	0	0	1	1	1
CACNG1	1	0	0	0	1	1	1
CADPS	1	0	0	0	1	1	1
CALY	1	0	0	0	1	1	1
CATSPER4	1	0	0	0	1	1	1
CCDC108	1	0	0	0	1	1	1
CCDC155	1	0	0	0	1	1	1
CCDC160	0	1	0	0	1	1	1
CCDC37	1	0	0	0	1	1	1
CCDC70	1	0	0	0	1	1	1
CCDC81	1	0	0	0	1	1	1
CCL26	1	0	0	0	1	1	1
