Chr	Start	End	Name	Score	Strand	Length
chr9	110668779	110806558	MUSK	0	+	137779
chr1	69567922	70151945	LRRC7	0	+	584023
chr1	171635417	171652688	MYOC	0	-	17271
chr4	67558727	67607337	STAP1	0	+	48610
chr14	99684298	99727301	CYP46A1	0	+	43003
chr8	20144855	20183206	SLC18A1	0	-	38351
chr3	122183668	122291629	CASR	0	+	107961
chr5	41142116	41261438	C6	0	-	119322
chr5	157625679	157671480	SOX30	0	-	45801
chr19	12751702	12758458	BEST2	0	+	6756
chr5	24487100	24644978	CDH10	0	-	157878
chr13	108596152	109208005	MYO16	0	+	611853
chr7	49850421	50121329	ZPBP	0	-	270908
chr1	42153410	42155820	GUCA2B	0	+	2410
chr12	5531869	5946232	ANO2	0	-	414363
chr16	11965210	11968068	TNFRSF17	0	+	2858
chr6	42155406	42181338	GUCA1A	0	+	25932
chrX	74732856	74925472	NEXMIF	0	-	192616
chr11	44260440	44310139	ALX4	0	-	49699
chr6	110243940	110358349	METTL24	0	-	114409
chr20	57329803	57343994	SPO11	0	+	14191
chr20	55997357	56005519	CBLN4	0	-	8162
chr2	56183990	56386172	CCDC85A	0	+	202182
chr3	52777595	52792068	ITIH1	0	+	14473
chr4	72031902	72148305	NPFFR2	0	+	116403
chr22	44881162	45010005	PHF21B	0	-	128843
chr1	75796882	75913242	MSH4	0	+	116360
chr13	113105788	113120685	F7	0	+	14897
chr19	4153631	4173054	CREB3L3	0	+	19423
chr12	130396133	130768228	RIMBP2	0	-	372095
chr5	138083990	138092365	WNT8A	0	+	8375
chrX	3041471	3112727	ARSF	0	+	71256
chr17	28954901	29006440	SEZ6	0	-	51539
chr19	49289638	49325215	SLC6A16	0	-	35577
chr22	19146993	19150292	GSC2	0	-	3299
chr11	2301997	2318204	TSPAN32	0	+	16207
chr9	976655	991732	DMRT3	0	+	15077
chr3	87259404	87276584	POU1F1	0	-	17180
chr17	9822206	9892099	GLP2R	0	+	69893
chr3	123968521	123992178	ROPN1	0	-	23657
chr2	79185231	80648861	CTNNA2	0	+	1463630
chr3	137998735	138033655	CLDN18	0	+	34920
chr16	20536226	20576427	ACSM2B	0	-	40201
chrX	153517642	153582939	ATP2B3	0	+	65297
chrX	49687447	49695984	PAGE1	0	-	8537
chr5	136212745	136365545	TRPC7	0	-	152800
chr8	24440930	24526970	ADAM7	0	+	86040
chr11	637269	640706	DRD4	0	+	3437
chr11	626309	627181	SCT	0	-	872
chr5	44300247	44389706	FGF10	0	-	89459
chr19	639879	644373	FGF22	0	+	4494
chr9	37650954	37746904	FRMPD1	0	+	95950
chr10	49609095	49667942	CHAT	0	+	58847
chr5	150219491	150290093	CAMK2A	0	-	70602
chr1	22563489	22603595	EPHA8	0	+	40106
chr11	2404515	2423045	TRPM5	0	-	18530
chr11	60492778	60507430	MS4A12	0	+	14652
chr2	237566574	237567175	PRLH	0	+	601
chr2	234050679	234077134	SPP2	0	+	26455
chr2	219514170	219538772	ASIC4	0	+	24602
chrX	111768011	112082776	TRPC5	0	-	314765
chr22	50089879	50161690	MOV10L1	0	+	71811
chr17	35121615	35130732	FNDC8	0	+	9117
chr2	168915498	169031324	ABCB11	0	-	115826
chr1	157830911	157898256	CD5L	0	-	67345
chr17	47733236	47746122	TBX21	0	+	12886
chr5	176542511	176595974	CDHR2	0	+	53463
chr5	176620082	176630556	SNCB	0	-	10474
chr6	155395368	155455839	NOX3	0	-	60471
chr15	48178438	48304078	SLC12A1	0	+	125640
chr20	63400208	63472677	KCNQ2	0	-	72469
chr10	100463009	100483744	WNT8B	0	+	20735
chr17	66835117	66894751	CACNG5	0	+	59634
chr2	131476119	131482934	TUBA3D	0	+	6815
chr10	100735396	100829944	PAX2	0	+	94548
chr19	3933069	3942416	NMRK2	0	+	9347
chr7	100643097	100656448	ACTL6B	0	-	13351
chrX	110944285	111227361	PAK3	0	+	283076
chrX	111293779	111412429	DCX	0	-	118650
chr10	22345445	22454224	SPAG6	0	+	108779
chr11	89177875	89295759	TYR	0	+	117884
chr1	236664141	236764631	ACTN2	0	+	100490
chr7	73328161	73358637	FKBP6	0	+	30476
chr16	5239802	7713340	RBFOX1	0	+	2473538
chr7	31052308	31111479	ADCYAP1R1	0	+	59171
chr8	16992181	17002345	FGF20	0	-	10164
chrX	78945332	78963727	P2RY10	0	+	18395
chr9	119153458	119369435	BRINP1	0	-	215977
chr20	33007704	33023703	BPIFB2	0	+	15999
chr18	596988	650334	CLUL1	0	+	53346
chr10	75094432	75109221	DUSP13	0	-	14789
chr4	73481745	73504001	AFM	0	+	22256
chr6	25652201	25701783	SCGN	0	+	49582
chr6	71886550	72403145	RIMS1	0	+	516595
chr13	94436811	94479682	DCT	0	-	42871
chr3	96814581	97761532	EPHA6	0	+	946951
chr2	119439843	119525301	SCTR	0	-	85458
chr19	10013249	10022279	RDH8	0	+	9030
chrX	107206611	107244247	DNAAF6	0	+	37636
chr13	46053186	46105033	CPB2	0	-	51847
chr5	114055926	114496500	KCNN2	0	+	440574
chr11	133896438	133956968	IGSF9B	0	-	60530
chr1	196943738	196959622	CFHR2	0	+	15884
chr4	73431138	73456174	AFP	0	+	25036
chr18	65750252	65890337	CDH7	0	+	140085
chr3	101222546	101320575	IMPG2	0	-	98029
chr1	201039512	201112451	CACNA1S	0	-	72939
chr7	123113531	123199972	SLC13A1	0	-	86441
chr2	201644870	201698694	MPP4	0	-	53824
chr11	101029624	101129813	PGR	0	-	100189
chr6	69866556	70212468	COL19A1	0	+	345912
chr1	215005775	215237090	KCNK2	0	+	231315
chr8	53225724	53251637	OPRK1	0	-	25913
chr9	70529060	71446904	TRPM3	0	-	917844
chr2	21001429	21044073	APOB	0	-	42644
chr2	27496839	27523684	GCKR	0	+	26845
chr12	49967194	49977139	AQP6	0	+	9945
chr16	180459	181179	HBQ1	0	+	720
chrX	18675909	18827921	PPEF1	0	+	152012
chr19	50432892	50466321	MYBPC2	0	+	33429
chr16	56589074	56591088	MT3	0	+	2014
chr19	55013705	55038264	GP6	0	-	24559
chr20	31475288	31484895	REM1	0	+	9607
chr20	157454	159163	DEFB127	0	+	1709
chr4	186266189	186289681	F11	0	+	23492
chr20	20052514	20360703	CFAP61	0	+	308189
chr12	120302316	120313249	SIRT4	0	+	10933
chr12	112570380	112898881	RPH3A	0	+	328501
chr12	117208142	117452170	NOS1	0	-	244028
chr3	164978898	165078496	SI	0	-	99598
chr3	186635969	186653141	FETUB	0	+	17172
chr3	184371935	184381968	THPO	0	-	10033
chr7	108023548	108130361	LAMB4	0	-	106813
chr7	107660828	107717809	SLC26A4	0	+	56981
chr7	107765467	107803225	SLC26A3	0	-	37758
chr3	3066324	3126613	IL5RA	0	-	60289
chrX	21705978	21758116	SMPX	0	-	52138
chr17	66212033	66256525	APOH	0	-	44492
chr11	22338381	22379503	SLC17A6	0	+	41122
chr7	130380339	130388114	CPA1	0	+	7775
chr14	24505353	24508265	CMA1	0	-	2912
chr14	23412740	23435660	MYH7	0	-	22920
chr14	23117306	23119255	CEBPE	0	-	1949
chr14	21280083	21351301	RPGRIP1	0	+	71218
chr3	16586792	16670306	DAZL	0	-	83514
chrY	6910686	7101970	TBL1Y	0	+	191284
chr1	36084094	36088275	TEKT2	0	+	4181
chr6	132722787	132736935	VNN3	0	-	14148
chr19	15082211	15092970	OR1I1	0	+	10759
chr11	114521645	114559895	NXPE1	0	-	38250
chr10	93612537	93666010	PDE6C	0	+	53473
chr10	114179270	114232304	TDRD1	0	+	53034
chr6	39314698	39322968	KCNK16	0	-	8270
chr6	41335608	41350889	NCR2	0	+	15281
chr6	33794673	33804003	MLN	0	-	9330
chr16	30989256	31010638	STX1B	0	-	21382
chr19	1285873	1301431	EFNA2	0	+	15558
chrY	5000226	5742224	PCDH11Y	0	+	741998
chrY	6865918	6911752	AMELY	0	-	45834
chr19	589881	617159	HCN2	0	+	27278
chr19	489176	505343	MADCAM1	0	+	16167
chr22	20774113	20787720	SERPIND1	0	+	13607
chr22	30447959	30472017	SEC14L3	0	-	24058
chr22	24494107	24528390	UPB1	0	+	34283
chr22	25199858	25207359	CRYBB3	0	+	7501
chr22	31134807	31140508	PLA2G3	0	-	5701
chr22	22644614	22647898	GGTLC2	0	+	3284
chr22	26599278	26618027	CRYBB1	0	-	18749
chr22	37970686	37987422	SOX10	0	-	16736
chr22	38078134	38084184	SLC16A8	0	-	6050
chr22	32218464	32255347	SLC5A4	0	-	36883
chr22	38518948	38570204	DMC1	0	-	51256
chr22	23059415	23145021	RSPH14	0	-	85606
chr22	29058672	29061831	C22orf31	0	-	3159
chr22	50486784	50490648	MIOX	0	+	3864
chr22	50738196	50745339	ACR	0	+	7143
chr22	43879678	43892013	PNPLA5	0	-	12335
chr22	50059391	50085426	MLC1	0	-	26035
chr14	88180103	88326907	KCNK10	0	-	146804
chr14	76826372	76870304	LRRC74A	0	+	43932
chr14	70044215	70189070	SLC8A3	0	-	144855
chr14	24070837	24078100	CPNE6	0	+	7263
chr20	25070885	25082141	VSX1	0	-	11256
chr20	44337043	44351238	R3HDML	0	+	14195
chr20	59019429	59026654	TUBB1	0	+	7225
chr20	62214960	62220278	HRH3	0	-	5318
chr20	63235883	63240495	BIRC7	0	+	4612
chr20	63240784	63272694	NKAIN4	0	-	31910
chr20	3082556	3084724	AVP	0	-	2168
chr20	63293186	63334851	COL20A1	0	+	41665
chr20	63343223	63378401	CHRNA4	0	-	35178
chr20	3777504	3781448	SPEF1	0	-	3944
chr20	13849247	13996443	SEL1L2	0	-	147196
chr20	5299218	5316954	PROKR2	0	-	17736
chr20	31819308	31834689	MYLK2	0	+	15381
chr20	7882985	7940458	HAO1	0	-	57473
chr20	1978757	1994285	PDYN	0	-	15528
chr20	9537370	9839076	PAK5	0	-	301706
chr20	3071620	3072517	OXT	0	+	897
chr20	38304150	38337505	BPI	0	+	33355
chr20	23564732	23568484	CST9L	0	-	3752
chr20	38724486	38729372	SLC32A1	0	+	4886
chr20	34194569	34269344	ASIP	0	+	74775
chr20	45512461	45515622	SPINT3	0	-	3161
chr18	37243040	37565827	CELF4	0	-	322787
chr18	61333430	61555779	CDH20	0	+	222349
chr18	46667821	46759257	ST8SIA5	0	-	91436
chr18	33851100	34224952	NOL4	0	-	373852
chrX	104039956	104042454	H2BW2	0	+	2498
chrX	120109051	120115913	RHOXF1	0	-	6862
chrX	109372906	109482086	GUCY2F	0	-	109180
chrX	120362085	120383249	ATP1B4	0	+	21164
chrX	49829260	49834264	PAGE4	0	+	5004
chrX	14529298	14731812	GLRA2	0	+	202514
chrX	139581770	139708227	MCF2	0	-	126457
chrX	139530739	139563459	F9	0	+	32720
chrX	49205063	49233371	CACNA1F	0	-	28308
chrX	115289715	115307563	LUZP4	0	+	17848
chrX	64268081	64395452	MTMR8	0	-	127371
chrX	42777366	42778163	PPP1R2C	0	-	797
chrX	154144243	154159032	OPN1LW	0	+	14789
chrX	18639688	18672108	RS1	0	-	32420
chrX	102937272	102938300	RAB40AL	0	+	1028
chrX	48786562	48794311	GATA1	0	+	7749
chrX	151176584	151181465	GPR50	0	+	4881
chrX	24558087	24672677	PCYT1B	0	-	114590
chrX	136487947	136493780	BRS3	0	+	5833
chrX	136648158	136660390	CD40LG	0	+	12232
chrX	87517409	87670050	KLHL4	0	+	152641
chrX	91779261	92623230	PCDH11X	0	+	843969
chrX	54748918	54798255	ITIH6	0	-	49337
chrX	75368427	75523502	ZDHHC15	0	-	155075
chrX	101219769	101264502	DRP2	0	+	44733
chrX	101268253	101293057	TAF7L	0	-	24804
chr13	46831546	46897076	HTR2A	0	-	65530
chr13	49220338	49222377	MLNR	0	+	2039
chr13	21671073	21704498	FGF9	0	+	33425
chr13	23180979	23325162	SGCG	0	+	144183
chr13	76948511	76958638	ACOD1	0	+	10127
chr16	56565073	56568957	MT4	0	+	3884
chr16	49277917	49281838	CBLN1	0	-	3921
chr16	83968244	84002776	NECAB2	0	+	34532
chr16	4958330	5019157	SEC14L5	0	+	60827
chr16	21197450	21214510	ZP2	0	-	17060
chr16	2783953	2787948	PRSS33	0	-	3995
chr16	25215731	25228932	AQP8	0	+	13201
chr15	27754875	28099315	OCA2	0	-	344440
chr8	54509422	54871720	RP1	0	+	362298
chr8	142834247	142916506	GML	0	+	82259
chr8	123680794	123737402	ANXA13	0	-	56608
chr8	39743735	39838227	ADAM2	0	-	94492
chr8	17864380	17910365	FGL1	0	-	45985
chr19	48880967	48898744	TULP2	0	-	17777
chr19	49015980	49017091	LHB	0	-	1111
chr19	49067397	49072699	KCNA7	0	-	5302
chr19	45306413	45322875	CKM	0	-	16462
chr19	49361783	49375116	DKKL1	0	+	13333
chr19	7669049	7670455	RETN	0	+	1406
chr19	7763210	7769605	CLEC4M	0	+	6395
chr19	45795713	45815308	RSPH6A	0	-	19595
chr19	54593582	54602381	LILRA1	0	+	8799
chr19	39602524	39607474	LGALS13	0	+	4950
chr19	39731255	39738029	CLC	0	-	6774
chr19	4279266	4290722	SHD	0	+	11456
chr19	36111143	36113711	OVOL3	0	+	2568
chr19	3804024	3869038	ZFR2	0	-	65014
chr19	41619015	41627074	CEACAM4	0	-	8059
chr19	51450847	51458456	SIGLEC8	0	-	7609
chr19	51379909	51387974	LIM2	0	-	8065
chr19	47819779	47843330	CRX	0	+	23551
chr19	5455417	5456856	ZNRF4	0	+	1439
chr19	48364367	48376377	SYNGR4	0	+	12010
chr19	48029383	48044079	CABP5	0	-	14696
chr19	361747	376026	THEG	0	-	14279
chr19	48755524	48758333	FGF21	0	+	2809
chr19	53909278	53943950	CACNG7	0	+	34672
chr19	12884422	12887201	KLF1	0	-	2779
chr19	17951293	18000085	KCNN1	0	+	48792
chr19	35550031	35563658	ATP4A	0	-	13627
chr19	35292125	35313807	MAG	0	+	21682
chr19	18607430	18621039	TMEM59L	0	+	13609
chr19	35280716	35285143	HAMP	0	+	4427
chr7	87627548	87832296	RUNDC3B	0	+	204748
chr7	25224570	25228486	NPVF	0	-	3916
chr7	118214669	118496171	ANKRD7	0	+	281502
chr7	159028175	159144867	VIPR2	0	-	116692
chr7	30651942	30700129	CRHR2	0	-	48187
chr7	30938669	30993254	GHRHR	0	+	54585
chr7	75810825	75823356	CCL24	0	-	12531
chr7	123828983	123877481	HYAL4	0	+	48498
chr7	123925237	123971414	SPAM1	0	+	46177
chr7	127610292	127618142	PAX4	0	-	7850
chr7	100583982	100601117	FBXO24	0	+	17135
chr7	31687215	31708455	PPP1R17	0	+	21240
chr7	101195007	101201038	MOGAT3	0	-	6031
chr7	144397240	144410227	NOBOX	0	-	12987
chr7	101613330	101629296	MYL10	0	-	15966
chr7	44138864	44141332	MYL7	0	-	2468
chr7	44143213	44198170	GCK	0	-	54957
chr7	151956379	152019929	GALNTL5	0	+	63550
chr9	124001670	124033301	LHX2	0	+	31631
chr9	114060127	114078328	AMBP	0	-	18201
chr9	114893343	114930595	TNFSF8	0	-	37252
chr9	5299864	5304716	RLN2	0	-	4852
chr9	5334930	5339876	RLN1	0	-	4946
chr9	135702185	135795508	KCNT1	0	+	93323
chr9	12685439	12710285	TYRP1	0	+	24846
chr9	136196250	136205128	LHX3	0	-	8878
chr10	96304409	96338564	DNTT	0	+	34155
chr10	115093365	115948999	ATRNL1	0	+	855634
chr10	100288149	100330264	PKD2L1	0	-	42115
chr10	16823966	17129811	CUBN	0	-	305845
chr10	101770109	101780371	FGF8	0	-	10262
chr10	102230186	102241512	PITX3	0	-	11326
chr10	106573663	107164706	SORCS1	0	-	591043
chr10	93757840	93806272	LGI1	0	+	48432
chr17	29246859	29254494	CRYBA1	0	+	7635
chr17	41420547	41424585	KRT37	0	-	4038
chr17	33013087	34174964	ASIC2	0	-	1161877
chr17	34270221	34272242	CCL7	0	+	2021
chr17	34360328	34363233	CCL1	0	-	2905
chr17	41459513	41467386	KRT32	0	-	7873
chr17	43940804	43942476	PPY	0	-	1672
chr17	67044554	67056797	CACNG1	0	+	12243
chr17	9896320	9905271	RCVRN	0	-	8951
chr17	10492307	10518542	MYH1	0	-	26235
chr4	41744082	41748725	PHOX2B	0	-	4643
chr4	46918900	46993581	GABRA4	0	-	74681
chr4	67737118	67754388	GNRHR	0	-	17270
chr4	68815994	68832023	UGT2B10	0	+	16029
chr4	70195725	70204576	ODAM	0	+	8851
chr4	70360760	70367158	SMR3A	0	+	6398
chr4	73853296	73854483	PF4V1	0	+	1187
chr4	140559431	140568961	UCP1	0	-	9530
chr4	122451470	122456725	IL2	0	-	5255
chr4	10486395	10684768	CLNK	0	-	198373
chr4	13540830	13544508	NKX3-2	0	-	3678
chr4	3441968	3449486	HGFAC	0	+	7518
chr11	125903348	125943702	DDX25	0	+	40354
chr11	20156155	20160475	DBX1	0	-	4320
chr11	121101243	121191490	TECTA	0	+	90247
chr11	122838500	122872643	CRTAM	0	+	34143
chr11	57338352	57372396	P2RX3	0	+	34044
chr11	6259806	6272127	CCKBR	0	+	12321
chr11	6431049	6442617	HPX	0	-	11568
chr11	72114869	72139892	FOLR3	0	+	25023
chr11	116789367	116792420	APOA5	0	-	3053
chr11	116820700	116823304	APOA4	0	-	2604
chr11	116829706	116833072	APOC3	0	+	3366
chr11	35251205	35420063	SLC1A2	0	-	168858
chr11	62270158	62273160	SCGB2A2	0	+	3002
chr11	2295628	2303049	C11orf21	0	-	7421
chr11	107591091	107666779	ELMOD1	0	+	75688
chr11	14966668	14972351	CALCA	0	-	5683
chr11	18727928	18792721	PTPN5	0	-	64793
chr12	108858932	108901043	DAO	0	+	42111
chr12	33374238	33439819	SYT10	0	-	65581
chr12	80707634	80709474	MYF6	0	+	1840
chr12	80716912	80719671	MYF5	0	+	2759
chr12	3381349	3593973	PRMT8	0	+	212624
chr12	4428155	4445815	FGF6	0	-	17660
chr12	110910819	110921443	MYL2	0	-	10624
chr12	111034165	111350554	CUX2	0	+	316389
chr12	4615508	4649051	AKAP3	0	-	33543
chr12	4909905	4918256	KCNA1	0	+	8351
chr12	12940775	12952147	GPRC5D	0	-	11372
chr12	13083532	13103683	GSG1	0	-	20151
chr12	14825569	14843526	ART4	0	-	17957
chr12	18080869	18320107	RERGL	0	-	239238
chr12	47709734	47725567	ENDOU	0	-	15833
chr12	68201349	68225810	IL26	0	-	24461
chr12	68154768	68159740	IFNG	0	-	4972
chr12	7649400	7665908	APOBEC1	0	-	16508
chr12	7787794	7799146	NANOG	0	+	11352
chr12	8602170	8612867	AICDA	0	-	10697
chr12	106583004	106762803	RFX4	0	+	179799
chr6	116616479	116632985	RSPH4A	0	+	16506
chr6	10762723	10838553	MAK	0	-	75830
chr6	89254464	89315299	GABRR2	0	-	60835
chr6	154010496	154246867	OPRM1	0	+	236371
chr6	35497874	35512896	TULP1	0	-	15022
chr6	35943516	36024868	SLC26A8	0	-	81352
chr6	49605175	49636839	RHAG	0	-	31664
chr6	52186375	52190638	IL17A	0	+	4263
chr6	52236681	52244500	IL17F	0	-	7819
chr6	39048781	39091303	GLP1R	0	+	42522
chr6	41189749	41201149	TREML2	0	-	11400
chr6	41042467	41044337	TSPO2	0	+	1870
chr6	96562548	96618626	FHL5	0	+	56078
chr6	61679961	62286225	KHDRBS2	0	-	606264
chr6	99606774	99615578	PRDM13	0	+	8804
chr6	100385009	100464921	SIM1	0	-	79912
chr6	22569566	22571666	HDGFL1	0	+	2100
chr6	108166022	108188805	NR2E1	0	+	22783
chr6	25912754	25930691	SLC17A2	0	-	17937
chr6	167271169	167316014	UNC93A	0	+	44845
chr6	160171061	160277638	SLC22A2	0	-	106577
chr6	165279664	165309605	C6orf118	0	-	29941
chr6	42183284	42194956	GUCA1B	0	-	11672
chr6	75921114	76072678	IMPG1	0	-	151564
chr6	46793389	46839778	MEP1A	0	+	46389
chr5	138115175	138139443	NME5	0	-	24268
chr5	140360194	140375141	SLC4A9	0	+	14947
chr5	26880597	27121150	CDH9	0	-	240553
chr5	154474972	154478227	HAND1	0	-	3255
chr5	178977587	178996206	GRM6	0	-	18619
chr5	159314780	159330487	IL12B	0	-	15707
chr5	180899077	180950906	BTNL8	0	+	51829
chr5	162000057	162162977	GABRG2	0	+	162920
chr5	34998101	35048135	AGXT2	0	-	50034
chr5	132673986	132682678	IL4	0	+	8692
chr5	132541445	132556838	IL5	0	-	15393
chr5	39284140	39424868	C9	0	-	140728
chr5	150166778	150184558	CDX1	0	+	17780
chr5	176810519	176880898	UNC5A	0	+	70379
chr3	186717348	186744410	KNG1	0	+	27062
chr3	186660216	186678234	HRG	0	+	18018
chr3	120628172	120682269	HGD	0	-	54097
chr3	139452884	139480747	RBP2	0	-	27863
chr3	169839172	169869935	LRRC31	0	-	30763
chr3	50191610	50197696	GNAT1	0	+	6086
chr3	108296490	108378285	HHLA2	0	+	81795
chr3	108958248	109118134	MORC1	0	-	159886
chr3	125969160	125983454	ROPN1B	0	+	14294
chr3	179794958	180037053	PEX5L	0	-	242095
chr2	25160853	25168903	POMC	0	-	8050
chr2	162142882	162152404	GCG	0	-	9522
chr2	74513463	74517148	TLX2	0	+	3685
chr2	79120362	79123409	REG1A	0	+	3047
chr2	84516455	84819589	DNAH6	0	+	303134
chr2	232765802	232776565	KCNJ13	0	-	10763
chr2	233032672	233035057	NEU2	0	+	2385
chr2	218822383	218832086	PRKAG3	0	-	9703
chr2	88067825	88113384	SMYD1	0	+	45559
chr2	102418689	102452565	IL18RAP	0	+	33876
chr2	1374066	1543711	TPO	0	+	169645
chr2	172099438	172102900	DLX2	0	-	3462
chr2	135787850	135837184	LCT	0	-	49334
chr19	917287	921005	KISS1R	0	+	3718
chr1	175315194	175743616	TNR	0	-	428422
chr16	1221651	1225268	TPSG1	0	-	3617
chr1	179550539	179575952	NPHS2	0	-	25413
chr1	6101787	6180321	CHD5	0	-	78534
chr1	28812170	28871267	OPRD1	0	+	59097
chr1	186443566	186461114	PDC	0	-	17548
chr1	12791397	12796628	PRAMEF1	0	+	5231
chr1	12773738	12777906	PRAMEF12	0	+	4168
chr1	68428822	68449954	RPE65	0	-	21132
chr1	114673090	114695618	AMPD1	0	-	22528
chr1	119368779	119394130	HAO2	0	+	25351
chr1	39651229	39672107	NT5C1A	0	-	20878
chr1	39678648	39691485	HPCAL4	0	-	12837
chr1	237877864	237890922	ZP4	0	-	13058
chr1	145719471	145739288	CD160	0	+	19817
chr1	43337818	43354466	MPL	0	+	16648
chr1	170935526	171064765	MROH9	0	+	129239
chr1	172659103	172666876	FASLG	0	+	7773
chr1	98890245	99005032	PLPPR5	0	-	114787
chr1	173903800	173917327	SERPINC1	0	-	13527
chr1	48222685	48248644	SLC5A9	0	+	25959
chr15	78624111	78727754	CHRNB4	0	-	103643
chr3	138123713	138132390	A4GNT	0	-	8677
chr11	102711796	102727050	MMP8	0	-	15254
chr11	116835751	116837622	APOA1	0	-	1871
chr2	208121607	208124524	CRYGD	0	-	2917
chr2	216859458	216860064	TNP1	0	-	606
chr1	150257251	150265078	CA14	0	+	7827
chr12	25108289	25195162	DNAI7	0	-	86873
chr6	88047841	88066838	SPACA1	0	+	18997
chr6	146598967	146815462	ADGB	0	+	216495
chr6	134917393	134950115	ALDH8A1	0	-	32722
chr6	131470832	131584332	ARG1	0	+	113500
chr1	101802560	101996926	OLFM3	0	-	194366
chr12	4368227	4379712	FGF23	0	-	11485
chr2	195737703	196068837	DNAH7	0	-	331134
chr9	74722495	74888094	TRPM6	0	-	165599
chr1	231162058	231221565	TRIM67	0	+	59507
chr14	74852871	74876154	PROX2	0	-	23283
chr14	74239449	74262738	VSX2	0	+	23289
chr14	76310712	76501837	ESRRB	0	+	191125
chr10	112283400	112305038	TECTB	0	+	21638
chr10	102226299	102229589	ELOVL3	0	+	3290
chr10	99532942	99536524	NKX2-3	0	+	3582
chr10	118589997	118595648	PRLHR	0	-	5651
chr10	104353833	104455102	CFAP58	0	+	101269
chr10	100042193	100081869	CPN1	0	-	39676
chr10	97766751	97771999	SFRP5	0	-	5248
chr17	48528526	48531011	HOXB1	0	-	2485
chr9	27284654	27297150	EQTN	0	-	12496
chr9	5123880	5185647	INSL6	0	-	61767
chr9	5231419	5235304	INSL4	0	+	3885
chr9	5890889	5910606	MLANA	0	+	19717
chr9	21349835	21351378	IFNA6	0	-	1543
chr9	21409117	21410185	IFNA8	0	+	1068
chr4	157204182	157366075	GRIA2	0	+	161893
chr6	151494017	151621193	CCDC170	0	+	127176
chrX	30558809	30577766	TASL	0	-	18957
chr1	173039202	173050941	TNFSF18	0	-	11739
chr6	167155247	167157980	GPR31	0	-	2733
chr6	167325071	167359503	TTLL2	0	+	34432
chrX	70528940	70908711	TEX11	0	-	379771
chrX	70268305	70281840	ARR3	0	+	13535
chr10	29289061	29318328	LYZL1	0	+	29267
chr5	137867858	137887851	MYOT	0	+	19993
chr8	27459756	27479883	CHRNA2	0	-	20127
chr8	26748150	26867278	ADRA1A	0	-	119128
chr1	11857464	11858945	NPPB	0	-	1481
chr1	12857086	12861909	PRAMEF2	0	+	4823
chr17	58192726	58205174	EPX	0	+	12448
chr17	58556678	58692055	TEX14	0	-	135377
chr12	10806051	10807286	TAS2R8	0	-	1235
chr12	11391540	11501041	PRB2	0	-	109501
chr12	21354959	21379980	IAPP	0	+	25021
chr12	10801532	10802627	TAS2R7	0	-	1095
chr12	10809094	10810168	TAS2R9	0	-	1074
chr1	182409192	182560599	RGSL1	0	+	151407
chr3	109326144	109337546	DPPA4	0	-	11402
chr1	147902795	147909269	GJA8	0	+	6474
chr1	31617686	31632518	HCRTR1	0	+	14832
chr3	172443291	172448456	GHSR	0	-	5165
chr3	165186720	165197109	SLITRK3	0	-	10389
chr5	76083383	76353939	SV2C	0	+	270556
chr13	28003274	28100592	FLT3	0	-	97318
chr9	135546126	135549969	OBP2A	0	+	3843
chrX	80014753	80031774	TBX22	0	+	17021
chr1	203083129	203086012	MYOG	0	-	2883
