Chr	Start	End	Mutations
chr1	155933885	155938438	0
chr1	156050621	156055890	3
chr1	156139417	156144687	0
chr1	156144781	156149315	0
chr1	156285423	156286712	2
chr1	156589690	156592871	1
chr1	156594610	156599170	8
chr1	156699647	156708136	1
chr1	156726277	156729343	3
chr1	156741523	156745779	2
chr1	157137401	157139032	0
chr1	159923770	159927441	0
chr1	159928025	159930684	4
chr1	160207714	160211604	2
chr1	160342439	160345019	2
chr1	161037575	161039474	1
chr1	161047292	161048664	4
chr1	161068015	161070128	0
chr1	161071980	161075267	3
chr1	161084373	161088188	0
chr1	161101206	161102539	0
chr1	161114984	161121140	3
chr1	161155682	161161485	1
chr1	161212057	161216693	3
chr1	162559962	162562830	0
chr1	164557698	164559736	0
chr1	166838033	166842671	0
chr1	167220890	167222995	1
chr1	169485232	169486530	0
chr1	170530649	170532969	3
chr1	173477024	173478842	0
chr1	173870579	173871897	2
chr1	174019917	174023140	0
chr1	179591159	179593494	2
chr1	179881808	179884251	3
chr1	181088390	181090557	6
chr1	182839057	182840155	0
chr1	182840694	182842478	0
chr1	183022495	183026154	0
chr1	183469914	183474119	0
chr1	184753336	184756454	0
chr1	185315550	185316990	0
chr1	200407901	200411046	6
chr1	200737832	200740952	2
chr1	201113570	201116261	0
chr1	201464767	201470045	4
chr1	202009453	202015827	2
chr1	202806770	202810255	1
chr1	202956573	202959085	0
chr1	202963378	202964833	0
chr1	202965290	202968233	4
chr1	203024940	203028186	0
chr1	203306781	203308102	0
chr1	203793564	203796730	0
chr1	203858331	203862313	0
chr1	204195919	204203172	2
chr1	204410505	204412233	2
chr1	205748877	205750880	1
chr1	206684254	206686785	0
chr1	206687689	206688613	0
chr1	207323100	207324152	0
chr1	207753759	207757241	4
chr1	209804001	209806603	0
chr1	211577062	211579845	2
chr1	212284394	212286957	0
chr1	212791154	212795138	4
chr1	213013687	213015882	1
chr1	214280208	214282659	0
chr1	214550311	214552688	0
chr1	215566657	215568804	0
chr1	218345013	218346482	0
chr1	221738029	221743527	4
chr1	224433053	224435433	0
chr1	227725969	227736323	3
chr1	227948445	227952524	0
chr1	228078615	228084570	0
chr1	228098234	228104680	0
chr1	228108102	228109921	0
chr1	228138548	228151632	2
chr1	228164381	228167142	0
chr1	228205000	228211383	0
chr1	233612940	233615921	2
chr1	234606333	234607952	0
chr1	234608104	234610721	0
chr1	235327655	235330642	0
chr1	244862886	244865743	2
chr1	244969028	244971607	0
chr1	247330296	247333305	0
chr2	666999	679007	2
chr2	1745264	1746313	0
chr2	3551657	3555615	0
chr2	3573921	3577717	2
chr2	8677428	8679750	0
chr2	10301049	10305229	0
chr2	11342811	11345775	0
chr2	20222510	20227204	0
chr2	20446344	20449414	7
chr2	20821836	20823530	0
chr2	24076086	24078550	1
chr2	25041474	25044236	0
chr2	26030933	26035841	1
chr2	26036170	26039688	0
chr2	26764900	26766037	0
chr2	26766756	26781631	5
chr2	27033742	27038741	7
chr2	27081301	27087831	1
chr2	27210208	27213081	1
chr2	27220027	27224181	1
chr2	27321957	27324907	0
chr2	27326247	27330333	6
chr2	27366916	27369683	7
chr2	28391669	28396183	0
chr2	30145990	30148209	0
chr2	32356515	32359408	0
chr2	32943155	32945139	0
chr2	36355081	36357590	1
chr2	37198235	37200526	0
chr2	42766165	42769373	2
chr2	43224041	43227934	5
chr2	47174763	47177506	1
chr2	60880362	60881654	0
chr2	60882293	60883259	0
chr2	61537724	61540041	1
chr2	61884283	61885861	0
chr2	65226749	65229182	1
chr2	65430135	65432606	0
chr2	70086204	70090364	1
chr2	73980911	73982964	0
chr2	74145891	74149728	0
chr2	74420617	74430483	6
chr2	74455676	74457955	2
chr2	74458304	74463041	9
chr2	74464316	74466313	0
chr2	74497546	74502391	2
chr2	74504301	74506230	1
chr2	74523191	74527879	5
chr2	74832746	74839228	1
chr2	74958378	74960406	2
chr2	84906962	84910205	0
chr2	84969041	84973082	0
chr2	85595495	85596984	0
chr2	85598558	85604590	2
chr2	86439905	86443011	0
chr2	95291768	95299494	0
chr2	96134106	96137887	0
chr2	96140520	96143190	0
chr2	96637751	96639811	0
chr2	96860133	96878760	6
chr2	97648637	97657195	1
chr2	97659249	97661482	0
chr2	101252195	101254541	1
chr2	105338984	105340234	2
chr2	105743933	105746552	0
chr2	108786116	108787294	3
chr2	109613137	109617205	1
chr2	112054176	112057598	0
chr2	112580630	112582867	0
chr2	112644967	112647112	0
chr2	113888977	113891784	0
chr2	119366537	119368492	0
chr2	120013902	120016453	0
chr2	120345537	120351187	2
chr2	127883059	127887144	0
chr2	128026783	128029234	0
chr2	130127118	130130483	0
chr2	130341831	130345547	0
chr2	131092560	131094913	0
chr2	131483769	131490524	1
chr2	132254567	132256033	0
chr2	135984614	135985740	0
chr2	152717167	152719307	4
chr2	156341426	156343295	0
chr2	158456094	158458141	0
chr2	159712793	159713702	0
chr2	164619012	164622066	0
chr2	173962204	173966192	1
chr2	177212375	177217070	3
chr2	181891351	181892968	0
chr2	191244927	191246415	0
chr2	197451790	197454345	0
chr2	197455538	197457491	0
chr2	200810946	200813288	0
chr2	200860957	200863354	1
chr2	202264537	202266261	0
chr2	202375613	202377731	2
chr2	203533350	203536378	0
chr2	206158618	206161366	2
chr2	207164426	207167377	1
chr2	207528243	207531784	0
chr2	210170202	210172943	0
chr2	216497666	216500537	2
chr2	216694009	216695707	0
chr2	218215975	218217960	0
chr2	218256212	218266789	1
chr2	218394390	218401883	1
chr2	219219419	219226383	6
chr2	219246512	219249251	3
chr2	219278688	219280370	1
chr2	219542211	219545041	0
chr2	221569911	221574283	0
chr2	222863595	222865160	0
chr2	226796044	226800731	10
chr2	231040051	231042363	1
chr2	231395126	231400896	2
chr2	232520665	232546775	8
chr2	232550126	232552819	0
chr2	232553532	232555098	0
chr2	234494768	234498493	0
chr2	234950834	234953811	0
chr2	236570465	236572159	0
chr2	237486926	237489873	0
chr2	237569326	237580082	2
chr2	238096683	238101037	1
chr2	238286618	238290089	0
chr2	240571550	240576543	3
chr2	240577611	240589269	0
chr2	241314329	241318671	0
chr2	241352456	241356928	1
chr2	241689501	241694560	0
chr3	4976828	4984042	3
chr3	5187075	5189565	0
chr3	8502512	8504290	0
chr3	9395045	9398697	0
chr3	9698359	9703118	0
chr3	9805156	9808000	0
chr3	9808051	9811868	0
chr3	9914981	9918108	2
chr3	9945730	9951351	4
chr3	10006310	10008245	0
chr3	10316382	10319288	0
chr3	10320412	10324135	0
chr3	14125726	14128829	0
chr3	14177269	14179444	0
chr3	14670148	14672534	0
chr3	14672978	14673961	0
chr3	14946629	14948488	0
chr3	15093318	15099367	1
chr3	23916267	23918791	0
chr3	23944487	23946777	0
chr3	25661421	25664168	0
chr3	27482318	27484706	0
chr3	38452753	38455201	0
chr3	39146030	39154032	0
chr3	39383852	39388169	0
chr3	39404367	39408644	0
chr3	39409591	39410264	0
chr3	47376083	47379083	0
chr3	47379914	47382072	0
chr3	47579698	47582020	0
chr3	47582065	47584438	0
chr3	48444006	48445270	0
chr3	48591168	48606335	7
chr3	48619303	48624248	2
chr3	48629479	48634152	2
chr3	48654276	48667734	12
chr3	48686896	48690171	0
chr3	48985548	48989373	0
chr3	49023380	49028077	3
chr3	49028281	49033045	1
chr3	49093123	49097590	1
chr3	49106944	49109302	0
chr3	49119929	49122458	1
chr3	49127384	49135959	7
chr3	49159011	49165037	3
chr3	49357718	49359924	0
chr3	49427492	49430017	1
chr3	49672439	49675329	1
chr3	49675472	49678769	0
chr3	50187524	50189638	1
chr3	50258920	50273945	2
chr3	50274450	50278003	0
chr3	50288350	50298861	6
chr3	50335828	50338872	0
chr3	50352944	50355092	2
chr3	50609394	50613952	0
chr3	51968587	51973690	0
chr3	51993064	51993649	0
chr3	51993919	51994877	0
chr3	52249449	52250624	1
chr3	52284126	52291606	0
chr3	52490775	52496966	1
chr3	52684774	52686391	0
chr3	53887126	53889215	0
chr3	63862400	63865234	0
chr3	64020711	64022063	0
chr3	66036245	66039840	0
chr3	72442605	72444204	0
chr3	72445824	72447933	1
chr3	101678776	101681236	0
chr3	101683619	101684832	0
chr3	113439059	113440527	0
chr3	113440951	113442508	0
chr3	113744850	113746913	0
chr3	119239783	119241306	0
chr3	120597195	120599436	0
chr3	120738427	120740887	0
chr3	121748516	121751130	0
chr3	123583694	123586039	0
chr3	126473065	126476370	0
chr3	127669822	127676278	1
chr3	129162531	129163685	0
chr3	129312807	129317082	0
chr3	129430015	129431155	0
chr3	129892565	129894520	0
chr3	133572809	133575222	0
chr3	134372122	134373914	0
chr3	134374124	134375895	0
chr3	140941278	140942860	0
chr3	141230223	141233811	0
chr3	143970439	143973732	0
chr3	149379007	149382248	0
chr3	149969776	149972677	0
chr3	150408034	150411332	3
chr3	154321622	154325090	1
chr3	156674955	156676246	0
chr3	156824961	156828936	0
chr3	157157830	157162051	1
chr3	160564279	160566359	1
chr3	161371094	161374284	0
chr3	169965034	169967443	1
chr3	170355417	170359266	0
chr3	170866277	170867586	1
chr3	170869640	170871138	1
chr3	172038770	172044464	0
chr3	182790772	182794948	0
chr3	183635265	183637491	0
chr3	184158368	184163819	1
chr3	184169739	184172831	2
chr3	184185335	184186639	3
chr3	184311605	184313710	0
chr3	184358615	184366755	1
chr3	184382658	184389686	6
chr3	185935735	185938282	1
chr3	186570236	186572297	0
chr3	186583899	186584922	0
chr3	187742642	187745807	0
chr3	188153276	188155077	0
chr3	192916948	192919498	2
chr3	194132399	194139821	1
chr3	196286496	196288447	0
chr3	196316163	196320179	0
chr3	196938791	196945817	1
chr4	666609	670686	0
chr4	672454	677178	0
chr4	986541	992403	2
chr4	1000420	1016440	1
chr4	1204371	1211524	0
chr4	1241922	1250805	1
chr4	1714801	1723599	2
chr4	1868509	1872929	0
chr4	2254233	2269674	1
chr4	2532321	2538723	0
chr4	2790962	2799955	0
chr4	2924875	2942357	6
chr4	3241668	3243926	0
chr4	3289910	3295841	0
chr4	4243448	4245994	0
chr4	6640773	6642459	3
chr4	6689335	6693488	0
chr4	6707308	6710080	3
chr4	7038675	7044637	1
chr4	7063469	7066331	0
chr4	10112922	10115354	0
chr4	10116150	10117658	0
chr4	15001798	15005386	0
chr4	17810306	17811533	1
chr4	24582496	24585421	0
chr4	40055074	40057656	0
chr4	56503661	56508742	0
chr4	67700432	67702092	0
chr4	68348890	68351132	0
chr4	70686553	70690109	3
chr4	73257201	73262133	1
chr4	75511355	75514165	0
chr4	76896040	76898728	1
chr4	76948221	76951377	0
chr4	77074087	77077274	0
chr4	77156455	77159475	1
chr4	77818500	77823503	1
chr4	78773570	78777843	0
chr4	82371800	82374872	0
chr4	82426454	82427556	2
chr4	82428118	82431325	3
chr4	84580517	84584258	0
chr4	88005738	88008511	0
chr4	90126408	90129178	0
chr4	94450134	94453094	0
chr4	98257706	98262230	1
chr4	99892630	99895378	0
chr4	99948140	99949308	6
chr4	101344875	101350427	1
chr4	105469555	105472161	0
chr4	107823662	107827361	0
chr4	108622499	108623850	0
chr4	112638947	112640810	0
chr4	123395840	123402357	6
chr4	124710895	124713751	0
chr4	128286270	128289306	0
chr4	139175962	139178335	0
chr4	140752929	140753783	0
chr4	143333833	143338125	0
chr4	143514348	143515915	0
chr4	152534041	152537843	0
chr4	152935223	152938166	0
chr4	153465116	153467913	1
chr4	165329329	165331581	0
chr4	173332245	173335318	3
chr4	182142250	182145965	1
chr4	183098106	183101088	0
chr4	183503500	183506846	0
chr4	184648206	184650697	0
chr4	185142590	185143891	0
chr4	185144007	185145494	3
chr5	852130	864149	0
chr5	890976	893918	1
chr5	1111150	1113852	0
chr5	1345863	1349623	0
chr5	1877381	1884664	3
chr5	2746426	2748988	1
chr5	2750283	2756353	2
chr5	6378006	6379762	2
chr5	6631939	6634756	0
chr5	10351367	10355004	0
chr5	14142581	14145651	0
chr5	14664067	14668135	0
chr5	16463306	16467518	3
chr5	32173327	32175862	1
chr5	32312191	32314698	0
chr5	34929064	34930933	0
chr5	35229050	35232088	0
chr5	36240272	36242266	0
chr5	36875000	36877307	0
chr5	40754755	40757315	0
chr5	40829840	40832278	0
chr5	56813609	56817043	0
chr5	58458813	58461340	1
chr5	61161219	61163337	0
chr5	61330217	61334588	0
chr5	65924742	65927589	0
chr5	69492154	69493143	0
chr5	73497614	73499132	0
chr5	78359279	78362223	0
chr5	79235816	79238452	2
chr5	79512283	79515736	0
chr5	80251992	80256577	0
chr5	80256665	80260576	0
chr5	86617104	86619662	0
chr5	91379664	91381380	0
chr5	98927795	98929275	0
chr5	108379818	108383337	0
chr5	115543964	115545752	0
chr5	115621620	115623314	0
chr5	132962220	132964588	0
chr5	134523436	134528754	0
chr5	134903583	134905750	0
chr5	135031201	135036373	0
chr5	135398087	135401561	0
chr5	137751584	137754489	2
chr5	138457957	138471049	4
chr5	138541337	138544084	0
chr5	138572606	138573717	0
chr5	139292666	139294235	0
chr5	139339578	139341478	0
chr5	139389361	139395326	6
chr5	139396562	139399795	0
chr5	139400854	139407086	3
chr5	139471229	139476700	0
chr5	139647970	139650695	0
chr5	140173857	140176387	0
chr5	140640718	140644387	6
chr5	140695351	140697653	1
chr5	141318687	141319818	1
chr5	141634668	141638740	1
chr5	141639313	141641341	5
chr5	141920748	141924577	3
chr5	148382340	148386200	0
chr5	150448161	150450424	0
chr5	150483231	150487488	0
chr5	150699007	150701159	1
chr5	151090025	151092180	0
chr5	151094803	151096899	0
chr5	151769628	151772988	0
chr5	157740418	157742825	0
chr5	159265578	159268072	0
chr5	163459566	163461942	0
chr5	168290059	168293598	0
chr5	171387002	171388941	0
chr5	172769826	172773490	0
chr5	172952761	172960778	0
chr5	173323132	173326217	0
chr5	174722719	174726080	0
chr5	174726928	174730108	3
chr5	176526947	176538547	0
chr5	176540394	176547202	0
chr5	177311737	177313995	0
chr5	177440073	177444444	3
chr5	177446180	177457224	1
chr5	177468891	177479014	1
chr5	177488954	177507166	6
chr5	177510470	177513842	2
chr5	177518826	177522665	0
chr5	177596375	177602299	0
chr5	178114759	178125946	4
chr5	178129587	178133304	0
chr5	178231242	178233965	0
chr5	179680239	179687484	0
chr5	179790265	179805368	10
chr5	179901804	179905805	0
chr5	180290694	180294325	0
chr5	180493568	180495807	0
chr6	2761731	2766791	0
chr6	2839124	2840038	0
chr6	2987389	2989784	0
chr6	3059801	3065958	0
chr6	3454582	3459764	0
chr6	3848095	3851177	0
chr6	4016086	4018915	0
chr6	8432774	8434485	0
chr6	8435002	8436192	0
chr6	10417953	10419627	2
chr6	12008844	12010253	0
chr6	12292519	12293716	0
chr6	13572967	13575478	0
chr6	13709924	13712586	0
chr6	15247752	15249318	0
chr6	16127891	16130118	0
chr6	17392761	17394482	0
chr6	17602911	17605059	0
chr6	17705490	17707410	0
chr6	18263359	18267802	0
chr6	19836957	19839452	0
chr6	21596595	21597942	1
chr6	26051501	26056616	4
chr6	26155581	26158361	6
chr6	26158832	26159837	0
chr6	26232827	26234688	5
chr6	26596434	26599131	4
chr6	27145127	27145670	0
chr6	27836509	27838789	10
chr6	27866609	27868605	4
chr6	28922952	28925199	1
chr6	30071046	30078106	1
chr6	30209306	30211606	0
chr6	30212066	30216298	0
chr6	30326016	30327650	0
chr6	30489444	30493501	1
chr6	30555261	30559939	1
chr6	30570805	30573865	0
chr6	30613937	30623697	5
chr6	30624414	30629765	1
chr6	30720007	30722243	0
chr6	30739977	30743618	0
chr6	30743669	30746008	2
chr6	30909531	30916450	5
chr6	31623641	31625915	1
chr6	31650695	31656743	0
chr6	31661405	31666726	2
chr6	31676546	31681518	0
chr6	31721065	31726370	1
chr6	31777531	31782854	0
chr6	31815440	31818115	0
chr6	31860810	31862967	1
chr6	31880545	31883742	0
chr6	31899044	31905019	3
chr6	31973629	31979770	0
chr6	32112202	32123999	1
chr6	32186623	32189053	3
chr6	32967909	32969718	0
chr6	32969777	32971785	1
chr6	33207664	33209495	0
chr6	33211051	33212572	1
chr6	33274740	33281352	12
chr6	33288265	33300816	8
chr6	33314433	33318611	7
chr6	33409254	33412600	1
chr6	33450541	33453014	0
chr6	33453440	33455884	3
chr6	33575045	33580260	2
chr6	33787425	33791335	0
chr6	34243465	34247115	1
chr6	34247481	34250908	1
chr6	35295856	35299843	0
chr6	35470976	35472561	0
chr6	35495749	35502112	1
chr6	36676838	36682893	0
chr6	36985028	36988383	0
chr6	37817512	37820900	0
chr6	41543183	41550650	0
chr6	43012312	43015271	6
chr6	43019606	43020880	1
chr6	43024250	43028878	1
chr6	43035525	43039315	4
chr6	43039660	43041234	1
chr6	43043632	43047933	2
chr6	43071351	43074201	1
chr6	43169162	43175414	2
chr6	43178584	43181442	3
chr6	43223159	43232336	1
chr6	43578976	43582095	0
chr6	43623998	43626984	1
chr6	43769858	43772733	0
chr6	44153684	44156862	0
chr6	44221958	44225594	0
chr6	44251736	44258674	18
chr6	44261828	44267191	1
chr6	53792896	53796323	0
chr6	73392932	73395400	4
chr6	75283769	75287556	0
chr6	75600765	75603125	0
chr6	79075118	79079182	0
chr6	82363501	82365741	1
chr6	83192059	83194079	0
chr6	85674966	85675958	0
chr6	87700784	87702972	0
chr6	89079405	89083716	0
chr6	99424749	99428444	0
chr6	100880253	100881812	0
chr6	108557621	108562041	0
chr6	109467109	109470739	1
chr6	110873964	110876079	1
chr6	116250566	116252746	0
chr6	128518712	128521476	0
chr6	131948665	131951790	3
chr6	132813604	132814894	3
chr6	136548742	136552786	0
chr6	138690634	138693922	0
chr6	139131928	139136500	0
chr6	139372988	139375125	3
chr6	142299879	142302357	0
chr6	143506985	143509150	1
chr6	150864994	150868639	0
chr6	151389474	151392530	0
chr6	151448137	151451933	0
chr6	152981948	152985032	0
chr6	153001856	153004471	0
chr6	154832415	154833127	1
chr6	156776972	156780129	1
chr6	157980445	157986502	0
chr6	158817553	158819936	2
chr6	160124354	160127634	0
chr6	166336972	166340119	0
chr6	167825459	167828153	4
chr6	169701646	169703832	2
chr6	169723589	169725716	0
chr6	169750850	169753628	2
chr6	170287166	170294292	1
chr7	721034	726501	0
chr7	974315	978744	0
chr7	982183	996956	2
chr7	1456420	1461516	0
chr7	1495414	1502400	6
chr7	1503776	1507798	0
chr7	2232019	2239800	2
chr7	2241669	2245495	2
chr7	2354285	2356011	0
chr7	2467418	2479691	1
chr7	4771008	4773456	0
chr7	4774030	4777612	0
chr7	5188591	5191825	0
chr7	5423089	5424622	0
chr7	5515701	5521550	0
chr7	5565491	5578487	0
chr7	5777760	5784694	0
chr7	6479942	6485287	0
chr7	6589388	6591654	0
chr7	6633807	6638522	0
chr7	7568403	7570336	0
chr7	7967792	7970333	0
chr7	8261375	8262955	0
chr7	16645982	16647309	0
chr7	25124869	25126211	0
chr7	29560028	29564231	0
chr7	29986543	29990366	0
chr7	30283272	30287114	0
chr7	39948956	39952283	0
chr7	44571578	44574824	3
chr7	44577925	44579987	1
chr7	44747227	44750712	0
chr7	44795069	44797414	0
chr7	44847588	44851692	0
chr7	44883201	44884354	0
chr7	44884982	44888799	0
chr7	45108628	45112826	0
chr7	47580846	47584178	0
chr7	47979006	47979864	0
chr7	51314535	51321165	0
chr7	55364226	55367907	0
chr7	66088889	66095431	3
chr7	66992437	66995820	1
chr7	73556314	73559181	0
chr7	73678995	73685102	2
chr7	73731828	73739375	3
chr7	73739396	73741892	0
chr7	73767615	73770524	1
chr7	73826778	73841403	7
chr7	74171280	74175517	1
chr7	74198151	74215653	0
chr7	76049143	76050728	0
chr7	76302026	76304970	2
chr7	76305020	76308660	0
chr7	76508020	76514588	0
chr7	76626461	76629797	0
chr7	77536075	77538632	0
chr7	77695832	77697456	0
chr7	83162306	83163411	0
chr7	87151162	87153641	0
chr7	92244965	92247384	0
chr7	92446751	92449263	0
chr7	92588016	92588928	0
chr7	92589313	92591195	1
chr7	92839196	92839305	0
chr7	98877133	98882066	1
chr7	99503131	99508469	2
chr7	100013715	100016685	0
chr7	100089798	100094692	8
chr7	100095581	100099543	9
chr7	100100323	100103423	1
chr7	100119767	100125000	2
chr7	100125157	100129493	1
chr7	100150646	100159310	2
chr7	100366311	100372652	2
chr7	100425208	100437359	9
chr7	100438288	100444346	0
chr7	100564881	100571704	1
chr7	100571803	100574670	3
chr7	100576486	100582989	2
chr7	100672212	100690162	11
chr7	100819280	100825744	2
chr7	100864781	100870240	0
chr7	100870886	100897954	15
chr7	101087060	101094051	4
chr7	101161388	101169862	1
chr7	101231974	101245928	1
chr7	101816061	101818458	0
chr7	102285457	102289583	0
chr7	102428214	102430994	0
chr7	102464330	102469636	4
chr7	106107785	106109576	0
chr7	106283630	106286878	1
chr7	107742934	107746082	0
chr7	108000439	108000889	0
chr7	108568764	108570484	1
chr7	118182982	118185243	0
chr7	120949393	120951470	1
chr7	121395454	121396812	0
chr7	127589118	127590904	1
chr7	127591699	127592460	0
chr7	128672502	128674178	0
chr7	137999499	138002603	0
chr7	139230109	139233331	0
chr7	139338924	139343169	4
chr7	140172828	140177640	0
chr7	143900802	143903538	0
chr7	149125113	149128079	0
chr7	149261380	149264207	0
chr7	149493935	149496081	0
chr7	149770963	149778654	1
chr7	149836157	149839394	0
chr7	149872576	149875240	0
chr7	150369425	150377717	5
chr7	151048292	151050945	9
chr7	151052650	151056748	7
chr7	151075674	151084443	7
chr7	151088587	151094640	0
chr7	151518353	151521861	0
chr7	152434253	152437412	1
chr7	155296748	155299343	0
chr7	155644410	155646187	0
chr7	158827595	158830449	0
chr8	1762917	1766198	0
chr8	8385461	8387409	0
chr8	8700818	8703276	1
chr8	9148508	9152641	0
chr8	11328178	11332268	1
chr8	12753711	12756080	0
chr8	17245225	17247945	0
chr8	19312370	19314262	0
chr8	22082703	22091084	0
chr8	22104273	22107136	0
chr8	22108764	22112334	0
chr8	22594572	22606408	0
chr8	22689056	22696052	3
chr8	22998286	23005875	2
chr8	23068486	23070316	0
chr8	23246354	23247624	1
chr8	23423503	23425279	0
chr8	23677273	23680112	0
