0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	Middle	Start	End
chr1	85574641	85578563	0																														85576602	-1961	1961
chr1	85580671	85583428	4	-1046.0	-417.0	-91.0	-501.0																										85582049	-1378	1379
chr1	89523957	89526174	0																														89525065	-1108	1109
chr1	91018769	91019917	0																														91019343	-574	574
chr1	91021217	91022203	0																														91021710	-493	493
chr1	103523474	103525053	0																														103524263	-789	790
chr1	103525990	103528626	1	1087.0																													103527308	-1318	1318
chr1	107055484	107058627	3	-600.0	-921.0	-90.0																											107057055	-1571	1572
chr1	108199119	108201441	1	251.0																													108200280	-1161	1161
chr1	108690135	108693399	2	-833.0	-1074.0																												108691767	-1632	1632
chr1	108963054	108966391	0																														108964722	-1668	1669
chr1	109070756	109074884	0																														109072820	-2064	2064
chr1	109209099	109211179	0																														109210139	-1040	1040
chr1	109248872	109255065	10	489.0	1378.0	1462.0	-853.0	-314.0	519.0	-1118.0	-1030.0	-131.0	-1190.0																				109251968	-3096	3097
chr1	109423552	109425664	0																														109424608	-1056	1056
chr1	109483124	109486593	0																														109484858	-1734	1735
chr1	109490617	109492495	1	392.0																													109491556	-939	939
chr1	109546098	109549996	0																														109548047	-1949	1949
chr1	109982949	109986839	0																														109984894	-1945	1945
chr1	110337341	110342887	5	-1987.0	-1851.0	147.0	-1537.0	-1909.0																									110340114	-2773	2773
chr1	110386411	110389230	0																														110387820	-1409	1410
chr1	110406490	110408908	0																														110407699	-1209	1209
chr1	112623313	112625728	0																														112624520	-1207	1208
chr1	112672693	112675865	0																														112674279	-1586	1586
chr1	113903555	113906812	2	486.0	526.0																												113905183	-1628	1629
chr1	114509492	114512042	0																														114510767	-1275	1275
chr1	114713047	114714496	1	-149.0																													114713771	-724	725
chr1	114716234	114719986	1	-1542.0																													114718110	-1876	1876
chr1	114756347	114759085	0																														114757716	-1369	1369
chr1	116371854	116375426	0																														116373640	-1786	1786
chr1	116568675	116573267	0																														116570971	-2296	2296
chr1	117366145	117368601	2	-865.0	-930.0																												117367373	-1228	1228
chr1	117928803	117930367	0																														117929585	-782	782
chr1	119139880	119141436	2	181.0	44.0																												119140658	-778	778
chr1	145923787	145930293	5	2519.0	220.0	-29.0	-371.0	1121.0																									145927040	-3253	3253
chr1	146227817	146229575	0																														146228696	-879	879
chr1	149844826	149846658	0																														149845742	-916	916
chr1	149886886	149889648	10	1002.0	792.0	1221.0	951.0	1170.0	518.0	683.0	1041.0	1006.0	1263.0																				149888267	-1381	1381
chr1	149920535	149924928	1	-1136.0																													149922731	-2196	2197
chr1	149926901	149928413	2	-190.0	-183.0																												149927657	-756	756
chr1	150148311	150155523	1	961.0																													150151917	-3606	3606
chr1	150234337	150236508	1	-438.0																													150235422	-1085	1086
chr1	150259585	150261859	4	489.0	453.0	-608.0	-798.0																										150260722	-1137	1137
chr1	150263349	150266356	4	-1253.0	-1240.0	-1191.0	1.0																										150264852	-1503	1504
chr1	150267428	150270167	4	750.0	77.0	77.0	736.0																										150268797	-1369	1370
chr1	150281278	150286016	3	93.0	318.0	98.0																											150283647	-2369	2369
chr1	150576214	150582535	2	918.0	491.0																												150579374	-3160	3161
chr1	150624553	150628092	1	-1219.0																													150626322	-1769	1770
chr1	150628852	150629945	3	-108.0	-68.0	-40.0																											150629398	-546	547
chr1	150806278	150808039	1	448.0																													150807158	-880	881
chr1	150812343	150814989	1	-491.0																													150813666	-1323	1323
chr1	150925987	150926876	0																														150926431	-444	445
chr1	151005150	151006875	1	-313.0																													151006012	-862	863
chr1	151007809	151010497	0																														151009153	-1344	1344
chr1	151034134	151038502	2	2023.0	-1205.0																												151036318	-2184	2184
chr1	151146357	151148513	0																														151147435	-1078	1078
chr1	151189230	151192864	2	881.0	995.0																												151191047	-1817	1817
chr1	151198717	151202076	1	1317.0																													151200396	-1679	1680
chr1	151252731	151255073	3	-862.0	-890.0	-879.0																											151253902	-1171	1171
chr1	151397194	151402348	5	-872.0	-878.0	60.0	-1091.0	-1738.0																									151399771	-2577	2577
chr1	151456262	151459723	1	-1452.0																													151457992	-1730	1731
chr1	151538765	151545989	1	2022.0																													151542377	-3612	3612
chr1	151700935	151708597	2	2110.0	-1174.0																												151704766	-3831	3831
chr1	153618818	153620573	1	841.0																													153619695	-877	878
chr1	153628108	153635521	2	1234.0	191.0																												153631814	-3706	3707
chr1	153664973	153671246	1	-438.0																													153668109	-3136	3137
chr1	153951063	153956383	6	2349.0	1701.0	-532.0	368.0	1564.0	-1166.0																								153953723	-2660	2660
chr1	153957573	153959110	1	-188.0																													153958341	-768	769
chr1	153959395	153963549	1	-1230.0																													153961472	-2077	2077
chr1	153972617	153977782	5	382.0	1942.0	2415.0	1955.0	562.0																									153975199	-2582	2583
chr1	153987648	153993163	2	-2454.0	-821.0																												153990405	-2757	2758
chr1	154154602	154156406	0																														154155504	-902	902
chr1	154220157	154222264	2	675.0	754.0																												154221210	-1053	1054
chr1	154267602	154271369	1	700.0																													154269485	-1883	1884
chr1	154271572	154273307	1	-238.0																													154272439	-867	868
chr1	154550069	154556304	6	-2769.0	382.0	741.0	-2332.0	736.0	1379.0																								154553186	-3117	3118
chr1	154958882	154962939	2	2003.0	1398.0																												154960910	-2028	2029
chr1	154967340	154975235	5	1899.0	946.0	-3567.0	1065.0	-3596.0																									154971287	-3947	3948
chr1	154976301	154978677	1	-548.0																													154977489	-1188	1188
chr1	154985202	154987732	0																														154986467	-1265	1265
chr1	154990293	154994176	5	-1408.0	-1725.0	1905.0	-512.0	-1425.0																									154992234	-1941	1942
chr1	155060158	155062797	3	-1032.0	-1071.0	1207.0																											155061477	-1319	1320
chr1	155123365	155128727	2	-1910.0	-1876.0																												155126046	-2681	2681
chr1	155129000	155131746	2	-988.0	-1027.0																												155130373	-1373	1373
chr1	155135584	155137932	2	-935.0	-173.0																												155136758	-1174	1174
chr1	155211492	155215741	0																														155213616	-2124	2125
chr1	155255309	155257248	0																														155256278	-969	970
chr1	155258652	155262911	5	-1362.0	294.0	1850.0	-1334.0	261.0																									155260781	-2129	2130
chr1	155263029	155264030	3	211.0	302.0	-449.0																											155263529	-500	501
chr1	155271737	155275785	0																														155273761	-2024	2024
chr1	155316281	155318924	1	-676.0																													155317602	-1321	1322
chr1	155319387	155320229	2	-97.0	-97.0																												155319808	-421	421
chr1	155561671	155563733	3	577.0	561.0	525.0																											155562702	-1031	1031
chr1	155608482	155610865	2	-632.0	-585.0																												155609673	-1191	1192
chr1	155687589	155689571	0																														155688580	-991	991
chr1	155910293	155913049	2	903.0	870.0																												155911671	-1378	1378
chr1	155933885	155938438	0																														155936161	-2276	2277
chr1	155941011	155944906	4	485.0	340.0	262.0	251.0																										155942958	-1947	1948
chr1	156001337	156009238	0																														156005287	-3950	3951
chr1	156019260	156021904	1	445.0																													156020582	-1322	1322
chr1	156050621	156055890	3	-1680.0	1457.0	1500.0																											156053255	-2634	2635
chr1	156063891	156068501	2	-2096.0	-2197.0																												156066196	-2305	2305
chr1	156139417	156144687	0																														156142052	-2635	2635
chr1	156144781	156149315	0																														156147048	-2267	2267
chr1	156724943	156729343	3	-2072.0	-96.0	-84.0																											156727143	-2200	2200
chr1	156730411	156736365	3	1059.0	-26.0	-997.0																											156733388	-2977	2977
chr1	156740046	156741373	0																														156740709	-663	664
chr1	156741523	156745779	2	1075.0	-536.0																												156743651	-2128	2128
chr1	156746109	156750680	0																														156748394	-2285	2286
chr1	159923770	159927441	0																														159925605	-1835	1836
chr1	159928025	159930684	4	-827.0	-978.0	-946.0	768.0																										159929354	-1329	1330
chr1	160207714	160211604	2	1071.0	1088.0																												160209659	-1945	1945
chr1	160342439	160345019	2	-1077.0	-771.0																												160343729	-1290	1290
chr1	161068015	161070128	0																														161069071	-1056	1057
chr1	161101206	161104604	0																														161102905	-1699	1699
chr1	161114984	161121140	3	46.0	-1124.0	9.0																											161118062	-3078	3078
chr1	161131699	161135321	0																														161133510	-1811	1811
chr1	161155682	161163352	3	1394.0	-3544.0	-3106.0																											161159517	-3835	3835
chr1	161212057	161216693	3	211.0	663.0	187.0																											161214375	-2318	2318
chr1	161363498	161366655	1	-480.0																													161365076	-1578	1579
chr1	162559962	162564244	0																														162562103	-2141	2141
chr1	164557698	164559736	0																														164558717	-1019	1019
chr1	165827331	165829350	1	497.0																													165828340	-1009	1010
chr1	166838033	166842671	0																														166840352	-2319	2319
chr1	166874442	166876581	0																														166875511	-1069	1070
chr1	167220890	167222995	1	1003.0																													167221942	-1052	1053
chr1	169460005	169461170	0																														169460587	-582	583
chr1	169485232	169488166	0																														169486699	-1467	1467
chr1	171599273	171602424	0																														171600848	-1575	1576
chr1	173477024	173478842	0																														173477933	-909	909
chr1	173822152	173823242	0																														173822697	-545	545
chr1	174019917	174023140	0																														174021528	-1611	1612
chr1	178723960	178726108	0																														178725034	-1074	1074
chr1	179025281	179027361	0																														179026321	-1040	1040
chr1	179591159	179593494	2	-276.0	-522.0																												179592326	-1167	1168
chr1	179881808	179884251	3	307.0	101.0	448.0																											179883029	-1221	1222
chr1	181088390	181090557	6	559.0	528.0	-343.0	-365.0	696.0	-335.0																								181089473	-1083	1084
chr1	182602793	182605370	1	754.0																													182604081	-1288	1289
chr1	182839057	182840155	0																														182839606	-549	549
chr1	182840694	182842478	0																														182841586	-892	892
chr1	183022495	183026154	0																														183024324	-1829	1830
chr1	183469914	183474119	0																														183472016	-2102	2103
chr1	184753336	184756454	0																														184754895	-1559	1559
chr1	185314696	185317929	0																														185316312	-1616	1617
chr1	200407901	200411046	6	482.0	378.0	686.0	877.0	1085.0	549.0																								200409473	-1572	1573
chr1	200737832	200740952	2	-403.0	-545.0																												200739392	-1560	1560
chr1	201111329	201113571	0																														201112450	-1121	1121
chr1	201377287	201380929	0																														201379108	-1821	1821
chr1	201827818	201829702	0																														201828760	-942	942
chr1	201957157	201960427	0																														201958792	-1635	1635
chr1	202003943	202005525	1	289.0																													202004734	-791	791
chr1	202142762	202145831	0																														202144296	-1534	1535
chr1	202341185	202342252	0																														202341718	-533	534
chr1	202892025	202895056	3	254.0	1189.0	133.0																											202893540	-1515	1516
chr1	202956573	202959085	0																														202957829	-1256	1256
chr1	202966360	202968233	1	521.0																													202967296	-936	937
chr1	203009360	203010738	0																														203010049	-689	689
chr1	203024940	203030012	0																														203027476	-2536	2536
chr1	203793564	203798164	0																														203795864	-2300	2300
chr1	203858331	203862969	0																														203860650	-2319	2319
chr1	204195919	204203172	2	-3350.0	-3441.0																												204199545	-3626	3627
chr1	204515998	204517093	0																														204516545	-547	548
chr1	205630809	205632330	0																														205631569	-760	761
chr1	205748437	205751180	1	-427.0																													205749808	-1371	1372
chr1	206684254	206686801	0																														206685527	-1273	1274
chr1	206687689	206688613	0																														206688151	-462	462
chr1	207323100	207323994	0																														207323547	-447	447
chr1	211325812	211327548	0																														211326680	-868	868
chr1	211577062	211579845	2	-62.0	50.0																												211578453	-1391	1392
chr1	212284394	212286957	0																														212285675	-1281	1282
chr1	214280208	214282659	0																														214281433	-1225	1226
chr1	214550311	214552688	0																														214551499	-1188	1189
chr1	218345493	218346482	0																														218345987	-494	495
chr1	224430604	224432445	0																														224431524	-920	921
chr1	224433053	224435433	0																														224434243	-1190	1190
chr1	225651904	225654540	0																														225653222	-1318	1318
chr1	228078615	228084570	0																														228081592	-2977	2978
chr1	228098234	228104680	0																														228101457	-3223	3223
chr1	228108102	228109921	0																														228109011	-909	910
chr1	228164381	228167142	0																														228165761	-1380	1381
chr1	228168400	228171206	0																														228169803	-1403	1403
chr1	228205000	228211383	0																														228208191	-3191	3192
chr1	229436223	229438404	0																														229437313	-1090	1091
chr1	230867944	230869662	1	540.0																													230868803	-859	859
chr1	233612940	233615921	2	82.0	213.0																												233614430	-1490	1491
chr1	234477681	234479826	0																														234478753	-1072	1073
chr1	234606333	234607952	0																														234607142	-809	810
chr1	234608104	234610721	0																														234609412	-1308	1309
chr1	235327655	235330642	0																														235329148	-1493	1494
chr1	244862886	244865743	2	301.0	310.0																												244864314	-1428	1429
chr1	244969028	244971607	0																														244970317	-1289	1290
chr1	246930907	246934674	0																														246932790	-1883	1884
chr1	247328471	247333305	2	1317.0	1524.0																												247330888	-2417	2417
chr2	3551657	3555615	0																														3553636	-1979	1979
chr2	3573921	3577932	3	-927.0	-1881.0	-654.0																											3575926	-2005	2006
chr2	8677428	8679750	0																														8678589	-1161	1161
chr2	9422096	9424184	0																														9423140	-1044	1044
chr2	9629799	9632328	1	822.0																													9631063	-1264	1265
chr2	10042391	10047312	1	-1405.0																													10044851	-2460	2461
chr2	10118650	10121304	0																														10119977	-1327	1327
chr2	10121372	10124040	2	-680.0	-44.0																												10122706	-1334	1334
chr2	11342811	11345775	0																														11344293	-1482	1482
chr2	11481139	11483879	0																														11482509	-1370	1370
chr2	11484137	11487071	0																														11485604	-1467	1467
chr2	20051093	20052821	0																														20051957	-864	864
chr2	20350128	20351765	0																														20350946	-818	819
chr2	20446344	20449414	7	511.0	-513.0	96.0	51.0	450.0	377.0	75.0																							20447879	-1535	1535
chr2	24073203	24075452	1	136.0																													24074327	-1124	1125
chr2	24075775	24078550	1	876.0																													24077162	-1387	1388
chr2	25877367	25878465	0																														25877916	-549	549
chr2	26764900	26766037	0																														26765468	-568	569
chr2	27033742	27038741	7	-1437.0	-264.0	630.0	1068.0	-1373.0	611.0	602.0																							27036241	-2499	2500
chr2	27081301	27087831	1	966.0																													27084566	-3265	3265
chr2	27126044	27129552	1	-1299.0																													27127798	-1754	1754
chr2	27215021	27218605	2	-606.0	1114.0																												27216813	-1792	1792
chr2	27220027	27224181	1	-879.0																													27222104	-2077	2077
chr2	27321957	27324907	0																														27323432	-1475	1475
chr2	27326247	27330333	6	1105.0	-1192.0	-559.0	1016.0	131.0	1643.0																								27328290	-2043	2043
chr2	27358147	27360878	0																														27359512	-1365	1366
chr2	27366916	27371519	8	-245.0	799.0	792.0	-834.0	182.0	207.0	1599.0	1891.0																						27369217	-2301	2302
chr2	28391669	28396183	0																														28393926	-2257	2257
chr2	28893081	28896627	0																														28894854	-1773	1773
chr2	32356515	32359408	0																														32357961	-1446	1447
chr2	37196381	37200526	0																														37198453	-2072	2073
chr2	37230577	37232196	1	-324.0																													37231386	-809	810
chr2	38376478	38378202	0																														38377340	-862	862
chr2	38749423	38751729	1	-903.0																													38750576	-1153	1153
chr2	43224041	43227934	5	-324.0	256.0	-308.0	652.0	559.0																									43225987	-1946	1947
chr2	44167173	44170222	0																														44168697	-1524	1525
chr2	46539551	46543340	1	-1595.0																													46541445	-1894	1895
chr2	46916520	46919221	0																														46917870	-1350	1351
chr2	47173347	47177506	1	-1035.0																													47175426	-2079	2080
chr2	48529017	48530819	1	-40.0																													48529918	-901	901
chr2	53862509	53863371	0																														53862940	-431	431
chr2	53969571	53971233	0																														53970402	-831	831
chr2	60880362	60881654	0																														60881008	-646	646
chr2	61473816	61475459	0																														61474637	-821	822
chr2	61537724	61540041	1	775.0																													61538882	-1158	1159
chr2	61884283	61887105	0																														61885694	-1411	1411
chr2	65129513	65131238	0																														65130375	-862	863
chr2	65430135	65432606	0																														65431370	-1235	1236
chr2	70086204	70090364	1	522.0																													70088284	-2080	2080
chr2	73228024	73231022	1	1143.0																													73229523	-1499	1499
chr2	73291083	73293066	4	194.0	-227.0	-114.0	578.0																										73292074	-991	992
chr2	73740047	73742101	0																														73741074	-1027	1027
chr2	73927793	73932851	0																														73930322	-2529	2529
chr2	73980911	73982964	0																														73981937	-1026	1027
chr2	73984021	73986979	0																														73985500	-1479	1479
chr2	74142457	74145669	0																														74144063	-1606	1606
chr2	74145891	74149728	0																														74147809	-1918	1919
chr2	74435663	74443587	0																														74439625	-3962	3962
chr2	74455676	74457955	2	-893.0	566.0																												74456815	-1139	1140
chr2	74458304	74463041	9	2178.0	-1109.0	-1367.0	1268.0	-1935.0	723.0	2142.0	2119.0	-2080.0																					74460672	-2368	2369
chr2	74497546	74503831	2	2566.0	2719.0																												74500688	-3142	3143
chr2	74504301	74506230	1	-761.0																													74505265	-964	965
chr2	74523191	74527879	5	-2340.0	465.0	2064.0	-1960.0	-1787.0																									74525535	-2344	2344
chr2	74528971	74532102	3	-396.0	-1001.0	1425.0																											74530536	-1565	1566
chr2	74550379	74554167	0																														74552273	-1894	1894
chr2	74832746	74839228	1	1448.0																													74835987	-3241	3241
chr2	74958378	74960406	2	722.0	580.0																												74959392	-1014	1014
chr2	84906962	84910205	0																														84908583	-1621	1622
chr2	84969041	84973082	0																														84971061	-2020	2021
chr2	85597496	85598241	1	337.0																													85597868	-372	373
chr2	85598558	85601400	2	-1304.0	61.0																												85599979	-1421	1421
chr2	86439905	86443011	0																														86441458	-1553	1553
chr2	95293696	95299494	0																														95296595	-2899	2899
chr2	96326373	96329308	6	-391.0	121.0	618.0	-110.0	-336.0	923.0																								96327840	-1467	1468
chr2	96637751	96641797	0																														96639774	-2023	2023
chr2	96855439	96859136	0																														96857287	-1848	1849
chr2	97659249	97661482	0																														97660365	-1116	1117
chr2	99140686	99143872	1	719.0																													99142279	-1593	1593
chr2	99487854	99490789	0																														99489321	-1467	1468
chr2	100318048	100319904	0																														100318976	-928	928
chr2	101252195	101254541	1	87.0																													101253368	-1173	1173
chr2	105338984	105340234	2	-75.0	-50.0																												105339609	-625	625
chr2	105743933	105746552	0																														105745242	-1309	1310
chr2	108786116	108787294	3	-58.0	-171.0	-81.0																											108786705	-589	589
chr2	109613137	109617205	1	-744.0																													109615171	-2034	2034
chr2	112054176	112057598	0																														112055887	-1711	1711
chr2	112541298	112543226	1	-122.0																													112542262	-964	964
chr2	112580630	112582867	0																														112581748	-1118	1119
chr2	112644967	112647112	0																														112646039	-1072	1073
chr2	113499063	113501311	2	532.0	536.0																												113500187	-1124	1124
chr2	113886841	113888411	0																														113887626	-785	785
chr2	113888816	113891784	0																														113890300	-1484	1484
chr2	120222823	120225592	0																														120224207	-1384	1385
chr2	120345537	120351187	2	-1057.0	-1194.0																												120348362	-2825	2825
chr2	128026783	128029234	0																														128028008	-1225	1226
chr2	130341831	130348782	4	-348.0	-964.0	-1204.0	-1097.0																										130345306	-3475	3476
chr2	131092560	131094913	0																														131093736	-1176	1177
chr2	132254567	132256033	0																														132255300	-733	733
chr2	134918023	134919798	0																														134918910	-887	888
chr2	135984614	135985740	0																														135985177	-563	563
chr2	148643731	148646267	1	-154.0																													148644999	-1268	1268
chr2	152716422	152719307	4	521.0	-969.0	408.0	-887.0																										152717864	-1442	1443
chr2	156341426	156343295	0																														156342360	-934	935
chr2	159711776	159713702	0																														159712739	-963	963
chr2	170928829	170930412	0																														170929620	-791	792
chr2	173962204	173968116	1	-9.0																													173965160	-2956	2956
chr2	177209719	177217070	3	-2226.0	-2467.0	-3140.0																											177213394	-3675	3676
chr2	178450037	178451578	0																														178450807	-770	771
chr2	181891351	181892968	0																														181892159	-808	809
chr2	190646787	190650065	0																														190648426	-1639	1639
chr2	197430390	197433369	0																														197431879	-1489	1490
chr2	197451790	197454345	0																														197453067	-1277	1278
chr2	197455538	197457491	0																														197456514	-976	977
chr2	200584658	200587566	0																														200586112	-1454	1454
chr2	200810946	200813288	0																														200812117	-1171	1171
chr2	200860957	200863354	1	837.0																													200862155	-1198	1199
chr2	200964760	200966953	0																														200965856	-1096	1097
chr2	202264537	202266261	0																														202265399	-862	862
chr2	203237902	203242502	1	1167.0																													203240202	-2300	2300
chr2	206158618	206161366	2	13.0	162.0																												206159992	-1374	1374
chr2	206767516	206767824	0																														206767670	-154	154
chr2	207164426	207167377	1	400.0																													207165901	-1475	1476
chr2	207528243	207531784	0																														207530013	-1770	1771
chr2	210170202	210172943	0																														210171572	-1370	1371
chr2	216108299	216110730	0																														216109514	-1215	1216
chr2	216497666	216500537	2	-167.0	292.0																												216499101	-1435	1436
chr2	216500996	216502027	0																														216501511	-515	516
chr2	218215975	218217960	0																														218216967	-992	993
chr2	218397108	218401883	0																														218399495	-2387	2388
chr2	219219419	219226383	6	-782.0	-1619.0	200.0	519.0	-767.0	-2557.0																								219222901	-3482	3482
chr2	219246512	219249251	3	762.0	657.0	-703.0																											219247881	-1369	1370
chr2	219506773	219512497	0																														219509635	-2862	2862
chr2	219542211	219545041	0																														219543626	-1415	1415
chr2	222863595	222865160	0																														222864377	-782	783
chr2	226796044	226800731	10	134.0	-60.0	1847.0	317.0	478.0	12.0	-214.0	435.0	-67.0	327.0																				226798387	-2343	2344
chr2	229919968	229923647	0																														229921807	-1839	1840
chr2	231393470	231395127	0																														231394298	-828	829
chr2	232550126	232552819	0																														232551472	-1346	1347
