Chr	Start	End	Name	Score	Strand	Length
chr17	2496504	2588909	PAFAH1B1	0	+	92405
chr17	26941464	26972472	KIAA0100	0	-	31008
chr17	9813923	10101923	GAS7	0	-	288000
chr19	3777968	3802127	MATK	0	-	24159
chr19	42177231	42210895	CEACAM7	0	-	33664
chr17	62015914	62050278	SCN4A	0	-	34364
chr1	113066136	113163447	ST7L	0	-	97311
chrX	153524148	153558700	TKTL1	0	+	34552
chr16	108058	126354	RHBDF1	0	-	18296
chr16	238968	279462	LUC7L	0	-	40494
chr3	50400044	50541675	CACNA2D2	0	-	141631
chr16	1383639	1399442	BAIAP3	0	+	15803
chr16	616995	634109	PIGQ	0	+	17114
chr16	1662338	1727909	CRAMP1	0	+	65571
chr6	35441374	35464856	TEAD3	0	-	23482
chr1	6694228	6761984	DNAJC11	0	-	67756
chr1	171060042	171086959	FMO3	0	+	26917
chr6	16129317	16148479	MYLIP	0	+	19162
chrX	100098313	100129348	NOX1	0	-	31035
chr1	23832930	23857725	E2F2	0	-	24795
chr6	170844208	170862395	PSMB1	0	-	18187
chrX	47431300	47479256	SYN1	0	-	47956
chr6	15246300	15522273	JARID2	0	+	275973
chrX	18443703	18671749	CDKL5	0	+	228046
chr1	209757059	209787284	CAMK1G	0	+	30225
chr1	1633818	1655796	CDK11A	0	-	21978
chr1	1682671	1711896	NADK	0	-	29225
chr6	50786436	50815332	TFAP2B	0	+	28896
chr3	38080696	38165516	DLEC1	0	+	84820
chr7	6201407	6312275	CYTH3	0	-	110868
chr7	87563458	87832204	ADAM22	0	+	268746
chr7	105730951	105753022	SYPL1	0	-	22071
chr17	61509665	61523715	CYB561	0	-	14050
chr17	49039535	49198229	SPAG9	0	-	158694
chr3	48673896	48700319	CELSR3	0	-	26423
chr7	121704637	121784362	AASS	0	-	79725
chr12	6419602	6437672	PLEKHG6	0	+	18070
chr19	4343524	4360083	MPND	0	+	16559
chr12	16500076	16762193	MGST1	0	+	262117
chr12	107385142	107487327	CRY1	0	-	102185
chr19	13106289	13209610	NFIX	0	+	103321
chr8	134467091	134584183	ST3GAL1	0	-	117092
chr16	3096063	3110727	MMP25	0	+	14664
chr16	3115298	3132193	IL32	0	+	16895
chr16	2138709	2185899	PKD1	0	-	47190
chr17	38175350	38217468	MED24	0	-	42118
chr2	37195526	37311515	HEATR5B	0	-	115989
chr3	169684423	169716161	SEC62	0	+	31738
chr8	56979813	56987069	RPS20	0	-	7256
chr1	115259534	115301297	CSDE1	0	-	41763
chr7	156931610	157062064	UBE3C	0	+	130454
chrX	123509753	124338161	TENM1	0	-	828408
chr1	18957340	19075360	PAX7	0	+	118020
chr1	11082066	11107296	MASP2	0	-	25230
chr6	150690028	150727105	IYD	0	+	37077
chr1	28052472	28089627	FAM76A	0	+	37155
chr14	77741299	77787226	POMT2	0	-	45927
chr6	142468299	142545822	VTA1	0	+	77523
chr7	73007524	73038873	MLXIPL	0	-	31349
chr7	72854736	72936623	BAZ1B	0	-	81887
chr6	13621730	13712067	RANBP9	0	-	90337
chr6	36321868	36355577	ETV7	0	-	33709
chr1	231472850	231490769	SPRTN	0	+	17919
chr1	171750800	171783163	METTL13	0	+	32363
chr17	30677151	30708904	ZNF207	0	+	31753
chr3	48636435	48648409	UQCRC1	0	-	11974
chr7	38217847	38270271	STARD3NL	0	+	52424
chr12	6308881	6347437	CD9	0	+	38556
chr3	42734155	42744316	HHATL	0	-	10161
chr12	6602522	6641121	NCAPD2	0	+	38599
chr12	6648127	6665239	IFFO1	0	-	17112
chr19	46171479	46186980	GIPR	0	+	15501
chr3	52444676	52457657	PHF7	0	+	12981
chr3	52467051	52479119	SEMA3G	0	-	12068
chr3	52489134	52527084	NISCH	0	+	37950
chr3	52529354	52558511	STAB1	0	+	29157
chr9	33750677	33799229	PRSS3	0	+	48552
chr16	3272325	3286221	ZNF200	0	-	13896
chr12	6896024	6929965	CD4	0	+	33941
chr12	6982733	7023405	LRRC23	0	+	40672
chrX	100604326	100645784	BTK	0	-	41458
chr6	26087509	26098571	HFE	0	+	11062
chr1	41492874	41707978	SCMH1	0	-	215104
chr6	111981535	112194655	FYN	0	-	213120
chr6	143072606	143277835	HIVEP2	0	-	205229
chr1	171217610	171255117	FMO1	0	+	37507
chr1	24069938	24088549	ELOA	0	+	18611
chr1	24117635	24122029	LYPLA2	0	+	4394
chr1	11866153	11908136	CLCN6	0	+	41983
chr17	60705031	60770958	MRC2	0	+	65927
chr12	3186521	3395730	TSPAN9	0	+	209209
chr14	93703896	93799438	BTBD7	0	-	95542
chrX	8496915	8700178	ANOS1	0	-	203263
chr19	15490861	15529952	AKAP8L	0	-	39091
chr17	49254786	49337524	MBTD1	0	-	82738
chr17	49337907	49375297	UTP18	0	+	37390
chr7	5659678	5821327	RNF216	0	-	161649
chr19	797075	812327	PTBP1	0	+	15252
chr19	38701646	38720354	DPF1	0	-	18708
chr11	61281186	61348620	SYT7	0	-	67434
chr3	45430053	45596218	LARS2	0	+	166165
chr11	17099277	17229533	PIK3C2A	0	-	130256
chr19	44150247	44174699	PLAUR	0	-	24452
chr19	15530789	15560767	WIZ	0	-	29978
chr9	125703112	125867145	RABGAP1	0	+	164033
chr12	91534261	91576994	DCN	0	-	42733
chr19	46195661	46207247	QPCTL	0	+	11586
chr19	46850344	46896238	PPP5C	0	+	45894
chr2	39476407	39664442	MAP4K3	0	-	188035
chr19	36195460	36207940	ZBTB32	0	+	12480
chr19	36395303	36399197	TYROBP	0	-	3894
chrX	151334706	151619787	GABRA3	0	-	285081
chr17	41196312	41322262	BRCA1	0	-	125950
chr19	45910592	45982086	ERCC1	0	-	71494
chr19	35810164	35838264	CD22	0	+	28100
chr3	50304990	50314977	SEMA3B	0	+	9987
chrX	21857735	21903541	MBTPS2	0	+	45806
chrX	49031151	49042981	PRICKLE3	0	-	11830
chr3	46477136	46526724	LTF	0	-	49588
chr8	28457986	28614078	EXTL3	0	+	156092
chr12	100867486	100958192	NR1H4	0	+	90706
chr6	53132196	53213977	ELOVL5	0	-	81781
chr10	45869624	45941567	ALOX5	0	+	71943
chr12	54102301	54121529	CALCOCO1	0	-	19228
chr14	50885219	51027844	MAP4K5	0	-	142625
chr2	31457018	31492317	EHD3	0	+	35299
chr19	40477072	40487671	PSMC4	0	+	10599
chr4	6576916	6625089	MAN2B2	0	+	48173
chr17	42396993	42402238	SLC25A39	0	-	5245
chr16	29831715	29859360	MVP	0	+	27645
chr7	151038858	151075535	NUB1	0	+	36677
chr6	83903076	83908654	RWDD2A	0	+	5578
chr2	201717732	201729414	CLK1	0	-	11682
chr12	106751526	106903976	POLR3B	0	+	152450
chr14	77252352	77292589	ANGEL1	0	-	40237
chr5	141337893	141369857	RNF14	0	+	31964
chr12	31226794	31257733	DDX11	0	+	30939
chr12	13127804	13153199	HEBP1	0	-	25395
chr12	13044493	13070871	GPRC5A	0	+	26378
chrX	149529689	149682448	MAMLD1	0	+	152759
chr11	60739152	60787849	CD6	0	+	48697
chr4	1714585	1746898	TACC3	0	+	32313
chr6	96969471	97003152	UFL1	0	+	33681
chr8	144519829	144623617	ZC3H3	0	-	103788
chr11	64948037	64979477	CAPN1	0	+	31440
chr3	132036213	132087142	ACP3	0	+	50929
chr4	41992519	42092478	SLC30A9	0	+	99959
chr1	149900543	149908772	MTMR11	0	-	8229
chr14	91737667	91884188	CCDC88C	0	-	146521
chr12	42550906	42632151	YAF2	0	-	81245
chr10	180405	300577	ZMYND11	0	+	120172
chrX	48534985	48549822	WAS	0	+	14837
chr16	89679716	89704864	DPEP1	0	+	25148
chr22	18216904	18257536	BID	0	-	40632
chr5	138629363	138667366	MATR3	0	+	38003
chr7	44552134	44580929	NPC1L1	0	-	28795
chr17	48423487	48440499	XYLT2	0	+	17012
chr8	27092825	27115937	STMN4	0	-	23112
chr7	44418718	44530257	NUDCD3	0	-	111539
chr6	137321108	137366317	IL20RA	0	-	45209
chr1	87012761	87046437	CLCA4	0	+	33676
chr3	52728502	52740048	GLT8D1	0	-	11546
chr3	130569439	130735556	ATP2C1	0	+	166117
chr12	102789652	102875522	IGF1	0	-	85870
chrX	48316920	48328648	SLC38A5	0	-	11728
chr18	9475007	9538112	RALBP1	0	+	63105
chr4	71569921	71674336	RUFY3	0	+	104415
chr12	41086241	41466217	CNTN1	0	+	379976
chr2	219246752	219261617	SLC11A1	0	+	14865
chr3	149235022	149454501	WWTR1	0	-	219479
chr2	178257474	178431752	AGPS	0	+	174278
chr1	160085549	160113381	ATP1A2	0	+	27832
chr2	32853099	33046118	TTC27	0	+	193019
chr19	56887215	56904907	ZNF582	0	-	17692
chr11	124617370	124622151	VSIG2	0	-	4781
chr11	118477155	118528741	PHLDB1	0	+	51586
chr2	119699770	119752236	MARCO	0	+	52466
chr20	52769985	52790525	CYP24A1	0	-	20540
chr11	45117357	45256661	PRDM11	0	+	139304
chr11	45261853	45307892	SYT13	0	-	46039
chr8	49830157	49834299	SNAI2	0	-	4142
chr5	149781200	149792532	CD74	0	-	11332
chr7	81328326	81399754	HGF	0	-	71428
chr8	37641709	37702414	ADGRA2	0	+	60705
chr20	50668202	50820847	ZFP64	0	-	152645
chr14	61201460	61436683	MNAT1	0	+	235223
chr14	55032835	55260033	SAMD4A	0	+	227198
chr1	25226002	25291612	RUNX3	0	-	65610
chr11	94148736	94227051	MRE11	0	-	78315
chr11	73357223	73373864	PLEKHB1	0	+	16641
chr6	2832566	2842193	SERPINB1	0	-	9627
chr19	33321415	33360673	SLC7A9	0	-	39258
chr2	32288625	32382706	SPAST	0	+	94081
chr14	78636716	80334634	NRXN3	0	+	1697918
chr11	3108337	3187969	OSBPL5	0	-	79632
chr15	35143983	35261943	AQR	0	-	117960
chr2	211342406	211543831	CPS1	0	+	201425
chrX	135228861	135293518	FHL1	0	+	64657
chr20	55043641	55094505	RTF2	0	+	50864
chr19	55464498	55512510	NLRP2	0	+	48012
chr8	142217265	142318404	SLC45A4	0	-	101139
chr12	120971283	121015391	RNF10	0	+	44108
chr14	102783714	102809039	ZNF839	0	+	25325
chr11	123229136	123498482	GRAMD1B	0	+	269346
chr11	494512	507300	RNH1	0	-	12788
chr2	206979541	207024233	NDUFS1	0	-	44692
chr8	53535018	53658403	RB1CC1	0	-	123385
chr9	102741467	102861334	ERP44	0	-	119867
chr3	52232102	52248343	ALAS1	0	+	16241
chr11	102188181	102210134	BIRC3	0	+	21953
chr13	42846288	42897397	AKAP11	0	+	51109
chr1	193059996	193075244	GLRX2	0	-	15248
chr14	62229138	62263146	SNAPC1	0	+	34008
chr12	16064236	16190315	DERA	0	+	126079
chr12	16035321	16056412	STRAP	0	+	21091
chr10	101542397	101612351	ABCC2	0	+	69954
chr6	35265595	35289548	DEF6	0	+	23953
chr1	150121373	150136916	PLEKHO1	0	+	15543
chr1	94350755	94375012	GCLM	0	-	24257
chr6	42531767	42661243	UBR2	0	+	129476
chr19	48216679	48246391	EHD2	0	+	29712
chr1	68939835	68962904	DEPDC1	0	-	23069
chr6	139094906	139114456	CCDC28A	0	+	19550
chr6	90074335	90121992	RRAGD	0	-	47657
chr6	122720696	122754264	HSF2	0	+	33568
chr20	34359896	34538292	PHF20	0	+	178396
chr12	57145945	57181574	HSD17B6	0	+	35629
chr11	47269851	47290584	NR1H3	0	+	20733
chr22	50964181	50968461	TYMP	0	-	4280
chr22	50946653	50963209	NCAPH2	0	+	16556
chr6	108188960	108279412	SEC63	0	-	90452
chr1	32573657	32642164	KPNA6	0	+	68507
chr10	17270240	17279592	VIM	0	+	9352
chr20	62290653	62330037	RTEL1-TNFRSF6B	0	+	39384
chr10	90750414	90775542	KNOWN	0	+	25128
chr6	167335601	167370679	RNASET2	0	-	35078
chr11	35160429	35253949	CD44	0	+	93520
chr20	49620193	49639644	KCNG1	0	-	19451
chr6	161550999	161695093	AGPAT4	0	-	144094
chr1	160708847	160724611	SLAMF7	0	+	15764
chr6	26402465	26415436	BTN3A1	0	+	12971
chr13	24304328	24463539	MIPEP	0	-	159211
chr14	61654277	62017694	PRKCH	0	+	363417
chr6	137518620	137540586	IFNGR1	0	-	21966
chr5	177027133	177037331	B4GALT7	0	+	10198
chr2	58134764	58387055	VRK2	0	+	252291
chr1	12227048	12269285	TNFRSF1B	0	+	42237
chr12	95611522	95696575	VEZT	0	+	85053
chr19	42590262	42700737	POU2F2	0	-	110475
chr15	64386322	64438289	SNX1	0	+	51967
chr12	27485769	27578222	ARNTL2	0	+	92453
chr6	136577765	136610989	BCLAF1	0	-	33224
chr14	69864732	69929107	SLC39A9	0	+	64375
chr8	41510739	41754280	ANK1	0	-	243541
chr4	88720706	88733587	IBSP	0	+	12881
chr17	5185560	5289660	RABEP1	0	+	104100
chrX	150148982	150159244	HMGB3	0	+	10262
chr11	47799639	47870107	NUP160	0	-	70468
chr6	33540324	33548070	BAK1	0	-	7746
chr2	213864415	214017151	IKZF2	0	-	152736
chr17	42422614	42430474	GRN	0	+	7860
chr5	137273649	137387650	FAM13B	0	-	114001
chr3	119013230	119139561	ARHGAP31	0	+	126331
chr6	49431083	49460820	CENPQ	0	+	29737
chr1	109756540	109780804	SARS1	0	+	24264
chr19	5916150	5978153	RANBP3	0	-	62003
chr14	58765222	58840605	ARID4A	0	+	75383
chr2	3192696	3381601	EIPR1	0	-	188905
chr19	7598890	7626650	PNPLA6	0	+	27760
chr13	21141277	21265583	IFT88	0	+	124306
chr16	5083703	5137380	ALG1	0	+	53677
chr12	122956146	122985620	ZCCHC8	0	-	29474
chr1	70033605	70617628	LRRC7	0	+	584023
chr14	65877310	66210839	FUT8	0	+	333529
chr4	68478370	68566873	UBA6	0	-	88503
chr11	77926339	78129394	GAB2	0	-	203055
chr17	40610862	40674600	ATP6V0A1	0	+	63738
chr15	68346647	68490941	PIAS1	0	+	144294
chr3	27414212	27525911	SLC4A7	0	-	111699
chr15	29129629	29410518	APBA2	0	+	280889
chr17	21187984	21218544	MAP2K3	0	+	30560
chr8	49623348	49647870	CLXN	0	-	24522
chr6	143771942	143811753	PEX3	0	+	39811
chr16	75600273	75611779	GABARAPL2	0	+	11506
chr2	217730	266398	SH3YL1	0	-	48668
chr2	70523107	70529222	FAM136A	0	-	6115
chr10	75754951	75881121	VCL	0	+	126170
chr5	59892739	59996017	DEPDC1B	0	-	103278
chr15	64199235	64364232	DAPK2	0	-	164997
chr8	59496067	59572412	NSMAF	0	-	76345
chr1	244571796	244615211	ADSS2	0	-	43415
chr4	68424445	68473055	STAP1	0	+	48610
chr17	76849059	76921469	TIMP2	0	-	72410
chr4	39289076	39367995	RFC1	0	-	78919
chr3	99979836	100044095	TBC1D23	0	+	64259
chr2	225334867	225450114	CUL3	0	-	115247
chr8	1993161	2113475	MYOM2	0	+	120314
chr14	100150635	100193638	CYP46A1	0	+	43003
chr1	78028101	78149104	ZZZ3	0	-	121003
chr11	119225925	119252421	USP2	0	-	26496
chr3	121902515	122010476	CASR	0	+	107961
chr17	40811302	40819024	TUBG2	0	+	7722
chr5	172385732	172396774	RPL26L1	0	+	11042
chr5	180028506	180076624	FLT4	0	-	48118
chr5	6599352	6633404	NSUN2	0	-	34052
chr1	16573335	16678975	FBXO42	0	-	105640
chr19	13875336	13885096	MRI1	0	+	9760
chr4	178351928	178363591	AGA	0	-	11663
chr4	25162285	25280826	PI4K2B	0	+	118541
chr4	13570362	13629349	BOD1L1	0	-	58987
chr5	162930120	162946564	MAT2B	0	+	16444
chr4	166794389	167025609	TLL1	0	+	231220
chr16	67906955	67918402	EDC4	0	+	11447
chr5	14143451	14532237	TRIO	0	+	388786
chr5	82767437	82878122	VCAN	0	+	110685
chr16	11038396	11276043	CLEC16A	0	+	237647
chr8	15965387	16424999	MSR1	0	-	459612
chr16	68771195	68869440	CDH1	0	+	98245
chr5	54603817	54721407	MTREX	0	+	117590
chr5	13690437	14011927	DNAH5	0	-	321490
chr5	79703832	79779198	ZFYVE16	0	+	75366
chr16	67552321	67580691	RIPOR1	0	+	28370
chr5	41142218	41261540	C6	0	-	119322
chr5	34656433	34832717	RAI14	0	+	176284
chr5	157052687	157098488	SOX30	0	-	45801
chr19	50363139	50381608	PNKP	0	-	18469
chr19	12862516	12869272	BEST2	0	+	6756
chr16	71671738	71758604	PHLPP2	0	-	86866
chr5	169010640	169031782	SPDL1	0	+	21142
chr8	74332604	74659943	STAU2	0	-	327339
chr1	19638820	19655794	SLC66A1	0	+	16974
chr22	20228938	20270769	RTN4R	0	-	41831
chr17	7138348	7143041	PHF23	0	-	4693
chr2	99061317	99210855	INPP4A	0	+	149538
chr18	52385091	52562747	RAB27B	0	+	177656
chr15	78832747	78844759	PSMA4	0	+	12012
chr13	109248500	109860353	MYO16	0	+	611853
chr3	194361520	194393192	LSG1	0	-	31672
chr3	51976361	51982883	PARP3	0	+	6522
chr9	117781854	117880536	TNC	0	-	98682
chr20	49202645	49308079	RIPOR3	0	-	105434
chr14	90421283	90511108	TDP1	0	+	89825
chr2	85621876	85645555	CAPG	0	-	23679
chr19	47341393	47354103	AP2S1	0	-	12710
chr7	49890017	50160925	ZPBP	0	-	270908
chr8	133879203	134147147	TG	0	+	267944
chr8	24151582	24216527	ADAM28	0	+	64945
chr11	129245743	129322174	BARX2	0	+	76431
chr3	182655862	182703741	DCUN1D1	0	-	47879
chr5	133860003	133918920	JADE2	0	+	58917
chr13	100634038	100639019	ZIC2	0	+	4981
chr5	169673237	169724819	LCP2	0	-	51582
chr1	40303782	40349183	TRIT1	0	-	45401
chr10	115803625	115806663	ADRB1	0	+	3038
chr5	137946656	138270723	CTNNA1	0	+	324067
chrX	18910416	19002232	PHKA2	0	-	91816
chr9	17134980	17503921	CNTLN	0	+	368941
chr3	89156771	89531284	EPHA3	0	+	374513
chr9	127997132	128003661	HSPA5	0	-	6529
chr18	29078140	29128971	DSG2	0	+	50831
chrX	14024845	14048012	GEMIN8	0	-	23167
chrX	13789058	13956757	GPM6B	0	-	167699
chrX	141290128	141293076	MAGEC2	0	-	2948
chr8	68864281	69149267	PREX2	0	+	284986
chr10	1095478	1178324	WDR37	0	+	82846
chr5	112849391	112930982	YTHDC2	0	+	81591
chrX	16606122	16731059	CTPS2	0	-	124937
chr8	54628103	54756118	ATP6V1H	0	-	128015
chr15	52873514	53002014	FAM214A	0	-	128500
chr4	35949843	36246136	ARAP2	0	-	296293
chr1	186280784	186344825	TPR	0	-	64041
chr3	148880197	148939616	CP	0	-	59419
chr16	27561454	27791665	KATNIP	0	+	230211
chr6	15523038	15663289	DTNBP1	0	-	140251
chr12	5641035	6055398	ANO2	0	-	414363
chr12	4596901	4647674	C12orf4	0	-	50773
chrX	17755569	17773108	SCML1	0	+	17539
chrX	9983294	10112514	WWC3	0	+	129220
chrX	11135771	11684040	ARHGAP6	0	-	548269
chr4	17630929	17783244	FAM184B	0	-	152315
chr3	47892180	48130762	MAP4	0	-	238582
chr11	113668596	113746294	USP28	0	-	77698
chr7	18126572	19042039	HDAC9	0	+	915467
chr5	176074388	176086055	TSPAN17	0	+	11667
chr4	15471489	15603175	CC2D2A	0	+	131686
chr8	103216730	103251189	RRM2B	0	-	34459
chr7	126986844	127071978	ZNF800	0	-	85134
chr16	12070591	12668144	SNX29	0	+	597553
chr6	42174545	42185599	MRPS10	0	-	11054
chr11	77371054	77531915	RSF1	0	-	160861
chr1	12290087	12572099	VPS13D	0	+	282012
chr10	10840360	11378674	CELF2	0	+	538314
chr9	96213967	96328394	FAM120A	0	+	114427
chr2	136289025	136482840	R3HDM1	0	+	193815
chr1	40766161	40783485	COL9A2	0	-	17324
chr12	88886570	88974628	KITLG	0	-	88058
chr5	60162281	60240900	ERCC8	0	-	78619
chr5	64444565	64777747	ADAMTS6	0	-	333182
chr1	9294833	9331396	H6PD	0	+	36563
chr1	7831356	7841492	VAMP3	0	+	10136
chr1	7844351	7905237	PER3	0	+	60886
chr1	7975931	8003225	TNFRSF9	0	-	27294
chr2	33172020	33624576	LTBP1	0	+	452556
chr7	73442119	73484237	ELN	0	+	42118
chr7	73645829	73668788	RFC2	0	-	22959
chr6	157097154	157531913	ARID1B	0	+	434759
chr5	1317867	1345214	CLPTM1L	0	-	27347
chr18	55711458	56068772	NEDD4L	0	+	357314
chrX	49126256	49157940	PPP1R3F	0	+	31684
chr5	73935848	74018472	HEXB	0	+	82624
chrX	73952691	74145307	NEXMIF	0	-	192616
chr7	144052381	144077725	ARHGEF5	0	+	25344
chr7	26191818	26226757	NFE2L3	0	+	34939
chr6	13786789	13814800	MCUR1	0	-	28011
chr12	50569571	50677303	LIMA1	0	-	107732
chr12	51441745	51454207	LETMD1	0	+	12462
chr12	51785101	51909547	SLC4A8	0	+	124446
chr9	133884561	133969860	LAMC3	0	+	85299
chr1	71318036	71513499	PTGER3	0	-	195463
chr4	122052563	122148621	TNIP3	0	-	96058
chr5	179660143	179719099	MAPK9	0	-	58956
chr5	177664477	178017394	COL23A1	0	-	352917
chr16	75262079	75301951	BCAR1	0	-	39872
chr11	6232575	6255941	FHIP1B	0	-	23366
chr16	56966054	56978776	HERPUD1	0	+	12722
chr15	40986972	41024538	RAD51	0	+	37566
chr3	121150278	121264835	POLQ	0	-	114557
chr3	138371540	138553770	PIK3CB	0	-	182230
