Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
DCAF4L1	1	2	0	0	3	3	3
DCAF8L1	3	0	0	0	3	3	3
DMRTB1	3	0	0	0	3	3	3
EDC4	3	0	0	0	3	3	3
FAM81B	3	0	0	0	3	3	3
FBXO43	3	0	0	0	3	3	3
GPR149	3	0	0	0	3	3	3
GRIA4	3	0	0	0	3	3	3
GRXCR1	2	1	0	0	3	3	3
HTR2B	3	0	0	0	3	3	3
ITIH1	2	0	1	0	3	3	3
KCNC2	3	0	0	0	3	3	3
KCNV2	3	0	0	0	3	3	3
KCTD11	3	0	0	0	3	3	3
KIR2DL4	3	0	0	0	3	3	3
KIR3DL1	3	0	0	0	3	3	3
KLHL38	3	0	0	0	3	3	3
KRT26	3	0	0	0	3	3	3
KRT32	3	0	0	0	3	3	3
KRT71	3	0	0	0	3	3	3
LRGUK	2	1	0	0	3	3	3
LRRC18	3	0	0	0	3	3	3
MOGAT3	3	0	0	0	3	3	3
NR0B1	3	0	0	0	3	3	3
NXNL2	1	2	0	0	3	3	3
ODF1	3	0	0	0	3	3	3
OMG	3	0	0	0	3	3	3
OR5AS1	2	1	0	0	3	3	3
OR6C75	2	1	0	0	3	3	3
OTOL1	2	1	0	0	3	3	3
PGR	3	0	0	0	3	3	3
PKDREJ	3	0	0	0	3	3	3
PLA2G3	3	0	0	0	3	3	3
PNLIPRP1	3	0	0	0	3	3	3
POTEB3	3	0	0	0	3	3	3
PRDM14	3	0	0	0	3	3	3
PURG	3	0	0	0	3	3	3
RSPH4A	2	1	0	0	3	3	3
RTP1	3	0	0	0	3	3	3
SLC10A2	3	0	0	0	3	3	3
SLC18A3	2	1	0	0	3	3	3
SLC39A12	3	0	0	0	3	3	3
SLC5A4	2	0	0	1	3	3	3
SOX1	2	1	0	0	3	3	3
SPANXN2	3	0	0	0	3	3	3
SPATA19	3	0	0	0	3	3	3
SPATA31A7	3	0	0	0	3	3	3
SPATA31D1	3	0	0	0	3	3	3
TACR3	3	0	0	0	3	3	3
TECTB	3	0	0	0	3	3	3
THRSP	3	0	0	0	3	3	3
TRIM10	2	1	0	0	3	3	3
UCP1	2	1	0	0	3	3	3
YIPF3	3	0	0	0	3	3	3
ZIC3	3	0	0	0	3	3	3
CNKSR1	3	0	0	0	3	2	2
MSTN	3	0	0	0	3	2	2
NLRP9	3	0	0	0	3	2	2
SSTR4	3	0	0	0	3	2	2
TMEM74	3	0	0	0	3	2	2
TSGA10IP	3	0	0	0	3	2	2
ADRA1A	2	0	0	0	2	2	2
AFM	2	0	0	0	2	2	2
AHSG	2	0	0	0	2	2	2
AIPL1	2	0	0	0	2	2	2
ALPI	2	0	0	0	2	2	2
ALX1	2	0	0	0	2	2	2
ALX4	2	0	0	0	2	2	2
ASIC5	2	0	0	0	2	2	2
BARHL2	1	1	0	0	2	2	2
BEST2	2	0	0	0	2	2	2
BIRC7	2	0	0	0	2	2	2
BPIFA3	1	0	0	1	2	2	2
BPIFB3	2	0	0	0	2	2	2
BPIFB6	1	0	1	0	2	2	2
BRS3	2	0	0	0	2	2	2
C22orf42	2	0	0	0	2	2	2
C5orf58	1	0	1	0	2	2	2
C7orf33	1	1	0	0	2	2	2
CACNG2	2	0	0	0	2	2	2
CAMK2A	2	0	0	0	2	2	2
CCDC116	1	1	0	0	2	2	2
CCKBR	2	0	0	0	2	2	2
CEACAM3	2	0	0	0	2	2	2
CEACAM4	2	0	0	0	2	2	2
CFAP45	2	0	0	0	2	2	2
CLEC4M	2	0	0	0	2	2	2
CLRN1	2	0	0	0	2	2	2
COL25A1	2	0	0	0	2	2	2
CRYBA4	2	0	0	0	2	2	2
CRYBB1	2	0	0	0	2	2	2
CSMD3	2	0	0	0	2	2	2
CST9L	2	0	0	0	2	2	2
CYP2C8	0	2	0	0	2	2	2
CYP4V2	2	0	0	0	2	2	2
CYP8B1	2	0	0	0	2	2	2
DCX	2	0	0	0	2	2	2
DKKL1	2	0	0	0	2	2	2
DMRT1	2	0	0	0	2	2	2
DNMT3L	1	1	0	0	2	2	2
EDN3	2	0	0	0	2	2	2
ELANE	2	0	0	0	2	2	2
EQTN	2	0	0	0	2	2	2
EVX2	1	1	0	0	2	2	2
EXTL1	2	0	0	0	2	2	2
FAM186B	2	0	0	0	2	2	2
FAM209B	2	0	0	0	2	2	2
FCAR	1	0	1	0	2	2	2
FGF10	1	1	0	0	2	2	2
FLG2	1	1	0	0	2	2	2
FSCN2	2	0	0	0	2	2	2
GAD2	2	0	0	0	2	2	2
GNAT1	2	0	0	0	2	2	2
GPHB5	2	0	0	0	2	2	2
GPR101	2	0	0	0	2	2	2
GPR12	2	0	0	0	2	2	2
GPR179	1	1	0	0	2	2	2
GPRC5D	1	1	0	0	2	2	2
HDAC6	2	0	0	0	2	2	2
HGFAC	2	0	0	0	2	2	2
HIPK4	2	0	0	0	2	2	2
HOXC10	2	0	0	0	2	2	2
HRNR	2	0	0	0	2	2	2
HS3ST2	2	0	0	0	2	2	2
HSD3B2	2	0	0	0	2	2	2
HTR5A	2	0	0	0	2	2	2
IFNG	2	0	0	0	2	2	2
INSL4	2	0	0	0	2	2	2
ISX	2	0	0	0	2	2	2
IZUMO2	2	0	0	0	2	2	2
KCNC1	2	0	0	0	2	2	2
KCNH7	1	1	0	0	2	2	2
KCNJ3	1	1	0	0	2	2	2
KCNK16	2	0	0	0	2	2	2
KCNU1	2	0	0	0	2	2	2
KCTD8	2	0	0	0	2	2	2
KLB	2	0	0	0	2	2	2
KRT12	2	0	0	0	2	2	2
KRT2	2	0	0	0	2	2	2
KRT25	2	0	0	0	2	2	2
KRT27	1	1	0	0	2	2	2
KRT39	2	0	0	0	2	2	2
KRT73	2	0	0	0	2	2	2
KRT74	2	0	0	0	2	2	2
LGALS12	2	0	0	0	2	2	2
LILRA2	1	1	0	0	2	2	2
LPA	2	0	0	0	2	2	2
LPPR5	2	0	0	0	2	2	2
LRIT2	2	0	0	0	2	2	2
LRRC31	2	0	0	0	2	2	2
LRRC66	2	0	0	0	2	2	2
MARCH11	2	0	0	0	2	2	2
MPO	1	1	0	0	2	2	2
MSH4	0	2	0	0	2	2	2
MYH1	2	0	0	0	2	2	2
MYH6	2	0	0	0	2	2	2
NKX2-1	1	0	0	1	2	2	2
NME5	2	0	0	0	2	2	2
NPPC	2	0	0	0	2	2	2
NPY	2	0	0	0	2	2	2
NXNL1	2	0	0	0	2	2	2
ODAM	2	0	0	0	2	2	2
OR10J1	2	0	0	0	2	2	2
OR1C1	2	0	0	0	2	2	2
OR51A4	2	0	0	0	2	2	2
OR5H14	2	0	0	0	2	2	2
OR5M1	2	0	0	0	2	2	2
OR6C74	2	0	0	0	2	2	2
OR9Q2	2	0	0	0	2	2	2
OTOP2	2	0	0	0	2	2	2
OXLD1	2	0	0	0	2	2	2
PADI6	2	0	0	0	2	2	2
PDE6C	2	0	0	0	2	2	2
PKD2L1	2	0	0	0	2	2	2
PKLR	2	0	0	0	2	2	2
PNLDC1	2	0	0	0	2	2	2
POU3F4	2	0	0	0	2	2	2
POU4F2	2	0	0	0	2	2	2
PRAMEF18	2	0	0	0	2	2	2
PRDM13	2	0	0	0	2	2	2
PRLHR	2	0	0	0	2	2	2
PRODH2	2	0	0	0	2	2	2
PRSS58	2	0	0	0	2	2	2
PSG2	2	0	0	0	2	2	2
PTGDR	2	0	0	0	2	2	2
RAB39A	2	0	0	0	2	2	2
RBPJL	2	0	0	0	2	2	2
RGS18	2	0	0	0	2	2	2
RHOXF1	2	0	0	0	2	2	2
RIPPLY2	2	0	0	0	2	2	2
RLN1	2	0	0	0	2	2	2
RNF112	2	0	0	0	2	2	2
RSPH6A	2	0	0	0	2	2	2
SERPINA10	1	1	0	0	2	2	2
SIGLEC8	2	0	0	0	2	2	2
SLC17A6	2	0	0	0	2	2	2
SLC22A8	2	0	0	0	2	2	2
SLC22A9	2	0	0	0	2	2	2
SLC4A9	2	0	0	0	2	2	2
SLC5A9	1	1	0	0	2	2	2
SLC7A3	2	0	0	0	2	2	2
SLC7A9	2	0	0	0	2	2	2
SLCO6A1	2	0	0	0	2	2	2
SLITRK1	2	0	0	0	2	2	2
SNTN	2	0	0	0	2	2	2
SOX8	2	0	0	0	2	2	2
SP8	2	0	0	0	2	2	2
SPAG16	1	1	0	0	2	2	2
SPATA31A1	2	0	0	0	2	2	2
SPATA31A6	2	0	0	0	2	2	2
SPATA31E1	2	0	0	0	2	2	2
SPP2	2	0	0	0	2	2	2
SPX	1	0	1	0	2	2	2
SSTR1	2	0	0	0	2	2	2
SSX7	2	0	0	0	2	2	2
SYMPK	2	0	0	0	2	2	2
TCHHL1	2	0	0	0	2	2	2
TECRL	2	0	0	0	2	2	2
TEKT2	2	0	0	0	2	2	2
TEKT4	2	0	0	0	2	2	2
TFAP2D	1	1	0	0	2	2	2
TIFAB	1	1	0	0	2	2	2
TINAG	2	0	0	0	2	2	2
TMEM202	2	0	0	0	2	2	2
TMOD4	1	1	0	0	2	2	2
TREML1	1	1	0	0	2	2	2
TRIM15	1	1	0	0	2	2	2
TRIML1	2	0	0	0	2	2	2
TSHR	2	0	0	0	2	2	2
TTC16	2	0	0	0	2	2	2
TULP1	2	0	0	0	2	2	2
TUSC5	2	0	0	0	2	2	2
UGT2B28	2	0	0	0	2	2	2
UNCX	2	0	0	0	2	2	2
VSTM2A	2	0	0	0	2	2	2
WFDC13	1	0	0	1	2	2	2
ZNF483	2	0	0	0	2	2	2
ZP4	2	0	0	0	2	2	2
ZSWIM2	2	0	0	0	2	2	2
ECSIT	1	1	0	0	2	1	1
KCNA7	2	0	0	0	2	1	1
AADACL4	1	0	0	0	1	1	1
AARD	0	1	0	0	1	1	1
ABCG4	1	0	0	0	1	1	1
ACPT	1	0	0	0	1	1	1
ACR	1	0	0	0	1	1	1
ACRV1	1	0	0	0	1	1	1
ACSM5	1	0	0	0	1	1	1
ADAD1	1	0	0	0	1	1	1
ADAM7	1	0	0	0	1	1	1
ADRA1D	1	0	0	0	1	1	1
AGXT	1	0	0	0	1	1	1
AMBN	1	0	0	0	1	1	1
AMPD1	0	1	0	0	1	1	1
ANGPTL3	1	0	0	0	1	1	1
ANKS4B	1	0	0	0	1	1	1
AQP5	1	0	0	0	1	1	1
AQP8	1	0	0	0	1	1	1
ARRDC5	1	0	0	0	1	1	1
ASB17	1	0	0	0	1	1	1
ASGR2	1	0	0	0	1	1	1
ASIC4	1	0	0	0	1	1	1
ASTN1	1	0	0	0	1	1	1
ATP4A	1	0	0	0	1	1	1
BARHL1	1	0	0	0	1	1	1
BMP10	1	0	0	0	1	1	1
BSND	1	0	0	0	1	1	1
BTNL2	1	0	0	0	1	1	1
C11orf88	1	0	0	0	1	1	1
C16orf78	1	0	0	0	1	1	1
C16orf92	1	0	0	0	1	1	1
C19orf35	1	0	0	0	1	1	1
C1QL3	1	0	0	0	1	1	1
C1orf43	1	0	0	0	1	1	1
C1orf64	1	0	0	0	1	1	1
C20orf85	1	0	0	0	1	1	1
C4BPB	1	0	0	0	1	1	1
C4orf17	1	0	0	0	1	1	1
C4orf22	0	1	0	0	1	1	1
C9orf131	1	0	0	0	1	1	1
C9orf24	1	0	0	0	1	1	1
CA5A	0	0	1	0	1	1	1
CACNA1B	1	0	0	0	1	1	1
CACNA1G	1	0	0	0	1	1	1
CALCA	1	0	0	0	1	1	1
CALHM1	1	0	0	0	1	1	1
CATSPER4	1	0	0	0	1	1	1
CAV3	1	0	0	0	1	1	1
CBWD2	1	0	0	0	1	1	1
CBWD5	1	0	0	0	1	1	1
CCDC110	0	0	1	0	1	1	1
CCDC42	1	0	0	0	1	1	1
CCL14	1	0	0	0	1	1	1
CCL16	0	0	0	1	1	1	1
CCL23	0	0	0	1	1	1	1
CD300LG	1	0	0	0	1	1	1
CD40LG	1	0	0	0	1	1	1
CDC20B	1	0	0	0	1	1	1
CDH16	1	0	0	0	1	1	1
CEACAM18	1	0	0	0	1	1	1
CECR6	0	1	0	0	1	1	1
CELF4	1	0	0	0	1	1	1
CHRNA9	0	1	0	0	1	1	1
CHRNG	0	1	0	0	1	1	1
CIB3	1	0	0	0	1	1	1
CLDN18	1	0	0	0	1	1	1
CLDN19	1	0	0	0	1	1	1
CLRN3	1	0	0	0	1	1	1
CNBD1	1	0	0	0	1	1	1
CNGB3	1	0	0	0	1	1	1
CNKSR2	0	1	0	0	1	1	1
CNTNAP5	1	0	0	0	1	1	1
CPA2	1	0	0	0	1	1	1
CPN1	1	0	0	0	1	1	1
CREB3L3	1	0	0	0	1	1	1
CRYGB	1	0	0	0	1	1	1
CRYGN	1	0	0	0	1	1	1
CST9	0	1	0	0	1	1	1
CYP17A1	1	0	0	0	1	1	1
CYP2A7	1	0	0	0	1	1	1
CYP4A11	1	0	0	0	1	1	1
CYP4Z1	1	0	0	0	1	1	1
CYP7A1	1	0	0	0	1	1	1
DBH	1	0	0	0	1	1	1
DCAF12L1	1	0	0	0	1	1	1
DDX4	1	0	0	0	1	1	1
DEPDC4	1	0	0	0	1	1	1
DNAJC5G	1	0	0	0	1	1	1
DPEP3	1	0	0	0	1	1	1
DPPA4	1	0	0	0	1	1	1
DRC1	0	1	0	0	1	1	1
DRICH1	1	0	0	0	1	1	1
DSCR4	1	0	0	0	1	1	1
DSG4	1	0	0	0	1	1	1
DUSP13	1	0	0	0	1	1	1
ENPP7	0	1	0	0	1	1	1
EPX	1	0	0	0	1	1	1
ERMN	1	0	0	0	1	1	1
F9	1	0	0	0	1	1	1
FABP2	1	0	0	0	1	1	1
FABP9	1	0	0	0	1	1	1
FAM124B	1	0	0	0	1	1	1
FAM150B	0	0	1	0	1	1	1
FAM162B	1	0	0	0	1	1	1
FAM228A	1	0	0	0	1	1	1
FAM71B	1	0	0	0	1	1	1
FAM9C	1	0	0	0	1	1	1
FBXL6	1	0	0	0	1	1	1
FBXW10	1	0	0	0	1	1	1
FCN2	1	0	0	0	1	1	1
FCRL2	1	0	0	0	1	1	1
FCRL4	1	0	0	0	1	1	1
FEZF2	1	0	0	0	1	1	1
FGF23	1	0	0	0	1	1	1
FGF6	1	0	0	0	1	1	1
FGF9	1	0	0	0	1	1	1
FIGLA	1	0	0	0	1	1	1
FKBP6	1	0	0	0	1	1	1
FOXI2	1	0	0	0	1	1	1
FOXI3	1	0	0	0	1	1	1
FSHR	1	0	0	0	1	1	1
G6PC2	1	0	0	0	1	1	1
GAB4	1	0	0	0	1	1	1
GABRA4	1	0	0	0	1	1	1
GABRR2	1	0	0	0	1	1	1
GALR1	1	0	0	0	1	1	1
GAS2L2	1	0	0	0	1	1	1
GCKR	1	0	0	0	1	1	1
GDF2	1	0	0	0	1	1	1
GDF3	1	0	0	0	1	1	1
GFAP	1	0	0	0	1	1	1
GIF	1	0	0	0	1	1	1
GJC3	1	0	0	0	1	1	1
GJD2	1	0	0	0	1	1	1
GLIPR1L1	1	0	0	0	1	1	1
GLIPR1L2	0	0	0	1	1	1	1
GLRA2	1	0	0	0	1	1	1
GLRA3	1	0	0	0	1	1	1
GNRH1	1	0	0	0	1	1	1
GP2	1	0	0	0	1	1	1
GPR50	1	0	0	0	1	1	1
GPRC6A	1	0	0	0	1	1	1
GPX5	1	0	0	0	1	1	1
GRIA3	1	0	0	0	1	1	1
GRIN3A	1	0	0	0	1	1	1
GRM2	1	0	0	0	1	1	1
GSG1	1	0	0	0	1	1	1
GUCA1C	1	0	0	0	1	1	1
GUCY2D	1	0	0	0	1	1	1
HAPLN4	1	0	0	0	1	1	1
HCN1	1	0	0	0	1	1	1
HIGD1C	1	0	0	0	1	1	1
HOXC12	1	0	0	0	1	1	1
HPX	0	1	0	0	1	1	1
HRCT1	1	0	0	0	1	1	1
HRH4	1	0	0	0	1	1	1
HSF5	1	0	0	0	1	1	1
HTN1	1	0	0	0	1	1	1
HTR3B	0	1	0	0	1	1	1
HTR3C	1	0	0	0	1	1	1
HTR6	1	0	0	0	1	1	1
IGFBP1	1	0	0	0	1	1	1
IGFBP6	1	0	0	0	1	1	1
IGFL3	1	0	0	0	1	1	1
IL10	1	0	0	0	1	1	1
IL20	1	0	0	0	1	1	1
IL21	1	0	0	0	1	1	1
IMPG2	1	0	0	0	1	1	1
INSC	1	0	0	0	1	1	1
INSL5	1	0	0	0	1	1	1
INSL6	1	0	0	0	1	1	1
INSRR	1	0	0	0	1	1	1
IRX1	1	0	0	0	1	1	1
ITIH3	1	0	0	0	1	1	1
IZUMO1	1	0	0	0	1	1	1
KCNG3	1	0	0	0	1	1	1
KCNG4	1	0	0	0	1	1	1
KCNIP4	1	0	0	0	1	1	1
KCNJ9	1	0	0	0	1	1	1
KCNK18	0	1	0	0	1	1	1
KCNV1	1	0	0	0	1	1	1
KIR3DL3	1	0	0	0	1	1	1
KLHL14	1	0	0	0	1	1	1
KLHL30	1	0	0	0	1	1	1
KLHL4	1	0	0	0	1	1	1
KLRC2	1	0	0	0	1	1	1
KLRF1	1	0	0	0	1	1	1
KRT28	1	0	0	0	1	1	1
KRT37	1	0	0	0	1	1	1
KRT82	1	0	0	0	1	1	1
LCN6	1	0	0	0	1	1	1
LCN9	1	0	0	0	1	1	1
LCT	1	0	0	0	1	1	1
LDHC	1	0	0	0	1	1	1
LECT2	1	0	0	0	1	1	1
LGI1	1	0	0	0	1	1	1
LIPF	1	0	0	0	1	1	1
LMOD2	1	0	0	0	1	1	1
LRRC14B	1	0	0	0	1	1	1
LRRC55	1	0	0	0	1	1	1
LYZL1	1	0	0	0	1	1	1
MAGEB4	1	0	0	0	1	1	1
MBL2	1	0	0	0	1	1	1
MMP27	0	1	0	0	1	1	1
MROH2B	1	0	0	0	1	1	1
MRPL18	1	0	0	0	1	1	1
MS4A5	1	0	0	0	1	1	1
MTMR14	1	0	0	0	1	1	1
MYBPC3	1	0	0	0	1	1	1
MYCBPAP	1	0	0	0	1	1	1
MYH4	1	0	0	0	1	1	1
MYOC	0	0	0	1	1	1	1
MYOZ2	1	0	0	0	1	1	1
NANOG	1	0	0	0	1	1	1
NCR1	1	0	0	0	1	1	1
NCR2	1	0	0	0	1	1	1
NKG7	0	0	1	0	1	1	1
NLRP5	1	0	0	0	1	1	1
NLRP6	1	0	0	0	1	1	1
NOL4	1	0	0	0	1	1	1
NPFFR2	1	0	0	0	1	1	1
NPS	0	0	0	1	1	1	1
NRG3	1	0	0	0	1	1	1
NT5C1A	0	1	0	0	1	1	1
NTN5	1	0	0	0	1	1	1
NTRK3	1	0	0	0	1	1	1
NTSR2	1	0	0	0	1	1	1
NUTM2G	1	0	0	0	1	1	1
ODF3L1	1	0	0	0	1	1	1
OLFM3	1	0	0	0	1	1	1
ONECUT3	0	1	0	0	1	1	1
OOSP2	1	0	0	0	1	1	1
OR10G4	1	0	0	0	1	1	1
OR2AG1	1	0	0	0	1	1	1
OR51D1	0	1	0	0	1	1	1
OR52A1	1	0	0	0	1	1	1
OR6C4	1	0	0	0	1	1	1
OR9G1	1	0	0	0	1	1	1
OSGIN1	1	0	0	0	1	1	1
OTP	1	0	0	0	1	1	1
OVCH2	0	1	0	0	1	1	1
PADI4	1	0	0	0	1	1	1
PAGE1	1	0	0	0	1	1	1
PAGE3	0	1	0	0	1	1	1
PANX3	0	1	0	0	1	1	1
PAQR9	1	0	0	0	1	1	1
PAX3	1	0	0	0	1	1	1
PAX4	1	0	0	0	1	1	1
PGA3	1	0	0	0	1	1	1
PKHD1L1	1	0	0	0	1	1	1
PLA2G1B	1	0	0	0	1	1	1
PNLIP	1	0	0	0	1	1	1
POTEC	1	0	0	0	1	1	1
PPP4R2	1	0	0	0	1	1	1
PRAMEF14	1	0	0	0	1	1	1
PRAMEF15	0	1	0	0	1	1	1
PRAMEF20	1	0	0	0	1	1	1
PRAMEF4	1	0	0	0	1	1	1
PRND	1	0	0	0	1	1	1
PROKR2	1	0	0	0	1	1	1
PRSS57	1	0	0	0	1	1	1
PSG1	0	0	1	0	1	1	1
PSG11	1	0	0	0	1	1	1
REM1	1	0	0	0	1	1	1
RFX4	1	0	0	0	1	1	1
RFX6	1	0	0	0	1	1	1
RHO	0	1	0	0	1	1	1
RHOXF2	0	1	0	0	1	1	1
RHOXF2B	1	0	0	0	1	1	1
RLN2	0	1	0	0	1	1	1
RLN3	1	0	0	0	1	1	1
ROPN1L	0	1	0	0	1	1	1
RORC	1	0	0	0	1	1	1
RPS4Y2	1	0	0	0	1	1	1
RPS5	1	0	0	0	1	1	1
RTP2	1	0	0	0	1	1	1
RXFP2	1	0	0	0	1	1	1
RXRG	1	0	0	0	1	1	1
S100G	1	0	0	0	1	1	1
SBK2	1	0	0	0	1	1	1
SCN4A	1	0	0	0	1	1	1
SEC14L3	1	0	0	0	1	1	1
SERPINA7	1	0	0	0	1	1	1
SERPINC1	1	0	0	0	1	1	1
SHCBP1L	1	0	0	0	1	1	1
SHD	1	0	0	0	1	1	1
SIM1	1	0	0	0	1	1	1
SLC13A1	1	0	0	0	1	1	1
SLC17A8	1	0	0	0	1	1	1
SLC22A13	1	0	0	0	1	1	1
SLC24A4	1	0	0	0	1	1	1
SLC25A22	1	0	0	0	1	1	1
SLC25A31	1	0	0	0	1	1	1
SLC25A41	1	0	0	0	1	1	1
SLC26A4	1	0	0	0	1	1	1
SLC35F1	1	0	0	0	1	1	1
SLC35F3	0	1	0	0	1	1	1
SLC36A3	1	0	0	0	1	1	1
SLC38A8	1	0	0	0	1	1	1
SLC6A19	1	0	0	0	1	1	1
SLC9C2	1	0	0	0	1	1	1
SMYD1	1	0	0	0	1	1	1
SORCS3	0	1	0	0	1	1	1
SPANXN4	1	0	0	0	1	1	1
SPEF1	1	0	0	0	1	1	1
SPO11	1	0	0	0	1	1	1
SPTA1	1	0	0	0	1	1	1
SRRM4	1	0	0	0	1	1	1
ST8SIA5	1	0	0	0	1	1	1
STAR	1	0	0	0	1	1	1
STRA8	1	0	0	0	1	1	1
STRC	1	0	0	0	1	1	1
SULT1C4	1	0	0	0	1	1	1
SYCP1	1	0	0	0	1	1	1
SYT3	1	0	0	0	1	1	1
SYT4	1	0	0	0	1	1	1
T	1	0	0	0	1	1	1
TAS1R2	1	0	0	0	1	1	1
TCF23	1	0	0	0	1	1	1
TCL1B	1	0	0	0	1	1	1
TEKT1	0	1	0	0	1	1	1
TEX26	1	0	0	0	1	1	1
TEX37	1	0	0	0	1	1	1
THEG	1	0	0	0	1	1	1
TMEM185A	1	0	0	0	1	1	1
TMEM207	1	0	0	0	1	1	1
TMIGD1	1	0	0	0	1	1	1
TNFSF18	0	1	0	0	1	1	1
TNFSF8	1	0	0	0	1	1	1
TREML4	0	1	0	0	1	1	1
TRIM43	1	0	0	0	1	1	1
TRIM48	1	0	0	0	1	1	1
TRIM71	1	0	0	0	1	1	1
TRIM72	1	0	0	0	1	1	1
TRPM5	1	0	0	0	1	1	1
TRPV3	1	0	0	0	1	1	1
TSKS	1	0	0	0	1	1	1
TSPAN32	1	0	0	0	1	1	1
TUBA3D	1	0	0	0	1	1	1
UBE2U	1	0	0	0	1	1	1
UBTD1	1	0	0	0	1	1	1
UCMA	1	0	0	0	1	1	1
UNC45B	1	0	0	0	1	1	1
USF2	1	0	0	0	1	1	1
VGLL2	0	1	0	0	1	1	1
VIPR2	0	1	0	0	1	1	1
VN1R2	1	0	0	0	1	1	1
VPS72	1	0	0	0	1	1	1
VSTM1	1	0	0	0	1	1	1
VWC2	1	0	0	0	1	1	1
WEE2	1	0	0	0	1	1	1
WNT10B	1	0	0	0	1	1	1
WT1	1	0	0	0	1	1	1
XAGE5	1	0	0	0	1	1	1
XKR4	1	0	0	0	1	1	1
XKR7	1	0	0	0	1	1	1
XXbac-BPG32J3.19	1	0	0	0	1	1	1
ZAN	1	0	0	0	1	1	1
ZNF772	1	0	0	0	1	1	1
ZPBP2	0	1	0	0	1	1	1
