Chr	Start	End	Name	Score	Strand	ID
chr1	25327445	25333445	RHD	0	+	ENSG00000187010
chr1	26065436	26071436	TRIM63	0	-	ENSG00000158022
chr1	26165963	26171963	C1orf232	0	-	ENSG00000282872
chr1	26199968	26205968	CATSPER4	0	+	ENSG00000188782
chr1	26910975	26916975	NR0B2	0	-	ENSG00000131910
chr1	27392814	27398814	GPR3	0	+	ENSG00000181773
chr1	30720585	30726585	MATN1	0	-	ENSG00000162510
chr1	31629518	31635518	HCRTR1	0	+	ENSG00000121764
chr1	32213192	32219192	DCDC2B	0	+	ENSG00000222046
chr1	33318098	33324098	A3GALT2	0	-	ENSG00000184389
chr1	33861791	33867791	HMGB4	0	+	ENSG00000176256
chr1	34216131	34222131	C1orf94	0	+	ENSG00000142698
chr1	34759327	34765327	GJB4	0	+	ENSG00000189433
chr1	34926650	34932650	DLGAP3	0	-	ENSG00000116544
chr1	35592328	35598328	TFAP2E	0	+	ENSG00000116819
chr1	38043793	38049793	POU3F1	0	-	ENSG00000185668
chr1	39669107	39675107	NT5C1A	0	-	ENSG00000116981
chr1	39688485	39694485	HPCAL4	0	-	ENSG00000116983
chr1	40248684	40254684	TMCO2	0	+	ENSG00000188800
chr1	41020237	41026237	SLFNL1	0	-	ENSG00000171790
chr1	42152820	42158820	GUCA2B	0	+	ENSG00000044012
chr1	42161745	42167745	GUCA2A	0	-	ENSG00000197273
chr1	43153396	43159396	FAM183A	0	+	ENSG00000186973
chr1	43351466	43357466	MPL	0	+	ENSG00000117400
chr1	44132140	44138140	KLF17	0	+	ENSG00000171872
chr1	44138631	44144631	KLF18	0	-	ENSG00000283039
chr1	44785170	44791170	BEST4	0	-	ENSG00000142959
chr1	44804351	44810351	DYNLT4	0	-	ENSG00000188396
chr1	45621057	45627057	CCDC17	0	-	ENSG00000159588
chr1	46513216	46519216	DMBX1	0	+	ENSG00000197587
chr1	46540969	46546969	TMEM275	0	-	ENSG00000282881
chr1	46548647	46554647	KNCN	0	-	ENSG00000162456
chr1	46670594	46676594	TEX38	0	+	ENSG00000186118
chr1	46938484	46944484	CYP4A11	0	-	ENSG00000187048
chr1	47146727	47152727	CYP4A22	0	+	ENSG00000162365
chr1	47415052	47421052	FOXE3	0	+	ENSG00000186790
chr1	48245644	48251644	SLC5A9	0	+	ENSG00000117834
chr1	50020954	50026954	AGBL4	0	-	ENSG00000186094
chr1	50200772	50206772	ELAVL4	0	+	ENSG00000162374
chr1	50420443	50426443	DMRTA2	0	-	ENSG00000142700
chr1	51145086	51151086	C1orf185	0	+	ENSG00000204006
chr1	52666683	52672683	SHISAL2A	0	+	ENSG00000182183
chr1	53464488	53470488	DMRTB1	0	+	ENSG00000143006
chr1	53736164	53742164	GLIS1	0	-	ENSG00000174332
chr1	54015186	54021186	LDLRAD1	0	-	ENSG00000203985
chr1	54839252	54845252	LEXM	0	+	ENSG00000162398
chr1	55014172	55020172	BSND	0	+	ENSG00000162399
chr1	56915223	56921223	C8A	0	+	ENSG00000157131
chr1	56963140	56969140	C8B	0	-	ENSG00000021852
chr1	60070770	60076770	C1orf87	0	-	ENSG00000162598
chr1	62209328	62215328	L1TD1	0	+	ENSG00000240563
chr1	62603313	62609313	ANGPTL3	0	+	ENSG00000132855
chr1	63322128	63328128	FOXD3	0	+	ENSG00000187140
chr1	64264368	64270368	UBE2U	0	+	ENSG00000177414
chr1	66776047	66782047	DYNLT5	0	+	ENSG00000152760
chr1	66798276	66804276	INSL5	0	-	ENSG00000172410
chr1	67228853	67234853	C1orf141	0	-	ENSG00000203963
chr1	67256979	67262979	IL23R	0	+	ENSG00000162594
chr1	68446954	68452954	RPE65	0	-	ENSG00000116745
chr1	70148945	70154945	LRRC7	0	+	ENSG00000033122
chr1	74509611	74515611	LRRC53	0	-	ENSG00000162621
chr1	75158533	75164533	LHX8	0	+	ENSG00000162624
chr1	75910242	75916242	MSH4	0	+	ENSG00000057468
chr1	75929404	75935404	ASB17	0	-	ENSG00000154007
chr1	84412018	84418018	DNASE2B	0	+	ENSG00000137976
chr1	85130138	85136138	DNAI3	0	+	ENSG00000162643
chr1	86497259	86503259	CLCA1	0	+	ENSG00000016490
chr1	86577754	86583754	CLCA4	0	+	ENSG00000016602
chr1	89385160	89391160	GBP6	0	+	ENSG00000183347
chr1	90714302	90720302	BARHL2	0	-	ENSG00000143032
chr1	91401856	91407856	HFM1	0	-	ENSG00000162669
chr1	92011426	92017426	BRDT	0	+	ENSG00000137948
chr1	92242813	92248813	C1orf146	0	+	ENSG00000203910
chr1	99002032	99008032	PLPPR5	0	-	ENSG00000117598
chr1	103622780	103628780	AMY2A	0	+	ENSG00000243480
chr1	103661554	103667554	AMY1A	0	+	ENSG00000237763
chr1	108739749	108745749	FNDC7	0	+	ENSG00000143107
chr1	108960484	108966484	AKNAD1	0	-	ENSG00000162641
chr1	109110857	109116857	C1orf194	0	-	ENSG00000179902
chr1	109304011	109310011	MYBPHL	0	-	ENSG00000221986
chr1	109545406	109551406	GPR61	0	+	ENSG00000156097
chr1	109616929	109622929	GNAT2	0	-	ENSG00000134183
chr1	109761027	109767027	EPS8L3	0	-	ENSG00000198758
chr1	110110947	110116947	UBL4B	0	+	ENSG00000186150
chr1	110516175	110522175	KCNA10	0	-	ENSG00000143105
chr1	110628474	110634474	KCNA2	0	-	ENSG00000177301
chr1	111317566	111323566	CHIA	0	+	ENSG00000134216
chr1	112724235	112730235	TAFA3	0	+	ENSG00000184599
chr1	113884581	113890581	BCL2L15	0	-	ENSG00000188761
chr1	114150880	114156880	SYT6	0	-	ENSG00000134207
chr1	114692618	114698618	AMPD1	0	-	ENSG00000116748
chr1	114992370	114998370	SYCP1	0	+	ENSG00000198765
chr1	115031302	115037302	TSHB	0	+	ENSG00000134200
chr1	115335770	115341770	NGF	0	-	ENSG00000134259
chr1	115840917	115846917	NHLH2	0	-	ENSG00000177551
chr1	116135149	116141149	MAB21L3	0	+	ENSG00000173212
chr1	119391130	119397130	HAO2	0	+	ENSG00000116882
chr1	119512054	119518054	HSD3B1	0	+	ENSG00000203857
chr1	119808580	119814580	REG4	0	-	ENSG00000134193
chr1	119893515	119899515	ADAM30	0	-	ENSG00000134249
chr1	143902977	143908977	H3-2	0	-	ENSG00000273213
chr1	144370634	144376634	PPIAL4E	0	-	ENSG00000271567
chr1	144590652	144596652	PPIAL4F	0	+	ENSG00000279782
chr1	145736288	145742288	CD160	0	+	ENSG00000117281
chr1	146033746	146039746	HJV	0	-	ENSG00000168509
chr1	146341765	146347765	PPIAL4H	0	-	ENSG00000270339
chr1	147906269	147912269	GJA8	0	+	ENSG00000121634
chr1	149810693	149816693	H3C13	0	-	ENSG00000183598
chr1	149884965	149890965	H2AC21	0	-	ENSG00000184270
chr1	150910292	150916292	CTXND2	0	+	ENSG00000283324
chr1	151173284	151179284	TMOD4	0	-	ENSG00000163157
chr1	151713803	151719803	CELF3	0	-	ENSG00000159409
chr1	151726805	151732805	RIIAD1	0	+	ENSG00000178796
chr1	152086064	152092064	TCHHL1	0	-	ENSG00000182898
chr1	152112444	152118444	TCHH	0	-	ENSG00000159450
chr1	152156228	152162228	RPTN	0	-	ENSG00000215853
chr1	152221193	152227193	HRNR	0	-	ENSG00000197915
chr1	152357006	152363006	FLG2	0	-	ENSG00000143520
chr1	152411263	152417263	CRNN	0	-	ENSG00000143536
chr1	152509177	152515177	LCE5A	0	+	ENSG00000186207
chr1	152513008	152519008	CRCT1	0	+	ENSG00000169509
chr1	152563780	152569780	LCE3E	0	-	ENSG00000185966
chr1	152577516	152583516	LCE3D	0	-	ENSG00000163202
chr1	152598086	152604086	LCE3C	0	+	ENSG00000244057
chr1	152611098	152617098	LCE3B	0	+	ENSG00000187238
chr1	152620103	152626103	LCE3A	0	-	ENSG00000185962
chr1	152661659	152667659	LCE2D	0	+	ENSG00000187223
chr1	152673569	152679569	LCE2C	0	+	ENSG00000187180
chr1	152684397	152690397	LCE2B	0	+	ENSG00000159455
chr1	152696442	152702442	LCE2A	0	+	ENSG00000187173
chr1	152706434	152712434	LCE4A	0	+	ENSG00000187170
chr1	152717470	152723470	C1orf68	0	+	ENSG00000198854
chr1	152759052	152765052	KPRP	0	+	ENSG00000203786
chr1	152774024	152780024	LCE1F	0	+	ENSG00000240386
chr1	152785426	152791426	LCE1E	0	+	ENSG00000186226
chr1	152795181	152801181	LCE1D	0	+	ENSG00000172155
chr1	152803651	152809651	LCE1C	0	-	ENSG00000197084
chr1	152810108	152816108	LCE1B	0	+	ENSG00000196734
chr1	152825097	152831097	LCE1A	0	+	ENSG00000186844
chr1	152840983	152846983	LCE6A	0	+	ENSG00000235942
chr1	152882047	152888047	SMCP	0	+	ENSG00000163206
chr1	152946258	152952258	SPRR5	0	+	ENSG00000283227
chr1	152969574	152975574	SPRR4	0	+	ENSG00000184148
chr1	152982500	152988500	SPRR1A	0	+	ENSG00000169474
chr1	153038931	153044931	SPRR2D	0	-	ENSG00000163216
chr1	153054512	153060512	SPRR2A	0	-	ENSG00000241794
chr1	153068611	153074611	SPRR2B	0	-	ENSG00000196805
chr1	153103184	153109184	SPRR2E	0	-	ENSG00000203785
chr1	153110516	153116516	SPRR2F	0	-	ENSG00000244094
chr1	153147890	153153890	SPRR2G	0	-	ENSG00000159516
chr1	153202120	153208120	LELP1	0	+	ENSG00000203784
chr1	153216310	153222310	PRR9	0	+	ENSG00000203783
chr1	153309952	153315952	PGLYRP3	0	-	ENSG00000159527
chr1	153345841	153351841	PGLYRP4	0	-	ENSG00000163218
chr1	153372621	153378621	S100A12	0	-	ENSG00000163221
chr1	153436949	153442949	S100A7L2	0	-	ENSG00000197364
chr1	153538765	153544765	S100A5	0	-	ENSG00000196420
chr1	154152116	154158116	NUP210L	0	-	ENSG00000143552
chr1	154203333	154209333	C1orf189	0	-	ENSG00000163263
chr1	154322325	154328325	AQP10	0	+	ENSG00000143595
chr1	154545147	154551147	TDRD10	0	+	ENSG00000163239
chr1	154991315	154997315	LENEP	0	+	ENSG00000163352
chr1	155298438	155304438	PKLR	0	-	ENSG00000143627
chr1	155940087	155946087	RXFP4	0	+	ENSG00000173080
chr1	156296307	156302307	VHLL	0	-	ENSG00000189030
chr1	156343995	156349995	TSACC	0	+	ENSG00000163467
chr1	156382219	156388219	RHBG	0	+	ENSG00000132677
chr1	156584719	156590719	TTC24	0	+	ENSG00000187862
chr1	156622725	156628725	HAPLN2	0	+	ENSG00000132702
chr1	156856117	156862117	INSRR	0	-	ENSG00000027644
chr1	156878850	156884850	NTRK1	0	+	ENSG00000198400
chr1	156930094	156936094	LRRC71	0	+	ENSG00000160838
chr1	157109412	157115412	ETV3L	0	-	ENSG00000253831
chr1	157595085	157601085	FCRL4	0	-	ENSG00000163518
chr1	157774132	157780132	FCRL2	0	-	ENSG00000132704
chr1	157817120	157823120	FCRL1	0	-	ENSG00000163534
chr1	157895256	157901256	CD5L	0	-	ENSG00000073754
chr1	158328531	158334531	CD1B	0	-	ENSG00000158485
chr1	158396466	158402466	OR10T2	0	-	ENSG00000186306
chr1	158423237	158429237	OR10K2	0	-	ENSG00000180708
chr1	158467857	158473857	OR10K1	0	+	ENSG00000173285
chr1	158477936	158483936	OR10R2	0	+	ENSG00000198965
chr1	158551405	158557405	OR6Y1	0	-	ENSG00000197532
chr1	158567580	158573580	OR6P1	0	-	ENSG00000186440
chr1	158576899	158582899	OR10X1	0	-	ENSG00000279111
chr1	158609514	158615514	OR10Z1	0	+	ENSG00000198967
chr1	158683715	158689715	SPTA1	0	-	ENSG00000163554
chr1	158697652	158703652	OR6K2	0	-	ENSG00000196171
chr1	158717720	158723720	OR6K3	0	-	ENSG00000203757
chr1	158752891	158758891	OR6K6	0	+	ENSG00000180433
chr1	158769195	158775195	OR6N1	0	-	ENSG00000197403
chr1	158778204	158784204	OR6N2	0	-	ENSG00000188340
chr1	159440078	159446078	OR10J1	0	+	ENSG00000196184
chr1	159533007	159539007	OR10J5	0	-	ENSG00000184155
chr1	159585865	159591865	APCS	0	+	ENSG00000132703
chr1	159870053	159876053	ENSG00000256029	0	-	ENSG00000256029
chr1	159951237	159957237	SLAMF9	0	-	ENSG00000162723
chr1	160087563	160093563	KCNJ9	0	+	ENSG00000162728
chr1	160369846	160375846	NHLH1	0	+	ENSG00000171786
chr1	160859887	160865887	CD244	0	-	ENSG00000122223
chr1	160882180	160888180	ITLN1	0	-	ENSG00000179914
chr1	160951809	160957809	ITLN2	0	-	ENSG00000158764
chr1	161220631	161226631	APOA2	0	-	ENSG00000158874
chr1	162373854	162379854	SPATA46	0	-	ENSG00000171722
chr1	162409138	162415138	SH2D1B	0	-	ENSG00000198574
chr1	162865761	162871761	CCDC190	0	-	ENSG00000185860
chr1	165353715	165359715	LMX1A	0	-	ENSG00000162761
chr1	165442355	165448355	RXRG	0	-	ENSG00000143171
chr1	165560957	165566957	LRRC52	0	+	ENSG00000162763
chr1	167126165	167132165	STYXL2	0	+	ENSG00000198842
chr1	167163479	167169479	GPA33	0	-	ENSG00000143167
chr1	167911215	167917215	ADCY10	0	-	ENSG00000143199
chr1	168540997	168546997	XCL2	0	-	ENSG00000143185
chr1	168579069	168585069	XCL1	0	+	ENSG00000143184
chr1	169457669	169463669	CCDC181	0	-	ENSG00000117477
chr1	170165866	170171866	NTMT2	0	+	ENSG00000203740
chr1	171061765	171067765	MROH9	0	+	ENSG00000117501
chr1	171635799	171641799	MYOCOS	0	+	ENSG00000283683
chr1	172465831	172471831	C1orf105	0	+	ENSG00000180999
chr1	173047941	173053941	TNFSF18	0	-	ENSG00000120337
chr1	173600072	173606072	SLC9C2	0	-	ENSG00000162753
chr1	173634130	173640130	TEX50	0	+	ENSG00000232113
chr1	173666851	173672851	ANKRD45	0	-	ENSG00000183831
chr1	173914327	173920327	SERPINC1	0	-	ENSG00000117601
chr1	178496634	178502634	CLEC20A	0	-	ENSG00000188585
chr1	178545602	178551602	TEX35	0	+	ENSG00000240021
chr1	179551735	179557735	AXDND1	0	+	ENSG00000162779
chr1	179572952	179578952	NPHS2	0	-	ENSG00000116218
chr1	179813198	179819198	FAM163A	0	+	ENSG00000143340
chr1	181805084	181811084	CACNA1E	0	+	ENSG00000198216
chr1	182058712	182064712	ZNF648	0	-	ENSG00000179930
chr1	182397667	182403667	TEDDM1	0	-	ENSG00000203730
chr1	182557599	182563599	RGSL1	0	+	ENSG00000121446
chr1	182681576	182687576	RGS8	0	-	ENSG00000135824
chr1	182950525	182956525	SHCBP1L	0	-	ENSG00000157060
chr1	183650316	183656316	APOBEC4	0	-	ENSG00000173627
chr1	186458114	186464114	PDC	0	-	ENSG00000116703
chr1	192364285	192370285	RGS21	0	+	ENSG00000253148
chr1	192657311	192663311	RGS13	0	+	ENSG00000127074
chr1	193183613	193189613	B3GALT2	0	-	ENSG00000162630
chr1	196606225	196612225	KCNT2	0	-	ENSG00000162687
chr1	196792407	196798407	CFHR3	0	+	ENSG00000116785
chr1	196915713	196921713	CFHR4	0	+	ENSG00000134365
chr1	196956622	196962622	CFHR2	0	+	ENSG00000080910
chr1	197006678	197012678	CFHR5	0	+	ENSG00000134389
chr1	197064260	197070260	F13B	0	-	ENSG00000143278
chr1	197475455	197481455	CRB1	0	+	ENSG00000134376
chr1	197932478	197938478	LHX9	0	+	ENSG00000143355
chr1	198537945	198543945	ATP6V1G3	0	-	ENSG00000151418
chr1	200871178	200877178	GPR25	0	+	ENSG00000170128
chr1	201109451	201115451	CACNA1S	0	-	ENSG00000081248
chr1	201124184	201130184	ASCL5	0	-	ENSG00000232237
chr1	201225952	201231952	IGFN1	0	+	ENSG00000163395
chr1	202707454	202713454	SYT2	0	-	ENSG00000143858
chr1	203083012	203089012	MYOG	0	-	ENSG00000122180
chr1	203172826	203178826	MYBPH	0	-	ENSG00000133055
chr1	203505949	203511949	OPTC	0	+	ENSG00000188770
chr1	204187324	204193324	REN	0	-	ENSG00000143839
chr1	204193491	204199491	KISS1	0	-	ENSG00000170498
chr1	205847132	205853132	PM20D1	0	-	ENSG00000162877
chr1	206020909	206026909	CTSE	0	-	ENSG00000196188
chr1	206114699	206120699	AVPR1B	0	-	ENSG00000198049
chr1	206771541	206777541	IL10	0	-	ENSG00000136634
chr1	206839981	206845981	IL19	0	+	ENSG00000142224
chr1	206967625	206973625	FCAMR	0	-	ENSG00000162897
chr1	207096993	207102993	C4BPB	0	+	ENSG00000123843
chr1	207735416	207741416	CR1L	0	+	ENSG00000197721
chr1	209610939	209616939	CAMK1G	0	+	ENSG00000008118
chr1	210168389	210174389	SYT14	0	+	ENSG00000143469
chr1	211489162	211495162	RD3	0	-	ENSG00000198570
chr1	212623775	212629775	FAM71A	0	+	ENSG00000162771
chr1	212844649	212850649	SPATA45	0	-	ENSG00000185523
chr1	216420448	216426448	USH2A	0	-	ENSG00000042781
chr1	219955647	219961647	SLC30A10	0	-	ENSG00000196660
chr1	223392465	223398465	CCDC185	0	+	ENSG00000178395
chr1	226224060	226230060	MIXL1	0	+	ENSG00000185155
chr1	227843470	227849470	PRSS38	0	+	ENSG00000185888
chr1	228058271	228064271	WNT3A	0	+	ENSG00000154342
chr1	228422360	228428360	H3-4	0	-	ENSG00000168148
chr1	237001441	237007441	MT1HL1	0	-	ENSG00000244020
chr1	237887922	237893922	ZP4	0	-	ENSG00000116996
chr1	237942275	237948275	MTRNR2L11	0	-	ENSG00000270188
chr1	240472187	240478187	FMN2	0	+	ENSG00000155816
chr1	241354374	241360374	RGS7	0	-	ENSG00000182901
chr1	241799777	241805777	WDR64	0	+	ENSG00000162843
chr1	241956062	241962062	BECN2	0	+	ENSG00000196289
chr1	241996098	242002098	MAP1LC3C	0	-	ENSG00000197769
chr1	242521697	242527697	PLD5	0	-	ENSG00000180287
chr1	244386663	244392663	C1orf100	0	+	ENSG00000173728
chr1	244638177	244644177	CATSPERE	0	+	ENSG00000179397
chr1	247455105	247461105	OR2B11	0	-	ENSG00000177535
chr1	247533440	247539440	OR2C3	0	-	ENSG00000196242
chr1	247574690	247580690	GCSAML	0	+	ENSG00000169224
chr1	247586313	247592313	OR2G2	0	+	ENSG00000177489
chr1	247603515	247609515	OR2G3	0	+	ENSG00000177476
chr1	247619372	247625372	OR14L1P	0	+	ENSG00000198452
chr1	247676739	247682739	OR13G1	0	-	ENSG00000197437
chr1	247720764	247726764	ENSG00000239395	0	-	ENSG00000239395
chr1	247736559	247742559	OR14K1	0	+	ENSG00000153230
chr1	247757556	247763556	OR1C1	0	-	ENSG00000221888
chr1	247821119	247827119	OR14A16	0	-	ENSG00000196772
chr1	247838896	247844896	OR11L1	0	-	ENSG00000197591
chr1	247893531	247899531	OR2W3	0	+	ENSG00000238243
chr1	247920152	247926152	OR2T8	0	+	ENSG00000177462
chr1	247932339	247938339	OR2AJ1	0	+	ENSG00000177275
chr1	247946796	247952796	OR2L8	0	+	ENSG00000279263
chr1	247963386	247969386	OR2AK2	0	+	ENSG00000187080
chr1	248021276	248027276	OR2L5	0	+	ENSG00000197454
chr1	248039305	248045305	OR2L2	0	+	ENSG00000203663
chr1	248060407	248066407	OR2L3	0	+	ENSG00000198128
chr1	248098103	248104103	OR2L13	0	+	ENSG00000196071
chr1	248143086	248149086	OR2M5	0	+	ENSG00000162727
chr1	248178067	248184067	OR2M2	0	+	ENSG00000198601
chr1	248209925	248215925	OR2M3	0	+	ENSG00000228198
chr1	248241679	248247679	OR2M4	0	+	ENSG00000171180
chr1	248274976	248280976	OR2T33	0	-	ENSG00000177212
chr1	248300424	248306424	OR2T12	0	-	ENSG00000177201
chr1	248321568	248327568	OR2M7	0	-	ENSG00000177186
chr1	248346713	248352713	OR14C36	0	+	ENSG00000177174
chr1	248359627	248365627	OR2T4	0	+	ENSG00000196944
chr1	248388811	248394811	OR2T6	0	+	ENSG00000198104
chr1	248405020	248411020	OR2T1	0	+	ENSG00000175143
chr1	248452725	248458725	OR2T2	0	+	ENSG00000196240
chr1	248471307	248477307	OR2T3	0	+	ENSG00000196539
chr1	248488113	248494113	OR2T5	0	+	ENSG00000203661
chr1	248524337	248530337	OR2G6	0	+	ENSG00000188558
chr1	248559772	248565772	OR2T29	0	-	ENSG00000182783
chr1	248571757	248577757	OR2T34	0	-	ENSG00000183310
chr1	248594700	248600700	OR2T10	0	-	ENSG00000184022
chr1	248632091	248638091	OR2T11	0	-	ENSG00000279301
chr1	248642278	248648278	OR2T35	0	-	ENSG00000177151
chr1	248652528	248658528	OR2T27	0	-	ENSG00000187701
chr10	71163	77163	TUBB8	0	-	ENSG00000261456
chr10	1734525	1740525	ADARB2	0	-	ENSG00000185736
chr10	5182187	5188187	AKR1C8P	0	-	ENSG00000264006
chr10	13231374	13237374	UCMA	0	-	ENSG00000165623
chr10	14985050	14991050	MEIG1	0	+	ENSG00000197889
chr10	15070853	15076853	OLAH	0	+	ENSG00000152463
chr10	15085776	15091776	ACBD7	0	-	ENSG00000176244
chr10	16518879	16524879	C1QL3	0	-	ENSG00000165985
chr10	17797868	17803868	TMEM236	0	+	ENSG00000148483
chr10	18040292	18046292	SLC39A12	0	+	ENSG00000148482
chr10	22215015	22221015	EBLN1	0	-	ENSG00000223601
chr10	23191245	23197245	PTF1A	0	+	ENSG00000168267
chr10	23341845	23347845	C10orf67	0	-	ENSG00000179133
chr10	25059279	25065279	ENKUR	0	-	ENSG00000151023
chr10	26209532	26215532	MYO3A	0	+	ENSG00000095777
chr10	26301558	26307558	GAD2	0	+	ENSG00000136750
chr10	29315328	29321328	LYZL1	0	+	ENSG00000120563
chr10	30626762	30632762	LYZL2	0	-	ENSG00000151033
chr10	35605935	35611935	GJD4	0	+	ENSG00000177291
chr10	37599974	37605974	MTRNR2L7	0	-	ENSG00000256892
chr10	43373335	43379335	FXYD4	0	+	ENSG00000150201
chr10	44934010	44940010	TMEM72	0	+	ENSG00000187783
chr10	45312608	45318608	OR13A1	0	-	ENSG00000256574
chr10	46327207	46333207	ANTXRL	0	+	ENSG00000274209
chr10	46462958	46468958	NPY4R	0	-	ENSG00000204174
chr10	47324588	47330588	GDF2	0	+	ENSG00000263761
chr10	47354881	47360881	RBP3	0	+	ENSG00000265203
chr10	47381293	47387293	ZNF488	0	-	ENSG00000265763
chr10	47488700	47494700	FAM25G	0	-	ENSG00000189090
chr10	47920524	47926524	NPY4R2	0	+	ENSG00000264717
chr10	47996791	48002791	FAM25C	0	-	ENSG00000276430
chr10	48271696	48277696	FRMPD2	0	-	ENSG00000170324
chr10	48911232	48917232	LRRC18	0	-	ENSG00000165383
chr10	49131021	49137021	FAM170B	0	-	ENSG00000172538
chr10	49324492	49330492	C10orf71	0	+	ENSG00000177354
chr10	49393089	49399089	DRGX	0	-	ENSG00000165606
chr10	49664942	49670942	CHAT	0	+	ENSG00000070748
chr10	49707261	49713261	C10orf53	0	+	ENSG00000178645
chr10	50008654	50014654	TIMM23B-AGAP6	0	+	ENSG00000178440
chr10	50882675	50888675	A1CF	0	-	ENSG00000148584
chr10	52769784	52775784	MBL2	0	-	ENSG00000165471
chr10	55597728	55603728	MTRNR2L5	0	+	ENSG00000249860
chr10	55624942	55630942	PCDH15	0	-	ENSG00000150275
chr10	59753041	59759041	MRLN	0	-	ENSG00000227877
