Chr	Start	End	Name	Score	Strand	Length
chr7	11370365	11832198	THSD7A	0	-	461833
chr12	47661249	47706030	RPAP3	0	-	44781
chr16	20610243	20797581	ACSM3	0	+	187338
chr16	20806429	20849665	REXO5	0	+	43236
chr16	57428187	57447420	CIAPIN1	0	-	19233
chr9	35104112	35116341	FAM214B	0	-	12229
chr17	48026167	48038030	COPZ2	0	-	11863
chr7	107044705	107161811	PRKAR2B	0	+	117106
chrX	11758159	11775772	MSL3	0	+	17613
chr16	3725054	3880713	CREBBP	0	-	155659
chr17	58301228	58328795	TSPOAP1	0	-	27567
chr2	75652000	75710985	GCFC2	0	-	58985
chr2	74421678	74425755	WDR54	0	+	4077
chr7	87345664	87399794	CROT	0	+	54130
chr7	87401696	87480435	ABCB4	0	-	78739
chr7	75842602	75888926	RHBDD2	0	+	46324
chr16	981770	986979	SOX8	0	+	5209
chr6	82169986	82247754	IBTK	0	-	77768
chr11	3339261	3379222	ZNF195	0	-	39961
chr13	77042474	77327094	MYCBP2	0	-	284620
chr16	30472658	30523567	ITGAL	0	+	50909
chr17	50055968	50090481	ITGA3	0	+	34513
chrX	24149173	24216255	ZFX	0	+	67082
chrX	120426148	120469365	LAMP2	0	-	43217
chr16	19501693	19522123	GDE1	0	-	20430
chr19	18572220	18607741	CRLF1	0	-	35521
chr17	47807372	47821834	OSBPL7	0	-	14462
chr17	32927910	32945106	TMEM98	0	+	17196
chr17	7288263	7294639	YBX2	0	-	6376
chr17	45263119	45317029	MAP3K14	0	-	53910
chr11	17392498	17476894	ABCC8	0	-	84396
chr17	35578046	35726413	AP2B1	0	+	148367
chr16	3263800	3301401	ZNF263	0	+	37601
chr16	57372477	57385044	CX3CL1	0	+	12567
chr17	50543058	50555852	SPATA20	0	+	12794
chr17	50560715	50627474	CACNA1G	0	+	66759
chr14	70722526	70809534	MAP3K9	0	-	87008
chr7	39623565	39708120	RALA	0	+	84555
chr7	98291650	98401090	BAIAP2L1	0	-	109440
chr7	140084746	140176983	KDM7A	0	-	92237
chr7	13891229	13991425	ETV1	0	-	100196
chr7	141551278	141655244	AGK	0	+	103966
chr11	68008578	68029282	ALDH3B1	0	+	20704
chr1	54779712	54801323	TTC22	0	-	21611
chr7	77798792	77957503	PHTF2	0	+	158711
chr2	241356285	241494841	FARP2	0	+	138556
chr19	3594507	3606875	TBXA2R	0	-	12368
chr7	112422887	112481017	IFRD1	0	+	58130
chr17	14069490	14231736	COX10	0	+	162246
chr7	74453790	74602605	GTF2IRD1	0	+	148815
chr7	38722974	38932394	VPS41	0	-	209420
chr17	12789498	12991643	ARHGAP44	0	+	202145
chr7	12570577	12660182	SCIN	0	+	89605
chrX	2903972	2929349	ARSD	0	-	25377
chrX	7898247	7927739	PNPLA4	0	-	29492
chr12	1688574	1788674	ADIPOR2	0	+	100100
chr5	134286350	134371047	CDKL3	0	-	84697
chr16	2817180	2826304	PRSS21	0	+	9124
chr19	45079288	45305284	MARK4	0	+	225996
chr4	15963076	16084378	PROM1	0	-	121302
chr19	17933015	17943991	CCDC124	0	+	10976
chr19	41549518	41586844	CEACAM21	0	+	37326
chr17	2593210	2685615	PAFAH1B1	0	+	92405
chr17	28614446	28645454	KIAA0100	0	-	31008
chr17	9910606	10198606	GAS7	0	-	288000
chr19	3777970	3802129	MATK	0	-	24159
chr17	63938554	63972918	SCN4A	0	-	34364
chr1	112523514	112620825	ST7L	0	-	97311
chr16	58059	76355	RHBDF1	0	-	18296
chr16	188969	229463	LUC7L	0	-	40494
chr3	50362613	50504244	CACNA2D2	0	-	141631
chr16	1333638	1349441	BAIAP3	0	+	15803
chr16	566995	584109	PIGQ	0	+	17114
chr16	1612337	1677908	CRAMP1	0	+	65571
chr6	35473597	35497079	TEAD3	0	-	23482
chr1	6634168	6701924	DNAJC11	0	-	67756
chr1	171090901	171117819	FMO3	0	+	26918
chr6	16129086	16148248	MYLIP	0	+	19162
chr1	23506438	23531233	E2F2	0	-	24795
chr6	170535120	170553307	PSMB1	0	-	18187
chrX	47571901	47619857	SYN1	0	-	47956
chr6	15246069	15522042	JARID2	0	+	275973
chrX	18425583	18653629	CDKL5	0	+	228046
chr1	1702379	1724357	CDK11A	0	-	21978
chr1	1751232	1780457	NADK	0	-	29225
chr6	50818723	50847619	TFAP2B	0	+	28896
chr3	38039205	38124025	DLEC1	0	+	84820
chr7	6161776	6272644	CYTH3	0	-	110868
chr7	87934143	88202889	ADAM22	0	+	268746
chr7	106090505	106112576	SYPL1	0	-	22071
chr17	63432304	63446354	CYB561	0	-	14050
chr17	50962174	51120868	SPAG9	0	-	158694
chr3	48636463	48662886	CELSR3	0	-	26423
chr7	122064583	122144308	AASS	0	-	79725
chr12	6310436	6328506	PLEKHG6	0	+	18070
chr19	4343527	4360086	MPND	0	+	16559
chr12	16347142	16609259	MGST1	0	+	262117
chr12	106991364	107093549	CRY1	0	-	102185
chr19	12995475	13098796	NFIX	0	+	103321
chr8	133454848	133571940	ST3GAL1	0	-	117092
chr16	3046062	3060726	MMP25	0	+	14664
chr16	3065297	3082192	IL32	0	+	16895
chr16	2088708	2135898	PKD1	0	-	47190
chr17	40019097	40061215	MED24	0	-	42118
chr2	36968383	37084372	HEATR5B	0	-	115989
chr3	169966635	169998373	SEC62	0	+	31738
chr8	56067254	56074510	RPS20	0	-	7256
chr1	114716913	114758676	CSDE1	0	-	41763
chr7	157138916	157269370	UBE3C	0	+	130454
chrX	124375903	124963817	TENM1	0	-	587914
chr1	18630846	18748866	PAX7	0	+	118020
chr1	11026523	11047239	MASP2	0	-	20716
chr6	150368892	150405969	IYD	0	+	37077
chr1	27725961	27763116	FAM76A	0	+	37155
chr1	209756032	209782320	TRAF3IP3	0	+	26288
chr14	77274956	77320883	POMT2	0	-	45927
chr6	142147162	142224685	VTA1	0	+	77523
chr7	73593194	73624543	MLXIPL	0	-	31349
chr7	73440406	73522293	BAZ1B	0	-	81887
chr6	13621498	13711835	RANBP9	0	-	90337
chr6	36354091	36387800	ETV7	0	-	33709
chr1	231337104	231355023	SPRTN	0	+	17919
chr1	171781660	171814023	METTL13	0	+	32363
chr17	32350132	32381885	ZNF207	0	+	31753
chr3	48599002	48610976	UQCRC1	0	-	11974
chr7	38178245	38230670	STARD3NL	0	+	52425
chr12	6199715	6238271	CD9	0	+	38556
chr12	6493356	6531955	NCAPD2	0	+	38599
chr12	6538961	6556073	IFFO1	0	-	17112
chr19	45668221	45683722	GIPR	0	+	15501
chr3	52410660	52423641	PHF7	0	+	12981
chr3	52433035	52445103	SEMA3G	0	-	12068
chr3	52455118	52493068	NISCH	0	+	37950
chr3	52495338	52524495	STAB1	0	+	29157
chr16	3222325	3236221	ZNF200	0	-	13896
chr12	6786858	6820799	CD4	0	+	33941
chr12	6873569	6914241	LRRC23	0	+	40672
chrX	101349447	101390796	BTK	0	-	41349
chr6	26087281	26098343	HFE	0	+	11062
chr1	41027200	41242154	SCMH1	0	-	214954
chr6	111660332	111873452	FYN	0	-	213120
chr6	142751469	142956698	HIVEP2	0	-	205229
chr1	171248471	171285978	FMO1	0	+	37507
chr1	23743448	23762059	ELOA	0	+	18611
chr1	23791145	23795539	LYPLA2	0	+	4394
chr1	11806096	11848079	CLCN6	0	+	41983
chr17	62627670	62693597	MRC2	0	+	65927
chr17	51153590	51171744	NME1-NME2	0	+	18154
chr12	3077355	3286564	TSPAN9	0	+	209209
chr14	93237550	93333092	BTBD7	0	-	95542
chrX	8528874	8732137	ANOS1	0	-	203263
chr19	15380050	15419141	AKAP8L	0	-	39091
chr17	51177425	51260163	MBTD1	0	-	82738
chr17	51260546	51297936	UTP18	0	+	37390
chr7	5620047	5781696	RNF216	0	-	161649
chr19	797075	812327	PTBP1	0	+	15252
chr11	61513714	61581148	SYT7	0	-	67434
chr3	45388561	45554726	LARS2	0	+	166165
chr11	17077730	17207986	PIK3C2A	0	-	130256
chr19	43646095	43670547	PLAUR	0	-	24452
chr19	15419978	15449956	WIZ	0	-	29978
chr9	122940833	123104866	RABGAP1	0	+	164033
chr12	91140484	91183217	DCN	0	-	42733
chr19	45692403	45703989	QPCTL	0	+	11586
chr19	46347087	46392981	PPP5C	0	+	45894
chr2	39249266	39437301	MAP4K3	0	-	188035
chr19	35904401	35908295	TYROBP	0	-	3894
chr17	43044295	43170245	BRCA1	0	-	125950
chr19	45407334	45478828	ERCC1	0	-	71494
chr19	35319261	35347361	CD22	0	+	28100
chr3	50267558	50277546	SEMA3B	0	+	9988
chrX	21839617	21885423	MBTPS2	0	+	45806
chrX	49174802	49186528	PRICKLE3	0	-	11726
chr3	46435645	46485234	LTF	0	-	49589
chr8	28600469	28755599	EXTL3	0	+	155130
chr6	53267398	53349179	ELOVL5	0	-	81781
chr10	45374176	45446119	ALOX5	0	+	71943
chr12	53708517	53727745	CALCOCO1	0	-	19228
chr14	50418501	50561126	MAP4K5	0	-	142625
chr2	31234152	31269451	EHD3	0	+	35299
chr19	39971165	39981764	PSMC4	0	+	10599
chr4	6575189	6623362	MAN2B2	0	+	48173
chr17	44319625	44324870	SLC25A39	0	-	5245
chr16	29820394	29848039	MVP	0	+	27645
chr7	151341772	151378449	NUB1	0	+	36677
chr6	83193357	83198935	RWDD2A	0	+	5578
chr2	200853009	200864691	CLK1	0	-	11682
chr12	106357748	106510198	POLR3B	0	+	152450
chr14	76786009	76826246	ANGEL1	0	-	40237
chr5	141958328	141990292	RNF14	0	+	31964
chr12	31073860	31104799	DDX11	0	+	30939
chr12	12974870	13000265	HEBP1	0	-	25395
chr12	12891559	12917937	GPRC5A	0	+	26378
chrX	150361422	150514178	MAMLD1	0	+	152756
chr11	60971680	61020377	CD6	0	+	48697
chr4	1712858	1745171	TACC3	0	+	32313
chr6	96521595	96555276	UFL1	0	+	33681
chr8	143437659	143541447	ZC3H3	0	-	103788
chr11	65180566	65212006	CAPN1	0	+	31440
chr3	132317369	132368298	ACP3	0	+	50929
chr4	41990502	42090461	SLC30A9	0	+	99959
chr1	149928651	149936879	MTMR11	0	-	8228
chr14	91271323	91417844	CCDC88C	0	-	146521
chr12	42157104	42238349	YAF2	0	-	81245
chr10	134465	254637	ZMYND11	0	+	120172
chrX	48676596	48691427	WAS	0	+	14831
chr16	89613308	89638456	DPEP1	0	+	25148
chr22	17734138	17774770	BID	0	-	40632
chr5	139293674	139331677	MATR3	0	+	38003
chr7	44512535	44541330	NPC1L1	0	-	28795
chr17	50346126	50363138	XYLT2	0	+	17012
chr2	109792758	109857705	RGPD5	0	+	64947
chr7	44379119	44490658	NUDCD3	0	-	111539
chr6	136999971	137045180	IL20RA	0	-	45209
chr3	52694486	52706032	GLT8D1	0	-	11546
chr3	130850595	131016712	ATP2C1	0	+	166117
chr12	102395874	102481744	IGF1	0	-	85870
chrX	48458537	48470260	SLC38A5	0	-	11723
chr18	9475009	9538114	RALBP1	0	+	63105
chr4	70704204	70808619	RUFY3	0	+	104415
chr12	40692439	41072415	CNTN1	0	+	379976
chr2	218382029	218396894	SLC11A1	0	+	14865
chr3	149517235	149736714	WWTR1	0	-	219479
chr2	177392746	177567024	AGPS	0	+	174278
chrX	119538149	119565409	STEEP1	0	-	27260
chr1	160115759	160143591	ATP1A2	0	+	27832
chr2	32628032	32821051	TTC27	0	+	193019
chr19	56375846	56393538	ZNF582	0	-	17692
chr11	124747474	124752255	VSIG2	0	-	4781
chr11	118606440	118658031	PHLDB1	0	+	51591
chr2	118942194	118994660	MARCO	0	+	52466
chr20	54153446	54173986	CYP24A1	0	-	20540
chr11	45095806	45235110	PRDM11	0	+	139304
chr11	45240302	45286341	SYT13	0	-	46039
chr8	48917598	48921740	SNAI2	0	-	4142
chr5	150401637	150412969	CD74	0	-	11332
chr7	81699010	81770438	HGF	0	-	71428
chr8	37784191	37844896	ADGRA2	0	+	60705
chr20	52051663	52204308	ZFP64	0	-	152645
chr14	60734742	60969965	MNAT1	0	+	235223
chr14	54566117	54793315	SAMD4A	0	+	227198
chr1	24899511	24965121	RUNX3	0	-	65610
chr11	94415570	94493885	MRE11	0	-	78315
chr11	73646178	73662819	PLEKHB1	0	+	16641
chr6	2832332	2841959	SERPINB1	0	-	9627
chr2	32063556	32157637	SPAST	0	+	94081
chr14	78170373	79868291	NRXN3	0	+	1697918
chr11	3087107	3166739	OSBPL5	0	-	79632
chr15	34851782	34969742	AQR	0	-	117960
chr2	210477682	210679107	CPS1	0	+	201425
chrX	136146702	136211359	FHL1	0	+	64657
chr20	56468585	56519449	RTF2	0	+	50864
chr5	161847063	161899981	GABRA1	0	+	52918
chr19	54953130	55001142	NLRP2	0	+	48012
chr8	141207166	141308305	SLC45A4	0	-	101139
chr12	120533480	120577588	RNF10	0	+	44108
chr14	102317377	102342702	ZNF839	0	+	25325
chr11	123358428	123627774	GRAMD1B	0	+	269346
chr11	494512	507300	RNH1	0	-	12788
chr2	206114817	206159509	NDUFS1	0	-	44692
chr8	52622458	52745843	RB1CC1	0	-	123385
chr9	99979185	100099052	ERP44	0	-	119867
chr3	52198086	52214327	ALAS1	0	+	16241
chr11	102317450	102339403	BIRC3	0	+	21953
chr13	42272152	42323261	AKAP11	0	+	51109
chr1	193090866	193106114	GLRX2	0	-	15248
chr14	61762420	61796428	SNAPC1	0	+	34008
chr12	15911302	16037381	DERA	0	+	126079
chr12	15882387	15903478	STRAP	0	+	21091
chr10	99782640	99852594	ABCC2	0	+	69954
chr6	35297818	35321771	DEF6	0	+	23953
chr1	150149183	150164720	PLEKHO1	0	+	15537
chr1	93885199	93909456	GCLM	0	-	24257
chr6	42564029	42693505	UBR2	0	+	129476
chr19	47713422	47743134	EHD2	0	+	29712
chr1	68474152	68497221	DEPDC1	0	-	23069
chr6	138773769	138793319	CCDC28A	0	+	19550
chr6	89364616	89412273	RRAGD	0	-	47657
chr6	122399551	122433119	HSF2	0	+	33568
chr20	35771974	35950370	PHF20	0	+	178396
chr12	56752161	56787790	HSD17B6	0	+	35629
chr11	47248300	47269033	NR1H3	0	+	20733
chr22	50525752	50530032	TYMP	0	-	4280
chr22	50508224	50524780	NCAPH2	0	+	16556
chr6	107867756	107958208	SEC63	0	-	90452
chr1	32108056	32176563	KPNA6	0	+	68507
chr10	17228241	17237593	VIM	0	+	9352
chr20	63659300	63698684	RTEL1-TNFRSF6B	0	+	39384
chr6	166922113	166957191	RNASET2	0	-	35078
chr11	35138882	35232402	CD44	0	+	93520
chr20	51003656	51023107	KCNG1	0	-	19451
chr6	161129967	161274061	AGPAT4	0	-	144094
chr1	160739057	160754821	SLAMF7	0	+	15764
chr6	26402237	26415208	BTN3A1	0	+	12971
chr13	23730189	23889400	MIPEP	0	-	159211
chr14	61187559	61550976	PRKCH	0	+	363417
chr6	137197485	137219449	IFNGR1	0	-	21964
chr5	177600132	177610330	B4GALT7	0	+	10198
chr2	57907629	58159920	VRK2	0	+	252291
chr1	12166991	12209228	TNFRSF1B	0	+	42237
chr12	95217746	95302799	VEZT	0	+	85053
chr19	42086110	42196585	POU2F2	0	-	110475
chr15	64094123	64146090	SNX1	0	+	51967
chr12	27332836	27425289	ARNTL2	0	+	92453
chr6	136256627	136289851	BCLAF1	0	-	33224
chr14	69398015	69462390	SLC39A9	0	+	64375
chr8	41653220	41896762	ANK1	0	-	243542
chr4	87799554	87812435	IBSP	0	+	12881
chr17	5282265	5386340	RABEP1	0	+	104075
chrX	150980509	150990771	HMGB3	0	+	10262
chr11	47778087	47848555	NUP160	0	-	70468
chr6	33572547	33580293	BAK1	0	-	7746
chr2	212999691	213152427	IKZF2	0	-	152736
chr17	44345246	44353106	GRN	0	+	7860
chr5	137937960	138051961	FAM13B	0	-	114001
chr3	119294383	119420714	ARHGAP31	0	+	126331
chr6	49463370	49493107	CENPQ	0	+	29737
chr1	109213918	109238182	SARS1	0	+	24264
chr19	5916139	5978142	RANBP3	0	-	62003
chr14	58298504	58373887	ARID4A	0	+	75383
chr2	3188925	3377830	EIPR1	0	-	188905
chr19	7534004	7561764	PNPLA6	0	+	27760
chr13	20567138	20691444	IFT88	0	+	124306
chr16	5033702	5087379	ALG1	0	+	53677
chr12	122471599	122501073	ZCCHC8	0	-	29474
chr14	65410592	65744121	FUT8	0	+	333529
chr4	67612652	67701155	UBA6	0	-	88503
chr11	78215293	78418348	GAB2	0	-	203055
chr17	42458844	42522582	ATP6V0A1	0	+	63738
chr15	68054309	68198603	PIAS1	0	+	144294
chr3	27372721	27484420	SLC4A7	0	-	111699
chr15	28884483	29118315	APBA2	0	+	233832
chr17	21284672	21315232	MAP2K3	0	+	30560
chr6	143450805	143490616	PEX3	0	+	39811
chr16	75566375	75577881	GABARAPL2	0	+	11506
chr2	217730	266398	SH3YL1	0	-	48668
chr2	70295975	70302090	FAM136A	0	-	6115
chr10	73995193	74121363	VCL	0	+	126170
chr5	60596912	60700190	DEPDC1B	0	-	103278
chr15	63907036	64072033	DAPK2	0	-	164997
chr8	58583508	58659853	NSMAF	0	-	76345
chr1	244408494	244451909	ADSS2	0	-	43415
chr4	67558727	67607337	STAP1	0	+	48610
chr17	78852977	78925387	TIMP2	0	-	72410
chr4	39287456	39366375	RFC1	0	-	78919
chr3	100260992	100325251	TBC1D23	0	+	64259
chr2	224470150	224585397	CUL3	0	-	115247
chr8	2045046	2165552	MYOM2	0	+	120506
chr1	77562416	77683419	ZZZ3	0	-	121003
chr11	119355215	119381711	USP2	0	-	26496
chr17	42659284	42667006	TUBG2	0	+	7722
chr5	172958729	172969771	RPL26L1	0	+	11042
chr5	180601506	180649624	FLT4	0	-	48118
chr5	6599239	6633291	NSUN2	0	-	34052
chr1	16246840	16352480	FBXO42	0	-	105640
chr19	13764522	13774282	MRI1	0	+	9760
chr4	177430774	177442437	AGA	0	-	11663
chr4	25160663	25279204	PI4K2B	0	+	118541
chr4	13568738	13627725	BOD1L1	0	-	58987
chr5	163503114	163519354	MAT2B	0	+	16240
chr4	165873237	166104457	TLL1	0	+	231220
chr16	67873052	67884499	EDC4	0	+	11447
chr5	14143342	14532128	TRIO	0	+	388786
chr5	83471618	83582303	VCAN	0	+	110685
chr16	10944564	11182186	CLEC16A	0	+	237622
chr8	16107878	16567490	MSR1	0	-	459612
chr16	68737292	68835537	CDH1	0	+	98245
chr5	55307989	55425579	MTREX	0	+	117590
chr5	13690328	14011818	DNAH5	0	-	321490
chr5	80408013	80483379	ZFYVE16	0	+	75366
chr16	67518418	67546788	RIPOR1	0	+	28370
chr5	41142116	41261438	C6	0	-	119322
chr5	34656328	34832612	RAI14	0	+	176284
chr19	49859882	49878351	PNKP	0	-	18469
chr16	71637835	71724701	PHLPP2	0	-	86866
chr5	169583636	169604778	SPDL1	0	+	21142
chr8	73420369	73747708	STAU2	0	-	327339
chr1	19312326	19329300	SLC66A1	0	+	16974
chr22	20241415	20283246	RTN4R	0	-	41831
chr17	7235029	7239722	PHF23	0	-	4693
chr2	98444854	98594392	INPP4A	0	+	149538
chr18	54717860	54895516	RAB27B	0	+	177656
chr15	78540405	78552417	PSMA4	0	+	12012
chr13	108596152	109208005	MYO16	0	+	611853
chr3	194640791	194672463	LSG1	0	-	31672
chr3	51942345	51948867	PARP3	0	+	6522
chr9	115019575	115118257	TNC	0	-	98682
chr20	50586108	50691542	RIPOR3	0	-	105434
chr14	89954939	90044764	TDP1	0	+	89825
chr2	85394753	85418432	CAPG	0	-	23679
chr19	46838136	46850846	AP2S1	0	-	12710
chr8	132866958	133134903	TG	0	+	267945
chr8	24294069	24359014	ADAM28	0	+	64945
chr11	129375848	129452279	BARX2	0	+	76431
chr3	182938074	182985953	DCUN1D1	0	-	47879
chr5	134524312	134583230	JADE2	0	+	58918
chr13	99981784	99986765	ZIC2	0	+	4981
chr5	170246233	170297815	LCP2	0	-	51582
chr1	39838110	39883511	TRIT1	0	-	45401
chr10	114043866	114046904	ADRB1	0	+	3038
chr5	138610967	138935034	CTNNA1	0	+	324067
chrX	18892298	18984114	PHKA2	0	-	91816
chr9	17134982	17503923	CNTLN	0	+	368941
chr3	89107621	89482134	EPHA3	0	+	374513
chr9	125234853	125241382	HSPA5	0	-	6529
chr18	31498177	31549008	DSG2	0	+	50831
chrX	14006726	14029893	GEMIN8	0	-	23167
chrX	13770939	13938638	GPM6B	0	-	167699
chrX	142202342	142205290	MAGEC2	0	-	2948
chr8	67952046	68237032	PREX2	0	+	284986
chr10	1049538	1132384	WDR37	0	+	82846
chr5	113513694	113595285	YTHDC2	0	+	81591
chrX	16587999	16712936	CTPS2	0	-	124937
chr8	53715543	53843558	ATP6V1H	0	-	128015
chr15	52581317	52709817	FAM214A	0	-	128500
chr4	35948221	36244514	ARAP2	0	-	296293
chr1	186311652	186375693	TPR	0	-	64041
chr3	149162410	149221829	CP	0	-	59419
chr16	27550133	27780344	KATNIP	0	+	230211
chr6	15522807	15663058	DTNBP1	0	-	140251
chr12	5531869	5946232	ANO2	0	-	414363
chr12	4487735	4538508	C12orf4	0	-	50773
chrX	17737449	17754988	SCML1	0	+	17539
chrX	10015254	10144474	WWC3	0	+	129220
chrX	11117651	11665920	ARHGAP6	0	-	548269
chr4	17629306	17781621	FAM184B	0	-	152315
chr3	47850690	48089272	MAP4	0	-	238582
chr11	113797874	113875570	USP28	0	-	77696
chr7	18086949	19002416	HDAC9	0	+	915467
chr5	176647387	176659054	TSPAN17	0	+	11667
chr4	15469865	15601552	CC2D2A	0	+	131687
chr8	102204502	102238961	RRM2B	0	-	34459
chr7	127346790	127431924	ZNF800	0	-	85134
chr16	11976734	12574287	SNX29	0	+	597553
chr6	42206807	42217861	MRPS10	0	-	11054
chr11	77660009	77820869	RSF1	0	-	160860
chr1	12230030	12512047	VPS13D	0	+	282017
chr10	10798397	11336675	CELF2	0	+	538278
chr9	93451685	93566112	FAM120A	0	+	114427
chr2	135531455	135725270	R3HDM1	0	+	193815
chr1	40300489	40317813	COL9A2	0	-	17324
chr12	88492793	88580851	KITLG	0	-	88058
chr5	60866454	60945073	ERCC8	0	-	78619
chr5	65148738	65481920	ADAMTS6	0	-	333182
chr1	9234774	9271337	H6PD	0	+	36563
chr1	7771296	7781432	VAMP3	0	+	10136
chr1	7784291	7845177	PER3	0	+	60886
chr1	7915871	7943165	TNFRSF9	0	-	27294
chr2	32946953	33399509	LTBP1	0	+	452556
chr7	74027789	74069907	ELN	0	+	42118
chr7	74231499	74254458	RFC2	0	-	22959
chr6	156776020	157210779	ARID1B	0	+	434759
chr5	1317752	1345099	CLPTM1L	0	-	27347
chr18	58044226	58401540	NEDD4L	0	+	357314
chrX	49269793	49301461	PPP1R3F	0	+	31668
chr5	74640023	74722647	HEXB	0	+	82624
chrX	74732856	74925472	NEXMIF	0	-	192616
chr7	144355288	144380632	ARHGEF5	0	+	25344
chr7	26152198	26187137	NFE2L3	0	+	34939
chr6	13786557	13814568	MCUR1	0	-	28011
chr12	50175788	50283520	LIMA1	0	-	107732
chr12	51047962	51060424	LETMD1	0	+	12462
chr12	51391317	51515763	SLC4A8	0	+	124446
chr9	131009174	131094473	LAMC3	0	+	85299
chr1	70852353	71047816	PTGER3	0	-	195463
chr5	180233143	180292099	MAPK9	0	-	58956
chr5	178237476	178590393	COL23A1	0	-	352917
chr16	75228181	75268053	BCAR1	0	-	39872
chr11	6211345	6234711	FHIP1B	0	-	23366
chr16	56932142	56944864	HERPUD1	0	+	12722
chr15	40694774	40732340	RAD51	0	+	37566
chr3	121431431	121545988	POLQ	0	-	114557
chr3	138652698	138834928	PIK3CB	0	-	182230
chr16	88643289	88651054	CYBA	0	-	7765
chr5	175917873	176034680	THOC3	0	-	116807
chr12	123152320	123244014	MPHOSPH9	0	-	91694
chr12	19129733	19376400	PLEKHA5	0	+	246667
chr16	31131433	31135727	PRSS8	0	-	4294
chr1	114769479	114780685	SIKE1	0	-	11206
chr10	97356358	97426076	RRP12	0	-	69718
chr4	165327667	165343164	MSMO1	0	+	15497
chr11	43358920	43494933	TTC17	0	+	136013
chr11	44260440	44310139	ALX4	0	-	49699
chr5	133196455	133612541	FSTL4	0	-	416086
chr14	89124871	89619149	FOXN3	0	-	494278
chr1	19303965	19312144	AKR7A2	0	-	8179
chr1	19251805	19260128	MRTO4	0	+	8323
chr19	17215346	17219829	USE1	0	+	4483
chr3	183178041	183428778	MCF2L2	0	-	250737
chr18	23689453	23956222	LAMA3	0	+	266769
chr14	57268924	57298742	AP5M1	0	+	29818
chr4	25377263	25418498	ANAPC4	0	+	41235
chr11	2444684	2849105	KCNQ1	0	+	404421
chr1	36224432	36305357	THRAP3	0	+	80925
chr9	137048107	137054061	ENTPD2	0	-	5954
chr1	235131634	235328219	ARID4B	0	-	196585
chr2	219289623	219309648	PTPRN	0	-	20025
chr1	210328252	210676296	HHAT	0	+	348044
chr1	10210570	10381603	KIF1B	0	+	171033
chr6	1609915	1613897	FOXC1	0	+	3982
chr22	46762617	47175699	TBC1D22A	0	+	413082
chr14	63761899	64226433	SYNE2	0	+	464534
chr20	51596514	51768390	ATP9A	0	-	171876
chr11	74696429	74731426	CHRDL2	0	-	34997
chr11	73400487	73598189	FAM168A	0	-	197702
