0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Middle	Start	End
chr1	159923770	159927441	0																													159925605	-1835	1836
chr1	159928025	159930684	4	-827.0	-978.0	-946.0	768.0																									159929354	-1329	1330
chr1	160207714	160211604	2	1071.0	1088.0																											160209659	-1945	1945
chr1	160342439	160345019	2	-1077.0	-771.0																											160343729	-1290	1290
chr1	161037575	161039474	1	-102.0																												161038524	-949	950
chr1	161047292	161048664	4	-460.0	159.0	83.0	-576.0																									161047978	-686	686
chr1	161068015	161070128	0																													161069071	-1056	1057
chr1	161071980	161075267	3	351.0	-1070.0	902.0																										161073623	-1643	1644
chr1	161084373	161088188	0																													161086280	-1907	1908
chr1	161101206	161102539	0																													161101872	-666	667
chr1	161114984	161121140	3	46.0	-1124.0	9.0																										161118062	-3078	3078
chr1	161155682	161161485	1	460.0																												161158583	-2901	2902
chr1	161212057	161216693	3	211.0	663.0	187.0																										161214375	-2318	2318
chr1	162559962	162562830	0																													162561396	-1434	1434
chr1	164557698	164559736	0																													164558717	-1019	1019
chr1	166838033	166842671	0																													166840352	-2319	2319
chr1	167220890	167222995	1	1003.0																												167221942	-1052	1053
chr1	169485232	169486530	0																													169485881	-649	649
chr1	170530649	170532969	3	-440.0	-453.0	-370.0																										170531809	-1160	1160
chr1	173477024	173478842	0																													173477933	-909	909
chr1	173870579	173871897	2	211.0	339.0																											173871238	-659	659
chr1	174019917	174023140	0																													174021528	-1611	1612
chr1	179591159	179593494	2	-276.0	-522.0																											179592326	-1167	1168
chr1	179881808	179884251	3	307.0	101.0	448.0																										179883029	-1221	1222
chr1	181088390	181090557	6	559.0	528.0	-343.0	-365.0	696.0	-335.0																							181089473	-1083	1084
chr1	182839057	182840155	0																													182839606	-549	549
chr1	182840694	182842478	0																													182841586	-892	892
chr1	183022495	183026154	0																													183024324	-1829	1830
chr1	183469914	183474119	0																													183472016	-2102	2103
chr1	184753336	184756454	0																													184754895	-1559	1559
chr1	185315550	185316990	0																													185316270	-720	720
chr1	200407901	200411046	6	482.0	378.0	686.0	877.0	1085.0	549.0																							200409473	-1572	1573
chr1	200737832	200740952	2	-403.0	-545.0																											200739392	-1560	1560
chr1	201113570	201116261	0																													201114915	-1345	1346
chr1	201464767	201470045	4	-1115.0	1553.0	-1149.0	1799.0																									201467406	-2639	2639
chr1	202009453	202015827	2	1482.0	-2728.0																											202012640	-3187	3187
chr1	202806770	202810255	1	185.0																												202808512	-1742	1743
chr1	202956573	202959085	0																													202957829	-1256	1256
chr1	202963378	202964833	0																													202964105	-727	728
chr1	202965290	202968233	4	-14.0	827.0	737.0	1305.0																									202966761	-1471	1472
chr1	203024940	203028186	0																													203026563	-1623	1623
chr1	203306781	203308102	0																													203307441	-660	661
chr1	203793564	203796730	0																													203795147	-1583	1583
chr1	203858331	203862313	0																													203860322	-1991	1991
chr1	204195919	204203172	2	-3350.0	-3441.0																											204199545	-3626	3627
chr1	204410505	204412233	2	699.0	128.0																											204411369	-864	864
chr1	205748877	205750880	1	-357.0																												205749878	-1001	1002
chr1	206684254	206686785	0																													206685519	-1265	1266
chr1	206687689	206688613	0																													206688151	-462	462
chr1	207323100	207324152	0																													207323626	-526	526
chr1	207753759	207757241	4	-1519.0	-1594.0	-1616.0	-1554.0																									207755500	-1741	1741
chr1	209804001	209806603	0																													209805302	-1301	1301
chr1	211577062	211579845	2	-62.0	50.0																											211578453	-1391	1392
chr1	212284394	212286957	0																													212285675	-1281	1282
chr1	212791154	212795138	4	1605.0	-1955.0	1464.0	1362.0																									212793146	-1992	1992
chr1	213013687	213015882	1	-973.0																												213014784	-1097	1098
chr1	214280208	214282659	0																													214281433	-1225	1226
chr1	214550311	214552688	0																													214551499	-1188	1189
chr1	215566657	215568804	0																													215567730	-1073	1074
chr1	218345013	218346482	0																													218345747	-734	735
chr1	221738029	221743527	4	1630.0	1053.0	1079.0	1755.0																									221740778	-2749	2749
chr1	224433053	224435433	0																													224434243	-1190	1190
chr1	227948445	227952524	0																													227950484	-2039	2040
chr1	228078615	228084570	0																													228081592	-2977	2978
chr1	228098234	228104680	0																													228101457	-3223	3223
chr1	228108102	228109921	0																													228109011	-909	910
chr1	228164381	228167142	0																													228165761	-1380	1381
chr1	228205000	228211383	0																													228208191	-3191	3192
chr1	233612940	233615921	2	82.0	213.0																											233614430	-1490	1491
chr1	234606333	234607952	0																													234607142	-809	810
chr1	234608104	234610721	0																													234609412	-1308	1309
chr1	235327655	235330642	0																													235329148	-1493	1494
chr1	244862886	244865743	2	301.0	310.0																											244864314	-1428	1429
chr1	244969028	244971607	0																													244970317	-1289	1290
chr1	247330296	247333305	0																													247331800	-1504	1505
chr2	1745264	1746313	0																													1745788	-524	525
chr2	3551657	3555615	0																													3553636	-1979	1979
chr2	3573921	3577717	2	-1034.0	-761.0																											3575819	-1898	1898
chr2	8677428	8679750	0																													8678589	-1161	1161
chr2	10301049	10305229	0																													10303139	-2090	2090
chr2	11342811	11345775	0																													11344293	-1482	1482
chr2	20222510	20227204	0																													20224857	-2347	2347
chr2	20446344	20449414	7	511.0	-513.0	96.0	51.0	450.0	377.0	75.0																						20447879	-1535	1535
chr2	20821836	20823530	0																													20822683	-847	847
chr2	24076086	24078550	1	1032.0																												24077318	-1232	1232
chr2	25041474	25044236	0																													25042855	-1381	1381
chr2	26030933	26035841	1	-850.0																												26033387	-2454	2454
chr2	26036170	26039688	0																													26037929	-1759	1759
chr2	26764900	26766037	0																													26765468	-568	569
chr2	27033742	27038741	7	-1437.0	-264.0	630.0	1068.0	-1373.0	611.0	602.0																						27036241	-2499	2500
chr2	27081301	27087831	1	966.0																												27084566	-3265	3265
chr2	27210208	27213081	1	-630.0																												27211644	-1436	1437
chr2	27220027	27224181	1	-879.0																												27222104	-2077	2077
chr2	27321957	27324907	0																													27323432	-1475	1475
chr2	27326247	27330333	6	1105.0	-1192.0	-559.0	1016.0	131.0	1643.0																							27328290	-2043	2043
chr2	27366916	27369683	7	-1163.0	-119.0	-126.0	-736.0	-711.0	681.0	973.0																						27368299	-1383	1384
chr2	28391669	28396183	0																													28393926	-2257	2257
chr2	30145990	30148209	0																													30147099	-1109	1110
chr2	32356515	32359408	0																													32357961	-1446	1447
chr2	32943155	32945139	0																													32944147	-992	992
chr2	36355081	36357590	1	-221.0																												36356335	-1254	1255
chr2	37198235	37200526	0																													37199380	-1145	1146
chr2	42766165	42769373	2	145.0	442.0																											42767769	-1604	1604
chr2	43224041	43227934	5	-324.0	256.0	-308.0	652.0	559.0																								43225987	-1946	1947
chr2	47174763	47177506	1	-327.0																												47176134	-1371	1372
chr2	60880362	60881654	0																													60881008	-646	646
chr2	60882293	60883259	0																													60882776	-483	483
chr2	61537724	61540041	1	775.0																												61538882	-1158	1159
chr2	61884283	61885861	0																													61885072	-789	789
chr2	65226749	65229182	1	99.0																												65227965	-1216	1217
chr2	65430135	65432606	0																													65431370	-1235	1236
chr2	70086204	70090364	1	522.0																												70088284	-2080	2080
chr2	73980911	73982964	0																													73981937	-1026	1027
chr2	74145891	74149728	0																													74147809	-1918	1919
chr2	74455676	74457955	2	-893.0	566.0																											74456815	-1139	1140
chr2	74458304	74463041	9	2178.0	-1109.0	-1367.0	1268.0	-1935.0	723.0	2142.0	2119.0	-2080.0																				74460672	-2368	2369
chr2	74464316	74466313	0																													74465314	-998	999
chr2	74497546	74502391	2	1846.0	1999.0																											74499968	-2422	2423
chr2	74504301	74506230	1	-761.0																												74505265	-964	965
chr2	74523191	74527879	5	-2340.0	465.0	2064.0	-1960.0	-1787.0																								74525535	-2344	2344
chr2	74832746	74839228	1	1448.0																												74835987	-3241	3241
chr2	74958378	74960406	2	722.0	580.0																											74959392	-1014	1014
chr2	84906962	84910205	0																													84908583	-1621	1622
chr2	84969041	84973082	0																													84971061	-2020	2021
chr2	85595495	85596984	0																													85596239	-744	745
chr2	85598558	85604590	2	291.0	1656.0																											85601574	-3016	3016
chr2	86439905	86443011	0																													86441458	-1553	1553
chr2	95291768	95299494	0																													95295631	-3863	3863
chr2	96134106	96137887	0																													96135996	-1890	1891
chr2	96140520	96143190	0																													96141855	-1335	1335
chr2	96637751	96639811	0																													96638781	-1030	1030
chr2	97659249	97661482	0																													97660365	-1116	1117
chr2	101252195	101254541	1	87.0																												101253368	-1173	1173
chr2	105338984	105340234	2	-75.0	-50.0																											105339609	-625	625
chr2	105743933	105746552	0																													105745242	-1309	1310
chr2	108786116	108787294	3	-58.0	-171.0	-81.0																										108786705	-589	589
chr2	109613137	109617205	1	-744.0																												109615171	-2034	2034
chr2	112054176	112057598	0																													112055887	-1711	1711
chr2	112580630	112582867	0																													112581748	-1118	1119
chr2	112644967	112647112	0																													112646039	-1072	1073
chr2	113888977	113891784	0																													113890380	-1403	1404
chr2	119366537	119368492	0																													119367514	-977	978
chr2	120013902	120016453	0																													120015177	-1275	1276
chr2	120345537	120351187	2	-1057.0	-1194.0																											120348362	-2825	2825
chr2	127883059	127887144	0																													127885101	-2042	2043
chr2	128026783	128029234	0																													128028008	-1225	1226
chr2	130127118	130130483	0																													130128800	-1682	1683
chr2	130341831	130345547	0																													130343689	-1858	1858
chr2	131092560	131094913	0																													131093736	-1176	1177
chr2	131483769	131490524	1	3089.0																												131487146	-3377	3378
chr2	132254567	132256033	0																													132255300	-733	733
chr2	135984614	135985740	0																													135985177	-563	563
chr2	152717167	152719307	4	894.0	-596.0	781.0	-514.0																									152718237	-1070	1070
chr2	156341426	156343295	0																													156342360	-934	935
chr2	158456094	158458141	0																													158457117	-1023	1024
chr2	159712793	159713702	0																													159713247	-454	455
chr2	164619012	164622066	0																													164620539	-1527	1527
chr2	173962204	173966192	1	-971.0																												173964198	-1994	1994
chr2	177212375	177217070	3	-898.0	-1139.0	-1812.0																										177214722	-2347	2348
chr2	181891351	181892968	0																													181892159	-808	809
chr2	191244927	191246415	0																													191245671	-744	744
chr2	197451790	197454345	0																													197453067	-1277	1278
chr2	197455538	197457491	0																													197456514	-976	977
chr2	200810946	200813288	0																													200812117	-1171	1171
chr2	200860957	200863354	1	837.0																												200862155	-1198	1199
chr2	202264537	202266261	0																													202265399	-862	862
chr2	202375613	202377731	2	-818.0	-818.0																											202376672	-1059	1059
chr2	203533350	203536378	0																													203534864	-1514	1514
chr2	206158618	206161366	2	13.0	162.0																											206159992	-1374	1374
chr2	207164426	207167377	1	400.0																												207165901	-1475	1476
chr2	207528243	207531784	0																													207530013	-1770	1771
chr2	210170202	210172943	0																													210171572	-1370	1371
chr2	216497666	216500537	2	-167.0	292.0																											216499101	-1435	1436
chr2	216694009	216695707	0																													216694858	-849	849
chr2	218215975	218217960	0																													218216967	-992	993
chr2	218394390	218401883	1	3431.0																												218398136	-3746	3747
chr2	219219419	219226383	6	-782.0	-1619.0	200.0	519.0	-767.0	-2557.0																							219222901	-3482	3482
chr2	219246512	219249251	3	762.0	657.0	-703.0																										219247881	-1369	1370
chr2	219278688	219280370	1	-331.0																												219279529	-841	841
chr2	219542211	219545041	0																													219543626	-1415	1415
chr2	221569911	221574283	0																													221572097	-2186	2186
chr2	222863595	222865160	0																													222864377	-782	783
chr2	226796044	226800731	10	134.0	-60.0	1847.0	317.0	478.0	12.0	-214.0	435.0	-67.0	327.0																			226798387	-2343	2344
chr2	231040051	231042363	1	-165.0																												231041207	-1156	1156
chr2	231395126	231400896	2	-312.0	84.0																											231398011	-2885	2885
chr2	232550126	232552819	0																													232551472	-1346	1347
chr2	232553532	232555098	0																													232554315	-783	783
chr2	234494768	234498493	0																													234496630	-1862	1863
chr2	234950834	234953811	0																													234952322	-1488	1489
chr2	236570465	236572159	0																													236571312	-847	847
chr2	237486926	237489873	0																													237488399	-1473	1474
chr2	238096683	238101037	1	2010.0																												238098860	-2177	2177
chr2	238286618	238290089	0																													238288353	-1735	1736
chr2	240571550	240576543	3	8.0	-254.0	-524.0																										240574046	-2496	2497
chr2	241314329	241318671	0																													241316500	-2171	2171
chr2	241352456	241356928	1	786.0																												241354692	-2236	2236
chr2	241689501	241694560	0																													241692030	-2529	2530
chr3	4976828	4984042	3	-3099.0	708.0	-3279.0																										4980435	-3607	3607
chr3	5187075	5189565	0																													5188320	-1245	1245
chr3	8502512	8504290	0																													8503401	-889	889
chr3	9395045	9398697	0																													9396871	-1826	1826
chr3	9698359	9703118	0																													9700738	-2379	2380
chr3	9805156	9808000	0																													9806578	-1422	1422
chr3	9808051	9811868	0																													9809959	-1908	1909
chr3	9914981	9918108	2	-870.0	-1347.0																											9916544	-1563	1564
chr3	9945730	9951351	4	-332.0	1207.0	-1499.0	-588.0																									9948540	-2810	2811
chr3	10006310	10008245	0																													10007277	-967	968
chr3	10316382	10319288	0																													10317835	-1453	1453
chr3	10320412	10324135	0																													10322273	-1861	1862
chr3	14125726	14128829	0																													14127277	-1551	1552
chr3	14177269	14179444	0																													14178356	-1087	1088
chr3	14670148	14672534	0																													14671341	-1193	1193
chr3	14672978	14673961	0																													14673469	-491	492
chr3	14946629	14948488	0																													14947558	-929	930
chr3	15093318	15099367	1	333.0																												15096342	-3024	3025
chr3	23916267	23918791	0																													23917529	-1262	1262
chr3	23944487	23946777	0																													23945632	-1145	1145
chr3	25661421	25664168	0																													25662794	-1373	1374
chr3	27482318	27484706	0																													27483512	-1194	1194
chr3	38452753	38455201	0																													38453977	-1224	1224
chr3	39383852	39388169	0																													39386010	-2158	2159
chr3	39404367	39408644	0																													39406505	-2138	2139
chr3	39409591	39410264	0																													39409927	-336	337
chr3	47376083	47379083	0																													47377583	-1500	1500
chr3	47379914	47382072	0																													47380993	-1079	1079
chr3	47579698	47582020	0																													47580859	-1161	1161
chr3	47582065	47584438	0																													47583251	-1186	1187
chr3	48444006	48445270	0																													48444638	-632	632
chr3	48619303	48624248	2	283.0	803.0																											48621775	-2472	2473
chr3	48629479	48634152	2	2176.0	1378.0																											48631815	-2336	2337
chr3	48686896	48690171	0																													48688533	-1637	1638
chr3	48985548	48989373	0																													48987460	-1912	1913
chr3	49023380	49028077	3	820.0	1380.0	-2015.0																										49025728	-2348	2349
chr3	49028281	49033045	1	1351.0																												49030663	-2382	2382
chr3	49093123	49097590	1	-690.0																												49095356	-2233	2234
chr3	49106944	49109302	0																													49108123	-1179	1179
chr3	49119929	49122458	1	-806.0																												49121193	-1264	1265
chr3	49159011	49165037	3	-609.0	-1261.0	-1103.0																										49162024	-3013	3013
chr3	49357718	49359924	0																													49358821	-1103	1103
chr3	49427492	49430017	1	-470.0																												49428754	-1262	1263
chr3	49672439	49675329	1	-1404.0																												49673884	-1445	1445
chr3	49675472	49678769	0																													49677120	-1648	1649
chr3	50187524	50189638	1	753.0																												50188581	-1057	1057
chr3	50274450	50278003	0																													50276226	-1776	1777
chr3	50335828	50338872	0																													50337350	-1522	1522
chr3	50352944	50355092	2	386.0	314.0																											50354018	-1074	1074
chr3	50609394	50613952	0																													50611673	-2279	2279
chr3	51968587	51973690	0																													51971138	-2551	2552
chr3	51993064	51993649	0																													51993356	-292	293
chr3	51993919	51994877	0																													51994398	-479	479
chr3	52249449	52250624	1	563.0																												52250036	-587	588
chr3	52284126	52291606	0																													52287866	-3740	3740
chr3	52490775	52496966	1	1118.0																												52493870	-3095	3096
chr3	52684774	52686391	0																													52685582	-808	809
chr3	53887126	53889215	0																													53888170	-1044	1045
