	Chr	Start	End	Name	Score	Strand	Length	Average_expression
ENSG00000074966	chr4	48066393	48134250	TXK	0	-	67857	0.606
ENSG00000075043	chr20	63400208	63472677	KCNQ2	0	-	72469	0.505
ENSG00000075290	chr10	100463009	100483744	WNT8B	0	+	20735	0.112
ENSG00000075429	chr17	66835117	66894751	CACNG5	0	+	59634	0.017
ENSG00000075673	chr13	24680408	24712472	ATP12A	0	+	32064	0.395
ENSG00000077009	chr19	3933069	3942416	NMRK2	0	+	9347	0.045
ENSG00000077080	chr7	100643097	100656448	ACTL6B	0	-	13351	0.415
ENSG00000077498	chr11	89177875	89295759	TYR	0	+	117884	0.06
ENSG00000077616	chr11	90131515	90192894	NAALAD2	0	+	61379	0.959
ENSG00000077800	chr7	73328161	73358637	FKBP6	0	+	30476	0.232
ENSG00000078328	chr16	5239802	7713340	RBFOX1	0	+	2473538	0.111
ENSG00000078579	chr8	16992181	17002345	FGF20	0	-	10164	0.081
ENSG00000079112	chr8	94127162	94217303	CDH17	0	-	90141	0.217
ENSG00000079557	chr4	73481745	73504001	AFM	0	+	22256	0.008
ENSG00000080166	chr13	94436811	94479682	DCT	0	-	42871	0.41
ENSG00000080224	chr3	96814581	97761532	EPHA6	0	+	946951	0.485
ENSG00000080293	chr2	119439843	119525301	SCTR	0	-	85458	0.063
ENSG00000080511	chr19	10013249	10022279	RDH8	0	+	9030	0.019
ENSG00000080572	chrX	107206611	107244247	DNAAF6	0	+	37636	0.073
ENSG00000080618	chr13	46053186	46105033	CPB2	0	-	51847	0.196
ENSG00000080709	chr5	114055926	114496500	KCNN2	0	+	440574	0.983
ENSG00000080910	chr1	196943738	196959622	CFHR2	0	+	15884	0.01
ENSG00000081148	chr3	101222546	101320575	IMPG2	0	-	98029	0.486
ENSG00000081248	chr1	201039512	201112451	CACNA1S	0	-	72939	0.13
ENSG00000081800	chr7	123113531	123199972	SLC13A1	0	-	86441	0.014
ENSG00000082126	chr2	201644870	201698694	MPP4	0	-	53824	0.112
ENSG00000082293	chr6	69866556	70212468	COL19A1	0	+	345912	0.285
ENSG00000082556	chr8	53225724	53251637	OPRK1	0	-	25913	0.702
ENSG00000083067	chr9	70529060	71446904	TRPM3	0	-	917844	0.187
ENSG00000084110	chr12	95972662	95996365	HAL	0	-	23703	0.574
ENSG00000084453	chr12	21264600	21419594	SLCO1A2	0	-	154994	0.609
ENSG00000084674	chr2	21001429	21044073	APOB	0	-	42644	0.323
ENSG00000084734	chr2	27496839	27523684	GCKR	0	+	26845	0.116
ENSG00000086506	chr16	180459	181179	HBQ1	0	+	720	0.049
ENSG00000086967	chr19	50432892	50466321	MYBPC2	0	+	33429	0.556
ENSG00000087250	chr16	56589074	56591088	MT3	0	+	2014	0.214
ENSG00000087495	chr20	59577509	59847711	PHACTR3	0	+	270202	0.602
ENSG00000088053	chr19	55013705	55038264	GP6	0	-	24559	0.335
ENSG00000088782	chr20	157454	159163	DEFB127	0	+	1709	0.0
ENSG00000088926	chr4	186266189	186289681	F11	0	+	23492	0.011
ENSG00000089116	chr12	113462033	113472280	LHX5	0	-	10247	0.072
ENSG00000089169	chr12	112570380	112898881	RPH3A	0	+	328501	0.266
ENSG00000089250	chr12	117208142	117452170	NOS1	0	-	244028	0.425
ENSG00000089558	chr17	42156891	42181142	KCNH4	0	-	24251	0.178
ENSG00000090402	chr3	164978898	165078496	SI	0	-	99598	0.012
ENSG00000090512	chr3	186635969	186653141	FETUB	0	+	17172	0.048
ENSG00000090932	chr19	39498895	39508481	DLL3	0	+	9586	0.589
ENSG00000091128	chr7	108023548	108130361	LAMB4	0	-	106813	0.303
ENSG00000091181	chr3	3066324	3126613	IL5RA	0	-	60289	0.318
ENSG00000091482	chrX	21705978	21758116	SMPX	0	-	52138	0.121
ENSG00000091583	chr17	66212033	66256525	APOH	0	-	44492	0.057
ENSG00000091664	chr11	22338381	22379503	SLC17A6	0	+	41122	0.02
ENSG00000091704	chr7	130380339	130388114	CPA1	0	+	7775	0.107
ENSG00000092009	chr14	24505353	24508265	CMA1	0	-	2912	0.548
ENSG00000092051	chr14	23568038	23578790	JPH4	0	-	10752	0.767
ENSG00000092067	chr14	23117306	23119255	CEBPE	0	-	1949	0.092
ENSG00000092200	chr14	21280083	21351301	RPGRIP1	0	+	71218	0.881
ENSG00000092345	chr3	16586792	16670306	DAZL	0	-	83514	0.116
ENSG00000092377	chrY	6910686	7101970	TBL1Y	0	+	191284	0.136
ENSG00000093134	chr6	132722787	132736935	VNN3	0	-	14148	0.414
ENSG00000094661	chr19	15082211	15092970	OR1I1	0	+	10759	0.001
ENSG00000094796	chr17	41393721	41397608	KRT31	0	-	3887	0.891
ENSG00000095110	chr11	114521645	114559895	NXPE1	0	-	38250	0.038
ENSG00000095464	chr10	93612537	93666010	PDE6C	0	+	53473	0.224
ENSG00000095752	chr19	55364382	55370463	IL11	0	-	6081	0.941
ENSG00000095777	chr10	25934229	26212532	MYO3A	0	+	278303	0.911
ENSG00000095932	chr19	3473986	3480525	SMIM24	0	-	6539	0.206
ENSG00000095981	chr6	39314698	39322968	KCNK16	0	-	8270	0.064
ENSG00000096264	chr6	41335608	41350889	NCR2	0	+	15281	0.019
ENSG00000096395	chr6	33794673	33804003	MLN	0	-	9330	0.01
ENSG00000099399	chrX	30215563	30220089	MAGEB2	0	+	4526	0.29
ENSG00000099617	chr19	1285873	1301431	EFNA2	0	+	15558	0.1
ENSG00000099715	chrY	5000226	5742224	PCDH11Y	0	+	741998	0.262
ENSG00000099834	chr11	616577	626078	CDHR5	0	-	9501	0.214
ENSG00000099866	chr19	489176	505343	MADCAM1	0	+	16167	0.351
ENSG00000099957	chr22	21009808	21028013	P2RX6	0	+	18205	0.394
ENSG00000100012	chr22	30447959	30472017	SEC14L3	0	-	24058	0.025
ENSG00000100024	chr22	24494107	24528390	UPB1	0	+	34283	0.271
ENSG00000100053	chr22	25199858	25207359	CRYBB3	0	+	7501	0.132
ENSG00000100122	chr22	26599278	26618027	CRYBB1	0	-	18749	0.496
ENSG00000100156	chr22	38078134	38084184	SLC16A8	0	-	6050	0.746
ENSG00000100191	chr22	32218464	32255347	SLC5A4	0	-	36883	0.288
ENSG00000100206	chr22	38518948	38570204	DMC1	0	-	51256	0.994
ENSG00000100249	chr22	29058672	29061831	C22orf31	0	-	3159	0.073
ENSG00000100253	chr22	50486784	50490648	MIOX	0	+	3864	0.148
ENSG00000100276	chr22	29312933	29319679	RASL10A	0	-	6746	0.772
ENSG00000100298	chr22	39097224	39104067	APOBEC3H	0	+	6843	0.654
ENSG00000100312	chr22	50738196	50745339	ACR	0	+	7143	0.281
ENSG00000100341	chr22	43879678	43892013	PNPLA5	0	-	12335	0.069
ENSG00000100433	chr14	88180103	88326907	KCNK10	0	-	146804	0.182
ENSG00000100557	chr14	57469300	57493867	CCDC198	0	-	24567	0.085
ENSG00000100565	chr14	76826372	76870304	LRRC74A	0	+	43932	0.034
ENSG00000100593	chr14	77474394	77498816	ISM2	0	-	24422	0.087
ENSG00000100652	chr14	69775416	69797241	SLC10A1	0	-	21825	0.082
ENSG00000100678	chr14	70044215	70189070	SLC8A3	0	-	144855	0.213
ENSG00000100884	chr14	24070837	24078100	CPNE6	0	+	7263	0.04
ENSG00000100987	chr20	25070885	25082141	VSX1	0	-	11256	0.15
ENSG00000101074	chr20	44337043	44351238	R3HDML	0	+	14195	0.053
ENSG00000101076	chr20	44355700	44432845	HNF4A	0	+	77145	0.057
ENSG00000101180	chr20	62214960	62220278	HRH3	0	-	5318	0.212
ENSG00000101188	chr20	62708836	62762771	NTSR1	0	+	53935	0.38
ENSG00000101197	chr20	63235883	63240495	BIRC7	0	+	4612	0.295
ENSG00000101198	chr20	63240784	63272694	NKAIN4	0	-	31910	0.326
ENSG00000101200	chr20	3082556	3084724	AVP	0	-	2168	0.004
ENSG00000101203	chr20	63293186	63334851	COL20A1	0	+	41665	0.103
ENSG00000101204	chr20	63343223	63378401	CHRNA4	0	-	35178	0.285
ENSG00000101280	chr20	869900	916334	ANGPT4	0	-	46434	0.321
ENSG00000101292	chr20	5299218	5316954	PROKR2	0	-	17736	0.077
ENSG00000101306	chr20	31819308	31834689	MYLK2	0	+	15381	0.383
ENSG00000101323	chr20	7882985	7940458	HAO1	0	-	57473	0.138
ENSG00000101327	chr20	1978757	1994285	PDYN	0	-	15528	0.051
ENSG00000101349	chr20	9537370	9839076	PAK5	0	-	301706	0.425
ENSG00000101405	chr20	3071620	3072517	OXT	0	+	897	0.071
ENSG00000101435	chr20	23564732	23568484	CST9L	0	-	3752	0.522
ENSG00000101438	chr20	38724486	38729372	SLC32A1	0	+	4886	0.014
ENSG00000101440	chr20	34194569	34269344	ASIP	0	+	74775	0.089
ENSG00000101446	chr20	45512461	45515622	SPINT3	0	-	3161	0.01
ENSG00000101470	chr20	45823214	45833745	TNNC2	0	-	10531	0.686
ENSG00000101542	chr18	61333430	61555779	CDH20	0	+	222349	0.192
ENSG00000101638	chr18	46667821	46759257	ST8SIA5	0	-	91436	0.332
ENSG00000101746	chr18	33851100	34224952	NOL4	0	-	373852	0.909
ENSG00000101812	chrX	104039956	104042454	H2BW2	0	+	2498	0.015
ENSG00000101883	chrX	120109051	120115913	RHOXF1	0	-	6862	0.104
ENSG00000101890	chrX	109372906	109482086	GUCY2F	0	-	109180	0.009
ENSG00000101892	chrX	120362085	120383249	ATP1B4	0	+	21164	0.033
ENSG00000101951	chrX	49829260	49834264	PAGE4	0	+	5004	0.043
ENSG00000101958	chrX	14529298	14731812	GLRA2	0	+	202514	0.114
ENSG00000101977	chrX	139581770	139708227	MCF2	0	-	126457	0.171
ENSG00000101981	chrX	139530739	139563459	F9	0	+	32720	0.011
ENSG00000102021	chrX	115289715	115307563	LUZP4	0	+	17848	0.011
ENSG00000102043	chrX	64268081	64395452	MTMR8	0	-	127371	0.498
ENSG00000102055	chrX	42777366	42778163	PPP1R2C	0	-	797	0.008
ENSG00000102076	chrX	154144243	154159032	OPN1LW	0	+	14789	0.002
ENSG00000102128	chrX	102937272	102938300	RAB40AL	0	+	1028	0.197
ENSG00000102145	chrX	48786562	48794311	GATA1	0	+	7749	0.111
ENSG00000102195	chrX	151176584	151181465	GPR50	0	+	4881	0.016
ENSG00000102230	chrX	24558087	24672677	PCYT1B	0	-	114590	0.996
ENSG00000102239	chrX	136487947	136493780	BRS3	0	+	5833	0.029
ENSG00000102271	chrX	87517409	87670050	KLHL4	0	+	152641	0.707
ENSG00000102290	chrX	91779261	92623230	PCDH11X	0	+	843969	0.993
ENSG00000102387	chrX	101268253	101293057	TAF7L	0	-	24804	0.309
ENSG00000102468	chr13	46831546	46897076	HTR2A	0	-	65530	0.488
ENSG00000102539	chr13	49220338	49222377	MLNR	0	+	2039	0.033
ENSG00000102678	chr13	21671073	21704498	FGF9	0	+	33425	0.496
ENSG00000102794	chr13	76948511	76958638	ACOD1	0	+	10127	0.053
ENSG00000102924	chr16	49277917	49281838	CBLN1	0	-	3921	0.884
ENSG00000102970	chr16	57404767	57416063	CCL17	0	+	11296	0.831
ENSG00000103154	chr16	83968244	84002776	NECAB2	0	+	34532	0.494
ENSG00000103241	chr16	86510527	86515422	FOXF1	0	+	4895	0.641
ENSG00000103310	chr16	21197450	21214510	ZP2	0	-	17060	0.627
ENSG00000103313	chr16	3242027	3256633	MEFV	0	-	14606	0.53
ENSG00000103375	chr16	25215731	25228932	AQP8	0	+	13201	0.069
ENSG00000103546	chr16	55655988	55707645	SLC6A2	0	+	51657	0.725
ENSG00000104044	chr15	27754875	28099315	OCA2	0	-	344440	0.789
ENSG00000104327	chr8	90058608	90095475	CALB1	0	-	36867	0.289
ENSG00000104371	chr8	42374063	42377229	DKK4	0	-	3166	0.115
ENSG00000104499	chr8	142834247	142916506	GML	0	+	82259	0.004
ENSG00000104537	chr8	123680794	123737402	ANXA13	0	-	56608	0.298
ENSG00000104722	chr8	24913758	24919098	NEFM	0	+	5340	0.553
ENSG00000104755	chr8	39743735	39838227	ADAM2	0	-	94492	0.322
ENSG00000104804	chr19	48880967	48898744	TULP2	0	-	17777	0.085
ENSG00000104808	chr19	48933699	48944969	DHDH	0	+	11270	0.809
ENSG00000104826	chr19	49015980	49017091	LHB	0	-	1111	0.069
ENSG00000104848	chr19	49067397	49072699	KCNA7	0	-	5302	0.056
ENSG00000104888	chr19	49429401	49442360	SLC17A7	0	-	12959	0.684
ENSG00000104918	chr19	7669049	7670455	RETN	0	+	1406	0.139
ENSG00000104938	chr19	7763210	7769605	CLEC4M	0	+	6395	0.067
ENSG00000104941	chr19	45795713	45815308	RSPH6A	0	-	19595	0.024
ENSG00000105146	chr19	57231009	57235548	AURKC	0	+	4539	0.978
ENSG00000105198	chr19	39602524	39607474	LGALS13	0	+	4950	0.001
ENSG00000105205	chr19	39731255	39738029	CLC	0	-	6774	0.033
ENSG00000105251	chr19	4279266	4290722	SHD	0	+	11456	0.089
ENSG00000105255	chr19	4304598	4323843	FSD1	0	+	19245	0.693
ENSG00000105261	chr19	36111143	36113711	OVOL3	0	+	2568	0.063
ENSG00000105278	chr19	3804024	3869038	ZFR2	0	-	65014	0.622
ENSG00000105352	chr19	41619015	41627074	CEACAM4	0	-	8059	0.163
ENSG00000105370	chr19	51379909	51387974	LIM2	0	-	8065	0.01
ENSG00000105371	chr19	10286955	10288522	ICAM4	0	+	1567	0.313
ENSG00000105376	chr19	10289952	10296778	ICAM5	0	+	6826	0.817
ENSG00000105392	chr19	47819779	47843330	CRX	0	+	23551	0.023
ENSG00000105398	chr19	47870467	47886315	SULT2A1	0	-	15848	0.007
ENSG00000105428	chr19	5455417	5456856	ZNRF4	0	+	1439	0.002
ENSG00000105467	chr19	48364367	48376377	SYNGR4	0	+	12010	0.275
ENSG00000105492	chr19	51517819	51531856	SIGLEC6	0	-	14037	0.583
ENSG00000105507	chr19	48029383	48044079	CABP5	0	-	14696	0.002
ENSG00000105509	chr19	51713112	51723991	HAS1	0	-	10879	0.825
ENSG00000105549	chr19	361747	376026	THEG	0	-	14279	0.384
ENSG00000105550	chr19	48755524	48758333	FGF21	0	+	2809	0.068
ENSG00000105605	chr19	53909278	53943950	CACNG7	0	+	34672	0.038
ENSG00000105610	chr19	12884422	12887201	KLF1	0	-	2779	0.111
ENSG00000105641	chr19	17871945	17895174	SLC5A5	0	+	23229	0.703
ENSG00000105642	chr19	17951293	18000085	KCNN1	0	+	48792	0.449
ENSG00000105672	chr19	35641745	35644871	ETV2	0	+	3126	0.899
ENSG00000105675	chr19	35550031	35563658	ATP4A	0	-	13627	0.044
ENSG00000105954	chr7	25224570	25228486	NPVF	0	-	3916	0.001
ENSG00000105991	chr7	27092993	27096000	HOXA1	0	-	3007	0.755
ENSG00000105996	chr7	27100354	27102686	HOXA2	0	-	2332	0.503
ENSG00000106013	chr7	118214669	118496171	ANKRD7	0	+	281502	0.163
ENSG00000106031	chr7	27193503	27200091	HOXA13	0	-	6588	0.623
ENSG00000106038	chr7	27242700	27250493	EVX1	0	+	7793	0.189
ENSG00000106128	chr7	30938669	30993254	GHRHR	0	+	54585	0.102
ENSG00000106178	chr7	75810825	75823356	CCL24	0	-	12531	0.131
ENSG00000106302	chr7	123828983	123877481	HYAL4	0	+	48498	0.086
ENSG00000106304	chr7	123925237	123971414	SPAM1	0	+	46177	0.006
ENSG00000106331	chr7	127610292	127618142	PAX4	0	-	7850	0.003
ENSG00000106336	chr7	100583982	100601117	FBXO24	0	+	17135	0.898
ENSG00000106341	chr7	31687215	31708455	PPP1R17	0	+	21240	0.018
ENSG00000106384	chr7	101195007	101201038	MOGAT3	0	-	6031	0.008
ENSG00000106410	chr7	144397240	144410227	NOBOX	0	-	12987	0.058
ENSG00000106436	chr7	101613330	101629296	MYL10	0	-	15966	0.009
ENSG00000106536	chr7	38977909	39493095	POU6F2	0	+	515186	0.421
ENSG00000106631	chr7	44138864	44141332	MYL7	0	-	2468	0.678
ENSG00000106633	chr7	44143213	44198170	GCK	0	-	54957	0.194
ENSG00000106648	chr7	151956379	152019929	GALNTL5	0	+	63550	0.012
ENSG00000106689	chr9	124001670	124033301	LHX2	0	+	31631	0.778
ENSG00000107018	chr9	5334930	5339876	RLN1	0	-	4946	0.363
ENSG00000107147	chr9	135702185	135795508	KCNT1	0	+	93323	0.365
ENSG00000107187	chr9	136196250	136205128	LHX3	0	-	8878	0.043
ENSG00000107295	chr9	17579066	17797124	SH3GL2	0	+	218058	0.708
ENSG00000107447	chr10	96304409	96338564	DNTT	0	+	34155	0.014
ENSG00000107593	chr10	100288149	100330264	PKD2L1	0	-	42115	0.348
ENSG00000107831	chr10	101770109	101780371	FGF8	0	-	10262	0.036
ENSG00000107859	chr10	102230186	102241512	PITX3	0	-	11326	0.056
ENSG00000108231	chr10	93757840	93806272	LGI1	0	+	48432	0.783
ENSG00000108255	chr17	29246859	29254494	CRYBA1	0	+	7635	0.035
ENSG00000108342	chr17	40015361	40017813	CSF3	0	+	2452	0.178
ENSG00000108417	chr17	41420547	41424585	KRT37	0	-	4038	0.255
ENSG00000108684	chr17	33013087	34174964	ASIC2	0	-	1161877	0.952
ENSG00000108688	chr17	34270221	34272242	CCL7	0	+	2021	0.507
ENSG00000108702	chr17	34360328	34363233	CCL1	0	-	2905	0.027
ENSG00000108759	chr17	41459513	41467386	KRT32	0	-	7873	0.557
ENSG00000108823	chr17	50164214	50175928	SGCA	0	+	11714	0.515
ENSG00000108849	chr17	43940804	43942476	PPY	0	-	1672	0.014
ENSG00000109047	chr17	9896320	9905271	RCVRN	0	-	8951	0.113
ENSG00000109061	chr17	10492307	10518542	MYH1	0	-	26235	0.936
ENSG00000109132	chr4	41744082	41748725	PHOX2B	0	-	4643	0.018
ENSG00000109158	chr4	46918900	46993581	GABRA4	0	-	74681	0.105
ENSG00000109163	chr4	67737118	67754388	GNRHR	0	-	17270	0.247
ENSG00000109181	chr4	68815994	68832023	UGT2B10	0	+	16029	0.98
ENSG00000109272	chr4	73853296	73854483	PF4V1	0	+	1187	0.019
ENSG00000109471	chr4	122451470	122456725	IL2	0	-	5255	0.048
ENSG00000109511	chr4	168092537	168187736	ANXA10	0	+	95199	0.085
ENSG00000109684	chr4	10486395	10684768	CLNK	0	-	198373	0.48
ENSG00000109758	chr4	3441968	3449486	HGFAC	0	+	7518	0.282
ENSG00000109832	chr11	125903348	125943702	DDX25	0	+	40354	0.426
ENSG00000109851	chr11	20156155	20160475	DBX1	0	-	4320	0.004
ENSG00000109991	chr11	57338352	57372396	P2RX3	0	+	34044	0.023
ENSG00000110148	chr11	6259806	6272127	CCKBR	0	+	12321	0.922
ENSG00000110203	chr11	72114869	72139892	FOLR3	0	+	25023	0.099
ENSG00000110243	chr11	116789367	116792420	APOA5	0	-	3053	0.043
ENSG00000110244	chr11	116820700	116823304	APOA4	0	-	2604	0.004
ENSG00000110245	chr11	116829706	116833072	APOC3	0	+	3366	0.034
ENSG00000110375	chr11	118925164	118958559	UPK2	0	+	33395	0.911
ENSG00000110675	chr11	107591091	107666779	ELMOD1	0	+	75688	0.213
ENSG00000110786	chr11	18727928	18792721	PTPN5	0	-	64793	0.297
ENSG00000110887	chr12	108858932	108901043	DAO	0	+	42111	0.019
ENSG00000110944	chr12	56334174	56340410	IL23A	0	+	6236	0.888
ENSG00000110975	chr12	33374238	33439819	SYT10	0	-	65581	0.153
ENSG00000111046	chr12	80707634	80709474	MYF6	0	+	1840	0.204
ENSG00000111049	chr12	80716912	80719671	MYF5	0	+	2759	0.028
ENSG00000111218	chr12	3381349	3593973	PRMT8	0	+	212624	0.325
ENSG00000111241	chr12	4428155	4445815	FGF6	0	-	17660	0.001
ENSG00000111245	chr12	110910819	110921443	MYL2	0	-	10624	0.571
ENSG00000111262	chr12	4909905	4918256	KCNA1	0	+	8351	0.535
ENSG00000111291	chr12	12940775	12952147	GPRC5D	0	-	11372	0.408
