Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
COL7A1	26	3	0	0	0	29	26	26
HECTD4	24	2	0	3	0	29	26	26
ARID2	15	11	0	2	0	28	26	26
NAV3	27	1	0	0	0	28	26	26
BSN	24	2	0	0	0	26	26	26
CDK12	24	2	0	0	0	26	26	26
DCC	26	0	0	0	0	26	26	26
SPHKAP	24	2	0	0	0	26	26	26
TSC1	9	12	0	5	0	26	26	26
SRRM2	32	1	0	0	0	33	25	25
GOLGB1	29	3	0	0	0	32	25	25
DNAH10	27	1	0	1	0	29	25	25
HSPG2	25	2	0	1	0	28	25	25
MYO9A	26	1	0	1	0	28	25	25
VPS13C	21	5	0	2	0	28	25	25
BPTF	26	0	0	1	0	27	25	25
RANBP2	24	3	0	0	0	27	25	25
TNXB	24	1	0	2	0	27	25	25
LAMA1	20	3	0	3	0	26	25	25
NFE2L2	25	1	0	0	0	26	25	25
POLQ	20	6	0	0	0	26	25	25
HUWE1	22	2	0	1	0	25	25	25
HYDIN	21	4	0	0	0	25	25	25
UBR5	24	0	1	0	0	25	25	25
NF1	20	9	0	2	0	31	24	24
FAT2	26	2	0	0	0	28	24	24
LAMA2	25	3	0	0	0	28	24	24
COL11A1	25	1	0	1	0	27	24	24
DOPEY2	22	5	0	0	0	27	24	24
FBN1	26	0	0	1	0	27	24	24
PRKDC	23	3	0	1	0	27	24	24
SPAG17	27	0	0	0	0	27	24	24
CHD6	25	0	0	1	0	26	24	24
IGSF10	22	3	0	0	1	26	24	24
KALRN	25	0	0	1	0	26	24	24
SPEN	24	2	0	0	0	26	24	24
TG	24	0	0	2	0	26	24	24
C5orf42	23	2	0	0	0	25	24	24
NUP205	22	3	0	0	0	25	24	24
RHOB	25	0	0	0	0	25	24	24
CACNA1A	23	1	0	0	0	24	24	24
POLE	22	1	0	1	0	24	24	24
TTC3	24	0	0	0	0	24	24	24
ABCA12	22	4	0	1	0	27	23	23
ATAD2	22	3	0	2	0	27	23	23
CELSR3	22	3	0	2	0	27	23	23
CHD9	24	1	0	2	0	27	23	23
TENM1	24	1	0	2	0	27	23	23
AHR	22	4	0	0	0	26	23	23
APC	19	7	0	0	0	26	23	23
ADAMTS9	23	2	0	0	0	25	23	23
ASXL1	15	10	0	0	0	25	23	23
CNTNAP2	20	3	0	2	0	25	23	23
FBN3	19	2	0	4	0	25	23	23
FMN2	19	6	0	0	0	25	23	23
ATRX	22	2	0	0	0	24	23	23
EIF4G3	21	3	0	0	0	24	23	23
LRRC7	21	1	0	2	0	24	23	23
PREX2	20	4	0	0	0	24	23	23
TRANK1	22	2	0	0	0	24	23	23
COL14A1	20	1	0	2	0	23	23	23
EPG5	22	1	0	0	0	23	23	23
HECTD1	22	1	0	0	0	23	23	23
SETX	21	2	0	0	0	23	23	23
SMARCA2	23	0	0	0	0	23	23	23
TP53BP1	21	2	0	0	0	23	23	23
TPR	21	2	0	0	0	23	23	23
MGA	23	5	0	1	0	29	22	22
SZT2	23	3	0	3	0	29	22	22
CEP350	24	2	0	0	0	26	22	22
BAZ2B	22	3	0	0	0	25	22	22
C2orf16	25	0	0	0	0	25	22	22
CMYA5	19	5	0	1	0	25	22	22
DMXL1	20	5	0	0	0	25	22	22
PAPPA2	22	3	0	0	0	25	22	22
TENM2	25	0	0	0	0	25	22	22
WNK1	24	1	0	0	0	25	22	22
ADAMTS12	23	1	0	0	0	24	22	22
NCKAP5	21	3	0	0	0	24	22	22
KANSL1	14	5	0	3	1	23	22	22
LAMA4	20	1	0	2	0	23	22	22
PLXNA4	22	1	0	0	0	23	22	22
ARHGAP32	18	3	0	1	0	22	22	22
CIT	22	0	0	0	0	22	22	22
DNAH1	19	3	0	0	0	22	22	22
DNAH2	22	0	0	0	0	22	22	22
F8	21	1	0	0	0	22	22	22
NKTR	19	3	0	0	0	22	22	22
SF3B1	22	0	0	0	0	22	22	22
TEX15	27	2	0	0	0	29	21	21
ARID1B	15	10	0	0	0	25	21	21
FCGBP	24	1	0	0	0	25	21	21
MRC1	22	3	0	0	0	25	21	21
SVIL	21	4	0	0	0	25	21	21
CHD4	21	2	0	1	0	24	21	21
ARHGAP35	18	5	0	0	0	23	21	21
EXPH5	21	2	0	0	0	23	21	21
FN1	22	1	0	0	0	23	21	21
NRXN1	19	4	0	0	0	23	21	21
TAF1L	21	2	0	0	0	23	21	21
UTP20	23	0	0	0	0	23	21	21
ZFYVE9	23	0	0	0	0	23	21	21
CPD	18	4	0	0	0	22	21	21
HCN1	19	3	0	0	0	22	21	21
MYO16	19	3	0	0	0	22	21	21
SVEP1	20	2	0	0	0	22	21	21
ZFYVE26	21	0	0	1	0	22	21	21
ACACA	19	2	0	0	0	21	21	21
EP400	17	2	0	2	0	21	21	21
MYH10	17	3	0	1	0	21	21	21
MYO3A	18	3	0	0	0	21	21	21
PEG3	19	2	0	0	0	21	21	21
PTPRZ1	19	1	0	1	0	21	21	21
RXRA	19	2	0	0	0	21	21	21
SALL1	21	0	0	0	0	21	21	21
TECTA	20	1	0	0	0	21	21	21
ASPM	22	2	0	1	0	25	20	20
ROS1	25	0	0	0	0	25	20	20
ABCB5	22	2	0	0	0	24	20	20
ANKRD12	19	5	0	0	0	24	20	20
ZFHX3	21	3	0	0	0	24	20	20
HRNR	20	3	0	0	0	23	20	20
JMJD1C	19	4	0	0	0	23	20	20
ZNF236	18	2	0	3	0	23	20	20
ZNF292	19	4	0	0	0	23	20	20
HELZ	20	2	0	0	0	22	20	20
ICE1	20	2	0	0	0	22	20	20
PTPN13	15	5	0	2	0	22	20	20
ZNF536	20	2	0	0	0	22	20	20
ZZEF1	21	1	0	0	0	22	20	20
BRWD1	19	1	0	1	0	21	20	20
CDKN2A	15	4	0	2	0	21	20	20
EPHA5	17	2	0	2	0	21	20	20
KIDINS220	16	5	0	0	0	21	20	20
NUP188	19	2	0	0	0	21	20	20
PARD3	12	9	0	0	0	21	20	20
PHLDB2	18	3	0	0	0	21	20	20
UNC13C	17	4	0	0	0	21	20	20
ADCY2	17	1	0	2	0	20	20	20
COL12A1	16	3	0	1	0	20	20	20
COL22A1	19	0	0	1	0	20	20	20
CUL9	20	0	0	0	0	20	20	20
LMTK2	20	0	0	0	0	20	20	20
MED12	20	0	0	0	0	20	20	20
MEGF8	17	3	0	0	0	20	20	20
OTOF	19	0	0	1	0	20	20	20
CNOT1	14	9	0	0	0	23	19	19
MYH2	18	4	0	0	0	22	19	19
SF3B3	20	2	0	0	0	22	19	19
TET1	17	5	0	0	0	22	19	19
TRPM3	20	1	0	1	0	22	19	19
F5	19	0	1	1	0	21	19	19
HIVEP3	20	1	0	0	0	21	19	19
LRRIQ1	19	2	0	0	0	21	19	19
MAP1B	20	1	0	0	0	21	19	19
MED1	18	3	0	0	0	21	19	19
PDZD2	18	2	1	0	0	21	19	19
RC3H1	19	2	0	0	0	21	19	19
RIF1	19	2	0	0	0	21	19	19
SHROOM3	18	2	0	1	0	21	19	19
SOS1	21	0	0	0	0	21	19	19
ZDBF2	18	3	0	0	0	21	19	19
ADGRG4	18	2	0	0	0	20	19	19
CEP192	17	3	0	0	0	20	19	19
DNAJC13	17	3	0	0	0	20	19	19
LRBA	16	4	0	0	0	20	19	19
MXRA5	19	1	0	0	0	20	19	19
MYH11	18	2	0	0	0	20	19	19
MYH15	17	3	0	0	0	20	19	19
MYO15A	18	1	0	1	0	20	19	19
NALCN	18	2	0	0	0	20	19	19
NSD1	20	0	0	0	0	20	19	19
RBBP6	17	2	0	1	0	20	19	19
SMCHD1	17	1	0	2	0	20	19	19
SMG1	18	2	0	0	0	20	19	19
THSD7B	19	1	0	0	0	20	19	19
ZCCHC6	18	2	0	0	0	20	19	19
ZNF91	19	1	0	0	0	20	19	19
ARHGAP31	15	3	0	1	0	19	19	19
CACNA2D1	18	1	0	0	0	19	19	19
CUL1	18	1	0	0	0	19	19	19
DIAPH2	17	2	0	0	0	19	19	19
GPR158	16	3	0	0	0	19	19	19
SCN3A	17	2	0	0	0	19	19	19
SMARCA4	18	1	0	0	0	19	19	19
SORCS1	16	2	0	1	0	19	19	19
TACC2	18	1	0	0	0	19	19	19
TIAM2	18	0	0	1	0	19	19	19
TRPM6	15	2	0	2	0	19	19	19
UNC79	18	1	0	0	0	19	19	19
HIVEP2	27	0	0	0	0	27	18	18
ANKRD11	19	5	0	0	0	24	18	18
AKAP13	20	0	0	2	0	22	18	18
REV3L	18	4	0	0	0	22	18	18
ASXL3	20	1	0	0	0	21	18	18
METTL3	17	3	0	0	1	21	18	18
MUC4	19	2	0	0	0	21	18	18
PBRM1	18	1	0	2	0	21	18	18
STAG1	20	0	0	1	0	21	18	18
ADAMTS18	19	1	0	0	0	20	18	18
BOD1L1	17	2	0	1	0	20	18	18
CADPS	20	0	0	0	0	20	18	18
CASC5	19	1	0	0	0	20	18	18
DOPEY1	17	3	0	0	0	20	18	18
DYNC2H1	17	3	0	0	0	20	18	18
GRM5	18	2	0	0	0	20	18	18
ITSN2	15	4	0	1	0	20	18	18
PIKFYVE	16	4	0	0	0	20	18	18
ROBO2	17	2	0	1	0	20	18	18
SI	18	1	0	1	0	20	18	18
CD101	16	3	0	0	0	19	18	18
CLIP1	16	1	0	2	0	19	18	18
COL5A2	18	0	0	1	0	19	18	18
DSCAM	17	2	0	0	0	19	18	18
FAM193A	16	3	0	0	0	19	18	18
FLNB	17	1	0	1	0	19	18	18
KIF21A	17	2	0	0	0	19	18	18
KMT2E	16	3	0	0	0	19	18	18
NES	18	1	0	0	0	19	18	18
SCAF4	16	2	0	1	0	19	18	18
TICRR	19	0	0	0	0	19	18	18
ZNF423	18	1	0	0	0	19	18	18
ZNF638	16	2	0	1	0	19	18	18
ADGRL2	15	3	0	0	0	18	18	18
ANK1	17	1	0	0	0	18	18	18
CDH23	18	0	0	0	0	18	18	18
CNTNAP4	15	1	0	2	0	18	18	18
DOCK7	18	0	0	0	0	18	18	18
ESPL1	15	3	0	0	0	18	18	18
FAM208B	16	2	0	0	0	18	18	18
GOLGA4	15	3	0	0	0	18	18	18
HRAS	17	1	0	0	0	18	18	18
KAT6A	16	2	0	0	0	18	18	18
KDM3B	16	2	0	0	0	18	18	18
KIAA1429	12	6	0	0	0	18	18	18
LTBP1	13	4	0	1	0	18	18	18
MYH3	18	0	0	0	0	18	18	18
MYO1F	17	0	0	1	0	18	18	18
MYO9B	16	1	1	0	0	18	18	18
MYT1L	16	2	0	0	0	18	18	18
PLCB1	17	0	0	1	0	18	18	18
PTPRT	15	0	0	3	0	18	18	18
RB1CC1	17	1	0	0	0	18	18	18
RHOA	18	0	0	0	0	18	18	18
RIMS2	14	3	0	1	0	18	18	18
SEMA3D	13	1	0	4	0	18	18	18
SPTBN4	18	0	0	0	0	18	18	18
TENM4	18	0	0	0	0	18	18	18
TLN1	15	2	0	1	0	18	18	18
ZMYM4	14	4	0	0	0	18	18	18
PEAK1	21	0	0	0	0	21	17	17
CTNNA2	19	1	0	0	0	20	17	17
GCN1L1	17	3	0	0	0	20	17	17
MAGEC1	18	2	0	0	0	20	17	17
RP1	17	3	0	0	0	20	17	17
RPGRIP1L	19	1	0	0	0	20	17	17
CELSR1	18	1	0	0	0	19	17	17
CENPE	14	2	0	3	0	19	17	17
FAM135B	19	0	0	0	0	19	17	17
GTF3C1	16	1	0	2	0	19	17	17
KDM5A	15	3	0	1	0	19	17	17
PARP4	18	1	0	0	0	19	17	17
PCDH9	17	1	1	0	0	19	17	17
PCNXL2	18	1	0	0	0	19	17	17
PLEKHH2	17	2	0	0	0	19	17	17
RAI1	15	4	0	0	0	19	17	17
SCN2A	18	1	0	0	0	19	17	17
TNC	17	2	0	0	0	19	17	17
ADAMTSL1	17	1	0	0	0	18	17	17
ADGRL3	15	3	0	0	0	18	17	17
ALPK2	18	0	0	0	0	18	17	17
AUTS2	16	2	0	0	0	18	17	17
BRD2	16	2	0	0	0	18	17	17
CENPF	15	3	0	0	0	18	17	17
CFAP43	17	0	0	1	0	18	17	17
CLTC	16	2	0	0	0	18	17	17
CRB1	16	2	0	0	0	18	17	17
FREM1	17	1	0	0	0	18	17	17
FRYL	17	1	0	0	0	18	17	17
GLI3	16	2	0	0	0	18	17	17
HEATR1	15	2	0	1	0	18	17	17
HFM1	13	4	0	1	0	18	17	17
HIVEP1	15	3	0	0	0	18	17	17
INO80	16	2	0	0	0	18	17	17
MAP3K4	18	0	0	0	0	18	17	17
MYH7B	18	0	0	0	0	18	17	17
NUP155	18	0	0	0	0	18	17	17
OTOGL	17	1	0	0	0	18	17	17
PCDHA9	18	0	0	0	0	18	17	17
PKD1L1	16	0	0	2	0	18	17	17
RLF	15	3	0	0	0	18	17	17
SCRIB	18	0	0	0	0	18	17	17
SORCS3	17	1	0	0	0	18	17	17
STAB1	16	1	0	1	0	18	17	17
TRPS1	18	0	0	0	0	18	17	17
WDR17	16	2	0	0	0	18	17	17
ABCC5	13	4	0	0	0	17	17	17
ACAN	17	0	0	0	0	17	17	17
AFF3	16	1	0	0	0	17	17	17
BRIP1	15	2	0	0	0	17	17	17
C3orf70	15	2	0	0	0	17	17	17
DENND5B	13	4	0	0	0	17	17	17
DHX9	16	1	0	0	0	17	17	17
DOCK4	15	2	0	0	0	17	17	17
GPATCH8	17	0	0	0	0	17	17	17
GRIA1	16	1	0	0	0	17	17	17
KIF15	17	0	0	0	0	17	17	17
KMT2B	13	4	0	0	0	17	17	17
LRRCC1	17	0	0	0	0	17	17	17
MAGI2	16	0	0	1	0	17	17	17
MPDZ	17	0	0	0	0	17	17	17
MST1R	14	2	0	1	0	17	17	17
MYOM3	15	2	0	0	0	17	17	17
NAV2	15	2	0	0	0	17	17	17
NBEA	12	5	0	0	0	17	17	17
PCDHB5	15	2	0	0	0	17	17	17
PLCH1	12	2	0	3	0	17	17	17
RBM26	15	2	0	0	0	17	17	17
RGPD4	16	1	0	0	0	17	17	17
SBNO1	17	0	0	0	0	17	17	17
SMC4	16	1	0	0	0	17	17	17
SUPT6H	15	2	0	0	0	17	17	17
TBC1D1	15	2	0	0	0	17	17	17
DOT1L	19	2	0	0	0	21	16	16
CHD2	15	3	0	2	0	20	16	16
DENND4C	20	0	0	0	0	20	16	16
KIAA0100	19	1	0	0	0	20	16	16
CHD1	11	6	0	2	0	19	16	16
MAP1A	17	2	0	0	0	19	16	16
MECOM	14	5	0	0	0	19	16	16
NIN	17	2	0	0	0	19	16	16
PPL	18	1	0	0	0	19	16	16
SYCP2	17	2	0	0	0	19	16	16
ASCC3	16	2	0	0	0	18	16	16
ATP10A	18	0	0	0	0	18	16	16
EFCAB5	14	4	0	0	0	18	16	16
KIAA2026	17	1	0	0	0	18	16	16
OGDH	17	1	0	0	0	18	16	16
PIK3C2A	14	4	0	0	0	18	16	16
PTCH1	18	0	0	0	0	18	16	16
RAI14	16	2	0	0	0	18	16	16
SLX4	17	1	0	0	0	18	16	16
TNRC6A	14	4	0	0	0	18	16	16
ZNF318	18	0	0	0	0	18	16	16
CACNA1E	15	2	0	0	0	17	16	16
CDH8	15	2	0	0	0	17	16	16
CHD8	14	3	0	0	0	17	16	16
CTTNBP2	15	2	0	0	0	17	16	16
DYSF	16	0	0	1	0	17	16	16
FANCM	15	2	0	0	0	17	16	16
FLNC	15	2	0	0	0	17	16	16
GPC5	15	2	0	0	0	17	16	16
ITGA8	14	2	0	1	0	17	16	16
MET	16	1	0	0	0	17	16	16
MYH13	15	2	0	0	0	17	16	16
NLRP8	16	1	0	0	0	17	16	16
PCF11	12	5	0	0	0	17	16	16
PSME4	15	1	0	1	0	17	16	16
SCN5A	15	1	0	1	0	17	16	16
SOX5	17	0	0	0	0	17	16	16
SPTBN1	13	4	0	0	0	17	16	16
SSH3	13	2	1	1	0	17	16	16
SYNPO2	15	2	0	0	0	17	16	16
TANC2	16	1	0	0	0	17	16	16
TMEM132D	17	0	0	0	0	17	16	16
TNS1	16	1	0	0	0	17	16	16
VWF	16	1	0	0	0	17	16	16
ZAN	16	1	0	0	0	17	16	16
ZMYND8	13	4	0	0	0	17	16	16
ZNF831	16	0	0	1	0	17	16	16
ABCA8	13	2	0	1	0	16	16	16
ACACB	15	0	0	1	0	16	16	16
ADAMTSL3	14	2	0	0	0	16	16	16
ARFGEF2	15	0	0	1	0	16	16	16
ATP12A	15	1	0	0	0	16	16	16
AXIN2	14	1	0	1	0	16	16	16
BRCA1	12	4	0	0	0	16	16	16
C3	16	0	0	0	0	16	16	16
CFTR	15	1	0	0	0	16	16	16
CHD5	13	1	0	2	0	16	16	16
CNTLN	15	1	0	0	0	16	16	16
CTNND2	14	1	0	1	0	16	16	16
DEPDC5	12	3	0	1	0	16	16	16
DOCK9	14	1	0	1	0	16	16	16
FER1L6	14	1	0	1	0	16	16	16
INADL	12	3	0	1	0	16	16	16
ITGAL	12	2	0	2	0	16	16	16
KIF21B	12	2	0	2	0	16	16	16
KRAS	16	0	0	0	0	16	16	16
LAMA5	12	1	0	3	0	16	16	16
LRP6	12	3	0	1	0	16	16	16
MAP3K5	14	1	0	1	0	16	16	16
MICAL2	16	0	0	0	0	16	16	16
MIOS	15	1	0	0	0	16	16	16
MORC1	15	1	0	0	0	16	16	16
MYLK	15	1	0	0	0	16	16	16
MYO7B	14	2	0	0	0	16	16	16
NRCAM	14	2	0	0	0	16	16	16
NUP210	15	1	0	0	0	16	16	16
PARP14	12	4	0	0	0	16	16	16
PDE4DIP	12	3	0	1	0	16	16	16
RASAL2	15	0	0	1	0	16	16	16
RICTOR	15	1	0	0	0	16	16	16
ROBO1	12	3	0	0	1	16	16	16
ROCK2	15	0	0	1	0	16	16	16
RSF1	16	0	0	0	0	16	16	16
SDK1	11	2	0	3	0	16	16	16
SETD5	14	2	0	0	0	16	16	16
TEX14	15	1	0	0	0	16	16	16
TP53BP2	12	4	0	0	0	16	16	16
TPO	15	1	0	0	0	16	16	16
TPP2	15	1	0	0	0	16	16	16
TULP4	16	0	0	0	0	16	16	16
ZEB2	15	1	0	0	0	16	16	16
ZNF208	13	3	0	0	0	16	16	16
ZNF507	13	3	0	0	0	16	16	16
ZNF521	15	1	0	0	0	16	16	16
DCHS1	18	1	0	0	0	19	15	15
ERICH3	16	3	0	0	0	19	15	15
FAM179B	16	2	0	1	0	19	15	15
AFF4	16	2	0	0	0	18	15	15
CCDC178	14	3	0	1	0	18	15	15
DICER1	18	0	0	0	0	18	15	15
PPRC1	17	1	0	0	0	18	15	15
PXDNL	15	3	0	0	0	18	15	15
SCN9A	16	1	0	1	0	18	15	15
TDRD6	15	3	0	0	0	18	15	15
TNN	16	1	0	1	0	18	15	15
TRPC4	16	2	0	0	0	18	15	15
AGL	16	1	0	0	0	17	15	15
C2CD3	15	2	0	0	0	17	15	15
CSPG4	16	1	0	0	0	17	15	15
GPR179	17	0	0	0	0	17	15	15
IPO7	14	2	0	1	0	17	15	15
PDS5B	17	0	0	0	0	17	15	15
SCAF11	16	1	0	0	0	17	15	15
UBR2	11	5	0	1	0	17	15	15
ZNFX1	16	1	0	0	0	17	15	15
ABCA9	10	6	0	0	0	16	15	15
ABCC9	16	0	0	0	0	16	15	15
ACIN1	15	1	0	0	0	16	15	15
AMER3	16	0	0	0	0	16	15	15
ANKRD30A	15	0	0	1	0	16	15	15
ATG2B	14	2	0	0	0	16	15	15
BTAF1	14	2	0	0	0	16	15	15
CCDC180	15	1	0	0	0	16	15	15
CD109	14	2	0	0	0	16	15	15
CDH4	15	1	0	0	0	16	15	15
CEP126	15	1	0	0	0	16	15	15
DLC1	16	0	0	0	0	16	15	15
FANCA	14	2	0	0	0	16	15	15
KIF13A	14	2	0	0	0	16	15	15
KIF1B	13	2	0	1	0	16	15	15
MYO18B	15	1	0	0	0	16	15	15
NCOA1	13	3	0	0	0	16	15	15
NIPBL	12	2	0	2	0	16	15	15
NOS1	13	2	0	1	0	16	15	15
PAN2	15	1	0	0	0	16	15	15
PDE11A	15	1	0	0	0	16	15	15
PDGFRA	13	2	0	1	0	16	15	15
PHF20	14	1	0	1	0	16	15	15
POLR1A	15	1	0	0	0	16	15	15
PRDM2	15	1	0	0	0	16	15	15
PRRC2A	16	0	0	0	0	16	15	15
PTPRB	15	1	0	0	0	16	15	15
RALGAPA2	15	1	0	0	0	16	15	15
RIPK4	15	1	0	0	0	16	15	15
RNF216	14	1	0	1	0	16	15	15
RPRD2	14	2	0	0	0	16	15	15
SPEF2	16	0	0	0	0	16	15	15
SUV420H1	15	1	0	0	0	16	15	15
TMEM131	14	2	0	0	0	16	15	15
TRPA1	15	0	0	0	1	16	15	15
UNC5C	14	2	0	0	0	16	15	15
ZCCHC11	14	1	0	1	0	16	15	15
ACTB	14	1	0	0	0	15	15	15
ADCY8	15	0	0	0	0	15	15	15
ANKAR	14	0	0	1	0	15	15	15
AXDND1	14	1	0	0	0	15	15	15
BUB1	13	1	0	1	0	15	15	15
CACNA1B	14	1	0	0	0	15	15	15
CAMTA2	13	2	0	0	0	15	15	15
CEP250	15	0	0	0	0	15	15	15
DENND4A	13	1	0	0	1	15	15	15
DLEC1	15	0	0	0	0	15	15	15
EGFLAM	14	0	0	1	0	15	15	15
EPHA2	11	3	0	1	0	15	15	15
EPHA3	14	1	0	0	0	15	15	15
FNBP4	15	0	0	0	0	15	15	15
GLI2	13	2	0	0	0	15	15	15
GOLGA2	13	2	0	0	0	15	15	15
GOLGA3	14	1	0	0	0	15	15	15
HPS3	13	1	0	1	0	15	15	15
HTT	13	2	0	0	0	15	15	15
ITGB4	14	1	0	0	0	15	15	15
KCNH8	13	2	0	0	0	15	15	15
MED12L	14	1	0	0	0	15	15	15
NCOR2	13	2	0	0	0	15	15	15
NDC80	13	1	1	0	0	15	15	15
PLXNB2	14	0	0	1	0	15	15	15
PTPRM	14	1	0	0	0	15	15	15
RAPGEF2	13	2	0	0	0	15	15	15
RBM10	7	8	0	0	0	15	15	15
RPS6KC1	15	0	0	0	0	15	15	15
RTTN	14	1	0	0	0	15	15	15
SLC9A4	11	4	0	0	0	15	15	15
SPG11	13	1	0	1	0	15	15	15
