0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	Middle	Start	End
chr1	2192408	2195161	1	-272.0																																												2193784	-1376	1377
chr1	2202815	2209254	0																																													2206034	-3219	3220
chr1	2226608	2232196	1	-8.0																																												2229402	-2794	2794
chr1	2277930	2282928	0																																													2280429	-2499	2499
chr1	2288459	2292008	0																																													2290233	-1774	1775
chr1	2303710	2307934	2	1318.0	1243.0																																											2305822	-2112	2112
chr1	2311222	2313509	0																																													2312365	-1143	1144
chr1	2371363	2379018	6	2692.0	719.0	2669.0	2628.0	2685.0	2684.0																																							2375190	-3827	3828
chr1	2382589	2388032	1	-2186.0																																												2385310	-2721	2722
chr1	2388166	2392941	2	2295.0	2262.0																																											2390553	-2387	2388
chr1	2393373	2395165	0																																													2394269	-896	896
chr1	2398338	2400618	0																																													2399478	-1140	1140
chr1	2401750	2403280	0																																													2402515	-765	765
chr1	2495943	2503581	3	635.0	935.0	-3037.0																																										2499762	-3819	3819
chr1	2515786	2518927	0																																													2517356	-1570	1571
chr1	2519538	2525707	5	1802.0	1801.0	1449.0	1325.0	875.0																																								2522622	-3084	3085
chr1	3467165	3474002	1	3307.0																																												3470583	-3418	3419
chr1	3476538	3478900	0																																													3477719	-1181	1181
chr1	3480653	3483859	0																																													3482256	-1603	1603
chr1	3721500	3727127	0																																													3724313	-2813	2814
chr1	3776669	3780368	0																																													3778518	-1849	1850
chr1	3780434	3783270	2	712.0	585.0																																											3781852	-1418	1418
chr1	3783881	3785473	0																																													3784677	-796	796
chr1	3815754	3818762	0																																													3817258	-1504	1504
chr1	3820878	3823843	1	-1107.0																																												3822360	-1482	1483
chr1	5920946	5921065	0																																													5921005	-59	60
chr1	6094063	6100872	2	33.0	-1133.0																																											6097467	-3404	3405
chr1	6184978	6186049	0																																													6185513	-535	536
chr1	6199049	6201649	0																																													6200349	-1300	1300
chr1	6208240	6214118	8	-1211.0	-715.0	586.0	-788.0	-1988.0	-1645.0	-1690.0	-1189.0																																					6211179	-2939	2939
chr1	6223918	6229975	0																																													6226946	-3028	3029
chr1	6415399	6418089	0																																													6416744	-1345	1345
chr1	6439310	6444889	2	-2520.0	-2550.0																																											6442099	-2789	2790
chr1	6457814	6463312	1	-1509.0																																												6460563	-2749	2749
chr1	6463969	6471224	1	-2965.0																																												6467596	-3627	3628
chr1	6525810	6532629	0																																													6529219	-3409	3410
chr1	6585134	6589608	1	1489.0																																												6587371	-2237	2237
chr1	6592407	6595532	0																																													6593969	-1562	1563
chr1	6631057	6633306	0																																													6632181	-1124	1125
chr1	6641825	6647250	2	-92.0	-1384.0																																											6644537	-2712	2713
chr1	6693354	6697228	0																																													6695291	-1937	1937
chr1	6785207	6789718	0																																													6787462	-2255	2256
chr1	7703538	7707273	0																																													7705405	-1867	1868
chr1	7782802	7785543	0																																													7784172	-1370	1371
chr1	7969896	7970767	0																																													7970331	-435	436
chr1	7982398	7988876	0																																													7985637	-3239	3239
chr1	8009137	8011769	0																																													8010453	-1316	1316
chr1	8025308	8027928	0																																													8026618	-1310	1310
chr1	8348844	8350728	0																																													8349786	-942	942
chr1	8354824	8361599	4	2096.0	3158.0	-3161.0	-3183.0																																									8358211	-3387	3388
chr1	8362460	8365361	1	-205.0																																												8363910	-1450	1451
chr1	8374405	8376166	0																																													8375285	-880	881
chr1	8597422	8600666	0																																													8599044	-1622	1622
chr1	8858873	8860469	0																																													8859671	-798	798
chr1	8860490	8861790	0																																													8861140	-650	650
chr1	8863037	8864806	0																																													8863921	-884	885
chr1	8877550	8880655	0																																													8879102	-1552	1553
chr1	9151384	9152773	0																																													9152078	-694	695
chr1	9168491	9175546	0																																													9172018	-3527	3528
chr1	9290616	9294604	0																																													9292610	-1994	1994
chr1	9297167	9304546	0																																													9300856	-3689	3690
chr1	9315397	9318768	0																																													9317082	-1685	1686
chr1	9547578	9549842	0																																													9548710	-1132	1132
chr1	9614370	9616900	0																																													9615635	-1265	1265
chr1	9730426	9732155	2	163.0	732.0																																											9731290	-864	865
chr1	9760156	9764219	0																																													9762187	-2031	2032
chr1	9840544	9847733	0																																													9844138	-3594	3595
chr1	10140995	10145272	1	-1886.0																																												10143133	-2138	2139
chr1	10459951	10463397	1	-1411.0																																												10461674	-1723	1723
chr1	10492095	10494042	0																																													10493068	-973	974
chr1	10633649	10638161	1	-1338.0																																												10635905	-2256	2256
chr1	10639798	10644018	1	-1256.0																																												10641908	-2110	2110
chr1	10650964	10654076	2	-813.0	-1438.0																																											10652520	-1556	1556
chr1	10657514	10663245	4	-108.0	643.0	366.0	451.0																																									10660379	-2865	2866
chr1	10690981	10694322	0																																													10692651	-1670	1671
chr1	11019361	11022694	1	-1344.0																																												11021027	-1666	1667
chr1	11023294	11024080	0																																													11023687	-393	393
chr1	11030607	11032924	0																																													11031765	-1158	1159
chr1	11053700	11060620	2	443.0	-2113.0																																											11057160	-3460	3460
chr1	11066658	11070313	0																																													11068485	-1827	1828
chr1	11070618	11073052	0																																													11071835	-1217	1217
chr1	11139914	11143439	0																																													11141676	-1762	1763
chr1	11247969	11252217	0																																													11250093	-2124	2124
chr1	11278649	11280528	0																																													11279588	-939	940
chr1	11669859	11675057	3	-1308.0	-2202.0	455.0																																										11672458	-2599	2599
chr1	11676350	11683590	0																																													11679970	-3620	3620
chr1	11752340	11755023	0																																													11753681	-1341	1342
chr1	11787002	11791187	2	479.0	-1598.0																																											11789094	-2092	2093
chr1	11793607	11795881	2	306.0	769.0																																											11794744	-1137	1137
chr1	11820118	11821650	0																																													11820884	-766	766
chr1	11827935	11830485	4	-96.0	-78.0	642.0	-78.0																																									11829210	-1275	1275
chr1	11847599	11850118	1	1231.0																																												11848858	-1259	1260
chr1	11909095	11910782	0																																													11909938	-843	844
chr1	11942319	11946495	0																																													11944407	-2088	2088
chr1	11986539	11990834	0																																													11988686	-2147	2148
chr1	11999217	12002921	1	-929.0																																												12001069	-1852	1852
chr1	12007696	12013475	1	-961.0																																												12010585	-2889	2890
chr1	12594768	12597608	0																																													12596188	-1420	1420
chr1	12608809	12613524	0																																													12611166	-2357	2358
chr1	15426968	15431613	0																																													15429290	-2322	2323
chr1	15722767	15728877	0																																													15725822	-3055	3055
chr1	15728902	15731659	0																																													15730280	-1378	1379
chr1	15826052	15831212	0																																													15828632	-2580	2580
chr1	15834147	15835973	1	-557.0																																												15835060	-913	913
chr1	15926508	15928947	8	-792.0	-683.0	-471.0	-740.0	-512.0	-423.0	-457.0	-910.0																																					15927727	-1219	1220
chr1	15935117	15937568	5	654.0	-960.0	-1119.0	517.0	222.0																																								15936342	-1225	1226
chr1	15940968	15947097	5	-902.0	1344.0	-546.0	-158.0	-1754.0																																								15944032	-3064	3065
chr1	15971348	15977601	0																																													15974474	-3126	3127
chr1	16243655	16247114	0																																													16245384	-1729	1730
chr1	16384515	16386004	0																																													16385259	-744	745
chr1	16393045	16399658	4	473.0	3033.0	3025.0	1248.0																																									16396351	-3306	3307
chr1	16404836	16408218	0																																													16406527	-1691	1691
chr1	16452945	16458724	0																																													16455834	-2889	2890
chr1	16599162	16601179	0																																													16600170	-1008	1009
chr1	16611274	16615778	0																																													16613526	-2252	2252
chr1	16628206	16635716	4	1637.0	1901.0	3328.0	-397.0																																									16631961	-3755	3755
chr1	16972989	16975911	0																																													16974450	-1461	1461
chr1	16989695	16995258	4	187.0	2297.0	2482.0	-1202.0																																									16992476	-2781	2782
chr1	17027230	17029901	1	-141.0																																												17028565	-1335	1336
chr1	17404089	17407157	0																																													17405623	-1534	1534
chr1	17407736	17414325	4	-2084.0	1047.0	2074.0	2211.0																																									17411030	-3294	3295
chr1	17420984	17423319	0																																													17422151	-1167	1168
chr1	17425261	17428457	0																																													17426859	-1598	1598
chr1	17437125	17440021	0																																													17438573	-1448	1448
chr1	17538204	17545753	0																																													17541978	-3774	3775
chr1	18876952	18879650	0																																													18878301	-1349	1349
chr1	18881521	18884673	0																																													18883097	-1576	1576
chr1	18893598	18896131	0																																													18894864	-1266	1267
chr1	18955501	18958044	0																																													18956772	-1271	1272
chr1	19079263	19080880	0																																													19080071	-808	809
chr1	19108082	19113043	2	-2479.0	-2279.0																																											19110562	-2480	2481
chr1	19223175	19228642	0																																													19225908	-2733	2734
chr1	19253018	19254861	0																																													19253939	-921	922
chr1	19255468	19258083	2	780.0	-1197.0																																											19256775	-1307	1308
chr1	19260349	19262165	0																																													19261257	-908	908
chr1	19311895	19318460	1	-2553.0																																												19315177	-3282	3283
chr1	19328593	19333653	0																																													19331123	-2530	2530
chr1	19336557	19343499	1	304.0																																												19340028	-3471	3471
chr1	19369251	19376393	0																																													19372822	-3571	3571
chr1	19439328	19442555	0																																													19440941	-1613	1614
chr1	19448361	19452078	0																																													19450219	-1858	1859
chr1	19466805	19469073	0																																													19467939	-1134	1134
chr1	19473995	19476926	0																																													19475460	-1465	1466
chr1	19479122	19480690	0																																													19479906	-784	784
chr1	19483860	19486729	0																																													19485294	-1434	1435
chr1	19487675	19488831	0																																													19488253	-578	578
chr1	19678476	19682179	0																																													19680327	-1851	1852
chr1	20483305	20487334	0																																													20485319	-2014	2015
chr1	20498984	20500701	0																																													20499842	-858	859
chr1	20637042	20640758	3	997.0	922.0	1035.0																																										20638900	-1858	1858
chr1	20644338	20650240	3	2748.0	1733.0	2797.0																																										20647289	-2951	2951
chr1	20651547	20656470	0																																													20654008	-2461	2462
chr1	21343530	21346841	0																																													21345185	-1655	1656
chr1	21607676	21611093	0																																													21609384	-1708	1709
chr1	21749162	21750584	0																																													21749873	-711	711
chr1	22052100	22053494	0																																													22052797	-697	697
chr1	22103422	22104912	0																																													22104167	-745	745
chr1	22118960	22123510	2	1001.0	775.0																																											22121235	-2275	2275
chr1	22125966	22130867	2	-1320.0	1132.0																																											22128416	-2450	2451
chr1	22136859	22140262	0																																													22138560	-1701	1702
chr1	23084750	23085698	1	-137.0																																												23085224	-474	474
chr1	23086310	23089033	0																																													23087671	-1361	1362
chr1	23310407	23312172	2	290.0	730.0																																											23311289	-882	883
chr1	23325382	23327316	0																																													23326349	-967	967
chr1	23422988	23426067	0																																													23424527	-1539	1540
chr1	23555336	23556869	0																																													23556102	-766	767
chr1	23557678	23560173	2	-126.0	884.0																																											23558925	-1247	1248
chr1	23612371	23616406	0																																													23614388	-2017	2018
chr1	23701265	23702706	0																																													23701985	-720	721
chr1	23704152	23708391	0																																													23706271	-2119	2120
chr1	23742077	23744357	0																																													23743217	-1140	1140
chr1	23759880	23761080	0																																													23760480	-600	600
chr1	23807975	23812636	0																																													23810305	-2330	2331
chr1	23958954	23961374	0																																													23960164	-1210	1210
chr1	24320183	24323097	0																																													24321640	-1457	1457
chr1	24641359	24644295	0																																													24642827	-1468	1468
chr1	25217702	25219499	0																																													25218600	-898	899
chr1	25230493	25232618	1	-577.0																																												25231555	-1062	1063
chr1	25247417	25250303	0																																													25248860	-1443	1443
chr1	25808423	25812235	0																																													25810329	-1906	1906
chr1	25812520	25816193	0																																													25814356	-1836	1837
chr1	25817550	25819346	0																																													25818448	-898	898
chr1	25874873	25878009	0																																													25876441	-1568	1568
chr1	26170947	26173169	0																																													26172058	-1111	1111
chr1	26182702	26187437	5	1700.0	665.0	-2119.0	-92.0	32.0																																								26185069	-2367	2368
chr1	26279692	26283348	0																																													26281520	-1828	1828
chr1	26442051	26444972	0																																													26443511	-1460	1461
chr1	26470760	26473631	1	-1309.0																																												26472195	-1435	1436
chr1	26692212	26698612	0																																													26695412	-3200	3200
chr1	26737340	26740894	0																																													26739117	-1777	1777
chr1	26771703	26772881	0																																													26772292	-589	589
chr1	26779388	26781241	11	451.0	451.0	669.0	-11.0	582.0	442.0	-712.0	575.0	307.0	249.0	797.0																																		26780314	-926	927
chr1	26786670	26789109	0																																													26787889	-1219	1220
chr1	26853009	26858472	1	1895.0																																												26855740	-2731	2732
chr1	26875119	26878270	0																																													26876694	-1575	1576
chr1	26889215	26895939	3	-827.0	-128.0	1530.0																																										26892577	-3362	3362
chr1	26919601	26921510	0																																													26920555	-954	955
chr1	26938176	26942437	2	-1285.0	-1446.0																																											26940306	-2130	2131
chr1	27002757	27010516	1	30.0																																												27006636	-3879	3880
chr1	27121026	27124233	0																																													27122629	-1603	1604
chr1	27301859	27304855	0																																													27303357	-1498	1498
chr1	27337300	27341270	0																																													27339285	-1985	1985
chr1	27363084	27367245	1	290.0																																												27365164	-2080	2081
chr1	27398995	27400056	0																																													27399525	-530	531
chr1	27403227	27407478	1	-316.0																																												27405352	-2125	2126
chr1	27525482	27529267	0																																													27527374	-1892	1893
chr1	27546962	27551688	3	1895.0	-2184.0	-2290.0																																										27549325	-2363	2363
chr1	27776999	27778298	0																																													27777648	-649	650
chr1	27849031	27850920	1	-240.0																																												27849975	-944	945
chr1	27984937	27987318	0																																													27986127	-1190	1191
chr1	28508641	28511311	0																																													28509976	-1335	1335
chr1	28512713	28514891	0																																													28513802	-1089	1089
chr1	28517175	28520395	0																																													28518785	-1610	1610
chr1	28578239	28579511	0																																													28578875	-636	636
chr1	28618645	28620832	0																																													28619738	-1093	1094
chr1	28714314	28716590	2	683.0	884.0																																											28715452	-1138	1138
chr1	29120343	29125958	1	2192.0																																												29123150	-2807	2808
chr1	29179322	29181740	0																																													29180531	-1209	1209
chr1	30717222	30720043	1	-180.0																																												30718632	-1410	1411
chr1	30932953	30935482	2	1005.0	1030.0																																											30934217	-1264	1265
chr1	30936408	30939905	0																																													30938156	-1748	1749
chr1	30948362	30951117	0																																													30949739	-1377	1378
chr1	30987098	30988717	0																																													30987907	-809	810
chr1	31286226	31289321	0																																													31287773	-1547	1548
chr1	31366713	31369611	1	718.0																																												31368162	-1449	1449
chr1	31411662	31414505	0																																													31413083	-1421	1422
chr1	31422002	31427039	1	-1270.0																																												31424520	-2518	2519
chr1	31431010	31432719	0																																													31431864	-854	855
chr1	31433438	31437448	2	1258.0	1094.0																																											31435443	-2005	2005
chr1	31622642	31629892	4	-591.0	1263.0	-1000.0	2715.0																																									31626267	-3625	3625
chr1	31934401	31939457	0																																													31936929	-2528	2528
chr1	32056771	32058834	0																																													32057802	-1031	1032
chr1	32063790	32065709	0																																													32064749	-959	960
chr1	32100261	32104545	1	-83.0																																												32102403	-2142	2142
chr1	32168932	32171420	0																																													32170176	-1244	1244
chr1	32188076	32195407	1	-601.0																																												32191741	-3665	3666
chr1	32196214	32201054	0																																													32198634	-2420	2420
chr1	32202502	32207732	3	-2357.0	1192.0	-2162.0																																										32205117	-2615	2615
chr1	32229949	32233981	0																																													32231965	-2016	2016
chr1	32325315	32332699	7	-2715.0	1358.0	-1888.0	-3136.0	1462.0	-102.0	-2706.0																																						32329007	-3692	3692
chr1	32333381	32336657	2	8.0	190.0																																											32335019	-1638	1638
chr1	32357431	32358893	0																																													32358162	-731	731
chr1	32360321	32367284	5	-3.0	2442.0	-302.0	1023.0	210.0																																								32363802	-3481	3482
chr1	32380113	32384605	2	-1605.0	-1578.0																																											32382359	-2246	2246
chr1	32388382	32392473	0																																													32390427	-2045	2046
chr1	32538989	32540707	0																																													32539848	-859	859
chr1	32604610	32607864	0																																													32606237	-1627	1627
chr1	32764983	32767572	0																																													32766277	-1294	1295
chr1	32767962	32774402	6	768.0	-1690.0	-156.0	-1727.0	-1938.0	3077.0																																							32771182	-3220	3220
chr1	32774722	32776518	0																																													32775620	-898	898
chr1	32779231	32781118	1	92.0																																												32780174	-943	944
chr1	32892842	32898619	2	2129.0	-2398.0																																											32895730	-2888	2889
chr1	32992085	32994528	0																																													32993306	-1221	1222
chr1	32995324	32997583	0																																													32996453	-1129	1130
chr1	32997786	33000450	0																																													32999118	-1332	1332
chr1	33005541	33008045	0																																													33006793	-1252	1252
chr1	33018181	33019829	0																																													33019005	-824	824
chr1	33136027	33141552	0																																													33138789	-2762	2763
chr1	33148897	33152029	0																																													33150463	-1566	1566
chr1	33155718	33159452	0																																													33157585	-1867	1867
chr1	33160221	33166921	0																																													33163571	-3350	3350
chr1	33255300	33259816	0																																													33257558	-2258	2258
chr1	33301225	33304223	0																																													33302724	-1499	1499
chr1	33321856	33324631	1	-563.0																																												33323243	-1387	1388
chr1	33346522	33350783	0																																													33348652	-2130	2131
chr1	34864045	34865689	0																																													34864867	-822	822
chr1	35162473	35168424	0																																													35165448	-2975	2976
chr1	35176335	35178903	0																																													35177619	-1284	1284
chr1	35184118	35184656	1	112.0																																												35184387	-269	269
chr1	35187391	35188143	1	-309.0																																												35187767	-376	376
chr1	35191421	35193804	2	-438.0	-354.0																																											35192612	-1191	1192
chr1	35429431	35435226	0																																													35432328	-2897	2898
chr1	35556333	35563060	1	-938.0																																												35559696	-3363	3364
chr1	35564619	35567045	3	355.0	333.0	582.0																																										35565832	-1213	1213
chr1	35595018	35597362	0																																													35596190	-1172	1172
chr1	35930123	35931726	0																																													35930924	-801	802
chr1	36087282	36090966	1	1150.0																																												36089124	-1842	1842
chr1	36242893	36244706	0																																													36243799	-906	907
chr1	36255238	36259139	0																																													36257188	-1950	1951
chr1	36306051	36310275	0																																													36308163	-2112	2112
chr1	36320108	36324682	1	1676.0																																												36322395	-2287	2287
chr1	36352456	36356261	1	-922.0																																												36354358	-1902	1903
chr1	36376794	36379867	0																																													36378330	-1536	1537
chr1	36380554	36384434	0																																													36382494	-1940	1940
chr1	36384726	36389466	0																																													36387096	-2370	2370
chr1	36453546	36455277	0																																													36454411	-865	866
chr1	36455455	36456492	2	-339.0	194.0																																											36455973	-518	519
chr1	37447314	37450397	0																																													37448855	-1541	1542
chr1	37473322	37477433	0																																													37475377	-2055	2056
chr1	37481025	37484310	6	-1135.0	-936.0	925.0	-601.0	127.0	-855.0																																							37482667	-1642	1643
chr1	37540408	37542364	0																																													37541386	-978	978
chr1	37546302	37548771	0																																													37547536	-1234	1235
chr1	37552317	37555665	1	1304.0																																												37553991	-1674	1674
chr1	37708871	37711682	0																																													37710276	-1405	1406
chr1	37805349	37809614	2	579.0	-1628.0																																											37807481	-2132	2133
chr1	37985555	37987597	0																																													37986576	-1021	1021
chr1	38025366	38026319	0																																													38025842	-476	477
chr1	38026384	38031795	0																																													38029089	-2705	2706
chr1	38990210	38992393	0																																													38991301	-1091	1092
chr1	39004107	39005596	1	706.0																																												39004851	-744	745
chr1	39029732	39032902	0																																													39031317	-1585	1585
chr1	39043335	39046737	0																																													39045036	-1701	1701
chr1	39556103	39560780	0																																													39558441	-2338	2339
chr1	39569938	39572913	0																																													39571425	-1487	1488
chr1	39573504	39577639	0																																													39575571	-2067	2068
chr1	39758760	39762420	0																																													39760590	-1830	1830
chr1	40071605	40072678	1	-200.0																																												40072141	-536	537
chr1	40213839	40215790	0																																													40214814	-975	976
chr1	40684707	40687919	0																																													40686313	-1606	1606
chr1	40691214	40692994	1	274.0																																												40692104	-890	890
chr1	40771146	40776046	0																																													40773596	-2450	2450
chr1	40858194	40859926	0																																													40859060	-866	866
chr1	40986812	40990156	1	-106.0																																												40988484	-1672	1672
chr1	41363465	41367966	0																																													41365715	-2250	2251
chr1	41371221	41378646	0																																													41374933	-3712	3713
chr1	41493737	41499537	0																																													41496637	-2900	2900
chr1	41524836	41530814	0																																													41527825	-2989	2989
chr1	42186825	42187966	0																																													42187395	-570	571
chr1	42717185	42720198	0																																													42718691	-1506	1507
chr1	42784046	42788476	0																																													42786261	-2215	2215
chr1	42816044	42817506	2	334.0	283.0																																											42816775	-731	731
chr1	42923766	42925372	0																																													42924569	-803	803
chr1	42938550	42941624	0																																													42940087	-1537	1537
chr1	42947343	42949750	0																																													42948546	-1203	1204
chr1	42951958	42953880	0																																													42952919	-961	961
chr1	43165364	43168566	0																																													43166965	-1601	1601
chr1	43271233	43274984	0																																													43273108	-1875	1876
chr1	43277401	43281967	0																																													43279684	-2283	2283
chr1	43360652	43361855	0																																													43361253	-601	602
chr1	43363659	43368474	0																																													43366066	-2407	2408
chr1	43386394	43389005	2	1099.0	1111.0																																											43387699	-1305	1306
chr1	43421431	43429063	10	-2075.0	-1930.0	-1853.0	-891.0	-2760.0	-1472.0	-606.0	-2783.0	951.0	-608.0																																			43425247	-3816	3816
chr1	43434942	43440030	1	304.0																																												43437486	-2544	2544
chr1	43446678	43454364	4	2574.0	-811.0	3484.0	-1101.0																																									43450521	-3843	3843
chr1	43544715	43547149	2	793.0	882.0																																											43545932	-1217	1217
chr1	43548834	43552345	0																																													43550589	-1755	1756
chr1	43556812	43559602	0																																													43558207	-1395	1395
chr1	43568733	43571441	0																																													43570087	-1354	1354
chr1	43601290	43604634	3	-682.0	-861.0	-658.0																																										43602962	-1672	1672
chr1	43606244	43610430	0																																													43608337	-2093	2093
chr1	43614371	43620204	4	-2010.0	-1408.0	-2105.0	-2897.0																																									43617287	-2916	2917
chr1	43620805	43623398	5	13.0	3.0	112.0	1260.0	1260.0																																								43622101	-1296	1297
chr1	43633694	43637231	0																																													43635462	-1768	1769
chr1	43663444	43664793	0																																													43664118	-674	675
chr1	43671121	43676631	1	2240.0																																												43673876	-2755	2755
chr1	43682988	43686857	0																																													43684922	-1934	1935
chr1	43690823	43694915	1	1880.0																																												43692869	-2046	2046
chr1	43695869	43700868	0																																													43698368	-2499	2500
chr1	43702147	43705575	4	271.0	-647.0	-592.0	-232.0																																									43703861	-1714	1714
chr1	43706004	43707081	0																																													43706542	-538	539
chr1	43975882	43977538	4	406.0	76.0	-532.0	610.0																																									43976710	-828	828
chr1	43978611	43986441	0																																													43982526	-3915	3915
chr1	43995728	43999052	3	-228.0	1217.0	1562.0																																										43997390	-1662	1662
chr1	44217008	44222829	3	730.0	-1621.0	-640.0																																										44219918	-2910	2911
chr1	44634433	44636469	2	-242.0	177.0																																											44635451	-1018	1018
chr1	44639482	44643015	0																																													44641248	-1766	1767
chr1	44644163	44647770	2	1239.0	693.0																																											44645966	-1803	1804
chr1	44776008	44778123	1	-550.0																																												44777065	-1057	1058
chr1	45002551	45008655	7	-2907.0	724.0	-1375.0	-2763.0	-2731.0	1678.0	694.0																																						45005603	-3052	3052
chr1	45326597	45333684	2	2104.0	-2029.0																																											45330140	-3543	3544
chr1	45341885	45343973	2	399.0	-821.0																																											45342929	-1044	1044
chr1	45344391	45346625	2	570.0	1054.0																																											45345508	-1117	1117
chr1	45508695	45509395	2	127.0	169.0																																											45509045	-350	350
chr1	45565962	45569792	3	-686.0	-80.0	-605.0																																										45567877	-1915	1915
chr1	45570157	45572140	0																																													45571148	-991	992
chr1	45617194	45619406	0																																													45618300	-1106	1106
chr1	45620780	45623000	4	-63.0	-924.0	-716.0	-903.0																																									45621890	-1110	1110
chr1	45623157	45627396	0																																													45625276	-2119	2120
chr1	45647040	45649163	0																																													45648101	-1061	1062
chr1	45691151	45692463	0																																													45691807	-656	656
chr1	46028022	46030352	2	-305.0	281.0																																											46029187	-1165	1165
chr1	46030610	46034532	3	1524.0	1524.0	-65.0																																										46032571	-1961	1961
chr1	46034800	46037804	1	1365.0																																												46036302	-1502	1502
chr1	46038639	46040755	0																																													46039697	-1058	1058
chr1	46053681	46055883	0																																													46054782	-1101	1101
chr1	46056603	46059430	0																																													46058016	-1413	1414
chr1	46092124	46093453	0																																													46092788	-664	665
chr1	46117506	46119195	0																																													46118350	-844	845
chr1	46188177	46190504	3	-651.0	537.0	494.0																																										46189340	-1163	1164
chr1	46292725	46295668	0																																													46294196	-1471	1472
chr1	46313139	46314938	0																																													46314038	-899	900
chr1	47384319	47391124	0																																													47387721	-3402	3403
chr1	51293446	51298597	2	1594.0	-140.0																																											51296021	-2575	2576
chr1	51301053	51302823	0																																													51301938	-885	885
chr1	51303075	51306001	0																																													51304538	-1463	1463
chr1	51311235	51315742	0																																													51313488	-2253	2254
chr1	51338464	51341700	0																																													51340082	-1618	1618
chr1	51342705	51346997	0																																													51344851	-2146	2146
chr1	51347468	51353024	0																																													51350246	-2778	2778
chr1	51563003	51564299	0																																													51563651	-648	648
chr1	51710643	51713550	0																																													51712096	-1453	1454
chr1	51728183	51730350	0																																													51729266	-1083	1084
chr1	51753753	51754592	0																																													51754172	-419	420
chr1	51786737	51787494	0																																													51787115	-378	379
chr1	51788248	51793467	4	1216.0	-105.0	-1187.0	-1207.0																																									51790857	-2609	2610
chr1	51804332	51806605	0																																													51805468	-1136	1137
chr1	52346651	52348793	0																																													52347722	-1071	1071
chr1	52353138	52355171	3	693.0	-743.0	-456.0																																										52354154	-1016	1017
chr1	52358213	52361225	4	622.0	644.0	-71.0	1366.0																																									52359719	-1506	1506
chr1	52361472	52364917	1	1616.0																																												52363194	-1722	1723
chr1	52897062	52900455	0																																													52898758	-1696	1697
chr1	52906282	52909372	0																																													52907827	-1545	1545
chr1	53236464	53239145	0																																													53237804	-1340	1341
chr1	53902465	53905122	1	-961.0																																												53903793	-1328	1329
chr1	54219402	54220955	0																																													54220178	-776	777
