	Chr	Start	End	Name	Score	Strand
ENSG00000107859	chr10	102230186	102241512	PITX3	0	-
ENSG00000108255	chr17	29246859	29254494	CRYBA1	0	+
ENSG00000108702	chr17	34360328	34363233	CCL1	0	-
ENSG00000108849	chr17	43940804	43942476	PPY	0	-
ENSG00000109132	chr4	41744082	41748725	PHOX2B	0	-
ENSG00000109272	chr4	73853296	73854483	PF4V1	0	+
ENSG00000109471	chr4	122451470	122456725	IL2	0	-
ENSG00000109511	chr4	168092537	168187736	ANXA10	0	+
ENSG00000109851	chr11	20156155	20160475	DBX1	0	-
ENSG00000109991	chr11	57338352	57372396	P2RX3	0	+
ENSG00000110243	chr11	116789367	116792420	APOA5	0	-
ENSG00000110244	chr11	116820700	116823304	APOA4	0	-
ENSG00000110887	chr12	108858932	108901043	DAO	0	+
ENSG00000111049	chr12	80716912	80719671	MYF5	0	+
ENSG00000111241	chr12	4428155	4445815	FGF6	0	-
ENSG00000111536	chr12	68201349	68225810	IL26	0	-
ENSG00000111701	chr12	7649400	7665908	APOBEC1	0	-
ENSG00000111704	chr12	7787794	7799146	NANOG	0	+
ENSG00000112038	chr6	154010496	154246867	OPRM1	0	+
ENSG00000112077	chr6	49605175	49636839	RHAG	0	-
ENSG00000112115	chr6	52186375	52190638	IL17A	0	+
ENSG00000112116	chr6	52236681	52244500	IL17F	0	-
ENSG00000112212	chr6	41042467	41044337	TSPO2	0	+
ENSG00000112273	chr6	22569566	22571666	HDGFL1	0	+
ENSG00000112337	chr6	25912754	25930691	SLC17A2	0	-
ENSG00000112462	chr6	29373423	29375291	OR12D3	0	-
ENSG00000112494	chr6	167271169	167316014	UNC93A	0	+
ENSG00000112499	chr6	160171061	160277638	SLC22A2	0	-
ENSG00000112818	chr6	46793389	46839778	MEP1A	0	+
ENSG00000113073	chr5	140360194	140375141	SLC4A9	0	+
ENSG00000113100	chr5	26880597	27121150	CDH9	0	-
ENSG00000113196	chr5	154474972	154478227	HAND1	0	-
ENSG00000113249	chr5	157029413	157059119	HAVCR1	0	-
ENSG00000113303	chr5	180899077	180950906	BTNL8	0	+
ENSG00000113520	chr5	132673986	132682678	IL4	0	+
ENSG00000113525	chr5	132541445	132556838	IL5	0	-
ENSG00000113905	chr3	186660216	186678234	HRG	0	+
ENSG00000114124	chr3	141763408	141819352	GRK7	0	+
ENSG00000114204	chr3	167441789	167479004	SERPINI2	0	-
ENSG00000114349	chr3	50191610	50197696	GNAT1	0	+
ENSG00000114455	chr3	108296490	108378285	HHLA2	0	+
ENSG00000114487	chr3	108958248	109118134	MORC1	0	-
ENSG00000115488	chr2	233032672	233035057	NEU2	0	+
ENSG00000116218	chr1	179550539	179575952	NPHS2	0	-
ENSG00000116703	chr1	186443566	186461114	PDC	0	-
ENSG00000116721	chr1	12791397	12796628	PRAMEF1	0	+
ENSG00000116726	chr1	12773738	12777906	PRAMEF12	0	+
ENSG00000116745	chr1	68428822	68449954	RPE65	0	-
ENSG00000116981	chr1	39651229	39672107	NT5C1A	0	-
ENSG00000116996	chr1	237877864	237890922	ZP4	0	-
ENSG00000117501	chr1	170935526	171064765	MROH9	0	+
ENSG00000118017	chr3	138123713	138132390	A4GNT	0	-
ENSG00000118231	chr2	208121607	208124524	CRYGD	0	-
ENSG00000118245	chr2	216859458	216860064	TNP1	0	-
ENSG00000118434	chr6	88047841	88066838	SPACA1	0	+
ENSG00000118491	chr6	143864436	143938343	ZC2HC1B	0	+
ENSG00000118972	chr12	4368227	4379712	FGF23	0	-
ENSG00000119614	chr14	74239449	74262738	VSX2	0	+
ENSG00000119913	chr10	112283400	112305038	TECTB	0	+
ENSG00000119973	chr10	118589997	118595648	PRLHR	0	-
ENSG00000120054	chr10	100042193	100081869	CPN1	0	-
ENSG00000120160	chr9	27284654	27297150	EQTN	0	-
ENSG00000120210	chr9	5123880	5185647	INSL6	0	-
ENSG00000120211	chr9	5231419	5235304	INSL4	0	+
ENSG00000120235	chr9	21349835	21351378	IFNA6	0	-
ENSG00000120242	chr9	21409117	21410185	IFNA8	0	+
ENSG00000120329	chr5	141302635	141304049	SLC25A2	0	-
ENSG00000120563	chr10	29289061	29318328	LYZL1	0	+
ENSG00000120937	chr1	11857464	11858945	NPPB	0	-
ENSG00000120952	chr1	12857086	12861909	PRAMEF2	0	+
ENSG00000121314	chr12	10806051	10807286	TAS2R8	0	-
ENSG00000121318	chr12	10825317	10826358	TAS2R10	0	-
ENSG00000121377	chr12	10801532	10802627	TAS2R7	0	-
ENSG00000121381	chr12	10809094	10810168	TAS2R9	0	-
ENSG00000121446	chr1	182409192	182560599	RGSL1	0	+
ENSG00000121634	chr1	147902795	147909269	GJA8	0	+
ENSG00000121853	chr3	172443291	172448456	GHSR	0	-
ENSG00000122304	chr16	11275639	11276480	PRM2	0	-
ENSG00000122375	chr10	86654518	86666460	OPN4	0	+
ENSG00000122543	chr7	5879827	5886363	OCM	0	+
ENSG00000123165	chrX	128050962	128052403	ACTRT1	0	-
ENSG00000123171	chr13	51861969	51866232	CCDC70	0	+
ENSG00000123561	chrX	106032435	106038727	SERPINA7	0	-
ENSG00000123569	chrX	104011147	104013708	H2BW1	0	-
ENSG00000123576	chrX	104250038	104254933	ESX1	0	-
ENSG00000123594	chrX	13318647	13320053	ATXN3L	0	-
ENSG00000123977	chr2	227871054	227924344	DAW1	0	+
ENSG00000124003	chr2	222671658	222709930	MOGAT1	0	+
ENSG00000124089	chr20	56248732	56249815	MC3R	0	+
ENSG00000124092	chr20	57495966	57525652	CTCFL	0	-
ENSG00000124157	chr20	45221373	45224458	SEMG2	0	+
ENSG00000124196	chr20	43726164	43727002	GTSF1L	0	-
ENSG00000124227	chr20	58218495	58228653	ANKRD60	0	-
ENSG00000124232	chr20	45306840	45317824	RBPJL	0	+
ENSG00000124233	chr20	45207033	45209768	SEMG1	0	+
ENSG00000124333	chrX	155881345	155943769	VAMP7	0	+
ENSG00000124333	chrY	57067865	57130289	VAMP7	0	+
ENSG00000124334	chrX	155997696	156010817	IL9R	0	+
ENSG00000124334	chrY	57184216	57197337	IL9R	0	+
ENSG00000124391	chr16	88638572	88640468	IL17C	0	+
ENSG00000124449	chr19	43716076	43720021	IRGC	0	+
ENSG00000124467	chr19	42752686	42855691	PSG8	0	-
ENSG00000124564	chr6	25833066	25882286	SLC17A3	0	-
ENSG00000124568	chr6	25782915	25832052	SLC17A1	0	-
ENSG00000124610	chr6	26017032	26017787	H1-1	0	-
ENSG00000124812	chr6	49834257	49877096	CRISP1	0	-
ENSG00000124818	chr6	47781982	47832780	OPN5	0	+
ENSG00000124827	chr6	10873223	10882041	GCM2	0	-
ENSG00000124900	chr11	55883297	55891810	TRIM51	0	+
ENSG00000125084	chr12	48978322	48982620	WNT1	0	+
ENSG00000125207	chr12	130337887	130372637	PIWIL1	0	+
ENSG00000125255	chr13	103043998	103066417	SLC10A2	0	-
ENSG00000125363	chrX	11293413	11300761	AMELX	0	+
ENSG00000125492	chr9	132582606	132590252	BARHL1	0	+
ENSG00000125522	chr20	64103802	64107565	NPBWR2	0	-
ENSG00000125533	chr20	63005927	63007035	BHLHE23	0	-
ENSG00000125571	chr2	112911165	112918882	IL37	0	+
ENSG00000125787	chr20	3043622	3045747	GNRH2	0	+
ENSG00000125788	chr20	142590	145751	DEFB126	0	+
ENSG00000125815	chr20	23491101	23496010	CST8	0	+
ENSG00000125816	chr20	21395365	21397526	NKX2-4	0	-
ENSG00000125823	chr20	23426104	23444930	CSTL1	0	+
ENSG00000125831	chr20	23450403	23452876	CST11	0	-
ENSG00000125861	chr20	3659248	3663399	GFRA4	0	-
ENSG00000125888	chr20	17693672	17735871	BANF2	0	+
ENSG00000125900	chr20	1534251	1557705	SIRPD	0	-
ENSG00000125903	chr20	227258	229886	DEFB129	0	+
ENSG00000125975	chr20	35523186	35529652	C20orf173	0	-
ENSG00000126266	chr19	35351552	35353862	FFAR1	0	+
ENSG00000126549	chr4	69995966	70002570	STATH	0	+
ENSG00000126856	chr16	90056566	90092072	PRDM7	0	-
ENSG00000127318	chr12	68248242	68253604	IL22	0	-
ENSG00000127515	chr19	14840466	14848922	OR7A10	0	-
ENSG00000127529	chr19	14941489	14942448	OR7C2	0	+
ENSG00000127530	chr19	14789260	14835376	OR7C1	0	-
ENSG00000127780	chr17	3432870	3433841	OR1E2	0	-
ENSG00000128310	chr22	37823382	37825485	GALR3	0	+
ENSG00000128313	chr22	35717872	35729483	APOL5	0	+
ENSG00000128519	chr7	122994704	122995700	TAS2R16	0	-
ENSG00000128610	chr7	122301303	122310691	FEZF1	0	-
ENSG00000129152	chr11	17719571	17722136	MYOD1	0	+
ENSG00000129221	chr17	6393693	6435199	AIPL1	0	-
ENSG00000129673	chr17	76453351	76470117	AANAT	0	+
ENSG00000129744	chr11	3645128	3664416	ART1	0	+
ENSG00000129862	chrY	14056227	14056958	VCY1B	0	+
ENSG00000129864	chrY	13985772	13986473	VCY	0	-
ENSG00000129873	chrY	17878260	17880220	CDY2B	0	-
ENSG00000130167	chr19	11296139	11326996	TSPAN16	0	+
ENSG00000130182	chr16	3088890	3099295	ZSCAN10	0	-
ENSG00000130368	chr6	159890988	159917447	MAS1	0	+
ENSG00000130385	chrX	50910735	50916641	BMP15	0	+
ENSG00000130538	chr22	15528192	15529139	OR11H1	0	+
ENSG00000130656	chr16	142728	154503	HBZ	0	+
ENSG00000131059	chr20	33217310	33227806	BPIFA3	0	+
ENSG00000131068	chr20	31368601	31373923	DEFB118	0	+
ENSG00000131126	chr19	43401496	43418597	TEX101	0	+
ENSG00000131183	chr5	177379235	177398848	SLC34A1	0	+
ENSG00000131264	chrX	73447053	73455171	CDX4	0	+
ENSG00000131379	chr3	14675141	14773036	C3orf20	0	+
ENSG00000131482	chr17	42900797	42914438	G6PC1	0	+
ENSG00000131721	chrX	120158613	120165630	RHOXF2	0	+
ENSG00000131738	chr17	41363498	41369813	KRT33B	0	-
ENSG00000131808	chr11	30231014	30235261	FSHB	0	+
ENSG00000131864	chr19	57119138	57131926	USP29	0	+
ENSG00000131910	chr1	26911489	26913975	NR0B2	0	-
ENSG00000131951	chr14	59919713	60063559	LRRC9	0	+
ENSG00000132297	chr8	132061480	132111159	HHLA1	0	-
ENSG00000132631	chr20	18813783	18814378	SCP2D1	0	+
ENSG00000132671	chr20	23035312	23039237	SSTR4	0	+
ENSG00000132911	chr5	152391546	152433368	NMUR2	0	-
ENSG00000132972	chr13	24764169	24879921	RNF17	0	+
ENSG00000133105	chr13	31739526	31803389	RXFP2	0	+
ENSG00000133115	chr13	38965925	38990859	STOML3	0	-
ENSG00000134160	chr15	31001061	31161273	TRPM1	0	-
ENSG00000134200	chr1	115029826	115034302	TSHB	0	+
ENSG00000134216	chr1	111290851	111320566	CHIA	0	+
ENSG00000134249	chr1	119893533	119896515	ADAM30	0	-
ENSG00000134365	chr1	196888014	196918713	CFHR4	0	+
ENSG00000134389	chr1	196977556	197009678	CFHR5	0	+
ENSG00000134438	chr18	59267035	59274086	RAX	0	-
ENSG00000134489	chr18	24460637	24479961	HRH4	0	+
ENSG00000134538	chr12	21131194	21239796	SLCO1B1	0	+
ENSG00000134588	chrX	133023168	133097109	USP26	0	-
ENSG00000134595	chrX	140502985	140505069	SOX3	0	-
ENSG00000134640	chr11	92969651	92985066	MTNR1B	0	+
ENSG00000134812	chr11	59829273	59845499	CBLIF	0	-
ENSG00000135175	chr7	97984684	97991169	OCM2	0	-
ENSG00000135220	chr4	68928463	68951804	UGT2A3	0	-
ENSG00000135355	chr6	89894469	89921760	GJA10	0	+
ENSG00000135569	chr6	132588592	132589741	TAAR5	0	-
ENSG00000135577	chr6	142058330	142147122	NMBR	0	-
ENSG00000135902	chr2	232525993	232536667	CHRND	0	+
ENSG00000135973	chr2	105241743	105243467	GPR45	0	+
ENSG00000136297	chr7	4905989	4959213	MMD2	0	-
ENSG00000136487	chr17	63880215	63881944	GH2	0	-
ENSG00000136488	chr17	63894909	63896661	CSH1	0	-
ENSG00000136688	chr2	112973203	112985658	IL36G	0	+
ENSG00000136694	chr2	113005459	113008044	IL36A	0	+
ENSG00000136696	chr2	113022089	113052867	IL36B	0	-
ENSG00000136697	chr2	113067970	113075843	IL1F10	0	+
ENSG00000136750	chr10	26216665	26304558	GAD2	0	+
ENSG00000136834	chr9	122476958	122477926	OR1J1	0	-
ENSG00000136839	chr9	104617248	104618204	OR13C9	0	-
ENSG00000136881	chr9	101354182	101385400	BAAT	0	-
ENSG00000136929	chr9	97926791	97944856	HEMGN	0	-
ENSG00000136939	chr9	122723990	122724925	OR1L4	0	+
ENSG00000137080	chr9	21165637	21166660	IFNA21	0	-
ENSG00000137204	chr6	43295694	43305538	SLC22A7	0	+
ENSG00000137251	chr6	54307859	54390142	TINAG	0	+
ENSG00000137634	chr11	114570591	114595786	NXPE4	0	-
ENSG00000137707	chr11	111467526	111514367	BTG4	0	-
ENSG00000138068	chr2	37167820	37196598	SULT6B1	0	-
ENSG00000138109	chr10	94938658	94990091	CYP2C9	0	+
ENSG00000138152	chr10	122271296	122338159	BTBD16	0	+
ENSG00000138308	chr10	72934762	72954806	PLA2G12B	0	-
ENSG00000138472	chr3	108907792	108953879	GUCA1C	0	-
ENSG00000138483	chr3	107377439	107378635	CCDC54	0	+
ENSG00000138684	chr4	122610108	122621066	IL21	0	-
ENSG00000138813	chr4	99511012	99542303	C4orf17	0	+
ENSG00000138892	chr22	50015123	50056935	TTLL8	0	-
ENSG00000139053	chr12	14973042	14981865	PDE6H	0	+
ENSG00000139151	chr12	18683169	18738100	PLCZ1	0	-
ENSG00000139287	chr12	71938845	72186618	TPH2	0	+
ENSG00000139610	chr12	51328442	51346679	CELA1	0	-
ENSG00000139648	chr12	52543909	52553145	KRT71	0	-
ENSG00000139780	chr13	102685747	102695044	METTL21C	0	-
ENSG00000139797	chr13	98175785	98177269	RNF113B	0	-
ENSG00000140067	chr14	93918894	93929608	FAM181A	0	+
ENSG00000140107	chr14	100323339	100330421	SLC25A47	0	+
ENSG00000140478	chr15	75282835	75295807	GOLGA6D	0	+
ENSG00000140505	chr15	74748845	74756607	CYP1A2	0	+
ENSG00000141096	chr16	67975663	67980549	DPEP3	0	-
ENSG00000141194	chr17	58148384	58159585	OR4D1	0	+
ENSG00000141200	chr17	53822927	53825193	KIF2B	0	+
ENSG00000141316	chr17	32970376	32997877	SPACA3	0	+
ENSG00000141434	chr18	32185069	32220404	MEP1B	0	+
ENSG00000141748	chr17	39156894	39167484	ARL5C	0	-
ENSG00000141946	chr19	57134096	57145202	ZIM3	0	-
ENSG00000142182	chr21	44246339	44262216	DNMT3L	0	-
ENSG00000142484	chr17	4771884	4783213	TM4SF5	0	+
ENSG00000142511	chr19	50770464	50771732	GPR32	0	+
ENSG00000142513	chr19	50790415	50795219	ACP4	0	+
ENSG00000142538	chr19	49422419	49423441	PTH2	0	-
ENSG00000142615	chr1	15456728	15472091	CELA2A	0	+
ENSG00000142789	chr1	22001657	22012542	CELA3A	0	+
ENSG00000143006	chr1	53459399	53467488	DMRTB1	0	+
ENSG00000143032	chr1	90711539	90717302	BARHL2	0	-
ENSG00000143105	chr1	110517217	110519175	KCNA10	0	-
ENSG00000143107	chr1	108712908	108742749	FNDC7	0	+
ENSG00000143278	chr1	197038741	197067260	F13B	0	-
ENSG00000143595	chr1	154321090	154325325	AQP10	0	+
ENSG00000143627	chr1	155289293	155301438	PKLR	0	-
ENSG00000143921	chr2	43831942	43882988	ABCG8	0	+
ENSG00000143954	chr2	79025686	79028505	REG3G	0	+
ENSG00000144010	chr2	95477164	95484731	TRIM43B	0	-
ENSG00000144227	chr2	138669157	138780390	NXPH2	0	-
ENSG00000144339	chr2	191949043	192194933	TMEFF2	0	-
ENSG00000144460	chr2	225399710	225654018	NYAP2	0	+
ENSG00000144671	chr3	38282294	38318575	SLC22A14	0	+
ENSG00000144771	chr3	54918231	54967088	LRTM1	0	-
ENSG00000144962	chr3	172889357	173141235	SPATA16	0	-
ENSG00000145309	chr4	70334981	70337116	CABS1	0	+
ENSG00000145384	chr4	119317250	119322138	FABP2	0	-
ENSG00000145626	chr5	35951006	36001028	UGT3A1	0	-
ENSG00000145642	chr5	64690442	64718190	SHISAL2B	0	+
ENSG00000145826	chr5	135922279	135954983	LECT2	0	-
ENSG00000145839	chr5	135892246	135895841	IL9	0	-
ENSG00000145863	chr5	161547063	161702593	GABRA6	0	+
ENSG00000145879	chr5	148312419	148315922	SPINK7	0	+
ENSG00000145888	chr5	151822513	151924851	GLRA1	0	-
ENSG00000145975	chr6	4049434	4087344	FAM217A	0	-
ENSG00000146039	chr6	25754699	25781199	SLC17A4	0	+
ENSG00000146047	chr6	25726777	25727345	H2BC1	0	+
ENSG00000146360	chr6	109978256	109980720	GPR6	0	+
ENSG00000146378	chr6	132617022	132624275	TAAR2	0	-
ENSG00000146383	chr6	132570322	132571359	TAAR6	0	+
ENSG00000146385	chr6	132552693	132553721	TAAR8	0	+
ENSG00000146399	chr6	132643312	132659182	TAAR1	0	-
ENSG00000146618	chr7	19144782	19145421	FERD3L	0	-
ENSG00000146910	chr7	155474206	155555450	CNPY1	0	-
ENSG00000146926	chr7	151175698	151187832	ASB10	0	-
ENSG00000147081	chrX	50190777	50201007	AKAP4	0	-
ENSG00000147183	chrX	88747225	88754785	CPXCR1	0	+
ENSG00000147223	chrX	106900063	106903341	RIPPLY1	0	-
ENSG00000147262	chrX	130379449	130385674	GPR119	0	-
ENSG00000147432	chr8	42697366	42737407	CHRNB3	0	+
ENSG00000147571	chr8	66176376	66178464	CRH	0	-
ENSG00000147596	chr8	70051651	70071693	PRDM14	0	-
ENSG00000147613	chr8	86047109	86088621	PSKH2	0	-
ENSG00000147655	chr8	107899316	108083642	RSPO2	0	-
ENSG00000147869	chr9	14719724	14722733	CER1	0	-
ENSG00000147873	chr9	21304326	21305313	IFNA5	0	-
ENSG00000147885	chr9	21216373	21217311	IFNA16	0	-
ENSG00000147896	chr9	27524290	27526498	IFNK	0	+
ENSG00000148136	chr9	104526253	104527209	OR13C4	0	-
ENSG00000148156	chr9	108854588	108855986	ACTL7B	0	-
ENSG00000148215	chr9	122788933	122789895	OR5C1	0	+
ENSG00000148386	chr9	135663309	135666961	LCN9	0	+
ENSG00000148584	chr10	50799409	50885675	A1CF	0	-
ENSG00000148602	chr10	84231520	84241546	LRIT1	0	-
ENSG00000149133	chr11	55993681	55994625	OR5F1	0	-
ENSG00000149305	chr11	113904796	113949079	HTR3B	0	+
ENSG00000149452	chr11	62989154	63015841	SLC22A8	0	-
ENSG00000149507	chr11	60040409	60048044	OOSP2	0	+
ENSG00000149516	chr11	60056587	60071115	MS4A3	0	+
ENSG00000149635	chr20	46540946	46550654	OCSTAMP	0	-
ENSG00000149651	chr20	45722347	45725830	SPINT4	0	+
ENSG00000149735	chr11	64934471	64935893	GPHA2	0	-
ENSG00000149742	chr11	63369785	63410294	SLC22A9	0	+
ENSG00000150201	chr10	43371636	43376335	FXYD4	0	+
ENSG00000150244	chr11	55262155	55271114	TRIM48	0	+
ENSG00000150261	chr11	56346039	56346998	OR8K1	0	+
ENSG00000150269	chr11	56462469	56463401	OR5M9	0	-
ENSG00000150275	chr10	53802771	55627942	PCDH15	0	-
ENSG00000150783	chr11	112167372	112172556	TEX12	0	+
ENSG00000151005	chr4	163471095	163473754	TKTL2	0	-
ENSG00000151033	chr10	30611779	30629762	LYZL2	0	-
ENSG00000151360	chr2	3658200	3702671	ALLC	0	+
ENSG00000151379	chr2	17816460	17817798	MSGN1	0	+
ENSG00000151418	chr1	198523222	198540945	ATP6V1G3	0	-
ENSG00000151475	chr4	127730400	127774292	SLC25A31	0	+
ENSG00000151577	chr3	114127580	114199407	DRD3	0	-
ENSG00000151615	chr4	146638893	146642474	POU4F2	0	+
ENSG00000151812	chr14	57563920	57982194	SLC35F4	0	-
ENSG00000151952	chr12	129071725	129904025	TMEM132D	0	-
ENSG00000151962	chr4	154781213	154828813	RBM46	0	+
ENSG00000152034	chr6	99918519	99994247	MCHR2	0	-
ENSG00000152093	chr2	130521197	130528604	CFC1B	0	+
ENSG00000152214	chr18	42743227	43115691	RIT2	0	-
ENSG00000152254	chr2	168901291	168910000	G6PC2	0	+
ENSG00000152266	chr11	13492054	13496181	PTH	0	-
ENSG00000152430	chr2	197726879	197786762	BOLL	0	-
ENSG00000152591	chr4	87608529	87616873	DSPP	0	+
